date	precipitation	temperature	discharge_spec
19730501	8.23	2.94	1.65
19730502	0.8	3.91	2.0
19730503	1.57	4.22	2.08
19730504	15.45	5.02	5.1
19730505	0.92	6.37	3.6
19730506	5.58	7.19	2.77
19730507	4.93	5.66	3.16
19730508	0.26	6.0	2.56
19730509	0.41	7.72	1.78
19730510	5.35	3.11	1.61
19730511	0.11	4.6	1.61
19730512	1.88	7.53	1.45
19730513	3.14	6.15	1.41
19730514	1.55	3.39	1.35
19730515	1.13	5.16	1.25
19730516	0.0	6.35	1.15
19730517	0.0	6.17	1.09
19730518	0.0	6.78	1.06
19730519	0.0	5.58	1.04
19730520	2.41	4.63	1.02
19730521	0.01	5.45	1.01
19730522	2.78	6.41	1.0
19730523	1.58	7.32	0.99
19730524	2.59	8.64	0.98
19730525	1.97	9.69	0.99
19730526	0.86	11.83	0.97
19730527	0.21	12.44	0.94
19730528	0.0	10.04	0.89
19730529	1.08	10.79	0.86
19730530	5.69	10.14	0.86
19730531	0.15	7.24	0.9
19730601	0.37	6.52	0.84
19730602	1.24	9.33	0.82
19730603	1.36	8.26	0.8
19730604	0.14	7.55	0.76
19730605	0.0	9.32	0.75
19730606	0.0	14.38	0.74
19730607	1.8	13.83	0.73
19730608	0.32	12.95	0.74
19730609	1.61	11.56	0.73
19730610	1.16	9.12	0.72
19730611	0.0	8.83	0.65
19730612	0.13	11.49	0.62
19730613	1.48	6.17	0.61
19730614	1.06	7.65	0.65
19730615	0.01	12.35	0.62
19730616	0.06	12.71	0.61
19730617	0.01	12.83	0.6
19730618	16.66	12.13	0.64
19730619	3.87	12.72	0.85
19730620	1.6	10.04	0.76
19730621	0.09	11.03	0.67
19730622	0.07	12.6	0.62
19730623	0.0	12.2	0.59
19730624	0.07	10.35	0.58
19730625	1.23	11.4	0.58
19730626	0.02	10.59	0.58
19730627	0.01	11.57	0.56
19730628	0.01	10.45	0.54
19730629	0.01	13.95	0.53
19730630	0.02	15.01	0.52
19730701	0.29	13.78	0.52
19730702	0.0	13.02	0.52
19730703	1.65	11.48	0.51
19730704	0.26	12.66	0.51
19730705	0.07	13.37	0.5
19730706	12.75	12.34	0.54
19730707	1.18	10.59	0.62
19730708	1.02	8.39	0.55
19730709	0.01	11.16	0.53
19730710	8.57	13.99	0.56
19730711	0.54	12.84	0.58
19730712	1.65	12.85	0.54
19730713	21.46	14.3	0.9
19730714	1.5	12.53	1.18
19730715	0.01	13.56	0.71
19730716	0.02	13.32	0.61
19730717	0.75	9.97	0.57
19730718	4.58	10.32	0.57
19730719	3.13	11.06	0.68
19730720	6.36	11.16	1.03
19730721	2.5	10.61	1.11
19730722	1.74	9.44	0.86
19730723	0.01	8.15	0.69
19730724	0.02	9.37	0.61
19730725	0.42	10.41	0.56
19730726	0.0	10.74	0.54
19730727	0.0	11.32	0.53
19730728	2.71	12.71	0.53
19730729	4.21	14.95	0.56
19730730	0.05	12.55	0.53
19730731	1.41	12.98	0.5
19730801	6.62	14.5	0.6
19730802	5.17	13.93	0.73
19730803	4.57	11.89	0.74
19730804	8.2	10.69	0.7
19730805	2.2	10.89	0.85
19730806	6.78	8.94	0.92
19730807	5.11	9.15	0.94
19730808	0.51	10.03	0.88
19730809	3.81	11.73	0.75
