date	precipitation	temperature	discharge_spec
19701001	17.55	9.56	5.63
19701002	0.42	7.14	5.68
19701003	5.54	8.61	3.55
19701004	13.76	9.74	5.68
19701005	22.93	8.7	6.97
19701006	5.89	7.44	10.44
19701007	0.54	7.74	6.63
19701008	0.1	7.77	4.68
19701009	2.89	6.46	4.08
19701010	0.51	9.88	3.71
19701011	3.19	8.76	3.26
19701012	0.47	10.86	3.21
19701013	0.01	11.15	3.02
19701014	0.01	9.73	2.48
19701015	0.1	10.14	2.15
19701016	0.01	9.79	1.84
19701017	0.44	8.73	2.11
19701018	16.43	9.82	2.97
19701019	0.15	6.16	3.55
19701020	0.0	3.34	2.88
19701021	0.0	4.09	2.35
19701022	0.02	6.77	2.11
19701023	3.21	8.02	1.87
19701024	2.22	8.6	1.73
19701025	1.55	7.48	1.62
19701026	1.56	4.69	1.95
19701027	2.81	3.39	2.31
19701028	13.01	4.07	2.4
19701029	22.88	5.93	5.02
19701030	2.73	7.64	8.51
19701031	18.41	8.7	8.53
19701101	9.14	7.33	6.49
19701102	26.58	7.04	9.77
19701103	10.76	6.32	14.59
19701104	18.16	5.93	9.42
19701105	0.58	5.24	8.77
19701106	0.27	3.31	6.54
19701107	3.39	3.73	5.72
19701108	4.66	5.75	5.33
19701109	0.02	5.49	4.57
19701110	3.8	5.75	3.55
19701111	12.89	4.59	3.55
19701112	11.25	2.07	4.63
19701113	2.32	1.82	3.92
19701114	0.0	0.12	3.4
19701115	6.71	0.69	3.11
19701116	3.99	1.01	3.02
19701117	6.69	3.08	6.44
19701118	0.05	2.6	5.9
19701119	0.11	2.17	4.24
19701120	15.77	1.81	5.19
19701121	1.91	2.39	6.49
19701122	2.04	2.74	4.86
19701123	31.83	4.84	10.69
19701124	6.49	6.73	13.73
19701125	3.08	6.62	8.19
19701126	7.66	5.52	6.67
19701127	12.14	5.96	7.23
19701128	5.26	7.07	11.22
19701129	1.55	4.83	7.33
19701130	0.03	4.08	5.95
19701201	0.85	3.54	4.13
19701202	21.39	4.12	6.13
19701203	3.84	1.8	6.08
19701204	10.5	2.23	7.85
19701205	12.38	5.1	7.56
19701206	1.48	3.93	8.04
19701207	0.2	2.54	5.77
19701208	0.01	1.74	4.02
19701209	0.0	4.35	4.02
19701210	0.0	3.12	3.61
19701211	0.0	2.12	3.4
19701212	7.61	3.06	3.97
19701213	0.01	2.96	3.76
19701214	0.2	3.37	3.07
19701215	1.88	3.91	2.83
19701216	9.74	5.92	3.5
19701217	1.61	5.91	3.66
19701218	11.04	7.24	5.09
19701219	2.79	8.08	5.72
19701220	0.67	3.12	4.4
19701221	0.1	-0.08	3.55
19701222	0.3	1.23	3.31
19701223	0.23	1.78	3.11
19701224	0.24	2.4	2.61
19701225	0.01	1.25	2.57
19701226	0.63	1.8	2.44
19701227	0.5	0.3	2.4
19701228	0.04	0.52	1.95
19701229	0.11	0.89	1.8
19701230	0.0	-0.53	1.58
19701231	0.0	-1.53	1.51
19710101	0.0	-1.56	1.35
19710102	0.0	-0.93	1.28
19710103	0.0	-1.29	1.65
19710104	0.0	-1.69	1.16
19710105	5.82	-0.87	1.51
19710106	38.16	3.4	5.33
19710107	20.38	4.9	17.36
19710108	11.91	7.88	8.23
19710109	45.66	9.0	20.48
19710110	0.0	9.64	11.63
19710111	0.01	6.29	7.99
19710112	0.0	2.48	6.31
19710113	0.87	2.67	5.72
19710114	1.27	3.74	5.24
19710115	0.08	2.66	4.86
19710116	2.01	1.87	4.02
19710117	8.11	3.26	3.4
19710118	10.83	4.26	5.24
19710119	10.98	4.5	5.99
19710120	10.17	2.94	5.77
19710121	3.17	2.48	7.23
19710122	10.12	2.78	5.63
19710123	11.35	3.5	7.23
19710124	14.62	3.23	8.83
19710125	1.24	3.84	9.87
19710126	0.87	2.77	6.35
19710127	8.63	2.83	5.95
19710128	3.03	2.72	6.31
19710129	6.67	1.33	5.9
19710130	0.0	-0.95	4.18
19710131	0.0	-1.4	2.88
19710201	0.12	-1.03	2.57
19710202	0.24	2.72	2.93
19710203	0.01	5.16	3.36
19710204	0.0	6.6	2.88
19710205	0.0	3.3	2.79
19710206	0.0	4.17	2.61
19710207	0.0	5.63	2.23
19710208	0.61	5.52	2.07
19710209	2.16	5.23	2.07
19710210	2.92	4.98	2.52
19710211	13.81	3.6	2.83
19710212	26.18	4.53	10.32
19710213	10.24	2.26	6.81
19710214	18.29	1.38	7.09
19710215	0.91	0.88	6.58
19710216	0.57	-1.38	5.24
19710217	3.64	-0.58	3.97
19710218	0.0	1.71	3.76
19710219	7.41	2.1	3.5
19710220	2.44	3.89	8.18
19710221	0.16	4.32	5.95
19710222	0.0	3.96	4.18
19710223	1.64	4.74	3.66
19710224	0.0	6.21	3.66
19710225	0.04	3.72	3.4
19710226	0.6	3.29	3.4
19710227	8.1	2.91	2.74
19710228	2.09	1.51	2.7
19710301	11.22	2.0	2.65
19710302	0.01	2.4	3.21
19710303	0.05	1.72	3.07
19710304	0.5	0.3	2.88
19710305	0.26	3.13	3.16
19710306	0.04	4.45	3.11
19710307	0.0	5.49	2.83
19710308	0.02	5.12	2.65
19710309	0.12	4.08	2.44
19710310	2.19	1.89	1.99
19710311	1.29	3.61	2.11
19710312	0.76	5.7	2.48
19710313	0.53	5.09	2.48
19710314	0.02	2.71	2.07
19710315	0.42	1.29	1.87
19710316	0.01	1.53	1.84
19710317	0.08	1.14	1.73
19710318	6.63	0.76	1.73
19710319	5.07	1.46	2.15
19710320	0.01	2.59	2.23
19710321	0.0	3.24	2.15
19710322	0.34	0.85	2.03
19710323	2.63	4.01	1.69
19710324	3.37	7.06	1.87
19710325	2.6	4.24	1.91
19710326	0.06	4.03	1.76
19710327	2.39	3.33	1.73
19710328	2.23	5.85	1.73
19710329	1.9	6.8	1.8
19710330	1.83	5.74	1.8
19710331	0.09	3.35	1.8
19710401	0.53	3.45	1.65
19710402	0.14	3.51	1.8
19710403	0.44	4.38	1.58
19710404	2.97	3.22	1.25
19710405	2.08	3.95	0.95
