date	precipitation	temperature	discharge_spec
20010517	13.08	8.79	1.25
20010518	0.06	8.25	0.85
20010519	0.0	8.63	0.71
20010520	0.0	10.22	0.64
20010521	0.0	11.78	0.6
20010522	0.0	13.24	0.57
20010523	0.0	14.14	0.54
20010524	0.0	13.31	0.53
20010525	1.46	12.41	0.52
20010526	0.39	13.78	0.51
20010527	0.39	14.0	0.5
20010528	4.05	13.21	0.5
20010529	0.31	12.16	0.48
20010530	1.27	11.01	0.48
20010531	1.24	10.27	0.46
20010601	0.31	10.27	0.46
20010602	0.18	8.09	0.44
20010603	0.0	9.02	0.43
20010604	0.0	10.92	0.41
20010605	0.24	10.68	0.4
20010606	0.72	8.73	0.39
20010607	3.08	7.0	0.39
20010608	2.48	7.32	0.38
20010609	10.6	7.56	0.47
20010610	0.0	8.16	0.4
20010611	0.0	10.17	0.36
20010612	0.0	10.11	0.35
20010613	0.0	10.77	0.34
20010614	5.15	9.43	0.33
20010615	13.55	8.93	0.47
20010616	0.08	8.61	0.44
20010617	0.43	8.96	0.37
20010618	5.9	9.69	0.34
20010619	9.49	13.02	0.55
20010620	0.0	11.78	0.66
20010621	0.0	10.98	0.41
20010622	0.0	11.49	0.34
20010623	0.0	12.73	0.32
20010624	0.0	14.62	0.31
20010625	0.04	15.56	0.3
20010626	8.43	13.66	0.36
20010627	2.4	13.82	0.34
20010628	4.63	12.87	0.32
20010629	5.09	14.4	0.36
20010630	2.7	13.84	0.41
20010701	0.0	14.75	0.35
20010702	0.0	18.07	0.28
20010703	0.61	16.48	0.28
20010704	0.03	16.37	0.28
20010705	0.0	15.38	0.27
20010706	9.57	14.69	0.27
20010707	12.78	14.38	0.64
20010708	1.96	14.62	0.73
20010709	0.76	12.9	0.52
20010710	10.63	11.72	0.51
20010711	6.54	10.78	1.51
20010712	5.63	10.87	0.81
20010713	5.26	9.56	0.83
20010714	2.27	9.34	1.01
20010715	5.75	10.09	1.18
20010716	0.0	10.54	0.84
20010717	0.1	11.53	0.68
20010718	0.05	11.7	0.58
20010719	0.0	11.34	0.48
20010720	3.27	10.91	0.46
20010721	1.29	12.98	0.46
20010722	0.02	14.05	0.4
20010723	2.39	13.26	0.39
20010724	1.05	13.48	0.38
20010725	0.29	12.68	0.36
20010726	0.06	15.38	0.34
20010727	0.0	15.55	0.32
20010728	0.0	15.87	0.29
20010729	1.31	16.07	0.26
20010730	10.24	12.82	0.37
20010731	0.01	12.62	0.32
20010801	0.02	12.66	0.31
20010802	9.33	14.72	0.38
20010803	0.13	13.37	0.35
20010804	1.76	11.95	0.31
20010805	0.43	11.39	0.29
20010806	1.04	12.09	0.28
20010807	8.98	11.57	0.35
20010808	0.5	11.34	0.37
20010809	2.02	11.07	0.31
20010810	3.07	11.29	0.29
20010811	5.38	13.43	0.38
20010812	5.0	14.61	0.39
20010813	9.89	16.52	0.48
20010814	4.51	16.0	0.73
20010815	1.5	15.15	0.79
20010816	0.17	12.94	0.53
20010817	0.0	13.09	0.44
20010818	13.29	13.84	0.63
20010819	27.3	13.91	6.21
20010820	0.34	13.37	2.33
20010821	3.92	14.01	1.46
20010822	0.0	13.22	1.1
20010823	0.0	12.61	0.87
20010824	0.01	13.05	0.74
20010825	0.35	12.94	0.66
20010826	0.52	12.44	0.6
20010827	0.02	11.55	0.54
20010828	0.0	11.58	0.52
20010829	1.88	12.96	0.49
20010830	1.58	12.59	0.5
20010831	0.0	12.74	0.45
20010901	1.37	12.31	0.44
20010902	0.02	12.93	0.42
20010903	0.0	11.98	0.39
20010904	0.41	10.25	0.38
20010905	0.0	12.34	0.37
20010906	0.0	11.39	0.35
20010907	0.3	11.67	0.35
20010908	0.03	9.45	0.33
20010909	0.0	9.66	0.32
20010910	0.09	10.46	0.32
20010911	0.0	13.18	0.31
20010912	11.87	11.46	0.48
20010913	0.65	9.54	0.4
20010914	0.56	9.02	0.36
20010915	0.24	9.41	0.33
20010916	0.53	9.42	0.32
20010917	0.49	8.14	0.31
20010918	0.0	8.49	0.3
20010919	1.71	9.56	0.3
20010920	1.68	10.79	0.3
20010921	0.09	10.16	0.31
20010922	0.0	9.88	0.3
20010923	0.57	9.09	0.29
20010924	2.83	10.9	0.3
20010925	3.71	9.7	0.31
20010926	3.25	9.24	0.35
20010927	6.06	10.06	0.33
20010928	9.68	12.74	0.54
20010929	9.54	12.93	2.0
20010930	19.0	12.85	3.14
20011001	21.32	12.14	11.44
20011002	5.98	12.25	4.63
20011003	2.33	10.93	2.77
20011004	3.64	10.98	2.15
20011005	6.84	13.19	2.78
20011006	2.92	12.36	2.76
20011007	21.21	11.34	7.61
20011008	1.22	10.32	5.44
20011009	11.56	10.77	3.25
20011010	1.68	10.87	4.98
20011011	5.16	12.75	3.89
20011012	7.81	13.41	6.15
20011013	0.17	11.52	4.37
20011014	22.92	11.47	11.63
20011015	3.52	11.58	9.41
20011016	0.15	9.76	5.04
20011017	1.1	11.95	3.53
20011018	5.39	11.53	3.8
20011019	5.95	8.84	2.9
20011020	16.02	11.71	12.05
20011021	20.66	9.95	15.95
20011022	6.65	10.35	9.61
20011023	6.38	10.85	9.95
20011024	0.92	10.58	7.02
20011025	4.26	10.75	5.92
20011026	1.47	9.67	4.18
20011027	0.21	9.02	3.15
20011028	0.48	7.6	2.55
20011029	1.59	11.01	2.21
20011030	7.58	11.11	2.66
20011031	0.07	6.38	2.17
20011101	0.61	9.04	1.79
20011102	0.92	10.83	1.61
20011103	0.54	7.99	1.48
20011104	0.4	6.48	1.35
20011105	4.45	5.08	1.39
20011106	0.09	6.89	1.27
20011107	9.66	4.57	1.44
20011108	4.25	0.74	1.5
20011109	0.39	0.94	1.41
20011110	0.09	8.87	2.61
20011111	2.24	9.99	1.65
20011112	0.08	5.37	1.49
20011113	0.01	1.74	1.31
20011114	0.02	3.73	1.21
20011115	0.02	8.86	1.13
20011116	0.0	7.22	1.07
20011117	0.09	5.93	1.02
20011118	9.48	5.77	1.15
20011119	5.13	6.01	1.89
20011120	3.72	7.54	1.76
20011121	1.24	7.89	1.65
20011122	0.47	2.67	1.35
20011123	1.88	2.79	1.33
20011124	4.32	10.58	1.46
20011125	0.61	6.99	2.09
20011126	7.54	3.03	1.51
20011127	0.28	3.39	2.92
20011128	15.99	4.68	4.79
20011129	17.49	7.48	6.14
20011130	9.57	9.3	18.5
20011201	0.03	4.95	7.0
20011202	0.02	2.77	4.44
20011203	10.08	4.86	4.68
20011204	4.83	5.27	3.91
20011205	3.47	1.11	4.9
20011206	7.09	0.32	4.08
20011207	0.4	8.2	4.12
20011208	0.0	8.93	3.13
20011209	0.02	3.22	2.62
20011210	0.02	-0.83	2.22
