date	precipitation	temperature	discharge_spec
20001116	0.81	4.92	2.25
20001117	2.34	3.48	2.79
20001118	1.79	5.73	1.9
20001119	0.11	4.97	1.87
20001120	0.19	3.34	1.71
20001121	6.71	2.6	1.39
20001122	5.84	4.55	1.45
20001123	1.24	4.56	3.75
20001124	8.83	4.49	2.61
20001125	7.67	5.85	2.12
20001126	2.74	5.23	6.14
20001127	5.71	5.35	4.07
20001128	15.08	8.5	3.46
20001129	11.36	10.41	9.08
20001130	14.28	7.46	8.85
20001201	17.96	9.55	6.96
20001202	8.73	8.75	10.25
20001203	11.29	7.35	11.34
20001204	17.25	9.59	8.41
20001205	7.23	9.9	12.97
20001206	1.89	8.35	10.7
20001207	11.56	7.69	7.11
20001208	15.3	7.85	5.75
20001209	15.32	7.57	10.52
20001210	7.52	6.46	11.8
20001211	5.01	6.43	10.53
20001212	23.53	8.19	7.29
20001213	6.4	5.76	14.27
20001214	0.13	5.0	9.98
20001215	0.0	0.65	6.17
20001216	0.0	0.17	3.85
20001217	3.78	0.04	2.87
20001218	0.35	3.06	2.24
20001219	27.92	4.38	2.07
20001220	9.57	7.46	7.02
20001221	0.14	5.27	14.84
20001222	0.04	4.16	6.34
20001223	0.57	3.66	3.7
20001224	0.13	1.93	2.9
20001225	0.23	-0.53	2.26
20001226	0.0	-2.88	1.87
20001227	8.98	-4.22	1.52
20001228	0.41	-1.7	1.31
20001229	0.0	-2.94	1.2
20001230	0.09	-2.03	1.07
20001231	25.89	1.08	1.05
20010101	10.36	4.82	3.81
20010102	3.41	5.46	12.47
20010103	15.05	3.53	10.85
20010104	1.31	4.28	11.75
20010105	4.67	2.58	8.31
20010106	12.79	3.51	7.87
20010107	0.4	4.01	10.3
20010108	0.26	4.19	6.74
20010109	0.01	0.78	3.97
20010110	0.0	-0.38	2.77
20010111	0.0	0.19	2.11
20010112	0.0	1.25	1.75
20010113	0.0	0.91	1.54
20010114	0.0	-0.04	1.28
20010115	0.0	-0.09	1.12
20010116	0.0	-2.57	1.04
20010117	0.0	-2.38	0.97
20010118	0.25	-0.49	0.87
20010119	0.01	-0.71	0.79
20010120	2.16	-0.76	0.72
20010121	3.96	1.65	0.71
20010122	9.07	3.86	1.45
20010123	16.61	6.02	4.35
20010124	4.93	5.07	10.14
20010125	11.72	3.98	6.78
20010126	11.45	4.13	7.42
20010127	0.47	2.99	7.6
20010128	0.77	0.46	3.88
20010129	4.5	1.33	2.57
20010130	3.32	2.15	2.78
20010131	0.1	2.63	3.2
20010201	9.62	2.9	2.97
20010202	4.29	4.92	4.4
20010203	3.98	3.36	4.7
20010204	7.27	-0.09	4.05
20010205	9.03	0.29	3.13
20010206	30.98	2.82	8.53
20010207	0.0	1.61	16.67
20010208	0.0	-1.49	7.81
20010209	0.46	-1.54	3.59
20010210	17.23	3.5	4.58
20010211	4.89	7.22	11.99
20010212	0.0	5.91	9.83
20010213	0.0	4.33	5.01
20010214	1.18	4.63	3.43
20010215	0.38	5.46	2.79
20010216	0.07	2.85	2.44
20010217	0.0	3.33	1.92
20010218	2.69	2.77	1.65
20010219	0.01	5.39	1.59
20010220	0.12	5.15	1.49
20010221	0.19	6.1	1.4
20010222	0.02	4.46	1.26
20010223	0.0	1.85	1.07
20010224	0.08	-0.86	0.89
20010225	1.79	0.99	0.78
20010226	3.41	0.02	0.78
20010227	0.11	0.1	0.73
20010228	0.0	-1.97	0.63
20010301	0.0	-4.62	0.57
20010302	1.48	-3.94	0.56
20010303	4.17	-1.81	0.53
20010304	2.84	0.42	0.53
20010305	0.0	4.34	0.66
20010306	8.53	2.49	1.03
20010307	4.04	7.13	1.94
20010308	5.38	7.63	3.08
20010309	4.95	7.43	3.14
20010310	3.31	8.09	3.01
20010311	12.1	5.67	3.87
20010312	0.3	3.18	5.17
20010313	0.04	3.44	2.8
20010314	0.2	3.94	1.83
