date	precipitation	temperature	discharge_spec
19981126	7.43	4.35	0.68
19981127	23.24	5.43	0.68
19981128	3.35	4.7	0.68
19981129	0.68	2.2	0.68
19981130	0.29	5.67	0.68
19981201	0.1	6.71	0.68
19981202	1.31	5.04	0.68
19981203	0.07	3.11	0.68
19981204	1.79	-1.03	0.68
19981205	0.0	-2.78	0.68
19981206	0.15	-4.69	0.68
19981207	12.11	2.62	0.68
19981208	4.19	6.1	0.68
19981209	5.85	5.65	0.68
19981210	14.51	6.97	0.68
19981211	16.51	4.14	0.68
19981212	8.9	4.73	0.68
19981213	33.71	4.35	0.68
19981214	15.53	8.32	0.68
19981215	24.27	3.67	0.68
19981216	4.48	6.41	0.68
19981217	40.23	7.87	0.68
19981218	3.92	2.42	0.68
19981219	0.1	0.51	0.68
19981220	0.0	-2.81	0.68
19981221	7.02	-1.35	0.68
19981222	14.8	2.81	0.68
19981223	14.54	0.56	0.68
19981224	29.29	4.0	0.68
19981225	17.2	2.68	0.68
19981226	52.75	1.14	0.68
19981227	1.47	0.23	0.68
19981228	0.88	-1.5	0.68
19981229	33.19	1.37	0.68
19981230	4.5	4.26	0.68
19981231	4.13	3.31	0.68
19990101	27.47	4.28	0.68
19990102	35.55	3.89	0.68
19990103	19.0	2.42	0.68
19990104	19.58	3.62	0.68
19990105	4.78	2.12	0.68
19990106	1.86	2.15	0.68
19990107	0.33	0.5	0.68
19990108	0.0	-1.32	0.68
19990109	0.0	-2.31	0.68
19990110	0.0	-3.68	0.68
19990111	6.86	-2.77	0.68
19990112	3.35	-0.13	0.68
19990113	29.51	1.14	0.68
19990114	43.34	0.49	0.68
19990115	25.09	2.25	0.68
19990116	11.33	-0.69	0.68
19990117	15.74	0.74	0.68
19990118	44.37	2.1	0.68
19990119	7.39	4.25	0.68
19990120	14.24	2.15	0.68
19990121	6.54	1.46	0.68
19990122	29.19	2.62	0.68
19990123	25.93	3.67	0.68
19990124	13.79	2.42	0.68
19990125	17.39	-0.18	0.68
19990126	1.25	0.56	0.68
19990127	8.24	0.71	0.68
19990128	1.87	2.59	0.68
19990129	0.51	3.03	0.68
19990130	0.24	4.57	0.68
19990131	0.13	4.73	0.68
19990201	0.45	4.46	0.68
19990202	6.52	5.18	0.68
19990203	15.15	7.26	0.68
19990204	9.75	4.91	0.68
19990205	0.71	1.74	0.68
19990206	0.64	0.57	0.68
19990207	0.0	-2.28	0.68
19990208	0.0	-3.45	0.68
19990209	0.0	-2.59	0.68
19990210	0.23	-1.26	0.68
19990211	1.27	1.45	0.68
19990212	0.91	2.11	0.68
19990213	11.06	0.33	0.68
19990214	1.67	4.09	0.68
19990215	12.23	4.62	0.68
19990216	6.74	0.28	0.68
19990217	8.84	-0.72	0.68
19990218	26.23	4.6	0.68
19990219	10.96	3.71	0.68
19990220	35.49	1.55	0.68
19990221	7.12	0.28	0.68
19990222	1.13	-0.05	0.68
19990223	0.0	-0.61	0.68
19990224	0.63	-0.68	0.68
19990225	10.71	5.18	0.68
19990226	7.46	2.44	0.68
19990227	43.11	0.45	0.68
19990228	16.29	1.4	0.68
19990301	7.36	1.63	0.68
19990302	19.34	2.53	0.68
19990303	0.3	1.36	0.68
19990304	0.0	0.65	0.68
19990305	0.0	0.21	0.68
19990306	0.07	0.52	0.68
19990307	0.0	0.81	0.68
19990308	0.1	-0.8	0.68
19990309	0.18	0.31	0.68
19990310	0.41	0.7	0.68
19990311	6.38	2.1	0.68
19990312	6.66	3.94	0.68
19990313	5.38	2.95	0.68
19990314	7.75	3.88	0.68
19990315	26.18	6.03	0.68
19990316	3.26	7.42	0.68
19990317	3.44	6.58	0.68
19990318	1.05	4.0	0.68
19990319	0.52	4.21	0.68
19990320	20.61	4.63	0.68
