date	precipitation	temperature	discharge_spec
19701001	8.08	10.34	0.46
19701002	0.28	7.96	1.0
19701003	1.15	9.31	0.59
19701004	5.05	10.64	0.68
19701005	2.32	9.69	1.3
19701006	2.03	8.12	1.06
19701007	0.56	8.32	0.82
19701008	0.0	8.16	0.58
19701009	0.14	6.72	0.56
19701010	0.0	10.13	0.52
19701011	1.33	8.94	0.37
19701012	0.05	11.23	0.33
19701013	0.0	11.44	0.37
19701014	0.0	9.82	0.34
19701015	0.0	10.37	0.32
19701016	0.0	10.04	0.31
19701017	0.05	8.81	0.32
19701018	5.27	10.28	0.49
19701019	0.35	6.87	0.43
19701020	0.0	3.94	0.33
19701021	0.0	4.63	0.33
19701022	0.0	7.34	0.35
19701023	2.01	8.34	0.36
19701024	3.29	9.23	0.37
19701025	2.17	8.69	0.37
19701026	0.77	5.59	0.37
19701027	1.53	4.3	0.39
19701028	7.42	4.86	0.56
19701029	14.9	7.03	1.38
19701030	1.05	8.8	4.48
19701031	23.07	9.63	10.38
19701101	2.04	8.18	2.88
19701102	8.65	7.93	1.59
19701103	6.95	7.1	5.5
19701104	8.97	6.6	3.11
19701105	0.06	5.9	3.04
19701106	0.91	4.05	1.55
19701107	1.11	4.23	1.22
19701108	0.88	6.13	1.2
19701109	0.01	6.16	0.88
19701110	4.37	6.41	0.66
19701111	5.74	5.42	1.16
19701112	5.22	2.89	2.51
19701113	4.1	2.53	3.06
19701114	0.09	0.57	2.06
19701115	3.47	1.05	1.2
19701116	2.7	1.39	2.13
19701117	2.08	3.47	2.98
19701118	5.61	3.18	2.29
19701119	0.24	2.71	2.76
19701120	4.08	2.16	2.0
19701121	0.4	2.82	1.99
19701122	0.22	3.12	1.34
19701123	17.87	5.74	6.06
19701124	0.27	7.64	4.29
19701125	0.68	7.47	2.06
19701126	9.19	6.01	1.57
19701127	1.97	6.6	3.35
19701128	1.6	7.54	2.49
19701129	5.49	5.21	1.93
19701130	1.05	4.63	2.96
19701201	2.42	4.14	1.74
19701202	15.6	4.93	5.87
19701203	0.65	2.64	4.65
19701204	1.08	2.89	2.45
19701205	2.69	5.57	1.79
19701206	1.21	4.43	1.67
19701207	0.06	2.84	1.33
19701208	0.09	1.78	1.08
19701209	0.01	3.84	0.92
19701210	0.0	2.85	0.9
19701211	0.07	2.5	0.88
19701212	0.51	3.54	0.87
19701213	0.0	3.3	0.81
19701214	0.0	3.42	0.72
19701215	0.02	3.93	0.76
19701216	3.28	6.15	0.8
19701217	0.86	6.19	0.93
19701218	0.95	7.62	0.95
19701219	0.61	8.8	0.95
19701220	0.08	3.73	0.95
19701221	0.0	0.54	0.9
19701222	0.1	1.45	0.83
19701223	7.21	2.27	0.85
19701224	6.96	2.48	2.32
19701225	2.53	1.55	1.77
19701226	2.27	1.98	1.87
19701227	0.3	0.56	1.49
19701228	8.55	1.02	1.32
19701229	5.89	1.43	2.39
19701230	0.2	0.03	1.95
19701231	0.0	-1.17	1.34
19710101	0.14	-1.25	1.14
19710102	0.0	-0.51	1.05
19710103	0.0	-1.18	0.95
19710104	0.0	-2.0	0.91
19710105	0.85	-1.23	0.88
19710106	2.58	3.51	2.13
19710107	0.78	5.12	2.52
