date	precipitation	temperature	discharge_spec
19860101	2.49	2.23	0.87
19860102	0.22	2.36	1.02
19860103	0.0	0.11	0.78
19860104	2.21	-2.04	0.74
19860105	4.39	-1.54	0.68
19860106	0.0	-1.38	0.53
19860107	0.02	-1.65	0.55
19860108	0.36	0.89	0.5
19860109	7.86	4.79	1.97
19860110	13.94	4.67	7.2
19860111	11.35	4.0	9.98
19860112	2.0	5.65	4.91
19860113	6.58	6.73	4.57
19860114	3.06	4.2	4.22
19860115	0.01	3.65	2.41
19860116	0.0	0.54	1.72
19860117	1.87	2.39	1.4
19860118	7.63	2.7	1.67
19860119	2.72	3.77	3.74
19860120	7.85	4.71	3.92
19860121	5.27	4.16	3.76
19860122	4.53	3.6	4.24
19860123	0.2	2.07	3.0
19860124	0.01	0.75	1.71
19860125	0.0	-1.01	1.2
19860126	1.39	-1.48	1.07
19860127	3.4	0.86	1.22
19860128	0.46	0.68	1.05
19860129	6.57	0.36	0.93
19860130	6.31	0.68	3.11
19860131	1.65	2.34	3.27
19860201	0.25	2.03	2.21
19860202	2.69	2.09	1.59
19860203	1.41	1.94	1.63
19860204	0.13	2.16	1.44
19860205	9.11	0.25	1.24
19860206	2.39	-1.42	1.1
19860207	0.64	-1.64	1.01
19860208	0.01	-1.51	0.95
19860209	0.02	-0.43	0.87
19860210	0.0	-0.32	0.74
19860211	0.0	-2.46	0.63
19860212	0.0	-2.31	0.65
19860213	0.0	-0.8	0.63
19860214	0.13	0.07	0.59
19860215	0.11	0.51	0.54
19860216	0.41	1.14	0.52
19860217	0.02	1.54	0.51
19860218	0.0	0.66	0.52
19860219	0.0	-0.29	0.51
19860220	0.25	-1.7	0.5
19860221	3.65	-2.02	0.45
19860222	2.32	-3.6	0.51
19860223	0.63	-3.31	0.45
19860224	1.33	-2.1	0.45
19860225	0.96	-0.7	0.4
19860226	0.06	-2.87	0.35
19860227	0.49	-3.26	0.44
19860228	1.2	-1.69	0.41
19860301	0.0	-1.55	0.37
19860302	0.0	-2.59	0.34
19860303	1.36	-0.45	0.53
19860304	4.19	4.08	7.54
19860305	2.85	5.1	3.48
19860306	1.08	4.28	2.25
19860307	0.0	5.37	1.5
19860308	0.11	5.52	1.17
19860309	2.13	5.64	1.0
19860310	0.65	5.37	0.98
19860311	0.0	4.12	0.83
19860312	0.0	6.06	0.79
19860313	0.08	3.81	0.7
19860314	0.09	6.06	0.58
19860315	0.06	8.81	0.57
19860316	0.29	7.8	0.54
19860317	0.0	4.68	0.5
19860318	0.49	4.99	0.46
19860319	6.75	3.41	0.49
19860320	7.31	4.13	1.36
19860321	2.99	5.27	1.01
19860322	9.94	7.59	2.77
19860323	10.85	3.16	5.35
19860324	0.11	2.22	3.35
19860325	0.04	4.08	1.89
19860326	1.94	4.64	1.44
19860327	0.59	5.65	1.11
19860328	3.88	4.56	0.98
19860329	1.58	5.22	0.93
19860330	0.06	3.41	0.83
19860331	0.34	2.12	0.76
19860401	0.33	3.76	0.68
19860402	0.31	3.41	0.63
19860403	0.04	2.92	0.58
19860404	1.14	3.47	0.54
19860405	0.96	3.25	0.49
19860406	1.7	3.73	0.47
19860407	0.34	1.84	0.52
19860408	0.13	3.85	0.5
19860409	0.41	5.0	0.45
