date	precipitation	temperature	discharge_spec
20001116	0.12	5.07	1.47
20001117	1.71	3.44	1.18
20001118	2.15	5.86	1.43
20001119	0.03	4.83	1.22
20001120	0.11	3.21	1.01
20001121	0.89	2.62	0.92
20001122	5.28	5.06	1.31
20001123	0.29	4.32	1.18
20001124	1.67	4.14	1.06
20001125	4.39	6.15	1.61
20001126	0.61	5.58	1.44
20001127	0.89	5.28	1.18
20001128	9.28	8.76	3.07
20001129	0.6	10.6	2.16
20001130	0.64	7.41	1.44
20001201	3.4	9.71	1.43
20001202	0.52	8.88	1.32
20001203	0.8	7.48	1.1
20001204	3.74	9.65	1.37
20001205	6.16	10.2	1.78
20001206	0.23	8.46	2.15
20001207	25.35	7.41	3.92
20001208	3.19	8.27	13.06
20001209	1.22	7.78	3.77
20001210	1.9	6.67	2.28
20001211	2.44	6.81	1.83
20001212	8.53	8.7	4.11
20001213	0.56	6.0	2.83
20001214	0.0	5.15	1.75
20001215	0.0	0.71	1.32
20001216	0.0	-0.15	1.11
20001217	0.91	-0.55	1.0
20001218	0.06	2.02	0.9
20001219	1.75	4.32	0.93
20001220	0.04	8.02	1.04
20001221	0.0	5.5	0.89
20001222	0.0	4.57	0.84
20001223	2.5	4.12	0.84
20001224	6.98	2.14	1.14
20001225	1.5	-0.12	1.35
20001226	0.0	-2.66	1.14
20001227	0.0	-4.6	0.92
20001228	5.49	-1.71	0.81
20001229	0.01	-2.08	0.73
20001230	0.02	-2.03	0.68
20001231	4.2	0.33	1.04
20010101	1.13	4.29	3.5
20010102	0.44	5.11	1.89
20010103	2.43	3.54	1.28
20010104	0.05	4.2	1.19
20010105	2.21	2.09	1.08
20010106	1.65	3.15	1.03
20010107	0.26	3.8	0.98
20010108	0.07	4.03	0.87
20010109	0.09	1.09	0.78
20010110	1.57	0.27	0.74
20010111	0.0	1.13	0.69
20010112	0.0	2.14	0.66
20010113	0.05	1.0	0.61
20010114	0.0	-0.73	0.56
20010115	0.11	-0.3	0.56
20010116	0.0	-2.56	0.52
20010117	0.06	-1.75	0.5
20010118	1.25	-0.43	0.5
20010119	0.93	-0.18	0.48
20010120	0.62	-0.24	0.51
20010121	0.26	1.15	0.5
20010122	1.33	3.8	0.63
20010123	7.56	5.97	0.93
20010124	0.66	5.31	2.79
20010125	1.52	3.88	1.24
20010126	0.1	4.2	0.99
20010127	0.0	3.08	0.79
20010128	0.0	0.58	0.67
20010129	1.21	1.11	0.6
20010130	0.75	1.63	0.63
20010131	0.03	2.44	0.64
20010201	4.87	1.63	0.97
