date	precipitation	temperature	discharge_spec
19701001	11.2	9.78	1.75
19701002	1.26	7.41	2.53
19701003	2.72	8.67	1.65
19701004	7.23	10.04	1.58
19701005	0.62	9.12	2.64
19701006	3.73	7.42	2.0
19701007	1.53	7.54	1.91
19701008	0.01	7.37	1.59
19701009	0.37	5.92	1.38
19701010	0.02	9.13	1.25
19701011	1.8	8.21	1.16
19701012	0.08	10.54	1.13
19701013	0.01	10.69	1.03
19701014	0.0	9.14	0.97
19701015	0.0	9.61	0.92
19701016	0.0	9.17	0.85
19701017	0.41	7.89	0.81
19701018	4.93	9.41	0.79
19701019	0.34	6.28	0.81
19701020	0.0	3.29	0.73
19701021	0.0	3.9	0.67
19701022	0.0	6.59	0.64
19701023	2.92	7.57	0.63
19701024	8.97	8.57	0.75
19701025	3.12	8.27	1.31
19701026	2.95	5.12	1.24
19701027	3.77	3.94	1.2
19701028	9.01	4.5	1.41
19701029	16.09	6.71	2.73
19701030	3.08	8.46	5.85
19701031	26.77	9.17	10.17
19701101	1.53	7.61	6.12
19701102	9.93	7.48	4.02
19701103	7.92	6.55	6.83
19701104	12.26	6.05	5.2
19701105	0.18	5.34	5.5
19701106	0.2	3.47	3.8
19701107	1.78	3.58	3.08
19701108	2.46	5.31	2.97
19701109	0.27	5.53	2.47
19701110	6.08	5.88	2.12
19701111	2.76	4.92	2.84
19701112	8.03	2.39	2.55
19701113	2.42	1.91	2.78
19701114	0.08	-0.08	2.34
19701115	4.33	0.37	1.97
19701116	0.66	0.76	2.1
19701117	4.09	2.78	2.99
19701118	5.16	2.5	2.85
19701119	0.1	2.12	2.61
19701120	7.01	1.44	2.65
19701121	0.93	2.2	2.85
19701122	4.26	2.39	2.42
19701123	28.89	5.23	8.87
19701124	2.44	7.09	9.66
19701125	0.16	6.97	5.21
19701126	9.23	5.3	4.0
19701127	4.49	5.97	4.65
19701128	4.78	6.93	5.32
19701129	5.48	4.46	4.38
19701130	0.59	3.98	4.3
19701201	1.18	3.53	3.39
19701202	14.46	4.44	4.76
19701203	1.03	2.23	5.19
19701204	3.45	2.37	3.91
19701205	8.58	4.88	3.68
19701206	2.36	3.77	4.66
19701207	0.0	2.18	3.47
19701208	0.03	0.92	2.88
19701209	0.02	2.72	2.55
19701210	0.0	1.87	2.24
19701211	0.3	1.85	2.04
19701212	1.92	2.95	1.96
19701213	0.05	2.59	1.8
19701214	0.04	2.52	1.59
19701215	0.27	3.08	1.49
19701216	5.99	5.31	1.53
19701217	1.36	5.42	2.16
19701218	2.29	6.83	1.73
19701219	3.11	8.04	2.2
19701220	0.07	3.18	1.96
19701221	0.01	-0.08	1.57
19701222	0.19	0.61	1.4
19701223	6.74	1.55	1.39
19701224	3.58	1.45	1.89
19701225	7.54	0.63	1.77
19701226	1.24	1.01	2.34
19701227	0.76	-0.38	1.85
19701228	3.13	0.2	1.67
19701229	3.81	0.72	1.64
19701230	0.97	-0.64	1.55
19701231	0.0	-1.97	1.32
19710101	0.34	-2.1	1.25
19710102	0.0	-1.3	1.23
19710103	0.0	-2.13	1.07
19710104	0.04	-3.02	1.07
19710105	0.26	-2.27	0.99
19710106	10.52	2.62	1.95
19710107	4.39	4.3	6.54
19710108	9.79	7.69	4.98
19710109	2.27	8.79	5.29
19710110	0.01	9.52	3.36
19710111	0.0	4.71	2.41
19710112	0.0	1.39	1.98
19710113	0.14	2.17	1.72
19710114	0.25	3.0	1.56
19710115	0.06	1.96	1.45
19710116	0.87	1.26	1.35
19710117	2.5	2.53	1.31
19710118	5.67	3.56	1.61
19710119	0.36	4.26	2.17
19710120	13.55	2.9	1.56
19710121	1.86	2.52	3.35
19710122	5.61	2.58	2.24
19710123	4.98	3.23	3.51
19710124	12.38	3.33	3.9
19710125	2.39	3.97	5.58
19710126	0.71	2.4	3.54
19710127	1.02	2.71	2.7
19710128	14.04	2.56	3.58
19710129	3.33	1.61	3.68
19710130	1.43	-0.7	2.98
19710131	0.02	-1.02	2.48
19710201	0.15	-1.08	2.04
19710202	1.23	2.1	2.02
19710203	0.01	4.4	2.32
19710204	0.0	5.86	1.87
19710205	0.01	2.6	1.65
19710206	0.02	3.21	1.52
19710207	0.0	4.97	1.42
19710208	1.16	4.62	1.33
19710209	0.58	4.8	1.3
19710210	2.14	4.49	1.26
19710211	16.0	3.53	1.64
19710212	21.49	4.59	7.31
19710213	11.8	2.38	6.46
19710214	18.46	1.53	6.6
19710215	0.07	0.72	7.24
19710216	2.55	-1.94	4.11
19710217	6.72	-0.99	3.57
19710218	0.07	1.45	3.61
19710219	2.72	1.75	3.19
19710220	1.47	3.66	6.18
19710221	0.14	4.32	4.03
19710222	0.0	3.76	2.88
19710223	0.08	4.06	2.42
19710224	0.39	5.7	2.23
19710225	0.18	3.36	2.05
19710226	0.03	2.77	1.85
19710227	6.89	1.98	1.72
19710228	0.47	0.42	1.73
19710301	8.23	0.92	1.79
19710302	0.03	1.83	2.01
19710303	0.0	0.86	1.75
19710304	1.11	-1.19	1.52
19710305	1.22	1.1	1.64
19710306	0.27	2.79	1.79
19710307	0.02	3.81	1.56
19710308	0.01	4.44	1.44
19710309	1.65	3.99	1.34
19710310	2.06	1.38	1.29
19710311	0.4	3.27	1.28
19710312	0.59	5.3	1.24
19710313	3.01	5.16	1.17
19710314	1.06	2.71	1.23
19710315	0.22	1.61	1.17
19710316	0.6	1.28	1.05
19710317	2.1	1.19	0.99
19710318	20.32	1.03	1.65
19710319	28.25	1.83	4.43
19710320	0.94	2.42	4.62
19710321	0.16	2.93	3.35
