date	precipitation	temperature	discharge_spec
19701001	1.52	10.67	0.14
19701002	0.0	8.54	0.14
19701003	1.89	9.76	0.13
19701004	1.61	11.27	0.14
19701005	0.12	10.65	0.14
19701006	0.02	8.74	0.14
19701007	1.15	8.71	0.14
19701008	0.0	8.52	0.13
19701009	0.0	7.29	0.13
19701010	0.0	10.48	0.13
19701011	1.72	8.9	0.13
19701012	0.62	11.41	0.14
19701013	0.02	11.37	0.14
19701014	0.0	9.41	0.14
19701015	0.0	10.51	0.13
19701016	0.0	10.6	0.13
19701017	0.0	9.39	0.13
19701018	1.96	10.75	0.13
19701019	0.74	7.27	0.13
19701020	0.0	4.37	0.13
19701021	0.0	5.45	0.12
19701022	0.0	7.97	0.12
19701023	0.98	8.21	0.13
19701024	1.6	9.45	0.13
19701025	0.91	9.46	0.15
19701026	0.03	6.02	0.14
19701027	2.78	4.74	0.14
19701028	9.33	4.91	0.15
19701029	4.62	7.47	0.21
19701030	0.29	9.67	0.21
19701031	21.36	10.03	1.2
19701101	3.12	8.71	0.65
19701102	3.28	8.29	0.45
19701103	4.57	7.63	0.8
19701104	2.16	6.83	0.65
19701105	0.04	6.28	0.47
19701106	1.25	4.65	0.37
19701107	2.99	4.68	0.35
19701108	0.07	6.57	0.38
19701109	0.0	6.55	0.32
19701110	0.37	6.63	0.28
19701111	0.0	5.75	0.27
19701112	0.07	3.52	0.25
19701113	0.03	3.01	0.24
19701114	0.18	1.17	0.23
19701115	1.46	1.48	0.22
19701116	0.6	1.67	0.23
19701117	3.83	3.52	0.24
19701118	8.15	3.83	0.34
19701119	0.12	3.13	1.31
19701120	18.3	2.69	2.43
19701121	0.49	3.0	4.14
19701122	2.45	3.21	1.62
19701123	9.21	6.1	3.21
19701124	1.11	8.04	2.5
19701125	0.18	8.03	1.73
19701126	4.61	6.41	1.33
19701127	1.02	6.84	1.71
19701128	0.8	7.56	1.6
19701129	8.18	5.6	1.49
19701130	8.58	5.01	8.77
19701201	0.1	4.56	3.63
19701202	12.14	5.24	5.04
19701203	0.58	3.22	4.09
19701204	0.13	3.55	2.56
19701205	0.56	5.83	1.96
19701206	0.25	4.78	1.63
19701207	0.0	3.2	1.24
19701208	0.0	2.25	1.03
19701209	0.07	3.74	0.92
19701210	0.0	3.09	0.84
19701211	0.0	3.24	0.79
19701212	0.0	3.84	0.73
19701213	0.0	3.81	0.65
19701214	0.0	3.53	0.6
19701215	0.0	3.67	0.56
19701216	1.17	6.12	0.55
19701217	1.27	6.19	0.54
19701218	0.07	7.76	0.52
19701219	1.69	8.98	0.5
19701220	0.24	3.96	0.48
19701221	0.0	1.55	0.44
19701222	3.28	2.29	0.42
19701223	7.55	3.27	0.73
19701224	2.17	2.94	1.25
19701225	7.14	2.48	0.99
19701226	0.95	2.65	1.92
19701227	1.67	1.5	1.19
19701228	1.85	1.95	1.56
19701229	2.06	2.2	1.75
19701230	3.47	0.65	1.43
19701231	0.0	-0.28	1.17
19710101	0.0	-0.31	1.0
19710102	0.0	0.61	0.9
19710103	0.0	-0.29	0.8
19710104	0.01	-1.33	0.73
19710105	0.23	-1.32	0.66
19710106	2.79	3.58	0.66
19710107	0.32	5.23	1.41
19710108	0.28	8.55	0.88
19710109	0.02	9.69	0.8
19710110	0.0	10.62	0.67
19710111	0.0	5.49	0.63
19710112	0.07	2.09	0.58
19710113	0.04	2.96	0.55
19710114	2.84	4.12	0.59
19710115	0.06	3.34	0.64
19710116	0.15	2.21	0.59
19710117	0.03	3.37	0.57
19710118	1.42	4.28	0.57
19710119	0.01	5.5	0.58
19710120	6.47	4.03	0.52
19710121	4.35	3.61	2.07
19710122	3.95	3.69	1.23
19710123	2.07	4.16	2.16
19710124	3.73	4.27	1.48
19710125	0.14	4.92	1.76
19710126	1.03	3.4	1.34
19710127	3.52	3.66	1.3
19710128	10.32	3.97	2.88
19710129	2.53	3.13	3.17
19710130	1.47	1.22	2.19
19710131	0.39	0.79	1.8
19710201	0.01	0.5	1.42
19710202	0.45	3.82	1.26
19710203	0.0	5.86	1.11
19710204	0.0	6.6	0.96
19710205	0.0	4.05	0.87
19710206	0.0	4.33	0.82
19710207	0.0	6.14	0.76
19710208	0.0	5.79	0.71
19710209	0.01	5.79	0.68
19710210	0.0	5.53	0.63
19710211	3.28	4.82	0.62
19710212	2.62	5.95	0.68
19710213	0.21	3.73	0.65
19710214	0.68	2.63	0.59
19710215	0.0	2.06	0.57
19710216	1.8	-0.67	0.5
19710217	4.55	-0.07	0.55
19710218	0.02	1.96	0.64
19710219	2.07	2.88	0.61
19710220	0.12	4.72	0.69
19710221	0.0	5.3	0.58
19710222	0.0	5.1	0.5
19710223	0.0	5.63	0.47
19710224	0.0	6.8	0.45
19710225	0.0	4.43	0.45
19710226	0.0	3.81	0.43
19710227	3.76	2.46	0.43
19710228	0.0	1.27	0.44
19710301	7.21	1.62	0.48
19710302	0.27	2.54	1.0
19710303	0.0	1.91	0.79
19710304	0.54	0.19	0.62
19710305	1.31	1.97	0.79
19710306	0.98	3.67	0.8
19710307	0.17	4.79	0.71
19710308	0.0	6.02	0.66
19710309	0.75	5.17	0.63
19710310	3.25	2.53	0.59
19710311	0.97	3.95	0.71
19710312	0.0	5.92	0.77
19710313	2.46	6.49	0.66
19710314	3.16	3.86	0.8
19710315	1.36	3.03	1.05
19710316	0.04	2.6	0.81
19710317	0.73	2.32	0.69
19710318	33.39	2.23	7.61
19710319	22.21	3.09	16.89
19710320	1.86	3.52	8.37
19710321	0.05	3.91	4.33
19710322	0.12	3.11	2.94
19710323	1.25	4.85	2.33
19710324	0.03	8.46	1.93
19710325	0.01	5.55	1.55
19710326	0.05	4.75	1.23
19710327	3.01	4.56	1.06
19710328	0.0	6.95	1.02
19710329	1.03	8.25	0.9
19710330	0.16	6.7	0.82
19710331	0.31	4.05	0.75
19710401	0.0	3.53	0.73
19710402	0.12	4.36	0.67
19710403	1.1	4.98	0.64
19710404	5.28	4.16	0.67
19710405	2.01	4.83	0.99
19710406	0.18	5.46	0.88
19710407	0.0	5.19	0.71
19710408	0.0	6.25	0.64
19710409	0.0	6.12	0.57
19710410	0.0	6.41	0.52
19710411	0.0	7.94	0.49
19710412	0.0	7.39	0.47
19710413	0.0	6.71	0.45
19710414	0.0	6.29	0.45
19710415	0.13	7.36	0.44
19710416	0.21	7.03	0.44
19710417	0.03	4.72	0.4
