date	precipitation	temperature	discharge_spec
19701001	3.11	10.36	0.22
19701002	0.32	8.16	0.27
19701003	1.62	9.23	0.22
19701004	5.66	10.76	0.2
19701005	1.98	10.19	0.52
19701006	7.51	7.98	0.75
19701007	1.26	7.84	0.86
19701008	0.29	7.7	0.55
19701009	0.32	6.45	0.39
19701010	0.01	9.17	0.31
19701011	1.68	8.5	0.28
19701012	0.18	11.08	0.29
19701013	0.0	10.88	0.28
19701014	0.0	9.1	0.25
19701015	0.0	9.9	0.24
19701016	0.0	9.53	0.23
19701017	0.25	8.35	0.21
19701018	4.6	9.69	0.21
19701019	0.03	6.89	0.28
19701020	0.0	3.79	0.24
19701021	0.24	4.62	0.2
19701022	0.01	7.1	0.19
19701023	0.82	7.55	0.19
19701024	11.83	8.96	0.2
19701025	5.74	9.25	2.63
19701026	1.44	5.85	1.14
19701027	4.65	4.78	0.71
19701028	10.81	5.13	1.26
19701029	7.4	7.63	4.43
19701030	3.82	9.74	3.65
19701031	20.61	9.9	14.79
19701101	1.79	8.29	3.1
19701102	9.02	8.23	1.71
19701103	4.21	7.28	5.23
19701104	6.68	6.57	2.85
19701105	0.23	5.93	2.7
19701106	0.02	4.15	1.33
19701107	1.73	4.17	0.95
19701108	1.85	5.67	1.12
19701109	0.0	6.01	0.97
19701110	2.73	6.34	0.69
19701111	0.38	5.56	0.91
19701112	0.35	3.23	0.75
19701113	1.2	2.49	0.61
19701114	0.07	0.57	0.59
19701115	1.14	0.81	0.51
19701116	0.57	1.13	0.5
19701117	8.06	3.02	1.1
19701118	3.98	3.24	2.11
19701119	0.05	2.75	1.89
19701120	3.57	1.98	1.37
19701121	0.62	2.62	1.32
19701122	4.91	2.52	0.93
19701123	19.25	5.78	12.92
19701124	0.21	7.6	2.95
19701125	0.09	7.71	1.45
19701126	7.76	5.66	1.77
19701127	2.61	6.29	2.9
19701128	4.19	7.21	3.93
19701129	7.92	4.88	4.33
19701130	3.54	4.47	3.65
19701201	0.11	4.06	2.11
19701202	7.34	5.01	2.36
19701203	1.53	3.13	3.25
19701204	3.31	3.24	2.9
19701205	3.16	5.22	2.5
19701206	1.27	4.19	2.55
19701207	0.02	2.63	1.55
19701208	0.12	1.37	1.01
19701209	0.01	2.44	0.82
19701210	0.0	2.03	0.74
19701211	0.0	2.65	0.69
19701212	0.13	3.47	0.63
19701213	0.0	3.1	0.6
19701214	0.0	2.54	0.55
19701215	0.0	2.87	0.51
19701216	3.81	5.22	0.49
19701217	0.75	5.54	0.98
19701218	2.58	7.01	0.78
19701219	3.94	8.15	1.77
19701220	0.19	3.68	2.0
19701221	0.0	0.88	0.99
19701222	1.79	1.21	0.73
19701223	9.05	2.41	1.64
19701224	1.8	1.52	3.05
19701225	8.2	1.19	1.83
19701226	3.09	1.31	4.0
19701227	5.33	0.18	1.88
19701228	9.81	0.9	2.58
19701229	4.22	1.44	4.23
19701230	3.41	0.01	1.18
19701231	0.47	-1.28	1.17
19710101	0.0	-1.41	0.97
19710102	0.0	-0.54	0.89
19710103	0.0	-1.66	0.73
19710104	0.0	-2.63	0.68
19710105	0.16	-2.66	0.53
19710106	8.68	2.59	2.44
19710107	1.89	4.31	2.2
19710108	1.32	7.96	21.88
