date	precipitation	temperature	discharge_spec
20001116	0.09	5.98	1.31
20001117	0.09	3.8	1.25
20001118	2.05	6.59	1.25
20001119	0.0	6.23	1.27
20001120	0.01	3.45	1.23
20001121	7.36	2.98	1.36
20001122	0.22	6.31	1.48
20001123	4.46	4.83	1.39
20001124	1.25	4.83	1.41
20001125	4.59	7.31	1.43
20001126	0.02	6.71	1.36
20001127	2.88	5.85	1.31
20001128	0.16	11.82	1.35
20001129	0.0	11.36	1.28
20001130	1.19	7.49	1.24
20001201	0.94	10.52	1.25
20001202	0.01	8.34	1.2
20001203	1.78	6.6	1.19
20001204	3.09	9.94	1.27
20001205	4.49	11.05	1.28
20001206	0.29	9.33	1.29
20001207	12.97	7.34	1.56
20001208	0.35	9.47	1.77
20001209	2.61	8.03	1.45
20001210	1.54	7.84	1.37
20001211	0.89	10.9	1.33
20001212	4.95	11.87	1.38
20001213	0.84	7.55	1.36
20001214	0.39	5.11	1.28
20001215	0.0	1.88	1.2
20001216	0.0	-0.19	1.16
20001217	0.01	-0.45	1.14
20001218	0.01	0.28	1.13
20001219	5.93	4.23	1.2
20001220	0.31	7.12	1.25
20001221	0.01	5.71	1.19
20001222	0.0	4.82	1.16
20001223	6.72	3.79	1.15
20001224	5.85	4.01	1.41
20001225	0.66	2.46	1.42
20001226	0.25	0.62	1.32
20001227	0.03	-1.48	1.22
20001228	1.32	-2.56	1.16
20001229	0.92	-1.6	1.12
20001230	0.0	-1.51	1.07
20001231	9.1	-1.65	1.22
20010101	0.92	4.97	1.55
20010102	2.92	6.86	1.51
20010103	1.72	4.31	1.38
20010104	1.66	6.26	1.37
20010105	0.22	2.76	1.28
20010106	1.39	3.66	1.21
20010107	0.34	4.36	1.19
20010108	0.0	4.12	1.15
20010109	2.79	1.57	1.12
20010110	0.18	3.06	1.14
20010111	0.0	3.83	1.11
20010112	0.0	4.84	1.12
20010113	0.0	2.72	1.07
20010114	0.01	0.45	1.06
20010115	0.0	1.69	1.06
20010116	0.0	-0.39	1.04
20010117	0.0	-0.58	1.02
20010118	0.43	-0.14	1.02
20010119	0.82	-0.03	1.01
20010120	0.0	0.35	1.0
20010121	1.95	-0.1	1.03
20010122	6.55	3.95	1.18
20010123	8.58	6.04	1.43
20010124	0.23	6.5	1.34
20010125	0.0	4.26	1.19
20010126	0.0	3.75	1.13
20010127	2.5	2.76	1.12
20010128	0.0	1.01	1.03
20010129	0.0	1.01	0.99
20010130	3.33	1.81	1.02
20010131	0.14	2.61	1.02
20010201	8.11	-0.64	1.1
20010202	7.8	3.7	1.35
20010203	9.86	4.77	1.68
20010204	14.14	2.27	2.97
20010205	11.12	3.69	2.83
20010206	0.06	7.74	2.3
20010207	1.19	7.19	1.76
20010208	0.0	2.49	1.56
20010209	0.1	0.71	1.46
20010210	8.05	3.92	1.49
20010211	25.52	10.38	3.42
20010212	0.09	6.47	2.68
20010213	0.01	3.28	2.03
20010214	0.0	2.73	1.84
20010215	0.0	3.52	1.73
20010216	0.0	4.44	1.67
20010217	0.0	2.22	1.65
20010218	0.0	0.87	1.64
20010219	0.0	2.9	1.65
20010220	0.0	4.04	1.64
20010221	0.0	7.46	1.63
20010222	0.18	5.85	1.64
20010223	4.94	2.48	1.67
20010224	0.92	1.1	1.66
20010225	0.85	0.26	1.64
20010226	4.79	2.21	1.7
20010227	3.35	2.32	1.69
20010228	1.24	1.61	1.76
20010301	0.31	-0.19	1.66
20010302	0.27	-1.53	1.61
20010303	0.0	-1.96	1.56
20010304	0.0	-1.49	1.51
20010305	0.0	0.43	1.46
20010306	9.69	3.31	1.59
20010307	0.02	9.47	1.65
20010308	1.23	8.03	1.58
20010309	0.94	8.27	1.53
20010310	1.29	10.05	1.5
20010311	0.0	9.2	1.45
20010312	0.55	4.97	1.4
20010313	0.0	4.07	1.36
20010314	0.0	5.17	1.32
20010315	0.0	4.09	1.29
20010316	0.0	4.17	1.27
20010317	0.51	2.87	1.25
20010318	7.87	1.86	1.28
20010319	0.05	1.93	1.28
20010320	0.16	1.96	1.25
20010321	8.51	1.84	1.27
20010322	8.09	3.48	1.55
20010323	0.1	5.75	1.46
20010324	0.71	4.74	1.35
20010325	1.08	3.55	1.29
20010326	0.09	3.06	1.25
20010327	6.4	4.15	1.3
20010328	7.83	6.22	1.68
20010329	0.47	5.37	1.48
20010330	1.29	7.25	1.33
20010331	1.63	9.88	1.28
20010401	0.09	10.65	1.21
20010402	6.37	11.63	1.42
20010403	10.1	8.32	1.39
20010404	1.49	6.64	1.51
20010405	8.28	5.78	1.69
20010406	7.47	9.15	1.74
20010407	2.55	5.9	1.74
20010408	0.0	5.71	1.45
20010409	4.47	8.18	1.38
20010410	0.47	7.5	1.31
20010411	0.0	6.45	1.23
20010412	0.0	4.45	1.19
20010413	0.09	4.33	1.17
20010414	1.57	7.56	1.19
20010415	1.28	7.56	1.17
20010416	0.0	5.17	1.13
20010417	3.64	5.05	1.17
20010418	0.93	3.37	1.14
20010419	5.28	3.54	1.13
20010420	0.47	4.85	1.11
20010421	0.0	5.35	1.1
20010422	10.06	6.37	1.13
20010423	1.42	6.89	1.18
20010424	5.78	6.44	1.21
20010425	4.17	8.33	1.45
20010426	2.21	7.56	1.37
20010427	11.44	8.09	1.57
20010428	2.18	8.19	1.58
20010429	0.74	6.44	1.4
20010430	0.0	6.71	1.26
20010501	0.0	8.08	1.19
20010502	2.45	9.57	1.17
20010503	0.22	7.82	1.07
20010504	0.24	6.79	1.07
20010505	0.0	6.89	1.04
20010506	0.0	6.95	1.01
20010507	0.0	7.7	0.99
20010508	0.0	7.46	0.98
20010509	0.0	8.94	0.97
20010510	0.0	11.94	0.95
20010511	0.0	13.09	0.93
20010512	0.0	13.19	0.92
20010513	1.39	12.91	0.9
20010514	5.65	10.07	0.91
20010515	1.92	8.74	0.91
20010516	3.42	11.05	0.92
20010517	9.8	9.96	0.97
20010518	0.39	10.92	0.92
20010519	0.0	10.7	0.9
20010520	0.0	12.46	0.87
20010521	0.0	13.07	0.84
20010522	0.0	13.71	0.81
20010523	0.0	14.19	0.79
20010524	0.0	12.29	0.74
20010525	0.0	12.43	0.73
20010526	1.91	16.51	0.75
20010527	2.48	16.57	0.77
20010528	0.56	17.12	0.77
20010529	0.0	15.23	0.74
20010530	0.86	14.15	0.73
20010531	0.89	12.13	0.71
20010601	4.57	12.73	0.72
20010602	0.0	10.12	0.69
20010603	0.0	9.92	0.66
20010604	0.0	12.59	0.66
20010605	0.0	12.48	0.65
20010606	2.84	12.53	0.67
20010607	1.95	9.46	0.67
20010608	1.47	8.88	0.62
20010609	4.1	9.67	0.65
20010610	0.76	9.59	0.62
20010611	0.09	10.33	0.63
20010612	0.0	11.84	0.62
20010613	0.13	13.39	0.6
20010614	8.27	13.5	0.63
20010615	10.64	12.98	0.69
20010616	0.8	11.8	0.65
20010617	0.0	10.44	0.61
20010618	0.0	11.51	0.58
20010619	0.16	15.31	0.58
20010620	0.0	15.07	0.55
20010621	0.0	11.95	0.57
20010622	0.0	12.33	0.56
20010623	0.0	13.28	0.53
20010624	0.0	16.57	0.52
20010625	0.0	18.28	0.51
20010626	0.0	18.32	0.5
20010627	0.0	17.85	0.5
20010628	0.12	17.07	0.5
20010629	0.85	18.29	0.51
20010630	0.0	16.73	0.49
20010701	0.44	17.8	0.49
20010702	0.0	20.41	0.47
20010703	0.0	20.74	0.45
20010704	0.0	18.8	0.46
20010705	0.0	17.64	0.46
20010706	0.37	16.76	0.47
20010707	1.12	16.46	0.41
20010708	0.0	16.21	0.43
20010709	0.0	15.28	0.42
20010710	5.03	14.97	0.45
20010711	1.97	13.35	0.44
20010712	1.43	13.61	0.45
20010713	0.0	12.78	0.4
20010714	1.02	11.54	0.42
20010715	1.83	11.48	0.41
20010716	0.0	12.73	0.4
20010717	5.07	13.99	0.42
20010718	13.81	13.5	0.51
20010719	5.55	12.74	0.47
20010720	1.18	13.78	0.42
20010721	0.21	15.93	0.42
20010722	0.0	16.94	0.4
20010723	0.0	17.09	0.38
20010724	0.0	16.21	0.39
20010725	0.0	17.74	0.39
20010726	0.0	17.83	0.37
20010727	0.0	18.73	0.34
20010728	0.0	19.94	0.34
20010729	0.0	21.6	0.34
20010730	0.42	18.66	0.35
20010731	0.0	16.29	0.35
20010801	0.0	17.37	0.32
20010802	0.76	16.46	0.34
20010803	14.24	16.72	0.47
20010804	9.35	14.13	0.42
20010805	2.2	14.68	0.37
20010806	5.77	13.72	0.39
20010807	20.54	14.46	0.58
20010808	6.65	13.37	0.53
20010809	0.56	13.38	0.42
20010810	0.75	13.22	0.43
20010811	3.21	15.14	0.39
20010812	7.62	17.22	0.46
20010813	0.07	19.88	0.41
20010814	0.0	20.43	0.36
20010815	1.47	21.01	0.35
20010816	6.5	16.26	0.39
20010817	0.0	15.88	0.35
20010818	3.23	16.98	0.34
20010819	9.11	17.09	0.42
20010820	0.0	16.05	0.35
20010821	0.12	16.69	0.33
20010822	0.0	17.66	0.33
20010823	0.0	18.62	0.32
20010824	0.54	18.43	0.28
20010825	0.0	17.83	0.31
20010826	0.0	16.18	0.31
20010827	0.0	13.8	0.3
20010828	0.0	14.47	0.3
20010829	0.0	15.6	0.3
20010830	2.93	14.45	0.31
20010831	0.3	13.86	0.28
20010901	0.0	14.94	0.28
20010902	0.2	15.94	0.28
20010903	0.88	14.15	0.28
20010904	0.07	11.69	0.27
20010905	1.29	12.96	0.28
20010906	0.4	13.73	0.28
20010907	0.0	14.6	0.28
20010908	0.02	12.73	0.27
20010909	0.06	11.09	0.26
20010910	0.0	11.62	0.26
20010911	0.0	14.23	0.26
20010912	4.37	13.09	0.26
20010913	5.59	10.9	0.3
20010914	2.85	12.31	0.28
20010915	0.57	11.44	0.28
20010916	2.94	10.59	0.27
20010917	1.56	10.24	0.26
20010918	14.08	11.85	0.38
20010919	4.43	12.02	0.38
20010920	0.13	12.26	0.31
20010921	0.05	11.14	0.28
20010922	0.0	10.85	0.27
20010923	6.14	11.39	0.3
20010924	13.38	12.22	0.4
20010925	2.55	11.77	0.35
20010926	1.9	11.53	0.32
20010927	18.04	13.11	0.61
20010928	4.76	15.47	0.44
20010929	7.49	14.56	0.58
20010930	4.43	13.85	0.49
20011001	0.08	14.51	0.44
