date	precipitation	temperature	discharge_spec
19701001	11.05	10.55	4.27
19701002	2.23	8.55	3.9
19701003	3.1	9.14	1.62
19701004	10.28	10.73	2.65
19701005	9.46	10.48	6.07
19701006	8.42	7.63	4.85
19701007	5.1	7.11	5.62
19701008	0.03	7.11	3.04
19701009	0.04	6.12	1.6
19701010	0.0	7.75	1.15
19701011	0.72	8.82	0.91
19701012	0.02	11.31	0.8
19701013	0.01	10.89	0.7
19701014	0.33	9.37	0.61
19701015	0.0	9.74	0.54
19701016	0.01	8.7	0.49
19701017	0.06	7.7	0.44
19701018	4.24	8.71	0.39
19701019	0.21	7.11	0.49
19701020	0.01	3.63	0.53
19701021	0.08	4.16	0.41
19701022	0.02	6.43	0.37
19701023	4.65	7.19	0.34
19701024	16.25	8.88	2.61
19701025	13.22	9.58	13.77
19701026	0.5	6.4	3.48
19701027	10.27	5.62	3.04
19701028	6.24	6.35	4.49
19701029	14.55	8.7	6.76
19701030	14.24	10.71	14.43
19701031	16.55	10.43	11.34
19701101	11.35	8.46	6.45
19701102	11.69	8.92	6.84
19701103	12.45	7.65	12.87
19701104	9.91	6.91	5.65
19701105	1.68	6.21	5.8
19701106	0.02	4.31	2.9
19701107	0.15	4.25	1.91
19701108	6.34	4.92	2.17
19701109	0.04	5.84	2.32
19701110	6.95	6.61	1.57
19701111	9.9	6.17	5.81
19701112	9.36	3.7	5.08
19701113	0.94	2.42	3.79
19701114	0.01	0.62	2.62
19701115	4.33	0.72	1.68
19701116	4.6	1.14	1.93
19701117	26.88	3.12	6.52
19701118	10.03	3.35	9.25
19701119	4.77	3.16	9.65
19701120	7.75	1.9	4.74
19701121	1.45	2.96	5.94
19701122	13.61	2.31	3.09
19701123	15.14	5.94	13.34
19701124	0.17	7.63	7.35
19701125	2.09	8.06	3.23
19701126	1.64	5.33	2.71
19701127	3.98	6.12	2.19
19701128	6.63	7.42	4.63
19701129	11.94	4.74	6.58
19701130	1.48	4.46	4.55
19701201	0.99	4.11	2.84
19701202	12.48	5.31	5.45
19701203	2.44	4.05	4.65
19701204	4.61	3.87	3.52
19701205	10.0	5.04	3.5
19701206	5.05	4.11	7.64
19701207	0.0	2.66	3.68
19701208	0.0	1.05	2.32
19701209	0.0	1.22	1.79
19701210	0.02	1.37	1.56
19701211	0.03	2.82	1.39
19701212	0.72	3.76	1.27
19701213	0.0	2.76	1.18
19701214	0.02	1.63	1.06
19701215	0.88	2.22	0.98
19701216	6.68	4.39	0.99
19701217	0.42	5.24	2.62
19701218	1.71	6.49	1.66
19701219	2.87	7.34	1.82
19701220	0.0	3.94	1.98
19701221	0.0	0.71	1.39
19701222	1.78	0.31	1.09
19701223	2.1	1.91	1.05
19701224	3.81	-0.03	1.11
19701225	5.79	-0.15	1.04
19701226	3.27	-0.12	1.32
19701227	5.35	-1.14	1.19
19701228	5.84	-0.05	1.15
19701229	7.19	1.0	1.72
19701230	0.8	-0.18	1.76
19701231	0.0	-1.95	1.38
19710101	0.0	-2.17	1.21
19710102	0.0	-1.5	1.11
19710103	0.0	-2.97	0.96
19710104	0.0	-3.66	0.89
19710105	0.0	-3.95	0.8
19710106	11.98	1.84	2.09
19710107	5.08	3.6	20.29
19710108	2.8	7.7	5.81
19710109	0.02	8.68	4.07
19710110	0.0	9.16	2.26
19710111	0.0	2.8	1.63
19710112	0.0	0.68	1.34
19710113	0.55	1.75	1.2
19710114	0.69	2.29	1.12
19710115	0.11	1.88	1.05
19710116	0.14	1.46	0.97
19710117	0.0	2.32	0.91
19710118	12.41	3.39	0.92
19710119	5.87	4.53	3.61
19710120	16.09	2.91	3.35
19710121	0.4	2.93	7.18
19710122	12.38	3.23	3.03
19710123	7.12	3.38	6.15
19710124	10.74	4.07	5.43
19710125	0.07	4.66	6.38
19710126	0.44	2.64	3.01
19710127	1.73	2.98	2.2
19710128	1.97	2.86	1.99
19710129	0.85	2.53	1.79
19710130	3.6	0.4	1.59
19710131	1.34	0.51	1.51
19710201	0.0	0.05	1.36
19710202	0.89	1.78	1.19
19710203	0.03	3.69	1.71
19710204	0.0	4.93	1.43
19710205	0.01	2.01	1.19
19710206	0.0	2.47	1.09
19710207	0.04	4.48	1.01
19710208	0.05	3.91	0.95
19710209	0.18	4.29	0.91
19710210	0.0	3.96	0.86
19710211	14.23	3.5	0.8
19710212	42.77	4.71	20.02
19710213	12.71	3.08	13.03
19710214	18.47	2.2	8.08
19710215	1.39	0.97	7.32
19710216	0.31	-1.86	3.42
19710217	8.98	-1.0	2.72
19710218	0.04	1.6	5.84
19710219	0.98	2.51	3.47
19710220	5.48	4.32	7.05
19710221	0.03	4.82	4.08
19710222	0.0	3.83	2.27
19710223	0.0	3.35	1.74
19710224	0.08	4.88	1.5
19710225	0.0	3.64	1.33
19710226	0.0	2.68	1.19
19710227	4.88	0.99	1.09
19710228	0.14	-0.32	1.03
19710301	8.4	0.11	0.99
19710302	0.54	1.66	1.25
19710303	0.13	0.43	1.37
19710304	1.08	-2.04	1.12
19710305	1.61	-1.42	1.0
19710306	0.58	0.13	0.99
19710307	2.6	1.27	1.05
19710308	0.03	3.21	2.36
19710309	1.48	4.6	2.05
19710310	1.03	1.32	1.56
19710311	0.19	3.44	1.32
19710312	0.95	5.23	1.23
19710313	0.09	5.61	1.14
19710314	0.5	3.51	1.01
