date	precipitation	temperature	discharge_spec
19720117	5.26	2.48	2.38
19720118	15.28	1.73	2.41
19720119	0.07	1.07	5.02
19720120	0.0	0.63	2.7
19720121	0.06	1.55	2.17
19720122	0.02	3.9	2.4
19720123	4.47	6.24	2.3
19720124	0.0	4.54	2.69
19720125	2.56	1.31	2.01
19720126	31.7	2.73	6.24
19720127	7.11	3.23	10.21
19720128	1.26	1.94	5.3
19720129	3.26	0.02	3.51
19720130	6.99	-3.22	2.82
19720131	1.13	-5.91	2.38
19720201	4.59	-4.65	2.2
19720202	6.26	1.63	3.78
19720203	23.55	3.35	11.74
19720204	0.57	3.68	6.61
19720205	0.2	2.68	4.48
19720206	0.46	3.33	3.53
19720207	0.0	3.68	2.83
19720208	4.13	3.52	2.65
19720209	0.13	3.45	2.57
19720210	4.4	2.04	2.68
19720211	6.89	0.99	3.5
19720212	0.07	0.88	2.56
19720213	0.0	2.47	2.29
19720214	0.0	4.12	2.0
19720215	19.9	2.0	3.57
19720216	1.45	3.62	4.53
19720217	3.41	4.71	3.07
19720218	0.0	2.53	2.45
19720219	0.0	2.04	2.17
19720220	0.9	2.2	2.04
19720221	3.98	2.37	1.99
19720222	1.71	2.69	2.32
19720223	0.0	3.19	2.02
19720224	0.0	2.62	1.8
19720225	0.78	3.18	1.69
19720226	0.0	3.11	1.65
19720227	0.03	3.65	1.58
19720228	0.0	4.51	1.51
19720229	0.95	4.83	1.46
19720301	1.3	4.0	1.46
19720302	5.48	3.54	1.47
19720303	4.97	3.49	2.47
19720304	18.57	1.78	2.53
19720305	0.47	3.08	4.88
19720306	4.07	2.21	3.8
19720307	7.61	3.26	3.05
19720308	2.23	3.9	3.93
19720309	1.45	3.33	2.66
19720310	0.88	2.49	2.35
19720311	0.0	1.85	2.08
19720312	0.0	2.24	1.86
19720313	0.15	0.91	1.76
19720314	3.66	4.1	1.67
19720315	0.09	6.49	1.75
19720316	1.36	6.02	1.6
19720317	0.0	5.25	1.49
19720318	0.0	5.09	1.41
19720319	0.0	6.21	1.36
19720320	0.0	7.7	1.31
19720321	0.0	5.85	1.24
19720322	0.0	6.57	1.19
19720323	0.0	8.43	1.16
19720324	0.0	7.22	1.1
19720325	5.0	6.28	1.1
19720326	3.11	5.46	1.25
19720327	1.15	3.29	1.31
19720328	0.04	3.74	1.21
19720329	5.6	4.21	1.09
19720330	5.24	6.22	1.59
19720331	7.05	6.42	1.7
19720401	4.05	8.81	2.73
19720402	0.14	9.94	1.92
19720403	0.22	7.16	1.51
19720404	5.95	7.59	1.5
19720405	5.7	7.57	1.65
19720406	2.07	6.48	1.85
19720407	0.68	7.8	1.58
19720408	3.08	6.48	1.43
19720409	12.42	6.25	1.41
19720410	1.56	5.47	3.37
19720411	7.25	4.54	2.14
19720412	1.19	6.34	2.72
19720413	0.0	7.01	1.98
19720414	3.69	7.45	1.68
19720415	0.96	5.56	1.5
19720416	0.01	6.8	1.4
19720417	0.33	8.8	1.37
19720418	0.08	7.29	1.32
19720419	0.0	5.96	1.23
19720420	0.0	5.21	1.17
19720421	3.23	5.87	1.1
19720422	0.34	4.83	1.14
19720423	0.0	5.14	1.08
19720424	0.0	4.93	1.03
19720425	0.0	6.76	1.0
19720426	0.92	8.06	0.99
19720427	0.0	6.3	0.98
19720428	4.61	6.54	0.95
19720429	0.4	7.61	1.05
19720430	1.22	7.64	0.99
19720501	0.0	8.97	0.93
19720502	2.92	8.82	0.88
19720503	0.0	8.6	0.88
19720504	0.23	7.34	0.85
19720505	1.34	7.52	0.85
19720506	1.22	9.01	0.88
19720507	0.54	9.59	0.85
19720508	5.89	8.57	0.85
19720509	1.4	10.96	0.92
19720510	0.82	8.52	0.84
19720511	12.19	7.56	0.83
19720512	0.92	7.21	1.18
19720513	0.11	6.94	0.9
19720514	0.06	6.97	0.81
19720515	1.56	7.16	0.78
19720516	0.0	7.61	0.77
19720517	1.48	7.25	0.74
