date	precipitation	temperature	discharge_spec
19701001	1.65	12.55	0.37
19701002	6.67	11.49	0.35
19701003	0.83	10.92	0.42
19701004	0.51	12.74	0.45
19701005	1.54	13.17	0.42
19701006	0.24	9.3	0.44
19701007	0.29	8.03	0.42
19701008	0.08	8.11	0.38
19701009	0.01	7.94	0.39
19701010	0.31	8.27	0.38
19701011	0.16	11.9	0.37
19701012	0.02	13.49	0.37
19701013	0.01	13.22	0.38
19701014	0.05	11.84	0.37
19701015	0.0	11.68	0.37
19701016	0.0	9.64	0.35
19701017	0.0	9.26	0.36
19701018	2.31	9.41	0.34
19701019	3.94	9.42	0.36
19701020	0.01	5.33	0.41
19701021	0.0	5.44	0.39
19701022	0.02	7.13	0.36
19701023	0.74	8.51	0.36
19701024	0.4	10.66	0.36
19701025	2.13	11.5	0.36
19701026	1.6	9.19	0.37
19701027	17.12	8.14	0.47
19701028	0.94	9.93	0.87
19701029	0.3	11.62	0.73
19701030	5.75	13.53	0.54
19701031	0.51	13.0	0.55
19701101	17.29	10.88	0.65
19701102	6.35	11.83	1.16
19701103	1.14	10.33	1.25
19701104	4.89	9.29	0.94
19701105	0.28	8.5	0.91
19701106	10.78	6.56	0.78
19701107	0.15	6.42	1.04
19701108	0.56	5.72	1.05
19701109	0.46	7.26	0.77
19701110	1.63	8.62	0.67
19701111	16.13	9.17	0.74
19701112	0.15	6.26	1.18
19701113	4.59	4.23	1.32
19701114	0.05	2.95	1.09
19701115	4.79	2.72	0.96
19701116	3.42	3.0	0.85
19701117	12.72	5.49	1.11
19701118	9.61	5.97	2.4
19701119	2.5	6.07	2.86
19701120	6.05	4.21	2.54
19701121	0.19	5.52	2.05
19701122	5.89	4.17	1.45
19701123	1.2	7.71	1.74
19701124	0.02	9.58	1.69
19701125	2.23	10.32	1.31
19701126	0.19	7.12	1.17
19701127	1.99	7.91	1.06
19701128	7.95	9.52	1.04
19701129	15.69	7.36	1.73
19701130	4.18	6.49	3.15
19701201	0.55	6.15	3.39
19701202	3.51	7.18	2.5
19701203	8.3	7.47	1.99
19701204	0.43	7.14	2.47
19701205	5.51	6.76	2.36
19701206	2.9	6.15	1.94
19701207	0.07	4.6	2.31
19701208	0.0	3.12	2.02
19701209	0.15	1.81	1.71
19701210	0.01	2.79	1.39
19701211	0.19	5.23	1.04
19701212	2.07	6.2	0.97
19701213	0.05	3.82	0.99
19701214	0.01	2.11	0.9
19701215	1.18	3.01	0.83
19701216	0.69	5.02	0.8
19701217	0.07	6.75	0.82
19701218	0.17	7.6	0.76
19701219	0.41	8.18	0.72
19701220	0.04	5.79	0.68
19701221	0.02	2.19	0.66
19701222	0.58	0.87	0.64
19701223	0.62	2.95	0.63
19701224	0.97	-0.19	0.63
19701225	2.35	-0.47	0.59
19701226	3.14	-0.48	0.6
19701227	0.32	-1.29	0.58
19701228	1.24	0.18	0.62
19701229	1.12	1.84	0.75
19701230	0.11	1.26	0.84
19701231	0.01	-1.01	0.77
19710101	0.01	-1.08	0.67
19710102	0.0	-1.06	0.6
19710103	0.0	-2.79	0.62
19710104	0.0	-2.95	0.55
19710105	0.12	-3.32	0.51
19710106	3.14	3.04	0.5
19710107	7.66	4.81	0.81
19710108	1.26	9.17	1.67
19710109	0.02	9.87	1.44
19710110	0.01	9.48	1.03
19710111	0.01	2.96	0.86
19710112	0.53	2.51	0.79
19710113	0.12	3.5	0.73
19710114	1.8	3.3	0.69
19710115	1.17	3.34	0.73
19710116	2.26	3.63	0.79
19710117	0.27	4.21	0.88
19710118	3.87	5.35	0.84
19710119	2.89	6.22	0.93
19710120	7.73	4.39	1.04
19710121	0.97	4.95	1.76
19710122	10.64	5.68	1.67
19710123	11.81	5.7	2.44
19710124	1.2	6.11	3.64
19710125	3.6	6.58	3.61
19710126	11.09	4.97	3.09
19710127	1.04	5.14	3.29
19710128	1.34	4.67	3.21
19710129	1.03	4.33	2.34
19710130	6.8	2.05	1.95
19710131	2.89	2.59	2.37
19710201	0.01	2.0	2.46
19710202	0.41	2.38	1.92
19710203	0.08	4.36	1.42
19710204	0.03	5.67	1.28
19710205	0.08	3.17	1.11
19710206	0.07	3.64	1.02
19710207	0.01	5.61	0.93
19710208	0.0	4.83	0.9
19710209	0.0	5.16	0.84
