date	precipitation	temperature	discharge_spec
19701001	0.64	12.68	0.68
19701002	9.26	11.44	0.69
19701003	0.46	11.08	0.85
19701004	0.35	12.74	0.74
19701005	2.03	12.92	0.71
19701006	0.73	9.31	0.75
19701007	0.42	8.16	0.71
19701008	0.16	8.23	0.69
19701009	0.03	7.92	0.65
19701010	0.22	8.21	0.65
19701011	0.38	11.59	0.63
19701012	0.0	13.21	0.64
19701013	0.0	13.08	0.63
19701014	0.01	11.98	0.61
19701015	0.0	11.66	0.6
19701016	0.0	9.81	0.6
19701017	0.0	9.11	0.59
19701018	2.66	9.47	0.59
19701019	5.08	9.44	0.61
19701020	0.02	5.56	0.69
19701021	0.0	5.53	0.6
19701022	0.03	7.3	0.58
19701023	0.54	8.82	0.57
19701024	0.11	10.73	0.57
19701025	1.76	11.64	0.57
19701026	2.77	9.22	0.57
19701027	17.39	8.44	0.74
19701028	0.66	10.17	1.04
19701029	0.06	11.82	0.76
19701030	4.88	13.52	0.64
19701031	0.48	13.05	0.74
19701101	16.11	10.94	0.69
19701102	4.96	11.86	1.23
19701103	0.24	10.35	0.97
19701104	4.95	9.48	0.79
19701105	0.07	8.67	0.78
19701106	14.85	6.81	0.72
19701107	0.04	6.52	1.24
19701108	0.35	5.91	0.9
19701109	0.66	7.49	0.77
19701110	0.99	9.03	0.69
19701111	18.07	9.26	0.91
19701112	0.04	6.37	1.94
19701113	6.31	4.38	1.1
19701114	0.03	2.99	1.15
19701115	4.24	2.98	0.87
19701116	1.68	3.46	0.92
19701117	11.77	5.63	1.0
19701118	8.56	5.91	2.03
19701119	2.71	6.03	2.17
19701120	4.21	4.4	1.81
19701121	0.22	5.66	1.29
19701122	6.45	4.58	0.96
19701123	1.11	8.04	1.19
19701124	0.01	10.01	1.14
19701125	6.09	10.61	0.92
19701126	0.15	7.43	1.1
19701127	1.5	8.24	0.93
19701128	6.86	9.88	0.89
19701129	15.88	7.22	1.47
19701130	6.24	6.65	3.0
19701201	0.96	6.33	2.84
19701202	3.23	7.45	1.94
19701203	9.93	7.63	1.69
19701204	0.62	7.13	2.42
19701205	4.45	6.99	1.7
19701206	2.45	6.33	1.56
19701207	0.01	4.97	1.52
19701208	0.0	2.95	1.15
19701209	0.08	1.97	0.99
19701210	0.02	2.8	0.91
19701211	0.28	5.32	0.87
19701212	2.25	6.43	0.86
19701213	0.03	4.12	0.84
19701214	0.0	2.36	0.81
19701215	1.95	3.47	0.75
19701216	0.38	5.6	0.79
19701217	0.16	7.12	0.76
19701218	0.12	7.89	0.74
19701219	0.71	8.36	0.71
19701220	0.03	6.08	0.69
19701221	0.0	2.3	0.68
19701222	0.46	0.97	0.67
19701223	0.55	3.03	0.66
19701224	0.62	-0.01	0.65
19701225	2.25	-0.27	0.62
19701226	2.71	-0.16	0.64
19701227	0.07	-1.23	0.64
19701228	0.94	0.28	0.64
19701229	0.62	1.97	0.75
19701230	0.1	1.38	0.74
19701231	0.0	-0.92	0.67
19710101	0.02	-1.02	0.64
19710102	0.0	-0.68	0.61
19710103	0.0	-2.55	0.6
19710104	0.0	-2.89	0.59
19710105	0.61	-2.76	0.59
19710106	3.54	3.35	0.6
19710107	6.25	5.25	0.89
19710108	0.57	9.41	1.04
19710109	0.04	10.12	0.85
19710110	0.03	9.87	0.75
19710111	0.01	3.34	0.7
19710112	0.27	2.91	0.65
19710113	0.19	4.02	0.63
19710114	0.63	3.55	0.62
19710115	0.31	3.33	0.62
19710116	2.65	3.73	0.62
19710117	0.25	4.33	0.66
19710118	3.62	5.51	0.65
19710119	3.71	6.23	0.76
19710120	6.37	4.56	0.82
19710121	1.72	5.01	1.21
19710122	10.48	5.86	1.02
19710123	11.08	5.74	2.45
19710124	1.23	6.25	3.64
19710125	4.38	6.67	2.39
19710126	10.79	5.1	2.26
19710127	0.53	5.4	2.78
19710128	1.98	4.67	2.07
