date	precipitation	temperature	discharge_spec
19710601	0.0	12.51	0.49
19710602	2.71	15.4	0.42
19710603	0.0	13.59	0.4
19710604	0.0	12.04	0.38
19710605	0.0	10.56	0.38
19710606	0.04	10.41	0.38
19710607	2.56	11.42	0.38
19710608	15.97	10.33	0.45
19710609	1.14	8.93	0.61
19710610	2.26	10.02	0.5
19710611	8.27	10.34	0.6
19710612	0.0	12.16	0.57
19710613	0.89	11.23	0.49
19710614	0.01	9.94	0.46
19710615	1.06	8.59	0.43
19710616	6.24	10.71	0.44
19710617	0.14	10.38	0.47
19710618	26.96	9.98	0.86
19710619	11.81	12.77	1.93
19710620	1.17	12.94	2.39
19710621	1.03	11.43	1.1
19710622	0.0	13.16	0.8
19710623	0.0	13.94	0.65
19710624	0.27	14.39	0.59
19710625	5.4	14.79	0.56
19710626	1.42	13.47	0.61
19710627	2.63	12.6	0.54
19710628	1.19	12.29	0.52
19710629	0.02	12.07	0.5
19710630	0.23	14.28	0.47
19710701	0.0	17.4	0.45
19710702	0.04	18.78	0.4
19710703	0.0	19.18	0.39
19710704	0.12	16.88	0.38
19710705	0.03	16.21	0.36
19710706	0.0	16.46	0.34
19710707	0.0	17.68	0.34
19710708	0.0	19.18	0.33
19710709	0.0	18.87	0.32
19710710	0.0	18.11	0.32
19710711	0.0	19.3	0.29
19710712	0.0	17.15	0.29
19710713	0.0	13.96	0.27
19710714	0.0	14.17	0.28
19710715	0.0	17.22	0.27
19710716	0.0	13.81	0.28
19710717	0.0	12.82	0.3
19710718	0.0	12.63	0.29
19710719	0.0	13.38	0.29
19710720	0.0	14.85	0.29
19710721	0.0	15.96	0.29
19710722	2.11	15.84	0.29
19710723	12.08	16.75	0.59
19710724	0.79	17.3	0.93
19710725	0.0	17.74	0.35
19710726	3.87	17.22	0.31
19710727	6.31	16.28	0.35
19710728	0.02	16.93	0.34
19710729	0.01	17.31	0.32
19710730	11.25	17.82	0.32
19710731	0.55	16.49	1.14
19710801	3.74	15.54	0.39
19710802	1.45	15.84	0.4
19710803	6.19	14.5	0.53
19710804	2.1	16.41	0.53
19710805	8.31	15.76	0.39
19710806	11.35	15.76	1.74
19710807	0.08	14.14	0.98
19710808	0.0	14.18	0.47
19710809	20.45	17.47	0.48
19710810	27.33	14.78	5.0
19710811	0.14	13.88	7.36
19710812	12.15	14.38	5.1
19710813	17.67	15.72	5.59
19710814	7.02	14.65	8.75
19710815	0.01	12.93	6.48
19710816	0.0	12.07	2.63
19710817	0.0	13.97	1.54
19710818	3.63	14.76	1.06
19710819	2.91	16.22	1.17
19710820	1.73	17.14	1.09
19710821	0.57	15.2	0.82
19710822	0.44	15.13	0.69
19710823	0.03	16.24	0.6
19710824	0.0	17.11	0.52
19710825	0.01	16.29	0.47
19710826	0.0	15.44	0.47
19710827	0.0	13.92	0.47
19710828	1.83	16.71	0.47
19710829	9.29	16.48	0.47
19710830	1.59	12.65	0.47
19710831	0.04	14.52	0.47
19710901	0.17	15.81	0.39
19710902	0.74	13.84	0.37
19710903	5.56	15.75	0.49
19710904	0.02	15.11	0.46
19710905	0.0	14.12	0.41
19710906	0.0	15.04	0.39
19710907	0.0	15.29	0.37
19710908	0.0	16.06	0.36
19710909	0.0	16.6	0.35
19710910	0.11	13.32	0.34
19710911	0.0	13.66	0.34
19710912	0.0	12.77	0.32
19710913	1.69	12.04	0.31
19710914	1.29	13.2	0.34
19710915	0.15	13.56	0.36
19710916	0.0	15.08	0.3
19710917	0.0	14.39	0.3
19710918	0.01	12.14	0.29
19710919	0.0	12.42	0.29
19710920	0.03	13.65	0.29
19710921	0.0	14.36	0.29
19710922	0.04	15.92	0.29
19710923	0.64	13.98	0.3
19710924	2.16	12.01	0.31
19710925	0.47	11.46	0.29
19710926	7.33	12.41	0.34
19710927	0.6	11.34	0.34
19710928	0.65	11.47	0.29
19710929	0.0	13.36	0.29
19710930	0.0	16.47	0.3
19711001	0.01	15.89	0.3
19711002	0.0	15.15	0.29
19711003	0.0	13.81	0.29
19711004	0.0	13.05	0.29
19711005	0.0	11.25	0.27
19711006	0.0	10.61	0.27
19711007	0.0	12.22	0.28
19711008	0.0	11.99	0.29
19711009	0.0	12.11	0.29
19711010	0.06	13.67	0.29
19711011	3.65	14.86	0.3
19711012	3.71	12.3	0.32
19711013	8.63	6.65	0.38
19711014	0.01	5.57	0.37
19711015	7.85	6.0	0.36
19711016	0.34	9.06	0.41
19711017	5.37	11.48	0.36
19711018	31.41	11.86	0.5
19711019	4.78	12.69	4.45
19711020	0.07	9.85	1.38
19711021	0.0	11.49	0.73
19711022	0.0	14.71	0.57
19711023	0.02	13.88	0.51
19711024	0.0	12.04	0.45
19711025	0.0	9.08	0.42
19711026	0.0	7.48	0.4
19711027	0.0	8.69	0.41
19711028	0.01	8.12	0.38
19711029	0.1	7.94	0.37
19711030	0.12	7.91	0.36
19711031	0.01	9.64	0.36
19711101	0.0	11.05	0.32
19711102	0.0	11.86	0.32
19711103	0.0	12.09	0.36
19711104	0.08	11.57	0.33
19711105	6.95	10.23	0.39
19711106	0.36	5.55	0.35
19711107	8.52	4.84	0.45
19711108	1.8	5.48	0.56
19711109	0.0	2.5	0.46
19711110	0.0	2.01	0.41
19711111	0.0	3.13	0.39
19711112	0.71	6.1	0.38
19711113	0.09	8.01	0.28
19711114	0.0	5.11	0.39
19711115	0.0	6.47	0.36
19711116	3.87	9.76	0.4
19711117	8.08	7.88	0.39
19711118	0.89	5.01	0.61
19711119	0.05	0.96	0.56
19711120	25.25	3.39	1.18
19711121	0.02	3.18	3.33
19711122	8.11	2.53	1.33
19711123	0.0	1.98	1.27
19711124	0.04	3.02	0.97
19711125	1.53	5.15	0.82
19711126	0.44	8.83	0.74
19711127	13.53	8.25	1.82
19711128	0.01	4.88	1.98
19711129	1.94	0.82	1.02
19711130	0.54	1.47	0.87
19711201	0.58	2.5	0.85
19711202	0.03	2.07	0.79
19711203	0.02	2.72	0.7
19711204	0.0	4.38	0.65
19711205	0.0	6.49	0.58
19711206	0.0	6.98	0.57
19711207	0.02	3.59	0.55
19711208	0.0	3.93	0.52
19711209	0.0	6.51	0.51
19711210	0.0	8.21	0.51
19711211	0.26	7.8	0.48
19711212	1.01	7.98	0.47
19711213	0.44	8.87	0.47
19711214	0.04	8.35	0.47
19711215	0.0	9.11	0.46
19711216	0.0	9.66	0.44
19711217	0.05	6.92	0.46
19711218	2.41	7.8	0.44
19711219	6.49	8.52	0.62
19711220	0.21	9.67	0.61
19711221	0.17	10.37	0.59
19711222	6.37	7.38	0.56
19711223	0.01	5.89	0.71
19711224	0.0	5.84	0.67
19711225	0.27	7.8	0.61
19711226	1.99	6.44	0.57
19711227	0.93	6.16	0.57
19711228	0.0	2.6	0.58
19711229	0.07	1.64	0.54
19711230	0.39	2.43	0.51
19711231	0.05	3.09	0.5
19720101	0.31	3.55	0.49
19720102	0.65	2.7	0.49
19720103	0.11	2.57	0.48
19720104	0.04	2.54	0.47
19720105	0.02	2.67	0.47
19720106	0.0	0.7	0.45
19720107	7.01	0.87	0.53
19720108	4.3	2.94	0.75
19720109	1.47	5.12	0.89
19720110	6.23	7.18	0.85
19720111	4.19	7.95	1.43
19720112	9.85	5.35	1.36
19720113	4.01	6.13	2.18
19720114	0.0	6.08	1.65
19720115	2.14	4.79	1.14
19720116	5.57	5.02	1.09
19720117	6.19	4.35	1.52
19720118	8.35	4.42	1.81
19720119	0.0	3.15	2.26
19720120	0.23	2.07	1.39
19720121	0.36	2.85	1.04
19720122	0.03	4.59	0.93
19720123	10.39	7.21	0.92
19720124	0.54	5.3	1.81
19720125	3.39	3.09	1.32
19720126	8.67	4.75	1.87
19720127	1.08	4.59	1.93
19720128	0.03	2.69	1.25
19720129	0.07	0.28	1.01
19720130	0.0	-3.25	0.89
19720131	0.13	-5.11	0.79
19720201	6.32	-3.0	0.76
19720202	6.47	2.96	1.2
19720203	13.6	4.61	4.08
19720204	0.01	4.25	4.11
19720205	0.78	4.08	1.59
19720206	0.66	3.94	1.56
19720207	1.46	3.7	1.14
19720208	2.78	4.66	1.1
19720209	0.04	4.7	1.1
19720210	1.8	3.2	1.02
19720211	2.07	2.91	1.04
19720212	0.7	3.32	1.03
19720213	0.0	3.86	0.95
19720214	0.35	4.87	0.86
19720215	9.14	3.77	1.07
19720216	0.49	4.93	1.45
19720217	0.02	5.32	1.15
19720218	1.45	2.95	0.96
19720219	0.0	2.58	0.92
19720220	0.01	2.26	0.85
19720221	0.17	3.0	0.82
19720222	0.39	3.49	0.78
19720223	0.0	4.26	0.75
19720224	0.02	3.8	0.72
19720225	1.96	4.54	0.71
19720226	0.43	5.07	0.71
19720227	0.02	5.29	0.7
19720228	0.81	5.77	0.71
19720229	5.1	5.94	0.7
19720301	1.67	5.38	0.82
19720302	1.31	3.33	0.81
19720303	3.65	4.07	0.88
19720304	3.76	2.15	0.97
19720305	0.37	3.66	0.99
19720306	8.13	3.08	1.21
