date	precipitation	temperature	discharge_spec
19781201	0.23	-3.26	0.25
19781202	0.65	-0.21	0.25
19781203	7.99	2.51	0.28
19781204	0.47	4.79	0.59
19781205	0.07	0.85	0.39
19781206	0.0	0.79	0.29
19781207	15.06	3.1	0.39
19781208	6.55	5.52	1.69
19781209	5.84	9.14	1.59
19781210	6.8	10.12	1.33
19781211	3.71	10.73	2.13
19781212	6.67	9.26	1.94
19781213	6.22	6.58	2.1
19781214	10.51	4.31	2.61
19781215	4.48	4.08	3.47
19781216	0.01	4.11	3.03
19781217	0.0	1.55	1.68
19781218	0.0	0.63	1.05
19781219	0.0	-2.27	0.87
19781220	3.31	-1.75	0.78
19781221	3.92	0.29	0.77
19781222	0.05	0.68	0.84
19781223	7.77	0.57	0.98
19781224	6.92	2.83	2.87
19781225	1.98	5.57	3.7
19781226	2.73	6.21	2.94
19781227	14.67	6.97	2.77
19781228	20.01	7.68	4.11
19781229	3.36	5.11	4.92
19781230	2.97	0.06	4.95
19781231	0.46	-3.96	4.34
19790101	3.98	-4.72	2.15
19790102	0.19	-3.94	1.59
19790103	0.11	-4.81	1.28
19790104	0.0	-3.7	1.12
19790105	0.01	-3.79	0.94
19790106	1.32	-1.42	0.87
19790107	0.3	1.26	2.18
19790108	1.02	4.79	2.74
19790109	6.4	1.87	1.93
19790110	0.01	1.41	2.6
19790111	0.11	1.6	2.19
19790112	0.01	-0.37	1.26
19790113	0.01	-2.86	0.92
19790114	0.56	-2.63	0.8
19790115	0.69	1.68	0.78
19790116	1.08	3.49	0.84
19790117	2.26	1.28	0.96
19790118	0.35	0.55	1.13
19790119	10.39	-0.25	1.01
19790120	3.25	0.56	1.37
19790121	0.32	-0.21	1.62
19790122	3.66	-0.97	1.29
19790123	3.49	-1.12	1.27
19790124	1.83	-1.84	0.83
19790125	3.04	-1.59	0.8
19790126	0.14	-2.17	0.8
19790127	0.06	-4.68	0.6
19790128	1.44	-4.67	0.58
19790129	4.17	-2.62	0.62
19790130	0.03	0.43	0.7
19790131	3.95	0.51	1.17
19790201	13.36	3.4	4.07
19790202	0.01	0.68	4.43
19790203	0.01	0.78	4.39
19790204	0.0	0.86	3.16
19790205	0.0	1.5	1.97
19790206	4.28	-1.03	1.39
19790207	1.42	0.05	1.58
19790208	0.04	0.38	1.52
19790209	0.0	0.52	1.21
19790210	0.01	0.64	1.09
19790211	2.74	0.99	0.94
19790212	5.4	0.5	1.06
19790213	1.28	1.41	1.27
19790214	3.17	-2.15	2.14
19790215	5.42	-3.84	1.26
19790216	0.44	-2.68	1.07
19790217	0.03	-1.61	1.07
19790218	0.22	-1.22	0.98
19790219	0.21	-0.43	0.92
19790220	0.06	0.59	0.91
19790221	3.24	0.75	1.02
19790222	0.4	2.83	1.99
19790223	0.0	3.82	2.98
19790224	0.0	2.31	2.63
19790225	0.0	0.27	1.93
19790226	0.0	1.56	1.52
19790227	11.34	3.4	1.65
19790228	3.47	2.52	3.66
19790301	0.14	3.9	4.13
19790302	0.0	6.21	3.09
19790303	5.9	10.03	2.66
19790304	0.0	5.7	2.56
19790305	0.0	5.16	1.7
19790306	5.12	5.03	1.47
19790307	0.01	4.01	1.6
19790308	6.39	4.33	1.28
19790309	2.45	5.15	2.27
19790310	1.19	5.0	2.01
19790311	0.28	6.86	1.87
19790312	0.06	6.23	1.31
19790313	1.22	3.84	1.07
19790314	0.09	3.21	0.92
19790315	2.05	1.23	0.85
19790316	14.18	-0.09	0.91
19790317	2.62	0.88	1.28
19790318	3.88	2.53	2.17
19790319	0.15	2.31	3.86
19790320	1.76	4.2	3.93
19790321	1.16	3.3	3.17
19790322	3.49	2.97	2.28
19790323	0.01	2.7	1.82
19790324	8.09	4.3	1.46
19790325	1.71	7.53	2.75
19790326	4.65	4.86	2.78
19790327	4.99	5.07	2.71
19790328	14.39	2.97	3.0
19790329	2.82	3.45	4.03
19790330	0.43	5.11	4.62
19790331	0.05	5.62	3.25
19790401	1.71	6.83	1.9
19790402	2.36	4.12	1.61
19790403	0.61	2.75	1.43
19790404	0.09	2.66	1.28
19790405	0.2	3.23	1.12
19790406	1.03	2.56	1.03
19790407	17.83	4.7	0.97
19790408	6.28	5.61	3.39
19790409	3.05	7.61	4.53
19790410	5.47	10.43	4.3
19790411	3.61	11.81	3.59
19790412	4.09	9.03	3.59
19790413	0.1	10.21	2.55
19790414	0.0	13.39	1.69
19790415	0.0	12.36	1.23
19790416	0.0	8.63	1.04
19790417	0.0	6.36	0.9
19790418	0.0	7.4	0.85
19790419	0.22	9.26	0.78
19790420	0.03	9.59	0.76
19790421	0.01	8.97	0.71
19790422	2.65	7.91	0.7
19790423	6.5	9.41	0.87
19790424	0.87	7.66	0.8
19790425	2.95	6.77	0.78
19790426	0.68	6.6	0.7
19790427	3.26	7.98	0.63
19790428	0.18	8.71	0.65
19790429	3.97	7.21	0.77
19790430	0.03	6.37	0.72
19790501	4.06	4.0	0.7
19790502	0.26	3.52	0.71
19790503	2.49	3.88	0.64
19790504	0.02	3.69	0.63
19790505	0.43	4.01	0.55
19790506	1.54	5.29	0.5
19790507	1.94	8.04	0.55
19790508	0.01	10.47	0.55
19790509	0.13	8.7	0.49
19790510	10.39	8.17	0.67
19790511	0.9	11.66	1.04
19790512	0.0	14.26	0.78
19790513	0.0	16.26	0.62
19790514	0.0	17.06	0.55
19790515	0.0	17.16	0.51
19790516	2.09	14.73	0.51
19790517	3.1	10.05	0.52
19790518	1.45	10.64	0.53
19790519	0.02	9.12	0.44
19790520	22.49	8.72	0.92
19790521	2.84	10.98	2.37
19790522	4.86	9.73	1.57
19790523	1.13	10.23	1.39
19790524	4.77	9.47	1.39
19790525	0.28	9.15	1.2
19790526	12.95	8.93	1.89
19790527	0.16	10.45	2.45
19790528	3.57	10.54	1.44
19790529	0.08	14.57	1.12
19790530	15.02	11.53	2.04
19790531	0.04	12.34	3.16
19790601	0.73	12.42	1.78
19790602	0.29	12.9	0.99
19790603	0.13	13.87	0.87
19790604	0.03	15.67	0.78
19790605	0.0	16.43	0.65
19790606	0.53	12.24	0.58
19790607	1.39	11.65	0.56
19790608	0.25	12.22	0.55
19790609	0.0	13.8	0.48
19790610	0.0	14.46	0.41
19790611	0.0	12.51	0.43
19790612	0.03	13.14	0.41
19790613	1.7	14.77	0.43
19790614	3.41	13.32	0.44
19790615	3.65	11.14	0.59
19790616	0.0	13.36	0.45
19790617	0.0	15.27	0.38
19790618	0.0	16.67	0.37
19790619	0.0	18.79	0.39
19790620	0.0	18.79	0.35
19790621	1.31	16.24	0.37
19790622	0.0	13.93	0.33
19790623	0.63	13.55	0.32
19790624	4.87	12.65	0.46
19790625	0.09	12.37	0.38
19790626	0.0	12.4	0.35
19790627	0.0	13.77	0.31
19790628	0.01	14.81	0.3
19790629	0.0	13.09	0.3
19790630	0.02	12.39	0.3
19790701	0.0	12.47	0.29
19790702	0.0	13.76	0.27
19790703	0.0	13.94	0.28
19790704	0.0	16.53	0.27
19790705	0.0	16.81	0.25
19790706	0.0	17.64	0.25
19790707	0.0	16.78	0.24
19790708	0.15	15.88	0.24
19790709	0.0	15.76	0.24
19790710	0.01	14.02	0.26
19790711	0.0	16.55	0.23
19790712	0.0	16.47	0.24
19790713	0.0	16.69	0.24
19790714	0.0	14.26	0.23
19790715	0.0	15.37	0.24
19790716	0.0	16.17	0.24
19790717	0.05	18.88	0.24
19790718	0.0	16.69	0.25
19790719	0.0	13.78	0.23
19790720	0.77	14.68	0.22
19790721	0.22	13.91	0.22
19790722	0.01	12.43	0.23
19790723	0.01	14.6	0.24
19790724	0.83	15.52	0.24
19790725	0.0	17.88	0.24
19790726	0.02	18.13	0.22
19790727	0.0	19.84	0.24
19790728	1.37	19.83	0.19
19790729	7.81	18.94	0.36
19790730	9.1	17.03	0.36
19790731	0.24	16.44	0.43
19790801	0.18	16.15	0.31
19790802	0.0	16.17	0.28
19790803	1.33	14.87	0.27
19790804	0.0	15.29	0.23
19790805	0.03	15.92	0.2
19790806	0.05	18.07	0.19
19790807	3.44	17.99	0.27
19790808	7.59	14.3	0.26
19790809	0.43	13.85	0.37
19790810	1.16	13.37	0.3
19790811	0.52	17.23	0.26
19790812	4.45	19.33	0.29
19790813	21.59	18.07	0.53
19790814	0.91	16.53	0.83
19790815	0.02	14.76	0.42
19790816	7.74	13.28	0.38
19790817	1.96	14.18	0.48
19790818	0.23	15.39	0.38
19790819	0.02	15.26	0.27
19790820	1.29	15.39	0.25
19790821	0.04	14.32	0.27
19790822	0.13	12.43	0.27
19790823	7.33	11.31	0.38
19790824	0.02	11.91	0.36
