date	precipitation	temperature	discharge_spec
19840515	0.09	9.73	0.41
19840516	0.31	10.67	0.39
19840517	0.02	9.56	0.41
19840518	0.01	9.07	0.42
19840519	0.11	10.46	0.42
19840520	3.13	9.37	0.43
19840521	24.57	9.47	0.49
19840522	0.15	10.49	1.26
19840523	0.0	12.14	0.59
19840524	0.0	14.08	0.46
19840525	3.55	9.65	0.46
19840526	3.14	8.54	0.48
19840527	16.4	6.81	0.84
19840528	0.09	8.63	0.79
19840529	0.0	10.6	0.53
19840530	0.0	11.78	0.47
19840531	0.94	12.31	0.41
19840601	4.28	11.02	0.48
19840602	9.31	11.38	0.52
19840603	0.34	11.95	0.66
19840604	3.38	10.84	0.52
19840605	1.18	11.18	0.51
19840606	0.93	12.46	0.46
19840607	0.0	14.81	0.42
19840608	0.0	12.44	0.4
19840609	0.0	13.07	0.38
19840610	0.0	13.79	0.38
19840611	0.0	12.97	0.38
19840612	0.0	13.98	0.38
19840613	0.01	16.09	0.37
19840614	0.0	15.21	0.34
19840615	0.0	14.2	0.32
19840616	0.11	17.18	0.31
19840617	0.0	18.17	0.29
19840618	0.0	17.43	0.31
19840619	0.19	19.77	0.3
19840620	9.89	19.29	0.52
19840621	0.3	14.14	0.39
19840622	0.0	13.94	0.35
19840623	0.64	11.46	0.31
19840624	0.12	11.84	0.32
19840625	0.0	15.6	0.32
19840626	0.0	16.46	0.32
19840627	0.54	16.2	0.31
19840628	0.0	11.78	0.29
19840629	0.18	11.01	0.32
19840630	0.08	11.79	0.33
19840701	0.34	13.03	0.3
19840702	0.22	12.05	0.3
19840703	0.0	12.92	0.27
19840704	0.0	13.87	0.27
19840705	0.0	15.61	0.27
19840706	0.0	17.7	0.26
19840707	0.0	19.08	0.25
19840708	0.0	19.9	0.26
19840709	0.0	18.16	0.26
19840710	0.0	18.49	0.27
19840711	0.09	16.97	0.25
19840712	6.96	16.37	0.39
19840713	1.79	15.6	0.3
19840714	1.49	15.27	0.33
19840715	2.06	14.21	0.31
19840716	0.0	14.76	0.3
19840717	0.0	15.88	0.27
19840718	0.0	17.5	0.25
19840719	0.0	15.8	0.25
19840720	0.01	16.79	0.23
19840721	0.0	16.62	0.25
19840722	0.0	16.98	0.25
19840723	0.0	15.59	0.25
19840724	0.0	14.85	0.24
19840725	0.0	14.6	0.27
19840726	0.0	16.11	0.28
19840727	0.78	16.16	0.26
19840728	0.01	19.39	0.24
19840729	0.0	19.53	0.23
19840730	3.87	19.39	0.23
19840731	0.01	17.87	0.27
19840801	17.94	16.2	0.27
19840802	14.53	16.43	1.02
19840803	7.94	16.75	0.82
19840804	8.76	14.51	0.82
19840805	0.02	14.23	0.51
19840806	7.62	13.56	0.46
19840807	6.59	13.58	0.73
19840808	0.04	15.33	0.49
19840809	0.0	15.91	0.42
19840810	0.0	15.21	0.42
19840811	0.0	14.63	0.42
19840812	0.0	15.34	0.42
19840813	0.08	16.64	0.33
19840814	2.55	18.09	0.36
19840815	0.74	17.63	0.35
19840816	0.0	17.29	0.34
19840817	0.0	17.98	0.35
19840818	0.0	18.36	0.35
19840819	0.0	19.9	0.34
19840820	0.0	19.61	0.35
19840821	0.0	20.35	0.33
19840822	0.0	19.87	0.3
19840823	0.0	19.33	0.28
19840824	1.26	18.57	0.31
19840825	0.0	18.01	0.28
19840826	0.0	16.54	0.29
19840827	0.1	18.45	0.29
19840828	0.56	18.02	0.26
19840829	0.18	17.67	0.27
19840830	0.0	18.01	0.26
19840831	0.01	20.22	0.25
19840901	0.0	18.84	0.25
19840902	0.15	18.97	0.25
19840903	27.31	18.69	0.41
19840904	0.69	12.79	0.81
19840905	0.0	10.68	0.39
19840906	0.0	11.11	0.31
19840907	0.0	11.23	0.29
19840908	0.55	13.25	0.29
19840909	1.17	14.76	0.28
19840910	0.53	12.88	0.29
19840911	0.14	14.54	0.28
19840912	0.28	15.33	0.29
19840913	2.88	16.05	0.28
19840914	2.54	15.93	0.28
19840915	0.48	13.28	0.28
19840916	6.24	15.14	0.28
