date	precipitation	temperature	discharge_spec
20060518	5.09	13.45	0.49
20060519	8.06	12.04	0.65
20060520	3.54	10.96	0.76
20060521	17.61	10.23	0.86
20060522	7.27	9.39	1.53
20060523	11.5	8.55	0.81
20060524	1.78	9.03	1.02
20060525	4.86	10.77	0.61
20060526	0.45	12.72	0.67
20060527	0.0	13.61	0.5
20060528	0.03	11.95	0.44
20060529	1.31	8.87	0.44
20060530	0.0	8.25	0.4
20060531	0.47	9.07	0.37
20060601	0.0	10.99	0.36
20060602	0.0	13.82	0.34
20060603	0.0	14.45	0.33
20060604	0.04	14.75	0.32
20060605	0.0	12.94	0.31
20060606	0.0	14.9	0.28
20060607	0.0	17.3	0.28
20060608	0.0	16.75	0.28
20060609	0.01	18.08	0.28
20060610	0.02	19.11	0.25
20060611	1.29	20.48	0.25
20060612	3.33	20.54	0.31
20060613	4.92	15.27	0.38
20060614	0.47	13.66	0.35
20060615	0.0	14.29	0.31
20060616	0.0	16.59	0.3
20060617	0.0	19.79	0.27
20060618	0.03	17.0	0.27
20060619	0.3	15.86	0.25
20060620	1.53	15.4	0.25
20060621	0.03	13.26	0.26
20060622	0.0	13.03	0.25
20060623	0.0	14.13	0.25
20060624	0.0	15.45	0.23
20060625	0.0	15.5	0.24
20060626	1.64	12.62	0.21
20060627	0.0	13.01	0.24
20060628	0.0	15.45	0.21
20060629	0.0	17.2	0.19
20060630	0.0	18.57	0.21
20060701	0.23	20.28	0.22
20060702	0.1	21.21	0.23
20060703	0.0	20.69	0.22
20060704	0.0	18.84	0.22
20060705	1.31	18.71	0.23
20060706	2.18	19.87	0.24
20060707	0.23	17.22	0.2
20060708	0.08	15.61	0.22
20060709	0.0	16.39	0.21
20060710	1.25	17.0	0.19
20060711	0.0	17.21	0.18
20060712	0.0	17.36	0.2
20060713	0.0	16.17	0.2
20060714	0.0	14.89	0.21
20060715	0.0	15.9	0.18
20060716	0.0	18.5	0.16
20060717	0.0	21.36	0.17
20060718	0.0	22.05	0.28
20060719	0.26	22.35	0.2
20060720	0.04	20.98	0.28
20060721	0.35	21.84	0.23
20060722	26.24	20.26	0.8
20060723	0.0	19.52	0.37
20060724	0.0	19.99	0.27
20060725	0.0	21.94	0.25
20060726	11.12	22.36	0.52
20060727	3.41	20.88	0.36
20060728	0.0	20.32	0.28
20060729	2.86	20.07	0.24
20060730	0.0	18.93	0.26
20060731	2.65	17.21	0.4
20060801	0.53	15.53	0.22
20060802	9.61	14.63	0.42
20060803	0.0	15.47	0.34
20060804	0.0	16.06	0.28
20060805	0.0	18.38	0.24
20060806	6.76	20.94	0.33
20060807	0.0	16.94	0.36
20060808	1.36	16.52	0.28
20060809	0.0	15.74	0.24
20060810	0.0	14.61	0.21
20060811	0.07	14.0	0.19
20060812	9.17	14.22	0.24
20060813	4.14	13.94	0.52
20060814	0.0	14.8	0.31
20060815	0.22	14.35	0.29
20060816	2.56	15.57	0.29
20060817	20.64	15.48	0.53
20060818	9.54	14.68	1.17
20060819	3.08	15.3	0.55
20060820	3.74	15.96	0.41
20060821	0.55	15.27	0.45
20060822	0.0	15.35	0.34
20060823	17.16	15.88	0.74
20060824	0.0	15.14	0.64
20060825	7.06	13.95	0.49
20060826	0.03	15.17	0.49
20060827	5.19	15.29	0.36
20060828	2.71	13.79	0.49
20060829	6.95	13.1	0.66
20060830	2.24	13.68	0.43
20060831	3.01	17.07	0.4
20060901	0.46	17.19	0.4
20060902	5.3	15.42	0.49
20060903	0.54	17.78	0.39
20060904	2.04	16.14	0.36
20060905	0.02	18.98	0.37
20060906	0.0	18.71	0.33
20060907	0.0	13.7	0.31
20060908	0.0	12.72	0.3
20060909	0.0	13.79	0.29
20060910	0.0	15.6	0.28
20060911	0.19	18.27	0.29
20060912	0.71	18.14	0.28
20060913	4.12	18.62	0.29
20060914	6.24	16.66	0.52
20060915	0.0	15.31	0.35
20060916	0.0	15.78	0.31
20060917	0.0	16.97	0.3
20060918	1.95	16.11	0.33
20060919	0.02	14.11	0.33
20060920	0.0	15.88	0.29
20060921	0.36	20.46	0.28
20060922	12.68	15.33	0.6
20060923	0.09	15.62	0.37
20060924	1.1	16.94	0.37
20060925	0.67	15.08	0.33
20060926	0.0	14.8	0.31
20060927	0.75	14.84	0.31
20060928	0.0	16.3	0.3
20060929	10.18	14.49	0.56
20060930	10.09	13.35	0.36
20061001	4.49	14.17	0.55
20061002	0.06	13.4	0.36
20061003	0.5	11.52	0.36
20061004	0.02	10.8	0.31
20061005	5.77	11.67	0.37
20061006	4.66	14.58	0.48
20061007	0.0	11.82	0.32
20061008	0.33	12.43	0.3
20061009	2.33	13.7	0.37
20061010	0.04	13.25	0.3
20061011	9.69	14.83	0.6
20061012	0.14	12.01	0.36
20061013	0.0	11.63	0.32
20061014	0.02	12.66	0.3
20061015	0.01	12.9	0.29
20061016	0.01	12.59	0.29
20061017	0.02	12.77	0.28
20061018	4.9	12.64	0.3
20061019	7.85	13.95	0.52
20061020	1.87	12.58	0.59
20061021	3.01	12.51	0.44
20061022	10.53	11.39	0.66
20061023	0.0	10.09	0.51
20061024	0.0	9.71	0.39
20061025	19.37	9.29	0.95
20061026	0.0	13.14	0.71
20061027	2.01	8.97	0.55
20061028	0.0	13.54	0.42
20061029	0.0	11.7	0.36
20061030	0.23	13.17	0.37
20061031	0.76	9.88	0.35
20061101	0.0	4.53	0.35
20061102	0.0	2.8	0.32
20061103	0.0	3.02	0.33
20061104	0.02	5.93	0.32
20061105	0.0	8.55	0.31
20061106	0.07	6.91	0.32
20061107	0.11	6.26	0.32
20061108	1.06	9.34	0.33
20061109	0.02	5.77	0.3
20061110	3.05	5.71	0.35
20061111	1.77	8.83	0.39
20061112	0.6	8.21	0.3
20061113	0.0	11.26	0.34
20061114	3.27	9.96	0.32
20061115	0.19	11.78	0.36
20061116	1.11	9.02	0.32
20061117	2.17	6.03	0.33
20061118	0.03	4.49	0.31
20061119	2.3	4.72	0.31
20061120	0.51	8.53	0.35
20061121	0.98	5.47	0.33
20061122	12.82	5.76	0.55
20061123	0.0	8.81	0.68
20061124	14.3	8.24	0.68
20061125	2.44	9.05	1.01
20061126	0.02	8.18	0.59
20061127	1.35	11.03	0.46
20061128	0.01	9.49	0.44
20061129	0.0	8.26	0.36
20061130	0.99	8.99	0.36
20061201	0.34	10.01	0.4
