date	precipitation	temperature	discharge_spec
19701001	0.0	12.75	0.29
19701002	0.41	11.9	0.28
19701003	2.48	10.83	0.27
19701004	0.0	13.05	0.29
19701005	0.0	14.25	0.26
19701006	0.0	10.05	0.28
19701007	0.0	8.57	0.27
19701008	0.0	8.88	0.26
19701009	0.0	8.75	0.27
19701010	0.2	9.24	0.27
19701011	0.72	13.13	0.28
19701012	0.15	14.93	0.28
19701013	0.29	14.05	0.28
19701014	0.0	11.79	0.28
19701015	0.0	12.2	0.27
19701016	0.03	10.25	0.33
19701017	0.0	10.9	0.28
19701018	2.66	10.14	0.26
19701019	0.0	10.06	0.27
19701020	4.18	5.49	0.26
19701021	3.41	6.32	0.27
19701022	0.2	7.68	0.27
19701023	1.34	8.42	0.27
19701024	0.02	10.84	0.27
19701025	1.44	11.79	0.29
19701026	0.07	9.48	0.27
19701027	13.67	8.04	0.32
19701028	3.01	9.18	0.31
19701029	0.09	11.37	0.3
19701030	10.73	14.14	0.3
19701031	0.2	13.05	0.33
19701101	15.57	10.94	0.31
19701102	5.49	11.93	0.4
19701103	0.01	10.71	0.35
19701104	3.59	9.22	0.32
19701105	0.0	8.6	0.32
19701106	0.09	6.23	0.3
19701107	0.1	6.83	0.29
19701108	0.06	6.26	0.29
19701109	0.0	7.31	0.28
19701110	0.58	7.92	0.28
19701111	11.23	9.04	0.3
19701112	0.0	6.52	0.33
19701113	0.97	4.48	0.3
19701114	4.7	3.75	0.3
19701115	0.98	3.43	0.31
19701116	7.83	2.37	0.35
19701117	18.52	5.67	0.49
19701118	17.39	6.68	0.84
19701119	3.06	6.74	1.1
19701120	2.13	4.14	0.66
19701121	0.12	5.78	0.5
19701122	3.17	3.7	0.41
19701123	1.45	7.23	0.44
19701124	0.0	8.71	0.41
19701125	0.06	10.17	0.38
19701126	0.15	6.75	0.37
19701127	0.05	7.36	0.37
19701128	9.68	8.8	0.39
19701129	16.19	8.03	1.07
19701130	6.87	6.68	1.15
19701201	0.05	6.05	1.09
19701202	5.11	7.16	0.76
19701203	2.37	7.36	0.71
19701204	0.02	7.43	0.67
19701205	4.49	6.79	0.6
19701206	1.58	6.23	0.58
19701207	0.31	4.63	0.58
19701208	0.01	4.67	0.5
19701209	0.0	2.59	0.49
19701210	0.01	3.86	0.47
19701211	0.49	6.13	0.45
19701212	0.05	5.93	0.44
19701213	0.0	4.5	0.42
19701214	0.05	2.85	0.4
19701215	0.19	2.99	0.4
19701216	2.41	4.39	0.4
19701217	0.07	6.22	0.41
