date	precipitation	temperature	discharge_spec
19701001	0.0	12.77	0.14
19701002	1.02	12.44	0.13
19701003	0.04	11.06	0.12
19701004	0.0	13.26	0.12
19701005	0.25	14.2	0.12
19701006	0.01	9.85	0.13
19701007	0.27	8.2	0.13
19701008	0.01	8.17	0.13
19701009	0.0	8.47	0.24
19701010	0.54	8.89	0.18
19701011	0.04	13.42	0.17
19701012	0.01	14.39	0.23
19701013	0.0	14.18	0.18
19701014	0.26	12.41	0.34
19701015	0.0	12.26	0.14
19701016	0.0	9.62	0.12
19701017	0.0	9.93	0.12
19701018	1.65	9.57	0.12
19701019	1.39	9.95	0.13
19701020	0.18	5.41	0.13
19701021	0.0	5.61	0.12
19701022	0.01	6.96	0.12
19701023	0.4	8.36	0.13
19701024	0.04	10.97	0.13
19701025	0.8	11.62	0.13
19701026	0.33	9.91	0.12
19701027	9.12	8.11	0.22
19701028	0.1	10.39	0.16
19701029	0.02	11.83	0.14
19701030	0.53	13.93	0.13
19701031	0.21	13.49	0.12
19701101	21.71	11.52	0.39
19701102	6.18	12.48	0.39
19701103	0.0	11.02	0.23
19701104	0.81	9.61	0.19
19701105	0.0	8.81	0.17
19701106	9.6	6.73	0.23
19701107	0.94	6.8	0.26
19701108	0.35	5.55	0.2
19701109	0.0	7.2	0.19
19701110	0.38	8.39	0.17
19701111	7.01	9.81	0.21
19701112	0.04	6.65	0.21
19701113	0.82	4.44	0.19
19701114	0.98	3.61	0.19
19701115	1.85	2.96	0.17
19701116	6.46	2.76	0.3
19701117	9.28	5.96	0.38
19701118	19.66	6.78	0.84
19701119	0.72	6.99	1.13
19701120	4.36	4.62	0.9
19701121	0.0	5.97	0.69
19701122	5.46	4.14	0.49
19701123	1.39	7.55	0.56
19701124	0.08	9.45	0.58
19701125	0.04	10.33	0.45
19701126	0.06	7.22	0.37
19701127	0.85	7.96	0.32
19701128	7.16	9.38	0.42
19701129	12.81	8.5	2.19
19701130	2.3	6.78	1.78
19701201	0.28	6.45	1.06
19701202	2.64	7.07	0.75
19701203	8.39	8.12	0.85
19701204	0.29	8.07	1.47
19701205	4.04	6.84	1.11
19701206	2.16	6.51	1.13
19701207	0.0	4.46	1.0
19701208	0.0	4.04	0.79
19701209	0.22	1.86	0.67
19701210	0.03	3.16	0.62
19701211	0.02	5.63	0.57
19701212	0.54	6.46	0.53
19701213	0.09	3.47	0.49
19701214	0.0	1.84	0.41
19701215	0.0	2.49	0.39
19701216	0.02	4.27	0.38
19701217	0.0	6.49	0.38
19701218	0.02	7.37	0.36
19701219	0.01	8.24	0.34
19701220	0.01	5.63	0.33
19701221	0.0	2.3	0.31
19701222	0.04	0.85	0.3
19701223	1.09	2.94	0.31
19701224	0.79	-0.4	0.29
19701225	2.16	-0.96	0.28
19701226	0.57	-1.15	0.28
19701227	0.04	-1.54	0.27
19701228	1.36	-0.09	0.29
19701229	3.59	1.63	0.4
19701230	0.12	1.31	0.44
19701231	0.0	-0.97	0.4
19710101	0.0	-0.85	0.35
19710102	0.0	-1.59	0.32
19710103	0.0	-3.07	0.31
19710104	0.0	-2.94	0.29
19710105	0.13	-3.73	0.28
19710106	0.99	2.91	0.28
19710107	11.26	4.57	0.63
19710108	0.57	9.1	1.48
19710109	0.0	9.56	1.13
19710110	0.0	8.64	0.75
19710111	0.0	2.63	0.6
19710112	0.07	2.61	0.53
19710113	0.07	3.34	0.46
19710114	1.48	3.23	0.45
19710115	1.13	3.7	0.46
19710116	2.2	4.1	0.49
19710117	1.4	4.58	0.53
19710118	2.3	5.69	0.57
19710119	2.71	6.59	0.61
19710120	7.77	4.59	0.83
19710121	0.49	5.44	1.77
19710122	10.55	6.03	1.34
19710123	14.9	6.38	5.2
19710124	1.0	6.36	6.31
19710125	7.26	6.83	3.5
19710126	13.57	5.53	4.09
19710127	1.9	5.41	4.98
19710128	0.01	5.2	3.23
19710129	0.29	4.6	2.12
19710130	8.62	2.34	2.32
19710131	10.23	3.09	4.11
19710201	0.0	2.28	3.78
19710202	0.0	2.43	2.27
19710203	0.0	4.58	1.78
19710204	0.0	5.56	1.5
19710205	0.03	3.48	1.32
19710206	0.12	3.82	1.2
19710207	0.05	5.78	1.1
19710208	0.0	4.98	1.01
19710209	0.0	5.23	0.94
19710210	0.0	4.73	0.87
19710211	0.04	4.61	0.82
19710212	1.85	6.11	0.84
19710213	0.0	5.6	0.75
19710214	3.99	4.35	0.73
19710215	0.47	3.37	0.74
19710216	2.05	0.03	0.72
19710217	3.78	1.17	0.83
19710218	0.42	3.91	1.01
19710219	1.48	4.79	0.89
19710220	0.65	6.63	0.85
19710221	0.23	6.96	0.78
19710222	0.0	5.08	0.7
19710223	0.01	3.78	0.66
19710224	0.02	5.04	0.62
19710225	0.0	5.27	0.6
19710226	0.03	4.27	0.56
19710227	3.28	1.91	0.53
19710228	0.37	0.97	0.53
19710301	8.47	1.32	0.55
19710302	0.04	3.54	0.94
19710303	0.2	1.58	1.08
19710304	0.14	-0.74	0.78
19710305	0.36	-1.84	0.68
19710306	0.35	-1.1	0.62
19710307	0.82	0.03	0.58
19710308	1.57	2.79	0.58
19710309	0.18	6.63	0.55
19710310	0.0	3.21	0.52
19710311	0.0	5.73	0.48
19710312	0.01	6.71	0.48
19710313	0.04	7.64	0.47
19710314	6.06	5.74	0.49
19710315	0.85	5.16	0.55
19710316	1.24	3.68	0.53
19710317	11.79	4.72	0.69
19710318	3.57	7.03	2.31
19710319	4.5	7.55	2.61
19710320	1.21	6.86	2.09
19710321	0.73	5.92	1.63
19710322	0.0	5.72	1.11
19710323	2.89	4.02	0.91
19710324	0.95	7.64	0.63
19710325	0.22	7.74	0.9
19710326	0.01	5.58	0.48
19710327	0.0	5.64	0.41
19710328	0.03	6.65	0.6
19710329	0.12	8.08	0.6
19710330	0.0	6.22	0.56
19710331	0.0	4.89	0.46
19710401	0.0	5.06	0.53
19710402	0.0	6.22	0.47
19710403	0.01	4.99	0.45
19710404	0.11	6.1	0.45
19710405	0.03	5.86	0.43
19710406	0.0	7.09	0.43
19710407	0.0	6.65	0.4
19710408	0.0	6.1	0.4
19710409	0.0	5.97	0.36
19710410	0.0	6.64	0.36
19710411	0.0	7.11	0.39
19710412	0.0	6.4	0.32
19710413	0.0	8.11	0.36
19710414	0.0	6.84	0.35
19710415	0.08	7.15	0.34
19710416	0.35	7.19	0.35
19710417	0.0	5.6	0.34
19710418	0.0	8.58	0.34
19710419	0.0	9.56	0.33
19710420	0.0	11.13	0.28
19710421	0.0	11.18	0.29
19710422	3.34	12.96	0.3
19710423	16.52	12.38	0.52
19710424	15.48	8.65	1.05
19710425	0.0	6.75	1.88
19710426	0.48	3.86	1.12
19710427	0.03	4.39	0.71
19710428	0.0	5.54	0.52
19710429	0.0	6.64	0.49
19710430	0.0	6.82	0.44
19710501	0.0	6.25	0.41
19710502	0.0	6.7	0.39
19710503	0.0	7.94	0.38
19710504	0.0	9.88	0.32
19710505	0.0	11.6	0.33
19710506	2.26	14.0	0.34
19710507	0.89	12.25	0.36
19710508	0.0	12.95	0.32
19710509	0.0	12.97	0.3
