date	precipitation	temperature	discharge_spec
19701001	0.0	12.86	0.33
19701002	0.0	12.88	0.33
19701003	3.02	10.78	0.3
19701004	0.01	13.39	0.35
19701005	3.07	14.8	0.36
19701006	0.09	10.61	0.33
19701007	0.0	8.89	0.32
19701008	0.0	8.77	0.32
19701009	0.0	9.08	0.32
19701010	0.0	9.85	0.33
19701011	0.33	14.71	0.33
19701012	0.43	15.53	0.32
19701013	0.11	15.33	0.37
19701014	0.01	12.67	0.38
19701015	0.0	12.67	0.31
19701016	0.0	10.27	0.32
19701017	0.0	11.32	0.31
19701018	1.53	10.28	0.32
19701019	0.0	10.49	0.3
19701020	12.16	5.56	0.32
19701021	3.87	6.35	0.4
19701022	0.98	7.4	0.36
19701023	0.15	8.69	0.33
19701024	0.0	10.98	0.33
19701025	0.53	11.72	0.33
19701026	0.05	10.09	0.31
19701027	16.04	7.94	0.35
19701028	2.99	9.93	0.4
19701029	0.0	11.62	0.39
19701030	4.73	14.17	0.36
19701031	0.16	13.38	0.35
19701101	19.61	11.71	0.36
19701102	5.88	12.47	0.53
19701103	0.0	11.29	0.45
19701104	2.74	9.48	0.39
19701105	0.0	8.83	0.36
19701106	2.87	6.49	0.35
19701107	0.57	7.08	0.36
19701108	0.01	5.85	0.35
19701109	0.0	7.31	0.35
19701110	0.39	7.64	0.32
19701111	8.71	9.55	0.35
19701112	0.0	6.71	0.4
19701113	3.08	4.6	0.39
19701114	29.25	4.43	0.46
19701115	1.29	3.92	0.81
19701116	9.52	2.13	0.63
19701117	13.12	6.19	0.61
19701118	10.82	7.33	0.78
19701119	4.1	7.82	0.84
19701120	2.41	4.58	0.73
19701121	0.0	6.23	0.6
19701122	2.11	4.13	0.52
19701123	0.69	7.08	0.5
19701124	0.0	8.7	0.5
19701125	0.0	10.05	0.48
19701126	0.09	7.03	0.47
19701127	0.1	7.63	0.47
19701128	10.78	8.54	0.5
19701129	7.66	9.05	0.64
19701130	7.48	6.85	0.79
19701201	0.31	6.32	0.84
19701202	3.74	7.04	0.75
19701203	7.75	8.02	0.73
19701204	0.38	8.17	0.79
19701205	0.85	6.8	0.76
19701206	4.48	6.64	0.69
19701207	0.79	4.65	0.68
19701208	0.0	5.53	0.66
19701209	0.0	2.63	0.61
19701210	0.0	4.0	0.58
19701211	0.08	6.25	0.58
19701212	0.4	6.12	0.58
19701213	0.0	3.8	0.58
19701214	0.0	2.32	0.58
19701215	0.0	2.53	0.62
19701216	0.79	3.88	0.6
19701217	0.31	5.73	0.62
19701218	0.08	7.03	0.61
19701219	0.17	8.13	0.61
19701220	0.35	5.71	0.61
19701221	1.46	3.07	0.6
19701222	7.4	1.89	0.62
19701223	3.85	3.32	0.79
19701224	2.91	0.64	0.85
19701225	4.63	-0.03	0.77
19701226	0.5	-0.76	0.75
19701227	0.04	-0.31	0.73
19701228	1.71	0.91	0.73
19701229	8.6	2.4	0.91
19701230	3.74	2.01	1.28
19701231	0.6	-0.03	1.0
19710101	0.01	-0.39	0.85
19710102	0.0	-1.47	0.78
19710103	0.0	-1.92	0.78
19710104	0.0	-2.08	0.75
19710105	0.0	-3.6	0.7
19710106	0.87	2.47	0.69
