date	precipitation	temperature	discharge_spec
19701001	0.0	13.04	0.02
19701002	0.36	12.99	0.02
19701003	0.73	11.28	0.02
19701004	0.21	13.63	0.02
19701005	0.65	14.71	0.02
19701006	0.0	10.32	0.02
19701007	0.52	8.56	0.02
19701008	0.0	8.45	0.02
19701009	0.07	8.87	0.02
19701010	0.1	9.49	0.02
19701011	0.1	14.22	0.02
19701012	0.0	14.93	0.02
19701013	0.0	14.79	0.02
19701014	0.16	12.85	0.02
19701015	0.0	12.69	0.02
19701016	0.0	9.86	0.02
19701017	0.0	10.4	0.02
19701018	1.97	9.91	0.02
19701019	0.66	10.32	0.02
19701020	0.0	5.63	0.02
19701021	0.0	5.91	0.02
19701022	0.0	7.14	0.02
19701023	1.03	8.55	0.02
19701024	0.38	11.26	0.02
19701025	0.81	11.84	0.02
19701026	0.15	10.35	0.02
19701027	6.68	8.25	0.02
19701028	0.0	10.69	0.03
19701029	0.0	12.05	0.03
19701030	1.73	14.17	0.02
19701031	0.08	13.82	0.02
19701101	20.19	11.97	0.02
19701102	6.9	12.87	0.08
19701103	0.34	11.45	0.09
19701104	0.33	9.9	0.06
19701105	0.0	9.11	0.05
19701106	8.38	6.97	0.04
19701107	1.37	7.13	0.04
19701108	0.03	5.72	0.07
19701109	0.0	7.4	0.05
19701110	0.19	8.45	0.04
19701111	5.47	10.19	0.04
19701112	0.0	6.94	0.04
19701113	2.26	4.74	0.04
19701114	4.92	4.1	0.05
19701115	1.96	3.31	0.06
19701116	5.35	2.86	0.07
19701117	8.45	6.34	0.12
19701118	15.63	7.25	0.25
19701119	0.44	7.55	0.99
19701120	2.68	4.98	0.56
19701121	0.0	6.33	0.31
19701122	5.72	4.38	0.2
19701123	0.94	7.67	0.24
19701124	0.0	9.57	0.35
19701125	0.0	10.47	0.24
19701126	0.1	7.49	0.16
19701127	1.25	8.2	0.12
19701128	8.91	9.47	0.12
19701129	12.05	9.13	3.18
19701130	1.51	7.08	3.29
19701201	0.16	6.77	1.09
19701202	1.51	7.22	0.62
19701203	9.0	8.5	0.47
19701204	0.67	8.57	1.78
19701205	2.28	7.07	1.24
19701206	2.06	6.87	0.98
19701207	0.15	4.6	0.9
19701208	0.0	4.62	0.51
19701209	0.0	2.18	0.38
19701210	0.0	3.53	0.31
19701211	0.0	5.92	0.28
19701212	0.14	6.71	0.25
19701213	0.0	3.55	0.21
19701214	0.0	2.0	0.17
19701215	0.0	2.53	0.15
19701216	0.08	4.22	0.14
19701217	0.1	6.52	0.13
19701218	0.0	7.47	0.13
19701219	0.0	8.51	0.12
19701220	0.0	5.75	0.11
19701221	0.0	2.58	0.09
19701222	0.15	1.13	0.09
19701223	3.49	3.14	0.09
19701224	0.83	-0.16	0.1
19701225	0.85	-0.85	0.09
19701226	0.59	-1.13	0.09
19701227	0.05	-1.34	0.08
19701228	1.59	0.07	0.08
19701229	7.06	1.77	0.2
19701230	0.66	1.53	1.06
19701231	0.13	-0.7	0.64
19710101	0.13	-0.53	0.38
19710102	0.0	-1.53	0.29
19710103	0.0	-2.89	0.23
19710104	0.0	-2.71	0.18
19710105	0.3	-3.56	0.16
19710106	0.72	3.05	0.15
19710107	6.09	4.7	0.26
19710108	1.37	9.23	0.94
19710109	0.0	9.57	0.81
19710110	0.0	8.47	0.51
19710111	0.0	2.84	0.42
19710112	0.01	2.9	0.33
