date	precipitation	temperature	discharge_spec
19701001	0.0	12.92	0.23
19701002	0.17	13.13	0.21
19701003	0.03	11.19	0.21
19701004	0.74	13.59	0.2
19701005	1.68	14.65	0.26
19701006	0.43	10.29	0.25
19701007	0.0	8.39	0.19
19701008	0.0	8.21	0.21
19701009	0.0	8.75	0.21
19701010	0.24	9.54	0.23
19701011	0.1	14.33	0.21
19701012	0.0	14.67	0.23
19701013	0.0	14.71	0.22
19701014	0.01	12.9	0.23
19701015	0.0	12.6	0.22
19701016	0.0	9.61	0.22
19701017	0.0	10.17	0.22
19701018	1.23	9.67	0.22
19701019	3.27	10.2	0.25
19701020	0.03	5.56	0.25
19701021	0.0	5.71	0.22
19701022	0.0	6.8	0.22
19701023	0.0	8.31	0.22
19701024	0.0	11.12	0.22
19701025	1.75	11.69	0.21
19701026	0.0	10.42	0.24
19701027	3.56	8.08	0.25
19701028	0.0	10.75	0.24
19701029	0.0	11.93	0.24
19701030	3.48	13.93	0.24
19701031	0.09	13.77	0.27
19701101	18.98	12.04	0.28
19701102	8.78	12.88	0.62
19701103	0.0	11.5	0.45
19701104	0.96	9.91	0.25
19701105	0.0	9.08	0.29
19701106	13.46	6.93	0.3
19701107	0.25	7.06	0.55
19701108	0.01	5.48	0.32
19701109	0.0	7.22	0.32
19701110	0.21	8.4	0.29
19701111	4.46	10.25	0.3
19701112	0.0	6.89	0.32
19701113	4.36	4.64	0.31
19701114	13.33	4.12	0.63
19701115	0.89	3.25	0.66
19701116	4.93	2.87	0.49
19701117	7.19	6.32	0.54
19701118	11.85	7.25	0.76
19701119	0.31	7.61	1.01
19701120	1.98	5.1	0.59
19701121	0.0	6.33	0.52
19701122	4.52	4.38	0.44
19701123	0.39	7.52	0.52
19701124	0.0	9.63	0.46
19701125	0.0	10.37	0.41
19701126	0.0	7.53	0.37
19701127	0.78	8.19	0.36
19701128	8.21	9.43	0.42
19701129	14.21	9.33	1.56
19701130	3.01	7.06	1.61
19701201	0.09	6.76	0.89
19701202	0.9	6.99	0.71
19701203	13.49	8.65	0.69
19701204	0.4	8.72	2.28
19701205	1.51	7.02	0.95
19701206	1.74	6.94	0.83
19701207	0.3	4.47	0.7
19701208	0.0	4.51	0.57
19701209	0.0	2.0	0.48
19701210	0.0	3.34	0.49
19701211	0.0	5.84	0.46
19701212	0.0	6.75	0.42
19701213	0.0	3.27	0.38
19701214	0.0	1.71	0.36
19701215	0.0	2.32	0.37
19701216	0.0	4.04	0.36
19701217	0.0	6.41	0.36
19701218	0.04	7.27	0.36
19701219	0.0	8.44	0.37
19701220	0.01	5.46	0.34
19701221	0.0	2.28	0.35
19701222	0.32	0.81	0.35
19701223	2.43	2.83	0.37
19701224	0.16	-0.48	0.35
19701225	1.54	-1.29	0.33
19701226	1.02	-1.53	0.33
19701227	0.0	-1.84	0.32
19701228	5.37	-0.39	0.35
19701229	9.06	1.32	0.92
19701230	0.17	1.2	1.26
19701231	0.0	-1.03	0.71
19710101	0.04	-0.72	0.49
19710102	0.0	-1.81	0.49
19710103	0.0	-3.26	0.44
19710104	0.0	-3.06	0.4
19710105	0.0	-3.59	0.39
19710106	0.4	2.97	0.38
19710107	5.02	4.68	0.55
19710108	0.22	9.08	0.8
19710109	0.0	9.25	0.64
19710110	0.0	7.97	0.55
19710111	0.0	2.66	0.5
19710112	0.0	3.02	0.45
19710113	0.0	3.66	0.43
19710114	2.96	3.26	0.42
19710115	0.27	3.88	0.45
19710116	2.38	4.45	0.47
19710117	0.08	4.88	0.52
19710118	1.53	6.0	0.5
19710119	4.2	6.78	0.52
19710120	6.41	4.88	0.72
19710121	4.68	5.85	1.44
19710122	7.77	6.37	1.59
19710123	14.31	6.92	2.24
19710124	0.45	6.55	3.04
19710125	5.62	6.98	1.61
19710126	7.56	6.06	2.29
19710127	1.16	5.85	2.14
19710128	0.5	5.6	1.37
19710129	0.47	4.81	0.96
19710130	5.71	2.57	1.15
19710131	14.66	3.28	2.32
19710201	0.0	2.26	2.74
19710202	0.0	2.33	1.21
19710203	0.0	4.63	0.96
19710204	0.0	5.5	0.79
19710205	0.03	3.87	0.74
19710206	0.0	4.02	0.68
19710207	0.0	5.83	0.63
19710208	0.0	4.97	0.6
19710209	0.0	5.25	0.57
19710210	0.0	4.74	0.55
19710211	0.0	4.61	0.53
19710212	1.42	6.16	0.54
19710213	0.06	5.98	0.53
19710214	5.68	4.57	0.5
19710215	0.22	3.79	0.66
19710216	2.0	0.24	0.55
19710217	2.21	1.57	0.56
19710218	0.3	4.18	0.58
19710219	0.56	4.86	0.53
19710220	0.01	6.71	0.53
19710221	0.0	7.12	0.49
19710222	0.0	5.1	0.47
19710223	0.0	3.71	0.46
19710224	0.0	4.86	0.46
19710225	0.0	5.21	0.45
19710226	0.0	4.34	0.44
19710227	0.51	1.96	0.43
19710228	0.0	1.08	0.41
19710301	5.8	1.34	0.45
19710302	0.03	3.7	0.59
19710303	0.1	1.59	0.52
19710304	0.0	-0.65	0.49
19710305	0.2	-1.93	0.45
19710306	0.02	-1.32	0.45
19710307	2.87	-0.41	0.43
19710308	1.06	2.61	0.49
19710309	0.06	6.61	0.46
19710310	0.0	3.35	0.45
19710311	0.0	5.93	0.43
19710312	0.0	6.73	0.4
19710313	0.0	7.8	0.4
19710314	11.85	5.7	0.44
19710315	1.26	5.25	1.02
19710316	0.31	3.94	0.62
19710317	9.89	5.18	0.64
19710318	5.1	7.52	1.34
19710319	2.42	7.58	1.2
19710320	1.42	7.31	0.96
19710321	1.34	6.23	0.83
19710322	0.01	6.11	0.75
19710323	2.82	3.94	0.67
19710324	0.2	7.76	0.64
19710325	1.8	8.17	0.63
19710326	0.02	5.84	0.57
19710327	0.0	5.84	0.5
19710328	0.12	6.38	0.48
19710329	0.31	7.92	0.48
19710330	0.0	6.1	0.45
19710331	0.0	5.13	0.45
19710401	0.01	5.33	0.42
19710402	0.0	6.74	0.42
19710403	0.02	5.3	0.4
19710404	0.2	6.35	0.4
19710405	0.08	5.93	0.42
19710406	0.05	7.06	0.37
19710407	0.0	6.94	0.39
19710408	0.15	6.21	0.39
19710409	0.64	6.13	0.38
19710410	0.31	7.05	0.36
19710411	0.02	7.12	0.38
19710412	0.0	6.6	0.36
19710413	0.0	8.28	0.36
19710414	0.0	6.99	0.37
19710415	0.0	7.24	0.34
19710416	2.16	7.43	0.38
19710417	0.05	5.94	0.36
19710418	0.0	8.48	0.35
19710419	0.0	9.72	0.36
19710420	0.0	11.16	0.36
19710421	0.0	11.33	0.36
19710422	2.13	13.58	0.35
19710423	13.04	12.72	0.53
19710424	11.3	9.1	0.53
19710425	0.26	6.97	0.96
19710426	0.04	3.92	0.64
19710427	0.01	4.54	0.44
19710428	0.0	5.63	0.43
19710429	0.0	6.58	0.41
19710430	0.0	6.66	0.4
19710501	0.0	6.42	0.39
19710502	0.0	7.09	0.36
19710503	0.0	7.96	0.37
19710504	0.0	9.75	0.34
19710505	0.0	11.91	0.34
19710506	5.48	14.27	0.37
19710507	4.82	12.41	0.5
19710508	0.25	13.09	0.37
19710509	0.0	12.98	0.36
19710510	0.0	15.05	0.34
19710511	0.0	15.89	0.35
19710512	0.0	15.13	0.34
19710513	0.0	13.99	0.33
19710514	0.0	11.67	0.32
19710515	5.59	10.95	0.36
19710516	1.11	9.85	0.35
19710517	0.06	11.46	0.33
19710518	0.0	10.13	0.32
19710519	0.0	12.61	0.3
19710520	0.0	11.65	0.29
19710521	0.0	11.16	0.27
19710522	2.73	11.36	0.29
19710523	1.18	12.93	0.32
19710524	5.35	11.83	0.31
19710525	0.93	9.85	0.36
19710526	0.9	10.29	0.31
19710527	3.69	10.73	0.36
19710528	1.34	9.29	0.32
19710529	2.65	10.32	0.32
19710530	0.19	13.6	0.31
19710531	0.0	14.32	0.28
19710601	0.0	14.1	0.28
19710602	0.18	14.77	0.28
19710603	0.0	14.89	0.27
19710604	0.07	11.6	0.26
19710605	0.0	10.54	0.28
19710606	0.01	10.75	0.28
19710607	0.03	12.49	0.28
19710608	11.24	10.93	0.29
19710609	0.13	10.95	0.45
19710610	19.56	10.91	0.48
19710611	0.12	11.75	0.76
19710612	0.0	12.31	0.4
19710613	1.44	12.2	0.36
19710614	11.46	10.44	0.51
19710615	0.3	9.82	0.54
19710616	1.0	11.27	0.38
19710617	0.0	11.48	0.36
19710618	19.93	10.36	0.6
19710619	8.97	13.32	1.28
19710620	0.1	14.33	1.19
19710621	0.14	11.93	0.63
19710622	0.0	14.9	0.48
19710623	0.0	14.02	0.42
19710624	0.0	16.48	0.39
19710625	0.54	14.86	0.37
19710626	1.19	15.17	0.37
19710627	1.39	13.58	0.34
19710628	0.35	13.26	0.34
19710629	0.09	11.92	0.33
19710630	0.0	15.42	0.3
19710701	0.0	18.2	0.29
19710702	0.0	19.22	0.29
19710703	0.0	17.55	0.27
19710704	2.47	17.79	0.28
19710705	0.0	17.56	0.3
19710706	0.0	16.96	0.27
19710707	0.0	17.65	0.26
19710708	0.0	19.46	0.26
19710709	0.0	20.41	0.23
19710710	0.0	19.23	0.24
19710711	0.03	20.1	0.24
19710712	0.0	18.15	0.22
19710713	0.0	14.21	0.21
19710714	0.0	15.45	0.21
19710715	0.0	19.19	0.21
19710716	0.0	14.47	0.2
19710717	0.0	13.59	0.2
19710718	0.0	12.37	0.2
19710719	0.0	14.34	0.2
19710720	0.26	15.86	0.19
19710721	0.08	16.55	0.19
19710722	0.0	16.95	0.2
19710723	0.12	17.85	0.2
19710724	1.83	18.04	0.21
19710725	0.0	17.83	0.21
19710726	4.57	18.3	0.22
19710727	8.86	16.89	0.26
19710728	0.27	17.57	0.28
19710729	0.0	17.82	0.23
19710730	4.68	18.95	0.22
19710731	0.0	18.55	0.25
19710801	3.27	16.2	0.21
19710802	6.83	16.54	0.24
19710803	10.45	16.45	0.49
19710804	1.65	17.53	0.36
19710805	15.9	16.62	0.64
19710806	0.53	16.53	0.45
19710807	0.93	15.48	0.32
19710808	0.0	14.46	0.27
19710809	4.32	18.72	0.27
19710810	8.36	16.67	0.33
19710811	0.03	14.73	0.36
19710812	3.11	14.46	0.33
19710813	2.79	17.43	0.32
19710814	13.12	17.2	0.97
19710815	0.22	13.84	0.6
19710816	0.0	13.42	0.41
19710817	0.04	14.48	0.4
19710818	1.58	16.27	0.33
19710819	0.0	18.97	0.32
19710820	8.36	16.58	0.28
19710821	3.89	15.79	0.42
19710822	0.01	16.9	0.43
19710823	0.44	16.74	0.35
19710824	0.0	17.44	0.25
19710825	0.0	15.53	0.31
19710826	1.8	16.19	0.3
19710827	0.01	15.85	0.31
19710828	0.08	17.84	0.27
19710829	2.79	18.09	0.27
19710830	1.12	13.29	0.28
19710831	0.0	14.85	0.28
19710901	0.01	16.7	0.26
19710902	0.0	15.34	0.27
19710903	0.0	16.05	0.27
19710904	0.0	15.75	0.26
19710905	0.0	15.09	0.26
19710906	0.0	14.22	0.27
19710907	0.0	16.01	0.29
19710908	0.0	16.89	0.26
19710909	0.0	16.98	0.25
19710910	0.0	13.37	0.19
19710911	0.0	14.0	0.19
19710912	0.0	12.87	0.21
19710913	0.0	12.12	0.31
19710914	0.0	12.77	0.24
19710915	0.0	12.6	0.24
19710916	0.0	12.81	0.24
19710917	0.0	13.36	0.15
19710918	0.0	12.09	0.22
19710919	0.0	12.88	0.22
19710920	0.0	13.51	0.3
19710921	0.0	14.98	0.17
19710922	0.0	16.04	0.23
19710923	1.81	14.37	0.25
19710924	1.14	13.4	0.25
19710925	2.12	12.55	0.25
19710926	2.97	13.99	0.26
19710927	2.66	12.01	0.29
19710928	0.34	12.24	0.26
19710929	0.0	13.43	0.24
19710930	0.0	16.65	0.24
19711001	0.0	15.92	0.24
19711002	0.0	15.02	0.25
19711003	0.0	14.09	0.22
19711004	0.1	13.75	0.25
19711005	0.0	10.41	0.24
19711006	0.0	9.63	0.24
19711007	0.0	10.5	0.25
19711008	0.0	10.31	0.24
19711009	0.0	11.79	0.24
19711010	0.0	13.43	0.24
19711011	1.77	15.78	0.25
19711012	15.47	14.7	0.33
19711013	15.39	8.6	0.59
19711014	0.29	7.16	0.55
19711015	5.17	6.28	0.35
19711016	11.0	8.78	0.56
19711017	8.41	11.89	0.99
19711018	0.71	12.59	0.78
19711019	13.67	14.78	1.49
19711020	1.11	10.28	0.99
19711021	0.0	11.95	0.59
19711022	0.0	15.62	0.44
19711023	0.0	14.22	0.4
19711024	0.0	12.35	0.37
19711025	0.0	10.68	0.36
19711026	0.0	8.68	0.34
19711027	0.0	9.59	0.33
19711028	0.0	8.6	0.33
19711029	0.06	6.71	0.32
19711030	0.0	8.75	0.33
19711031	0.0	9.72	0.28
19711101	0.0	10.29	0.3
19711102	0.0	10.95	0.3
19711103	0.0	11.18	0.3
19711104	0.0	10.24	0.31
19711105	13.55	9.88	0.51
19711106	0.08	5.32	0.43
19711107	4.08	3.96	0.38
19711108	0.16	5.33	0.43
19711109	0.0	2.85	0.36
19711110	0.0	2.83	0.34
19711111	0.0	2.85	0.34
19711112	0.44	4.56	0.32
19711113	0.19	8.01	0.35
19711114	0.0	4.86	0.31
19711115	0.0	5.59	0.32
19711116	0.8	9.86	0.32
19711117	3.27	8.76	0.33
19711118	8.08	6.71	0.58
19711119	0.0	0.76	0.46
19711120	13.84	3.71	0.58
19711121	0.99	4.12	1.37
19711122	1.31	1.45	0.67
19711123	2.65	0.83	0.58
19711124	0.15	2.51	0.5
19711125	2.66	4.51	0.51
19711126	0.77	7.45	0.56
19711127	11.78	8.73	0.63
19711128	0.0	6.91	1.9
19711129	0.0	1.25	0.9
19711130	0.0	1.5	0.71
19711201	0.05	1.75	0.59
19711202	0.03	1.42	0.53
19711203	0.0	2.13	0.46
19711204	0.0	3.41	0.43
19711205	0.0	4.91	0.42
19711206	0.0	6.21	0.43
19711207	0.0	3.85	0.4
19711208	0.0	3.55	0.39
19711209	0.0	6.13	0.39
19711210	0.0	7.31	0.37
19711211	0.0	7.74	0.36
19711212	0.0	7.21	0.35
19711213	0.0	8.97	0.36
19711214	0.0	7.49	0.36
19711215	0.0	8.66	0.34
19711216	0.0	9.76	0.34
19711217	0.0	6.06	0.34
19711218	1.02	7.46	0.34
19711219	6.9	8.39	0.47
19711220	0.32	9.77	0.42
19711221	4.34	11.02	0.39
19711222	2.28	9.02	0.52
19711223	0.12	6.82	0.56
19711224	0.0	5.74	0.49
19711225	0.34	6.59	0.44
19711226	0.2	6.32	0.41
19711227	3.54	7.0	0.43
19711228	0.98	3.11	0.5
19711229	0.49	1.09	0.47
19711230	0.31	1.99	0.44
19711231	0.02	2.52	0.42
19720101	0.93	3.24	0.39
19720102	5.52	2.44	0.49
19720103	1.1	2.6	0.68
19720104	2.62	2.58	0.66
19720105	0.03	2.59	0.72
19720106	0.01	0.8	0.63
19720107	8.9	1.11	0.64
19720108	1.01	2.97	1.37
19720109	0.03	4.83	0.94
19720110	6.76	6.92	0.78
19720111	3.24	7.77	1.5
19720112	0.14	4.86	1.22
19720113	0.68	5.66	0.84
19720114	0.0	6.53	0.73
19720115	3.74	5.29	0.66
19720116	0.1	5.5	0.7
19720117	0.11	4.5	0.61
19720118	2.16	4.11	0.54
19720119	0.0	3.43	0.59
19720120	0.0	2.14	0.54
19720121	0.24	1.77	0.48
19720122	0.85	3.33	0.44
19720123	1.6	6.17	0.48
19720124	2.44	7.12	0.54
19720125	2.08	2.31	0.52
19720126	7.24	4.59	0.91
19720127	3.17	4.51	1.44
19720128	0.23	2.64	0.9
19720129	0.01	-0.15	0.71
19720130	0.01	-3.98	0.62
19720131	0.0	-5.69	0.52
19720201	2.8	-2.72	0.5
19720202	3.71	3.01	0.66
19720203	5.94	5.41	1.07
19720204	0.01	5.88	1.26
19720205	3.33	5.33	0.87
19720206	1.38	5.28	0.98
19720207	0.01	4.49	0.96
19720208	0.03	4.64	0.78
19720209	0.0	5.42	0.64
19720210	4.66	2.82	0.65
19720211	5.84	3.14	1.3
19720212	0.26	3.55	1.3
19720213	0.0	3.84	0.88
19720214	0.0	4.74	0.71
19720215	2.12	3.34	0.68
19720216	1.23	6.11	0.67
19720217	0.01	4.83	0.6
19720218	4.81	3.56	0.68
19720219	0.07	2.92	0.81
19720220	0.9	2.61	0.69
19720221	1.31	2.91	0.64
19720222	0.06	3.55	0.63
19720223	0.0	4.5	0.62
19720224	0.0	4.17	0.58
19720225	0.16	5.53	0.54
19720226	0.0	4.68	0.5
19720227	0.0	4.14	0.49
19720228	0.75	5.16	0.49
19720229	0.45	5.82	0.44
19720301	0.01	6.23	0.46
19720302	0.5	3.3	0.45
19720303	3.89	3.91	0.54
19720304	8.5	3.58	0.55
19720305	5.42	3.58	1.54
19720306	4.14	2.98	1.23
19720307	2.17	4.88	1.21
19720308	0.04	5.83	1.01
19720309	0.0	4.58	0.8
19720310	1.46	3.94	0.66
19720311	3.05	2.1	0.76
19720312	0.06	2.95	0.77
19720313	2.11	2.55	0.69
19720314	0.52	7.57	0.68
19720315	0.78	10.72	0.61
19720316	0.05	10.45	0.6
19720317	0.0	9.14	0.56
19720318	0.0	9.29	0.53
19720319	0.0	10.18	0.51
19720320	0.5	11.09	0.49
19720321	0.11	8.81	0.46
19720322	0.08	8.04	0.45
19720323	0.0	8.54	0.46
19720324	0.0	7.47	0.43
19720325	2.44	7.74	0.44
19720326	2.87	8.04	0.46
19720327	3.39	6.51	0.55
19720328	1.12	5.49	0.49
19720329	0.75	6.24	0.45
19720330	0.18	8.05	0.45
19720331	6.68	10.18	0.45
19720401	1.62	12.02	0.6
19720402	0.2	12.06	0.54
19720403	1.49	9.51	0.46
19720404	4.31	9.38	0.58
19720405	0.67	9.47	0.52
19720406	1.75	10.07	0.48
19720407	2.25	10.68	0.53
19720408	2.31	7.67	0.47
19720409	4.7	6.71	0.44
19720410	5.58	7.29	0.66
19720411	3.84	6.67	0.82
19720412	0.24	7.53	0.66
19720413	2.88	8.77	0.58
19720414	1.96	8.85	0.62
19720415	0.73	7.63	0.57
19720416	0.08	7.88	0.52
19720417	1.02	9.18	0.49
19720418	0.34	9.91	0.5
19720419	0.74	7.23	0.48
19720420	0.0	6.29	0.44
19720421	0.09	8.58	0.45
19720422	0.0	6.97	0.43
19720423	0.0	6.48	0.42
19720424	0.0	6.68	0.43
19720425	0.0	5.71	0.42
19720426	0.0	7.41	0.44
19720427	0.0	8.07	0.45
19720428	6.65	6.98	0.44
19720429	8.16	8.72	0.76
19720430	0.01	8.57	0.66
19720501	0.0	11.24	0.49
19720502	0.02	12.15	0.46
19720503	0.0	11.93	0.46
19720504	1.62	11.82	0.43
19720505	4.3	9.8	0.51
19720506	2.89	11.23	0.47
19720507	0.01	11.06	0.42
19720508	1.23	9.98	0.43
19720509	2.2	12.29	0.42
19720510	2.01	10.13	0.43
19720511	4.76	8.7	0.46
19720512	2.11	8.59	0.48
