date	precipitation	temperature	discharge_spec
19701118	15.1	7.15	0.94
19701119	0.22	7.47	1.27
19701120	1.63	5.05	0.61
19701121	0.0	6.28	0.4
19701122	4.84	4.37	0.29
19701123	0.51	7.54	0.45
19701124	0.0	9.67	0.39
19701125	0.0	10.41	0.3
19701126	0.05	7.5	0.24
19701127	1.2	8.18	0.22
19701128	9.34	9.49	0.32
19701129	18.7	9.17	3.93
19701130	3.06	7.02	2.52
19701201	0.05	6.71	1.29
19701202	0.88	7.0	0.83
19701203	13.57	8.6	0.9
19701204	0.38	8.63	2.81
19701205	2.31	7.01	1.2
19701206	1.42	6.88	0.86
19701207	0.0	4.49	0.7
19701208	0.0	4.35	0.57
19701209	0.0	1.92	0.47
19701210	0.0	3.25	0.42
19701211	0.0	5.81	0.4
19701212	0.23	6.75	0.36
19701213	0.0	3.29	0.31
19701214	0.0	1.69	0.28
19701215	0.0	2.36	0.24
19701216	0.0	4.14	0.23
19701217	0.0	6.48	0.22
19701218	0.09	7.29	0.21
19701219	0.0	8.39	0.2
19701220	0.05	5.48	0.18
19701221	0.0	2.23	0.17
19701222	0.01	0.73	0.17
19701223	1.74	2.81	0.18
19701224	0.29	-0.54	0.16
19701225	2.1	-1.32	0.15
19701226	0.25	-1.5	0.16
19701227	0.0	-1.89	0.14
19701228	4.36	-0.42	0.16
19701229	10.45	1.31	0.74
19701230	0.32	1.17	1.32
19701231	0.0	-1.09	0.66
19710101	0.0	-0.79	0.44
19710102	0.0	-1.78	0.32
19710103	0.0	-3.28	0.26
19710104	0.0	-3.11	0.23
19710105	0.0	-3.58	0.22
19710106	0.51	3.0	0.19
19710107	6.3	4.72	0.35
19710108	0.12	9.1	0.95
19710109	0.0	9.32	0.66
19710110	0.0	8.09	0.49
19710111	0.0	2.63	0.41
19710112	0.0	2.99	0.32
19710113	0.0	3.68	0.29
19710114	2.99	3.24	0.29
19710115	0.1	3.81	0.34
19710116	2.82	4.39	0.4
19710117	0.03	4.83	0.49
19710118	1.94	5.95	0.47
19710119	4.99	6.72	0.59
19710120	4.87	4.84	1.07
19710121	3.38	5.78	1.68
19710122	8.11	6.36	1.26
19710123	12.1	6.84	4.0
19710124	0.74	6.51	3.05
19710125	5.64	6.94	1.75
19710126	8.51	5.99	2.77
19710127	1.24	5.82	2.49
19710128	0.08	5.52	1.52
19710129	0.64	4.75	1.02
19710130	5.67	2.49	1.46
19710131	17.89	3.19	4.03
19710201	0.0	2.21	3.27
19710202	0.09	2.28	1.26
19710203	0.0	4.55	1.1
19710204	0.0	5.48	0.85
19710205	0.0	3.77	0.71
19710206	0.0	3.97	0.61
19710207	0.0	5.8	0.54
19710208	0.0	4.91	0.48
19710209	0.0	5.19	0.44
19710210	0.0	4.73	0.39
19710211	0.0	4.6	0.35
19710212	1.97	6.12	0.37
19710213	0.03	5.9	0.35
19710214	5.76	4.55	0.35
19710215	0.06	3.67	0.58
19710216	2.36	0.16	0.44
19710217	3.07	1.54	0.61
19710218	0.22	4.19	0.71
19710219	0.84	4.87	1.01
19710220	0.07	6.7	0.51
19710221	0.0	7.1	0.42
19710222	0.0	5.07	0.35
19710223	0.0	3.65	0.32
19710224	0.0	4.82	0.3
19710225	0.0	5.1	0.28
19710226	0.0	4.22	0.28
19710227	1.02	1.97	0.25
19710228	0.04	1.08	0.24
19710301	6.95	1.34	0.26
19710302	0.06	3.7	0.52
19710303	0.39	1.62	0.39
19710304	0.0	-0.69	0.32
19710305	0.05	-1.98	0.31
19710306	0.17	-1.3	0.27
19710307	2.68	-0.44	0.26
19710308	1.23	2.57	0.33
19710309	0.1	6.57	0.32
19710310	0.0	3.31	0.28
19710311	0.0	5.93	0.25
19710312	0.0	6.66	0.24
19710313	0.0	7.72	0.25
19710314	8.15	5.64	0.26
19710315	1.22	5.22	0.45
19710316	0.03	3.91	0.35
19710317	11.92	5.1	0.49
19710318	4.53	7.43	2.16
19710319	4.5	7.57	1.89
19710320	0.6	7.22	1.53
19710321	0.64	6.16	0.9
19710322	0.0	6.08	0.65
19710323	2.0	3.9	0.53
19710324	0.49	7.66	0.47
19710325	1.21	8.07	0.44
19710326	0.03	5.78	0.37
19710327	0.0	5.84	0.32
19710328	0.09	6.46	0.31
19710329	0.22	7.97	0.3
19710330	0.0	6.19	0.28
19710331	0.0	5.09	0.26
19710401	0.0	5.27	0.26
19710402	0.0	6.7	0.23
19710403	0.05	5.22	0.21
19710404	0.34	6.28	0.21
19710405	0.13	5.92	0.2
19710406	0.0	7.1	0.19
19710407	0.0	6.89	0.19
19710408	0.68	6.16	0.19
19710409	1.22	6.09	0.19
19710410	0.01	7.01	0.17
19710411	0.0	7.14	0.17
19710412	0.0	6.62	0.19
19710413	0.0	8.29	0.14
19710414	0.02	7.04	0.12
19710415	0.0	7.27	0.12
19710416	2.06	7.37	0.14
19710417	0.0	5.86	0.12
19710418	0.0	8.46	0.1
19710419	0.0	9.66	0.11
19710420	0.0	11.09	0.11
19710421	0.0	11.41	0.11
19710422	2.18	13.49	0.11
19710423	14.09	12.68	0.23
19710424	13.6	8.98	0.41
19710425	0.4	6.94	1.2
19710426	0.04	3.9	0.52
19710427	0.0	4.5	0.33
19710428	0.0	5.59	0.26
19710429	0.0	6.58	0.22
19710430	0.0	6.74	0.19
19710501	0.0	6.4	0.17
19710502	0.0	6.99	0.15
19710503	0.0	7.94	0.15
19710504	0.0	9.77	0.17
19710505	0.0	11.9	0.15
19710506	4.08	14.28	0.14
19710507	3.0	12.34	0.18
19710508	0.0	12.99	0.13
19710509	0.0	12.9	0.13
19710510	0.0	14.96	0.12
19710511	0.0	15.86	0.11
19710512	0.0	15.11	0.11
19710513	0.0	14.02	0.1
19710514	0.0	11.69	0.11
19710515	5.51	10.86	0.14
19710516	0.91	9.73	0.12
19710517	0.0	11.37	0.11
19710518	0.0	10.09	0.1
19710519	0.0	12.45	0.1
19710520	0.0	11.55	0.1
19710521	0.0	11.17	0.1
19710522	3.45	11.38	0.1
19710523	1.89	12.8	0.13
19710524	5.63	11.8	0.11
19710525	0.94	9.87	0.15
19710526	1.31	10.19	0.12
19710527	4.49	10.66	0.17
19710528	1.36	9.23	0.13
19710529	3.23	10.31	0.12
19710530	0.26	13.53	0.12
19710531	0.0	14.2	0.11
19710601	0.0	13.97	0.08
19710602	0.1	14.84	0.07
19710603	0.0	14.83	0.07
19710604	0.0	11.64	0.08
19710605	0.0	10.52	0.08
19710606	0.0	10.69	0.08
19710607	0.0	12.41	0.08
19710608	15.88	10.89	0.09
19710609	0.48	10.82	0.27
19710610	25.45	10.82	0.27
19710611	0.35	11.57	0.59
19710612	0.03	12.29	0.23
19710613	1.55	12.09	0.15
19710614	9.59	10.38	0.23
19710615	0.16	9.69	0.24
19710616	1.07	11.21	0.16
19710617	0.0	11.4	0.12
19710618	19.96	10.33	0.38
19710619	8.33	13.29	0.86
19710620	0.21	14.22	1.01
19710621	0.0	11.85	0.42
19710622	0.0	14.8	0.24
19710623	0.0	14.02	0.18
19710624	0.0	16.35	0.15
19710625	1.33	14.81	0.13
19710626	0.92	15.02	0.14
19710627	3.18	13.48	0.12
19710628	0.17	13.17	0.14
19710629	0.11	11.92	0.12
19710630	0.0	15.36	0.1
19710701	0.0	18.18	0.1
19710702	0.0	19.2	0.1
19710703	0.0	17.71	0.09
19710704	4.15	17.75	0.11
19710705	0.0	17.46	0.12
19710706	0.0	16.96	0.09
19710707	0.0	17.65	0.08
19710708	0.0	19.41	0.08
19710709	0.0	20.36	0.07
19710710	0.0	19.2	0.07
19710711	0.02	20.09	0.07
19710712	0.0	18.14	0.07
19710713	0.0	14.17	0.07
19710714	0.0	15.34	0.07
19710715	0.0	19.06	0.06
19710716	0.0	14.42	0.06
19710717	0.0	13.56	0.06
19710718	0.0	12.38	0.06
19710719	0.0	14.28	0.07
19710720	0.11	15.76	0.07
19710721	0.01	16.52	0.07
19710722	0.03	16.87	0.07
19710723	0.21	17.78	0.07
19710724	3.59	18.01	0.08
19710725	0.0	17.84	0.07
19710726	5.51	18.23	0.1
19710727	10.68	16.82	0.17
19710728	0.01	17.57	0.22
19710729	0.0	17.79	0.09
19710730	6.56	18.86	0.09
19710731	0.0	18.38	0.18
19710801	3.58	16.12	0.09
19710802	8.24	16.45	0.1
19710803	14.05	16.29	0.31
19710804	0.55	17.44	0.26
19710805	8.66	16.52	0.16
19710806	1.72	16.46	0.13
19710807	2.09	15.36	0.11
19710808	0.0	14.42	0.09
19710809	5.18	18.65	0.09
19710810	8.05	16.56	0.14
19710811	0.16	14.66	0.2
19710812	3.47	14.43	0.13
19710813	3.34	17.31	0.12
19710814	4.88	17.05	0.16
19710815	0.0	13.74	0.14
19710816	0.0	13.27	0.1
19710817	0.0	14.41	0.09
19710818	3.35	16.17	0.09
19710819	0.0	18.77	0.1
19710820	7.78	16.64	0.1
19710821	3.54	15.71	0.16
19710822	0.0	16.77	0.14
19710823	0.69	16.7	0.11
19710824	0.0	17.4	0.1
19710825	0.0	15.52	0.09
19710826	2.25	16.1	0.09
19710827	0.0	15.69	0.09
19710828	0.0	17.76	0.08
19710829	2.89	18.01	0.08
19710830	1.83	13.19	0.09
19710831	0.0	14.81	0.09
19710901	0.0	16.62	0.08
19710902	0.0	15.21	0.08
19710903	0.0	16.05	0.08
19710904	0.0	15.68	0.08
19710905	0.0	15.01	0.07
19710906	0.0	14.24	0.07
19710907	0.0	15.91	0.06
19710908	0.0	16.81	0.06
19710909	0.0	16.93	0.06
19710910	0.0	13.31	0.07
19710911	0.0	13.96	0.07
19710912	0.0	12.82	0.07
19710913	0.0	12.08	0.08
19710914	0.0	12.77	0.07
19710915	0.0	12.62	0.07
19710916	0.0	12.96	0.07
19710917	0.0	13.37	0.07
19710918	0.0	12.0	0.07
19710919	0.0	12.8	0.07
19710920	0.0	13.48	0.07
19710921	0.0	14.91	0.06
19710922	0.54	16.0	0.06
19710923	2.49	14.31	0.07
19710924	2.34	13.32	0.08
19710925	2.72	12.49	0.07
19710926	3.64	13.9	0.09
19710927	2.92	11.95	0.11
19710928	0.15	12.14	0.09
19710929	0.0	13.37	0.07
19710930	0.0	16.62	0.07
19711001	0.0	15.88	0.07
19711002	0.0	14.98	0.07
19711003	0.0	14.03	0.07
19711004	0.29	13.7	0.07
19711005	0.0	10.41	0.07
19711006	0.0	9.59	0.07
19711007	0.0	10.51	0.07
19711008	0.0	10.34	0.07
19711009	0.0	11.75	0.07
19711010	0.0	13.39	0.07
19711011	1.89	15.71	0.07
19711012	15.96	14.56	0.12
19711013	19.46	8.47	0.35
19711014	0.0	7.02	0.47
19711015	5.76	6.22	0.19
19711016	14.8	8.76	0.39
19711017	5.7	11.84	1.21
19711018	0.46	12.54	0.62
19711019	16.23	14.65	2.63
19711020	0.22	10.24	1.22
19711021	0.0	11.89	0.58
19711022	0.0	15.55	0.36
19711023	0.0	14.17	0.27
19711024	0.0	12.29	0.24
19711025	0.0	10.55	0.22
19711026	0.0	8.56	0.18
19711027	0.0	9.49	0.16
19711028	0.0	8.53	0.15
19711029	0.04	6.72	0.14
19711030	0.0	8.67	0.14
19711031	0.0	9.68	0.13
19711101	0.0	10.29	0.12
19711102	0.0	10.92	0.12
19711103	0.0	11.21	0.12
19711104	0.0	10.27	0.12
19711105	16.15	9.86	0.95
19711106	0.0	5.27	0.65
19711107	4.03	3.95	0.4
19711108	0.09	5.31	0.4
19711109	0.0	2.78	0.28
19711110	0.0	2.68	0.24
19711111	0.0	2.74	0.21
19711112	0.39	4.56	0.2
19711113	0.0	7.99	0.19
19711114	0.0	4.8	0.16
19711115	0.0	5.58	0.16
19711116	1.03	9.83	0.17
19711117	3.44	8.73	0.16
19711118	6.79	6.64	0.36
19711119	0.0	0.75	0.37
19711120	15.8	3.66	1.49
19711121	0.87	4.03	2.37
19711122	1.91	1.5	0.91
19711123	1.53	0.86	0.62
19711124	0.02	2.47	0.52
19711125	2.61	4.5	0.45
19711126	0.47	7.51	0.54
19711127	12.96	8.68	1.13
19711128	0.03	6.78	2.69
19711129	0.0	1.17	1.16
19711130	0.0	1.42	0.75
19711201	0.07	1.71	0.56
19711202	0.0	1.42	0.46
19711203	0.0	2.09	0.39
19711204	0.0	3.43	0.35
19711205	0.0	4.95	0.32
19711206	0.0	6.23	0.33
19711207	0.0	3.78	0.28
19711208	0.0	3.5	0.27
19711209	0.0	6.07	0.26
19711210	0.0	7.31	0.25
19711211	0.0	7.68	0.24
19711212	0.0	7.24	0.24
19711213	0.0	8.94	0.23
19711214	0.0	7.53	0.23
19711215	0.0	8.69	0.21
19711216	0.0	9.74	0.19
19711217	0.0	6.09	0.19
19711218	1.17	7.47	0.19
19711219	8.45	8.39	0.51
19711220	0.0	9.73	0.42
19711221	4.48	10.99	0.35
19711222	2.27	8.94	0.58
19711223	0.0	6.74	0.61
19711224	0.0	5.69	0.47
19711225	0.35	6.62	0.4
19711226	0.18	6.3	0.35
19711227	4.49	6.91	0.44
19711228	0.6	3.03	0.66
19711229	1.24	1.05	0.5
19711230	0.73	1.96	0.49
19711231	0.0	2.5	0.47
19720101	0.97	3.21	0.37
19720102	5.12	2.38	0.51
19720103	0.91	2.55	0.76
19720104	1.74	2.53	0.67
19720105	0.0	2.54	0.66
19720106	0.0	0.72	0.55
19720107	9.61	1.06	0.88
19720108	1.32	2.96	1.9
19720109	0.06	4.85	1.17
19720110	8.16	6.94	0.92
19720111	2.87	7.79	2.9
19720112	0.6	4.85	1.64
19720113	1.57	5.69	1.17
19720114	0.0	6.47	0.92
19720115	4.31	5.21	0.81
19720116	0.02	5.43	0.96
19720117	0.36	4.51	0.72
19720118	1.7	4.15	0.58
19720119	0.0	3.41	0.58
19720120	0.0	2.13	0.5
19720121	0.11	1.8	0.4
19720122	1.02	3.38	0.37
19720123	3.16	6.2	0.4
19720124	2.92	7.01	0.92
19720125	2.3	2.34	0.74
19720126	7.41	4.59	1.54
19720127	3.72	4.51	1.86
19720128	0.3	2.61	1.31
19720129	0.14	-0.16	0.84
19720130	0.05	-3.98	0.6
19720131	0.0	-5.68	0.44
19720201	3.77	-2.76	0.39
19720202	2.32	3.01	0.77
19720203	5.5	5.33	1.68
19720204	0.0	5.73	1.53
19720205	3.17	5.23	0.97
19720206	0.68	5.12	1.12
19720207	0.06	4.39	0.91
19720208	0.14	4.61	0.71
19720209	0.0	5.35	0.56
19720210	5.13	2.79	0.65
19720211	6.43	3.11	1.92
19720212	0.24	3.54	1.33
19720213	0.05	3.83	0.85
19720214	0.0	4.72	0.62
19720215	1.78	3.35	0.61
19720216	1.68	6.02	0.57
19720217	0.08	4.83	0.52
19720218	5.51	3.46	0.75
19720219	0.05	2.86	0.89
19720220	0.95	2.55	0.67
19720221	1.27	2.88	0.6
19720222	0.01	3.52	0.58
