date	precipitation	temperature	discharge_spec
19760713	0.13	20.36	0.24
19760714	0.0	19.23	0.22
19760715	13.03	19.22	0.26
19760716	3.01	19.26	0.29
19760717	0.0	18.25	0.28
19760718	0.0	19.8	0.3
19760719	5.65	20.67	0.34
19760720	0.19	16.68	0.29
19760721	0.0	15.12	0.29
19760722	0.0	15.32	0.3
19760723	0.0	15.98	0.3
19760724	0.0	16.28	0.3
19760725	0.0	16.44	0.28
19760726	0.0	17.91	0.29
19760727	0.0	17.53	0.29
19760728	0.0	16.09	0.29
19760729	2.53	17.35	0.34
19760730	5.59	16.08	0.28
19760731	2.07	13.43	0.3
19760801	0.17	12.74	0.33
19760802	0.75	17.37	0.33
19760803	2.6	16.83	0.35
19760804	0.0	14.64	0.34
19760805	0.0	15.67	0.37
19760806	0.0	15.93	0.29
19760807	0.0	17.07	0.3
19760808	0.0	16.95	0.3
19760809	0.0	16.38	0.29
19760810	0.0	16.64	0.29
19760811	0.0	17.66	0.29
19760812	0.0	18.64	0.34
19760813	0.0	18.96	0.28
19760814	0.0	18.73	0.29
19760815	0.0	18.63	0.28
19760816	0.0	18.21	0.26
19760817	0.0	17.58	0.28
19760818	0.0	17.2	0.3
19760819	0.0	17.67	0.23
19760820	0.0	17.84	0.3
19760821	0.0	17.37	0.33
19760822	0.0	18.53	0.27
19760823	0.0	18.54	0.24
19760824	0.0	18.68	0.24
19760825	0.0	18.8	0.28
19760826	0.13	17.34	0.24
19760827	1.37	16.41	0.23
19760828	15.4	15.65	0.3
19760829	12.4	16.48	0.3
19760830	50.35	16.14	0.55
19760831	0.0	15.85	0.52
19760901	5.48	14.49	0.39
19760902	4.77	11.89	0.37
19760903	0.0	13.24	0.41
19760904	0.0	13.54	0.38
19760905	0.0	14.16	0.37
19760906	0.0	14.49	0.37
19760907	0.0	15.19	0.3
19760908	2.0	15.54	0.34
19760909	0.89	11.5	0.35
19760910	11.76	10.91	0.37
19760911	9.69	12.56	0.32
19760912	1.92	12.18	0.34
19760913	0.32	11.71	0.35
19760914	0.35	11.19	0.34
19760915	3.21	11.17	0.35
19760916	16.79	11.6	0.35
19760917	1.57	11.96	0.42
19760918	0.0	11.3	0.37
19760919	0.0	12.44	0.35
19760920	0.0	15.43	0.34
19760921	0.0	16.56	0.33
19760922	1.92	15.73	0.33
19760923	0.12	14.67	0.38
19760924	1.84	14.43	0.3
19760925	5.11	15.55	0.35
19760926	2.28	17.86	0.35
19760927	0.94	15.66	0.35
19760928	4.57	15.44	0.34
19760929	1.41	15.28	0.34
19760930	7.54	13.53	0.33
19761001	6.73	15.14	0.38
19761002	2.54	13.9	0.41
19761003	14.29	13.76	0.45
19761004	0.85	12.69	0.46
19761005	4.48	11.02	0.41
19761006	3.5	13.37	0.39
19761007	0.79	13.69	0.39
19761008	8.61	10.38	0.41
19761009	0.1	12.39	0.41
19761010	0.75	12.33	0.39
19761011	0.72	14.45	0.39
19761012	0.0	13.15	0.37
19761013	0.51	9.2	0.37
19761014	9.81	9.42	0.38
19761015	2.75	11.12	0.41
19761016	0.0	10.03	0.39
19761017	0.0	9.08	0.38
19761018	4.83	10.21	0.38
19761019	1.33	10.82	0.39
19761020	0.09	8.85	0.37
19761021	7.63	8.88	0.41
19761022	6.21	9.52	0.43
19761023	0.22	11.25	0.43
19761024	0.28	8.23	0.42
19761025	30.25	10.13	0.73
19761026	2.19	10.63	0.87
19761027	1.31	10.22	0.66
19761028	0.59	9.98	0.58
19761029	5.04	9.14	0.6
