date	precipitation	temperature	discharge_spec
19701001	0.03	12.93	0.09
19701002	1.1	13.54	0.07
19701003	1.45	10.81	0.08
19701004	0.08	13.59	0.09
19701005	2.67	14.92	0.08
19701006	0.06	11.09	0.07
19701007	0.0	9.32	0.08
19701008	0.0	8.81	0.09
19701009	0.0	9.33	0.08
19701010	0.0	10.68	0.08
19701011	0.0	15.66	0.08
19701012	0.0	15.79	0.09
19701013	0.02	16.26	0.08
19701014	0.1	13.3	0.09
19701015	0.0	12.97	0.09
19701016	0.02	10.47	0.09
19701017	0.0	11.51	0.09
19701018	1.59	10.52	0.07
19701019	1.59	10.68	0.08
19701020	9.85	5.68	0.09
19701021	1.84	6.46	0.13
19701022	0.15	7.34	0.05
19701023	0.02	8.99	0.08
19701024	0.06	10.99	0.1
19701025	0.21	11.66	0.09
19701026	0.01	10.45	0.08
19701027	6.43	7.87	0.11
19701028	0.92	10.49	0.07
19701029	0.05	11.77	0.1
19701030	1.62	13.96	0.1
19701031	0.28	13.57	0.1
19701101	18.95	12.36	0.1
19701102	7.85	12.76	0.19
19701103	0.11	11.64	0.18
19701104	3.53	9.65	0.15
19701105	0.04	9.03	0.14
19701106	3.81	6.83	0.12
19701107	0.18	7.24	0.1
19701108	0.03	5.73	0.13
19701109	0.0	7.46	0.09
19701110	0.0	7.54	0.11
19701111	4.77	9.79	0.11
19701112	0.07	6.75	0.12
19701113	9.39	4.76	0.12
19701114	42.12	4.96	0.5
19701115	1.23	4.31	1.5
19701116	5.8	2.18	0.71
19701117	5.32	6.51	0.56
19701118	7.0	7.69	0.62
19701119	2.49	8.55	0.82
19701120	8.48	5.05	0.81
19701121	0.03	6.45	1.01
19701122	2.57	4.65	0.54
19701123	0.17	7.06	0.37
19701124	0.1	8.82	0.38
19701125	0.0	9.94	0.33
19701126	0.13	7.51	0.26
19701127	0.04	8.04	0.23
19701128	9.73	8.4	0.23
19701129	10.34	9.7	1.05
19701130	5.04	7.02	2.12
19701201	0.14	6.64	1.41
19701202	1.45	6.98	1.07
19701203	8.82	8.42	0.83
19701204	1.15	8.63	1.74
19701205	0.09	6.85	1.56
19701206	3.84	7.01	1.13
19701207	0.78	4.78	0.99
19701208	0.1	6.07	0.67
19701209	0.04	2.92	0.54
19701210	0.0	4.13	0.47
19701211	0.0	6.17	0.43
19701212	0.24	6.29	0.39
19701213	0.01	3.45	0.35
19701214	0.0	2.04	0.3
19701215	0.0	2.29	0.26
19701216	0.15	3.7	0.25
19701217	0.1	5.36	0.24
19701218	0.08	6.94	0.23
19701219	0.18	8.22	0.22
19701220	0.07	5.65	0.21
19701221	1.13	3.14	0.19
19701222	4.43	1.89	0.19
19701223	3.34	3.04	0.27
19701224	2.41	0.6	0.44
19701225	5.57	-0.38	0.39
19701226	2.27	-1.28	0.37
19701227	0.31	-0.59	0.37
19701228	10.02	0.59	0.54
19701229	9.08	2.07	3.15
19701230	2.6	1.88	4.99
19701231	0.76	0.03	3.38
19710101	0.0	-0.25	1.56
19710102	0.0	-1.43	0.97
19710103	0.0	-2.11	0.72
19710104	0.08	-2.5	0.65
19710105	0.0	-3.23	0.56
19710106	0.55	2.27	0.48
19710107	3.76	4.28	0.73
19710108	1.06	8.45	1.27
19710109	0.04	8.55	1.16
19710110	0.02	7.15	0.89
19710111	0.0	3.5	0.82
19710112	0.01	3.15	0.66
19710113	0.01	3.41	0.55
19710114	0.08	3.64	0.53
19710115	0.49	4.18	0.49
19710116	0.94	4.44	0.45
19710117	0.09	4.79	0.43
19710118	0.78	6.01	0.45
19710119	2.72	6.89	0.47
19710120	7.33	4.69	0.5
19710121	3.6	5.54	1.46
19710122	10.3	5.76	2.14
19710123	13.27	6.93	3.86
19710124	0.69	6.48	6.02
19710125	7.57	6.95	4.04
19710126	5.11	5.99	3.4
19710127	3.23	5.41	3.68
19710128	0.3	5.6	2.89
19710129	0.77	4.87	1.76
19710130	6.2	3.2	1.62
19710131	9.05	4.12	2.53
19710201	0.01	2.89	3.91
19710202	0.2	2.82	2.14
19710203	0.01	5.17	1.39
19710204	0.01	5.36	1.05
19710205	0.11	4.44	0.89
19710206	0.07	4.14	0.78
19710207	0.0	5.67	0.7
19710208	0.0	5.56	0.61
19710209	0.0	5.93	0.58
19710210	0.23	4.89	0.55
19710211	0.01	4.75	0.48
19710212	1.77	6.57	0.48
19710213	0.06	6.39	0.5
19710214	1.52	4.39	0.41
19710215	0.45	4.24	0.45
19710216	5.28	1.26	0.43
19710217	3.48	1.67	0.48
