date	precipitation	temperature	discharge_spec
19701001	0.0	12.88	0.07
19701002	0.1	13.52	0.07
19701003	1.58	10.96	0.07
19701004	0.17	13.63	0.07
19701005	3.5	14.89	0.08
19701006	0.01	10.85	0.09
19701007	0.0	8.96	0.08
19701008	0.0	8.54	0.07
19701009	0.0	9.13	0.08
19701010	0.0	10.56	0.08
19701011	0.0	15.41	0.09
19701012	0.0	15.49	0.08
19701013	0.0	15.8	0.07
19701014	0.05	13.23	0.07
19701015	0.01	12.91	0.08
19701016	0.0	9.97	0.08
19701017	0.01	10.89	0.08
19701018	1.08	10.17	0.07
19701019	1.09	10.43	0.07
19701020	0.4	5.49	0.06
19701021	0.84	6.06	0.07
19701022	0.12	7.0	0.07
19701023	0.19	8.52	0.08
19701024	0.25	11.03	0.08
19701025	1.63	11.57	0.1
19701026	0.04	10.54	0.07
19701027	6.01	7.81	0.07
19701028	0.24	10.62	0.09
19701029	0.02	11.78	0.09
19701030	1.98	13.81	0.08
19701031	1.38	13.7	0.08
19701101	17.89	12.36	0.11
19701102	11.07	12.86	0.17
19701103	0.03	11.64	0.2
19701104	3.37	9.73	0.18
19701105	0.05	9.04	0.15
19701106	5.45	6.87	0.13
19701107	0.41	7.13	0.12
19701108	0.01	5.5	0.14
19701109	0.02	7.3	0.14
19701110	0.22	7.73	0.12
19701111	7.5	10.06	0.09
19701112	0.3	6.73	0.14
19701113	10.3	4.72	0.14
19701114	44.09	4.68	0.51
19701115	0.03	3.69	1.88
19701116	5.39	2.38	1.28
19701117	5.01	6.47	0.72
19701118	7.11	7.56	0.77
19701119	1.85	8.24	1.28
19701120	2.99	5.12	1.15
19701121	0.01	6.36	0.69
19701122	4.78	4.45	0.52
19701123	0.32	7.16	0.42
19701124	0.0	9.02	0.4
19701125	0.02	9.93	0.5
19701126	0.13	7.54	0.36
19701127	0.08	8.09	0.27
19701128	9.4	8.7	0.26
19701129	13.57	9.75	0.82
19701130	4.55	7.03	2.5
19701201	0.4	6.77	3.57
19701202	1.41	6.84	2.13
19701203	11.2	8.53	1.09
19701204	1.17	8.82	1.87
19701205	0.06	6.84	2.77
19701206	2.46	6.99	1.56
19701207	1.05	4.4	1.04
19701208	0.02	5.47	0.71
19701209	0.07	2.55	0.52
19701210	0.0	3.79	0.55
19701211	0.04	5.8	0.43
19701212	0.37	6.43	0.38
19701213	0.0	3.18	0.42
19701214	0.0	1.77	0.37
19701215	0.0	2.02	0.33
19701216	0.01	3.45	0.31
19701217	0.04	5.59	0.29
19701218	0.34	6.95	0.29
19701219	0.02	8.36	0.28
19701220	0.08	5.37	0.26
19701221	0.17	2.71	0.25
19701222	2.35	1.35	0.24
19701223	7.25	2.84	0.44
19701224	0.92	-0.03	0.91
19701225	3.42	-0.99	0.66
19701226	1.54	-1.66	0.56
19701227	0.24	-1.31	0.45
19701228	5.85	-0.06	0.42
19701229	7.17	1.49	1.14
19701230	0.54	1.39	2.58
