date	precipitation	temperature	discharge_spec
19951001	0.0	15.23	0.07
19951002	0.0	12.38	0.07
19951003	2.28	14.08	0.07
19951004	0.09	16.03	0.07
19951005	0.14	13.43	0.07
19951006	0.2	13.44	0.07
19951007	0.0	16.5	0.07
19951008	0.0	18.0	0.07
19951009	0.09	18.16	0.07
19951010	0.09	16.04	0.07
19951011	0.0	14.89	0.07
19951012	0.09	17.31	0.07
19951013	0.1	15.44	0.07
19951014	0.0	16.31	0.07
19951015	0.09	15.13	0.07
19951016	0.0	14.32	0.07
19951017	0.09	15.74	0.07
19951018	0.0	12.46	0.07
19951019	0.0	11.39	0.07
19951020	0.0	10.48	0.07
19951021	0.0	9.27	0.07
19951022	0.0	9.71	0.07
19951023	0.0	10.42	0.07
19951024	0.52	14.95	0.07
19951025	0.02	13.17	0.07
19951026	0.6	14.0	0.07
19951027	0.0	14.48	0.07
19951028	0.0	7.86	0.07
19951029	0.0	8.67	0.07
19951030	0.0	8.94	0.07
19951031	0.0	9.05	0.07
19951101	0.0	9.04	0.07
19951102	0.09	7.86	0.07
19951103	0.0	7.34	0.07
19951104	0.09	5.77	0.07
19951105	0.09	3.91	0.07
19951106	0.0	4.0	0.07
19951107	0.0	5.72	0.07
19951108	0.0	9.01	0.07
19951109	9.79	11.11	0.07
19951110	0.31	10.43	0.07
19951111	0.0	10.99	0.07
19951112	0.0	13.09	0.07
19951113	0.1	10.91	0.07
19951114	3.02	9.27	0.07
19951115	1.18	10.58	0.07
19951116	0.93	9.91	0.07
19951117	0.0	2.57	0.07
19951118	0.0	2.73	0.07
19951119	0.0	4.53	0.07
19951120	0.0	4.62	0.07
19951121	2.13	5.04	0.07
19951122	0.0	9.15	0.07
19951123	0.0	7.0	0.07
19951124	0.0	9.3	0.07
19951125	1.77	10.95	0.07
19951126	1.66	9.97	0.07
19951127	2.44	9.01	0.07
19951128	0.0	7.93	0.07
19951129	0.0	9.1	0.07
19951130	0.0	5.68	0.07
19951201	1.55	7.3	0.07
19951202	0.0	8.62	0.07
19951203	5.99	9.68	0.07
19951204	0.67	5.22	0.07
19951205	3.74	1.04	0.07
19951206	3.51	-1.38	0.07
19951207	0.06	-0.16	0.07
19951208	0.0	1.29	0.07
19951209	0.0	0.8	0.07
19951210	0.15	-0.44	0.07
19951211	0.11	1.51	0.07
19951212	1.83	3.31	0.07
19951213	1.24	5.51	0.07
19951214	0.19	3.19	0.07
19951215	0.0	2.32	0.07
19951216	0.0	2.56	0.07
19951217	1.1	3.42	0.07
19951218	0.33	3.85	0.07
19951219	28.13	4.5	0.07
19951220	0.1	3.53	0.07
19951221	13.31	5.61	0.07
19951222	9.69	6.92	0.07
19951223	9.6	5.6	0.07
19951224	0.0	3.07	0.07
19951225	0.0	0.36	0.07
19951226	0.41	-1.27	0.07
19951227	0.0	-1.26	0.07
19951228	0.0	-3.46	0.07
19951229	0.0	-2.0	0.07
19951230	9.1	-0.63	0.07
19951231	0.68	0.92	0.07
19960101	0.2	3.45	0.07
19960102	0.15	4.42	0.07
19960103	0.09	3.82	0.07
19960104	2.2	3.93	0.07
19960105	10.45	5.46	0.07
19960106	5.34	5.6	0.07
19960107	0.1	8.08	0.07
19960108	7.13	8.83	0.07
19960109	0.21	8.79	0.07
19960110	0.0	7.54	0.07
19960111	0.87	7.65	0.07
19960112	0.38	9.48	0.07
19960113	0.09	9.75	0.07
19960114	0.0	8.1	0.07
19960115	0.1	5.99	0.07
19960116	0.66	5.61	0.07
19960117	0.1	5.44	0.07
19960118	0.11	3.58	0.07
19960119	0.0	5.18	0.07
19960120	0.0	2.79	0.07
19960121	0.0	1.63	0.07
19960122	0.0	3.74	0.07
19960123	11.26	2.2	0.07
19960124	0.0	1.89	0.07
19960125	0.0	-2.03	0.07
19960126	0.48	-3.76	0.07
19960127	0.1	-2.94	0.07
19960128	0.1	0.21	0.07
19960129	0.0	-0.37	0.07
19960130	0.0	1.18	0.07
19960131	0.0	1.27	0.07
19960201	0.0	0.07	0.07
19960202	0.0	-0.17	0.07
19960203	0.0	0.68	0.07
19960204	0.0	0.27	0.07
19960205	0.0	-0.75	0.07
19960206	0.0	-1.03	0.07
19960207	0.0	-0.88	0.07
19960208	1.05	0.05	0.07
19960209	1.66	2.56	0.07
19960210	1.0	5.88	0.07
19960211	8.45	5.99	0.07
19960212	0.72	3.97	0.07
19960213	0.12	3.47	0.07
19960214	0.0	2.32	0.07
19960215	0.0	2.12	0.07
19960216	0.0	7.71	0.07
19960217	4.73	7.06	0.07
19960218	2.28	5.96	0.07
19960219	1.36	0.01	0.07
19960220	0.0	-1.28	0.07
19960221	0.03	-1.11	0.07
19960222	1.28	-0.25	0.07
19960223	0.0	3.24	0.07
19960224	3.54	6.86	0.07
19960225	4.39	5.98	0.07
19960226	0.1	4.42	0.07
19960227	0.09	3.26	0.07
19960228	0.0	2.0	0.07
19960229	0.0	3.78	0.07
19960301	0.33	5.04	0.07
19960302	1.86	4.45	0.07
19960303	0.86	4.9	0.07
19960304	0.72	4.8	0.07
19960305	0.09	5.0	0.07
19960306	0.0	5.15	0.07
19960307	0.0	2.65	0.07
19960308	0.18	4.2	0.07
19960309	1.48	4.04	0.07
19960310	0.24	3.6	0.07
19960311	0.0	-0.02	0.07
19960312	0.0	0.61	0.07
19960313	0.0	-0.06	0.07
19960314	0.09	1.44	0.07
19960315	0.0	4.51	0.07
19960316	0.0	4.19	0.07
19960317	0.0	3.87	0.07
19960318	0.0	4.53	0.07
19960319	0.0	3.46	0.07
19960320	5.02	3.17	0.07
19960321	3.78	6.49	0.07
19960322	5.35	7.06	0.07
19960323	0.0	9.82	0.07
19960324	0.0	5.9	0.07
19960325	0.0	6.2	0.07
19960326	0.39	3.75	0.07
19960327	0.0	2.34	0.07
19960328	1.91	3.03	0.07
19960329	0.0	3.95	0.07
19960330	0.0	2.75	0.07
19960331	0.0	3.77	0.07
19960401	0.0	2.28	0.07
19960402	0.0	2.51	0.07
19960403	0.09	2.66	0.07
19960404	0.0	4.08	0.07
19960405	0.0	5.43	0.07
19960406	0.0	5.62	0.07
19960407	0.0	6.41	0.07
19960408	0.0	9.4	0.07
19960409	0.0	10.99	0.07
19960410	0.95	8.87	0.07
19960411	0.2	8.27	0.07
19960412	3.39	4.48	0.07
19960413	0.0	4.91	0.07
19960414	0.0	6.39	0.07
19960415	0.0	10.6	0.07
19960416	0.0	12.77	0.07
19960417	0.1	11.19	0.07
19960418	0.0	10.43	0.07
19960419	0.0	11.25	0.07
19960420	0.0	14.5	0.07
19960421	0.39	16.02	0.07
19960422	0.79	9.94	0.07
19960423	0.61	10.07	0.07
19960424	0.16	10.29	0.07
19960425	0.0	10.52	0.07
19960426	0.0	13.43	0.07
19960427	0.0	13.56	0.07
19960428	0.0	9.68	0.07
19960429	0.0	7.49	0.07
19960430	0.61	8.63	0.07
19960501	0.09	9.29	0.07
19960502	0.0	7.69	0.07
19960503	0.09	6.27	0.07
19960504	0.0	5.56	0.07
19960505	0.0	6.74	0.07
19960506	0.0	7.64	0.07
19960507	0.0	7.65	0.07
19960508	0.0	6.49	0.07
19960509	0.0	6.78	0.07
19960510	1.91	6.37	0.07
19960511	0.0	6.9	0.07
19960512	0.0	8.74	0.07
19960513	0.0	9.46	0.07
19960514	0.0	8.65	0.07
19960515	0.0	8.07	0.07
19960516	10.79	5.52	0.07
19960517	0.57	6.03	0.07
19960518	2.21	6.08	0.07
19960519	0.0	9.29	0.07
19960520	0.42	9.86	0.07
19960521	2.05	10.42	0.07
19960522	3.11	10.48	0.07
19960523	0.6	13.29	0.07
19960524	5.43	12.29	0.07
19960525	0.04	12.44	0.07
19960526	2.03	10.86	0.07
19960527	0.0	11.18	0.07
19960528	0.0	10.91	0.07
19960529	0.0	15.8	0.07
19960530	0.0	18.42	0.07
19960531	0.0	14.82	0.07
19960601	0.36	12.41	0.07
19960602	0.0	12.37	0.07
19960603	0.0	13.53	0.07
19960604	0.0	15.97	0.07
19960605	0.0	18.98	0.07
19960606	0.0	20.82	0.07
19960607	1.29	23.91	0.07
19960608	5.25	16.93	0.07
19960609	0.09	16.33	0.07
19960610	0.0	17.15	0.07
19960611	0.0	16.9	0.07
19960612	0.0	15.76	0.07
19960613	0.0	14.35	0.07
19960614	0.0	13.27	0.07
19960615	0.0	14.34	0.07
19960616	0.0	16.05	0.07
19960617	0.09	19.09	0.07
19960618	0.0	15.11	0.07
19960619	0.66	14.27	0.07
19960620	0.0	11.59	0.07
19960621	0.0	11.5	0.07
19960622	0.0	12.24	0.07
19960623	0.0	12.56	0.07
19960624	0.0	13.86	0.07
19960625	0.0	15.91	0.07
19960626	0.14	17.61	0.07
19960627	0.0	16.35	0.07
19960628	0.85	15.37	0.07
19960629	0.0	13.03	0.07
19960630	0.0	15.37	0.07
19960701	9.95	13.49	0.07
19960702	0.0	14.13	0.07
19960703	0.49	14.04	0.07
19960704	2.24	15.09	0.07
19960705	5.8	13.76	0.07
19960706	2.48	12.51	0.07
19960707	0.48	13.72	0.07
19960708	0.0	14.26	0.07
19960709	0.0	15.33	0.07
19960710	0.0	17.47	0.07
19960711	0.22	19.01	0.07
19960712	0.0	18.84	0.07
19960713	0.0	19.66	0.07
19960714	0.0	19.81	0.07
19960715	0.29	16.92	0.07
19960716	0.0	14.12	0.07
19960717	0.0	15.72	0.07
19960718	0.0	16.77	0.07
19960719	0.09	16.36	0.07
19960720	0.0	19.09	0.07
19960721	0.0	20.42	0.07
19960722	0.43	22.86	0.07
19960723	1.68	20.28	0.07
19960724	6.66	16.32	0.07
19960725	0.0	16.8	0.07
19960726	3.18	20.37	0.07
19960727	1.85	18.1	0.07
19960728	0.0	17.89	0.07
19960729	4.33	18.5	0.07
19960730	0.19	17.6	0.07
19960731	0.0	18.39	0.07
19960801	1.45	16.67	0.07
19960802	0.0	16.09	0.07
19960803	0.0	16.47	0.07
19960804	0.0	16.94	0.07
19960805	0.0	19.78	0.07
19960806	0.0	17.92	0.07
19960807	0.0	16.31	0.07
19960808	0.67	16.85	0.07
19960809	0.32	17.78	0.07
19960810	0.1	18.04	0.07
19960811	5.13	16.06	0.07
19960812	0.03	16.58	0.07
19960813	0.0	16.91	0.07
19960814	0.0	16.83	0.07
19960815	0.0	17.08	0.07
19960816	0.0	18.56	0.07
19960817	0.0	19.51	0.07
19960818	0.0	21.43	0.07
19960819	0.0	21.98	0.07
19960820	0.56	20.47	0.07
19960821	0.0	18.91	0.07
19960822	16.81	17.53	0.07
19960823	1.21	16.71	0.07
19960824	8.56	15.8	0.07
19960825	0.0	15.56	0.07
19960826	0.0	15.17	0.07
19960827	17.14	14.36	0.07
19960828	12.73	13.79	0.07
19960829	0.88	13.83	0.07
19960830	0.0	14.07	0.07
19960831	0.0	13.42	0.07
19960901	0.0	14.55	0.07
19960902	0.03	16.8	0.07
19960903	0.0	16.51	0.07
19960904	0.0	15.3	0.07
19960905	0.0	16.71	0.07
19960906	0.0	15.07	0.07
19960907	0.0	15.02	0.07
19960908	0.0	14.82	0.07
19960909	0.0	14.4	0.07
19960910	0.0	13.16	0.07
19960911	0.19	13.31	0.07
19960912	0.07	13.17	0.07
19960913	0.0	11.91	0.07
19960914	0.0	12.21	0.07
19960915	0.0	14.32	0.07
19960916	0.0	14.57	0.07
19960917	0.0	13.91	0.07
19960918	4.48	12.94	0.07
19960919	1.25	12.25	0.07
19960920	0.09	13.01	0.07
19960921	0.0	12.88	0.07
19960922	0.2	11.79	0.07
19960923	0.1	11.7	0.07
19960924	0.09	12.2	0.07
19960925	0.44	14.52	0.07
19960926	0.09	13.99	0.07
19960927	0.09	14.36	0.07
19960928	0.1	14.24	0.07
19960929	1.25	16.74	0.07
19960930	19.97	12.85	0.07
19961001	0.09	11.45	0.07
19961002	0.0	10.49	0.07
19961003	0.87	12.9	0.07
19961004	0.3	10.69	0.07
19961005	0.08	9.11	0.07
19961006	0.09	9.64	0.07
19961007	0.0	13.44	0.07
19961008	3.47	13.81	0.07
19961009	0.27	12.03	0.07
19961010	0.0	11.13	0.07
19961011	0.0	10.95	0.07
19961012	0.1	12.23	0.07
19961013	0.09	14.59	0.07
19961014	0.99	15.01	0.07
19961015	0.09	12.18	0.07
19961016	0.0	10.11	0.07
19961017	0.87	8.65	0.07
19961018	4.55	11.33	0.07
19961019	0.0	12.29	0.07
19961020	2.24	14.43	0.07
19961021	0.15	12.65	0.07
19961022	0.0	12.3	0.07
19961023	0.0	12.9	0.07
19961024	0.83	13.14	0.07
19961025	3.74	13.61	0.07
19961026	1.56	10.7	0.07
19961027	0.29	14.17	0.07
19961028	2.29	13.78	0.07
19961029	0.0	9.47	0.07
19961030	2.13	7.98	0.07
19961031	1.67	11.57	0.07
19961101	0.0	12.55	0.07
19961102	2.96	15.17	0.07
19961103	17.97	14.67	0.07
19961104	0.0	12.88	0.07
19961105	1.35	10.16	0.07
19961106	0.09	12.62	0.07
19961107	0.12	8.84	0.07
19961108	0.0	5.52	0.07
19961109	17.22	6.89	0.07
19961110	0.35	4.79	0.07
19961111	2.01	3.45	0.07
19961112	1.9	6.87	0.07
19961113	0.0	4.56	0.07
19961114	0.0	2.96	0.07
19961115	0.0	3.97	0.07
19961116	0.24	2.6	0.07
19961117	3.03	6.31	0.07
19961118	0.05	3.13	0.07
19961119	25.61	3.29	0.07
19961120	0.0	4.69	0.07
19961121	0.09	1.49	0.07
19961122	1.37	2.32	0.07
19961123	0.0	2.45	0.07
19961124	10.85	2.93	0.07
19961125	1.2	7.33	0.07
19961126	0.0	4.43	0.07
19961127	1.11	2.07	0.07
19961128	5.36	0.72	0.07
19961129	3.0	6.87	0.07
19961130	0.31	5.97	0.07
19961201	0.08	7.0	0.07
19961202	7.37	6.01	0.07
19961203	0.0	8.23	0.07
19961204	0.0	4.65	0.07
19961205	0.0	2.52	0.07
19961206	0.61	2.64	0.07
19961207	0.0	4.13	0.07
19961208	0.0	5.0	0.07
19961209	0.0	3.58	0.07
19961210	0.0	3.49	0.07
19961211	0.74	3.73	0.07
19961212	0.0	2.14	0.07
19961213	0.0	3.12	0.07
19961214	0.0	0.24	0.07
19961215	0.0	6.63	0.07
19961216	0.34	6.12	0.07
19961217	0.1	4.98	0.07
19961218	4.42	7.97	0.07
19961219	0.2	7.94	0.07
19961220	0.0	5.07	0.07
19961221	0.0	2.08	0.07
19961222	0.0	2.65	0.07
19961223	0.0	1.82	0.07
19961224	0.0	0.13	0.07
19961225	0.0	1.23	0.07
19961226	1.42	-1.02	0.07
19961227	0.47	0.05	0.07
19961228	0.0	-0.64	0.07
19961229	0.4	-0.35	0.07
19961230	2.09	0.37	0.07
19961231	0.0	-2.66	0.07
19970101	0.0	-3.6	0.1
19970102	0.0	-4.22	0.11
19970103	0.0	-2.6	0.11
19970104	0.04	-0.2	0.12
19970105	0.0	0.35	0.13
19970106	0.0	-0.17	0.12
19970107	0.0	-2.43	0.11
19970108	1.17	-2.13	0.16
19970109	5.14	-0.65	0.28
19970110	0.0	-1.0	0.14
19970111	1.58	0.38	0.61
19970112	0.0	4.94	0.54
19970113	0.0	5.21	0.25
19970114	0.0	1.77	0.2
19970115	0.0	-0.41	0.16
19970116	0.0	1.93	0.16
19970117	0.2	4.51	0.15
19970118	2.93	5.5	0.46
19970119	0.01	3.89	0.3
19970120	0.0	4.18	0.17
19970121	0.01	2.66	0.16
19970122	2.11	5.48	0.31
19970123	0.0	6.37	0.16
19970124	0.0	4.44	0.15
19970125	0.0	3.49	0.13
19970126	0.0	1.83	0.12
19970127	0.0	3.76	0.13
19970128	0.0	3.07	0.12
19970129	0.0	4.51	0.13
19970130	0.0	3.89	0.13
19970131	0.0	4.22	0.12
19970201	0.0	3.49	0.13
19970202	0.0	3.91	0.13
19970203	0.0	2.5	0.14
19970204	6.29	7.64	0.69
19970205	0.0	4.96	0.19
19970206	0.0	7.6	0.15
19970207	2.98	7.71	0.58
19970208	0.0	2.89	0.18
19970209	0.0	7.73	0.17
19970210	1.38	7.64	0.31
19970211	5.71	6.4	0.9
19970212	1.86	10.57	0.53
19970213	1.3	5.84	0.5
19970214	0.0	3.08	0.22
19970215	0.0	3.94	0.18
19970216	0.72	4.65	0.18
19970217	6.32	7.76	0.91
19970218	0.55	6.91	0.48
19970219	2.92	6.36	0.5
19970220	0.0	8.04	0.24
19970221	0.0	10.04	0.2
19970222	0.0	8.8	0.18
19970223	2.37	9.61	0.4
19970224	8.77	8.66	3.21
19970225	2.34	9.57	0.76
19970226	0.33	7.38	0.39
19970227	0.0	6.81	0.28
19970228	0.0	9.02	0.23
19970301	0.0	8.08	0.2
19970302	0.0	10.02	0.18
19970303	2.28	5.91	0.24
19970304	1.55	7.39	0.54
19970305	0.26	8.79	0.22
19970306	0.09	7.17	0.18
19970307	0.0	8.85	0.17
19970308	0.0	8.63	0.16
19970309	0.0	7.86	0.15
19970310	0.03	6.71	0.15
19970311	0.0	6.83	0.12
19970312	0.0	8.51	0.12
19970313	0.0	8.83	0.12
19970314	0.0	10.51	0.12
19970315	0.0	12.06	0.12
19970316	0.0	11.05	0.13
19970317	0.0	10.43	0.12
19970318	0.74	8.87	0.11
19970319	0.0	8.08	0.11
19970320	0.09	7.91	0.11
19970321	0.0	6.5	0.1
19970322	0.33	6.03	0.1
19970323	0.24	8.79	0.11
19970324	0.0	7.79	0.1
19970325	0.0	9.01	0.1
19970326	0.0	10.62	0.1
19970327	0.0	11.02	0.11
19970328	0.0	7.93	0.08
19970329	0.0	7.6	0.08
19970330	0.0	8.18	0.09
19970331	0.0	8.7	0.09
19970401	0.0	9.65	0.09
19970402	0.0	10.25	0.09
19970403	0.0	9.5	0.09
19970404	0.0	7.49	0.08
19970405	0.29	12.13	0.09
19970406	0.0	8.05	0.08
19970407	0.09	7.02	0.08
19970408	0.0	8.2	0.08
19970409	0.0	11.16	0.09
19970410	0.0	11.46	0.09
19970411	0.0	7.84	0.08
19970412	0.0	6.6	0.08
19970413	0.0	9.23	0.08
19970414	0.0	9.13	0.08
19970415	0.0	7.05	0.08
19970416	0.48	6.71	0.09
19970417	0.0	8.2	0.09
19970418	0.0	6.93	0.08
19970419	0.0	6.14	0.08
19970420	0.0	5.09	0.08
19970421	0.0	5.99	0.08
19970422	0.0	6.8	0.08
19970423	0.0	8.92	0.07
19970424	0.0	10.6	0.07
19970425	2.37	8.56	0.14
19970426	2.27	9.6	0.33
19970427	0.09	11.91	0.1
19970428	0.09	13.62	0.09
19970429	0.0	12.43	0.08
19970430	0.0	11.99	0.07
19970501	0.0	14.16	0.07
19970502	0.0	16.1	0.07
19970503	1.27	16.97	0.09
19970504	0.18	13.87	0.2
19970505	7.42	12.77	0.82
19970506	0.94	5.04	0.25
19970507	1.62	5.3	0.16
19970508	4.23	8.13	0.58
19970509	3.79	9.49	0.28
19970510	1.29	10.18	0.16
19970511	0.01	11.09	0.1
19970512	0.34	10.42	0.1
19970513	0.0	12.05	0.08
19970514	0.0	12.32	0.08
19970515	6.04	11.7	0.63
19970516	0.0	14.93	0.21
19970517	0.0	17.3	0.1
19970518	0.0	16.27	0.09
19970519	0.21	14.59	0.09
19970520	7.09	12.94	0.8
19970521	0.09	10.79	0.11
19970522	0.1	10.03	0.11
19970523	0.0	9.63	0.08
19970524	0.0	9.18	0.06
19970525	0.0	10.58	0.06
19970526	0.0	13.46	0.06
19970527	0.0	11.95	0.07
19970528	0.0	10.2	0.06
19970529	0.0	12.94	0.06
19970530	0.0	14.44	0.06
19970531	0.0	14.84	0.06
19970601	0.0	13.57	0.05
19970602	0.0	15.22	0.06
19970603	0.0	13.59	0.06
19970604	0.0	13.15	0.06
19970605	1.16	17.48	0.18
19970606	13.29	18.9	1.32
19970607	0.0	18.75	0.25
19970608	0.45	16.57	0.08
19970609	0.0	16.01	0.07
19970610	10.36	18.07	0.82
19970611	11.29	18.22	2.05
19970612	1.51	16.39	0.17
19970613	1.2	16.57	0.2
19970614	3.7	13.87	0.34
19970615	0.15	12.66	0.13
19970616	0.0	13.82	0.09
19970617	0.0	13.95	0.07
19970618	0.0	14.8	0.07
19970619	1.66	13.02	0.15
19970620	3.75	12.54	0.43
19970621	6.39	13.18	0.27
19970622	5.61	13.08	0.73
19970623	0.79	13.81	0.19
19970624	1.38	13.62	0.11
19970625	8.85	12.63	0.76
19970626	11.26	13.62	1.06
19970627	9.05	12.7	3.31
19970628	0.05	13.35	0.25
19970629	0.43	13.93	0.16
19970630	0.1	12.27	0.12
19970701	1.1	13.58	0.67
19970702	0.03	12.86	0.12
19970703	3.62	12.88	0.41
19970704	0.32	14.33	0.24
