date	precipitation	temperature	discharge_spec
19701001	0.0	12.84	0.1
19701002	0.21	13.39	0.09
19701003	0.69	11.07	0.09
19701004	0.0	13.61	0.08
19701005	3.84	14.75	0.08
19701006	0.5	10.52	0.13
19701007	0.01	8.52	0.09
19701008	0.0	8.23	0.09
19701009	0.0	8.84	0.09
19701010	0.07	10.05	0.09
19701011	0.06	14.86	0.1
19701012	0.0	14.87	0.11
19701013	0.0	15.06	0.08
19701014	0.04	13.05	0.11
19701015	0.0	12.68	0.08
19701016	0.0	9.55	0.09
19701017	0.0	10.29	0.09
19701018	1.68	9.73	0.09
19701019	3.35	10.21	0.1
19701020	0.08	5.47	0.11
19701021	0.01	5.72	0.1
19701022	0.0	6.68	0.12
19701023	0.01	8.17	0.09
19701024	0.04	11.03	0.12
19701025	1.52	11.56	0.1
19701026	0.03	10.54	0.12
19701027	3.64	7.85	0.12
19701028	0.02	10.68	0.11
19701029	0.0	11.79	0.08
19701030	2.86	13.74	0.1
19701031	0.53	13.73	0.14
19701101	15.63	12.22	0.13
19701102	10.91	12.9	0.32
19701103	0.04	11.6	0.35
19701104	2.12	9.86	0.16
19701105	0.0	9.06	0.12
19701106	9.28	6.85	0.14
19701107	1.09	7.04	0.26
19701108	0.29	5.35	0.24
19701109	0.06	7.14	0.17
19701110	0.64	8.1	0.15
19701111	8.38	10.24	0.15
19701112	0.22	6.8	0.27
19701113	9.45	4.63	0.25
19701114	31.43	4.35	0.92
19701115	0.1	3.32	1.7
19701116	5.54	2.68	0.69
19701117	8.23	6.37	0.72
19701118	11.59	7.37	1.04
19701119	0.96	7.87	1.36
19701120	1.65	5.19	0.7
19701121	0.0	6.35	0.46
19701122	6.94	4.35	0.33
19701123	0.61	7.29	0.61
19701124	0.0	9.4	0.6
19701125	0.01	10.12	0.32
19701126	0.09	7.53	0.26
19701127	0.07	8.11	0.29
19701128	9.46	9.13	0.28
19701129	13.33	9.65	1.52
19701130	3.1	7.06	2.27
19701201	0.19	6.79	0.98
19701202	0.58	6.77	0.67
19701203	14.29	8.68	0.49
19701204	0.18	8.88	1.82
19701205	0.22	6.94	1.17
19701206	2.88	7.02	0.68
19701207	0.76	4.28	0.58
19701208	0.01	4.81	0.45
19701209	0.02	2.12	0.39
19701210	0.0	3.41	0.37
19701211	0.01	5.73	0.36
19701212	0.61	6.65	0.35
19701213	0.0	3.08	0.34
19701214	0.02	1.6	0.29
19701215	0.01	2.05	0.3
19701216	0.03	3.63	0.29
19701217	0.09	6.03	0.3
19701218	0.1	7.01	0.3
19701219	0.01	8.42	0.3
19701220	0.04	5.19	0.27
19701221	0.0	2.25	0.28
19701222	1.41	0.83	0.28
19701223	6.63	2.67	0.38
19701224	0.71	-0.5	0.54
19701225	2.08	-1.44	0.38
19701226	1.0	-1.81	0.35
19701227	0.07	-1.93	0.33
19701228	6.47	-0.55	0.3
19701229	6.96	1.09	0.67
19701230	0.31	1.04	1.09
19701231	0.01	-1.08	0.75
19710101	0.01	-0.71	0.46
19710102	0.0	-2.04	0.44
19710103	0.01	-3.41	0.33
19710104	0.0	-3.16	0.34
19710105	0.02	-3.65	0.33
19710106	0.67	2.71	0.32
19710107	3.31	4.48	0.81
19710108	0.15	8.82	0.89
19710109	0.02	8.77	0.63
19710110	0.0	7.31	0.47
19710111	0.0	2.62	0.42
19710112	0.02	3.05	0.4
19710113	0.01	3.58	0.32
19710114	1.5	3.15	0.33
19710115	0.57	3.89	0.35
19710116	1.39	4.49	0.34
19710117	0.04	4.87	0.33
19710118	1.48	5.98	0.35
19710119	3.84	6.74	0.43
19710120	8.03	4.9	0.5
19710121	3.68	5.93	1.28
19710122	6.25	6.25	1.09
19710123	13.79	7.04	2.13
19710124	1.49	6.48	2.7
19710125	7.68	6.91	1.48
19710126	10.4	6.17	2.4
19710127	2.4	5.87	2.64
19710128	0.63	5.67	1.57
19710129	0.77	4.82	0.89
19710130	4.22	2.69	0.96
19710131	4.58	3.36	1.0
19710201	0.01	2.16	1.07
19710202	0.0	2.26	0.77
19710203	0.0	4.62	0.48
19710204	0.01	5.38	0.56
19710205	0.16	4.04	0.49
19710206	0.15	4.02	0.49
19710207	0.0	5.69	0.47
19710208	0.0	4.93	0.46
19710209	0.0	5.23	0.46
19710210	0.0	4.62	0.45
19710211	0.04	4.45	0.44
19710212	1.95	6.06	0.42
19710213	0.01	6.09	0.44
19710214	5.41	4.51	0.41
19710215	0.23	3.96	0.53
19710216	1.24	0.32	0.5
19710217	3.97	1.62	0.48
19710218	0.61	4.05	0.53
19710219	0.87	4.65	0.48
19710220	1.02	6.53	0.45
19710221	0.04	7.01	0.45
19710222	0.0	4.99	0.41
19710223	0.0	3.64	0.36
19710224	0.0	4.74	0.37
19710225	0.0	5.24	0.37
19710226	0.0	4.47	0.36
19710227	0.02	1.8	0.38
19710228	0.0	0.95	0.33
19710301	6.81	1.18	0.36
19710302	0.24	3.54	0.45
19710303	0.01	1.37	0.42
19710304	0.01	-0.74	0.36
19710305	0.26	-1.99	0.35
19710306	0.1	-1.56	0.35
19710307	1.52	-0.61	0.32
19710308	1.21	2.5	0.33
19710309	0.14	6.46	0.35
19710310	0.0	3.27	0.34
19710311	0.0	5.77	0.32
19710312	0.0	6.7	0.32
19710313	0.03	7.82	0.32
19710314	11.69	5.57	0.33
19710315	1.69	5.1	0.77
19710316	2.22	3.89	0.61
19710317	11.67	5.32	0.66
19710318	6.56	7.63	2.22
19710319	2.72	7.39	1.74
19710320	1.02	7.34	1.0
19710321	0.62	6.24	0.77
19710322	0.05	6.09	0.58
19710323	2.19	3.85	0.5
19710324	0.39	7.82	0.51
19710325	1.34	8.29	0.48
19710326	0.03	5.84	0.46
19710327	0.02	5.73	0.43
19710328	0.54	5.88	0.42
19710329	0.09	7.58	0.37
19710330	0.05	5.79	0.4
19710331	0.16	5.1	0.4
19710401	0.34	5.34	0.44
19710402	0.02	6.79	0.37
19710403	0.02	5.37	0.35
19710404	0.16	6.38	0.34
19710405	0.09	5.81	0.31
19710406	0.01	6.79	0.33
19710407	0.0	6.92	0.32
19710408	0.34	6.16	0.3
19710409	0.34	6.08	0.32
19710410	0.02	7.09	0.3
19710411	0.01	6.88	0.3
