date	precipitation	temperature	discharge_spec
19930401	31.27	5.77	0.4
19930402	0.0	5.65	0.33
19930403	6.45	5.05	0.32
19930404	5.2	6.27	0.31
19930405	1.46	8.16	0.33
19930406	2.35	9.5	0.31
19930407	0.35	7.0	0.31
19930408	2.11	8.57	0.31
19930409	16.13	7.41	0.35
19930410	3.07	7.76	0.33
19930411	1.46	8.35	0.32
19930412	0.88	8.42	0.32
19930413	0.0	6.62	0.31
19930414	0.0	6.69	0.31
19930415	0.0	7.93	0.3
19930416	0.16	9.02	0.3
19930417	0.84	12.26	0.3
19930418	0.09	10.84	0.3
19930419	0.0	12.06	0.3
19930420	0.0	13.42	0.3
19930421	0.0	11.52	0.3
19930422	0.19	9.17	0.29
19930423	8.74	11.52	0.31
19930424	10.59	10.31	0.32
19930425	0.56	10.54	0.33
19930426	2.36	9.72	0.31
19930427	0.0	11.32	0.3
19930428	0.0	10.28	0.29
19930429	0.0	12.79	0.29
19930430	0.0	13.32	0.3
19930501	0.0	13.32	0.3
19930502	2.47	8.95	0.29
19930503	0.0	8.74	0.29
19930504	0.0	7.69	0.29
19930505	0.0	7.9	0.29
19930506	0.0	8.22	0.29
19930507	0.0	8.62	0.29
19930508	1.14	9.79	0.29
19930509	7.62	11.21	0.3
19930510	0.11	14.13	0.29
19930511	0.0	15.5	0.29
19930512	0.0	13.55	0.29
19930513	0.0	10.12	0.29
19930514	0.78	11.05	0.29
19930515	0.78	8.29	0.29
19930516	0.2	10.64	0.28
19930517	3.75	15.95	0.3
19930518	0.06	12.32	0.28
19930519	0.0	12.59	0.28
19930520	14.45	9.44	0.32
19930521	0.0	11.39	0.29
19930522	0.0	11.38	0.29
19930523	0.0	15.12	0.28
19930524	0.0	16.98	0.28
19930525	0.0	13.96	0.28
19930526	13.18	12.21	0.3
19930527	4.99	11.45	0.29
19930528	0.31	11.02	0.28
19930529	2.57	12.65	0.28
19930530	0.56	13.72	0.27
19930531	0.03	12.81	0.26
19930601	2.3	14.38	0.27
19930602	2.55	14.01	0.29
19930603	0.0	13.94	0.28
19930604	0.0	13.59	0.27
19930605	0.0	15.5	0.27
19930606	0.0	16.93	0.26
19930607	0.0	17.14	0.26
19930608	0.0	18.11	0.26
19930609	5.43	19.45	0.26
19930610	19.16	18.78	0.34
19930611	28.97	16.52	0.67
19930612	7.09	14.0	0.67
19930613	7.2	12.84	0.43
19930614	8.67	12.33	0.43
19930615	5.32	12.64	0.39
19930616	5.7	13.43	0.4
19930617	1.79	14.92	0.37
19930618	0.11	15.23	0.37
19930619	0.0	14.36	0.36
19930620	0.0	13.22	0.35
19930621	0.0	12.01	0.34
19930622	0.35	13.5	0.34
19930623	0.0	13.42	0.33
19930624	0.0	12.57	0.33
19930625	0.11	13.18	0.33
19930626	0.0	16.72	0.33
19930627	0.0	17.05	0.32
19930628	0.0	15.14	0.32
19930629	0.0	15.54	0.32
19930630	0.0	17.71	0.32
19930701	0.0	15.84	0.32
