date	precipitation	temperature	discharge_spec
19790801	1.76	17.18	0.38
19790802	2.51	17.07	0.34
19790803	0.01	16.06	0.33
19790804	0.0	15.99	0.32
19790805	0.0	16.49	0.32
19790806	0.01	17.77	0.31
19790807	13.23	18.52	0.39
19790808	18.54	14.93	0.44
19790809	2.96	14.57	0.7
19790810	1.3	14.12	0.38
19790811	0.15	17.91	0.34
19790812	0.52	19.58	0.34
19790813	2.17	18.17	0.33
19790814	0.17	17.85	0.33
19790815	0.29	15.11	0.32
19790816	8.84	13.78	0.33
19790817	2.72	15.0	0.42
19790818	0.0	15.45	0.33
19790819	0.04	15.28	0.31
19790820	2.09	16.04	0.31
19790821	0.03	15.6	0.32
19790822	0.16	12.83	0.31
19790823	5.59	11.42	0.31
19790824	0.01	12.19	0.34
19790825	0.12	11.72	0.32
19790826	1.25	13.04	0.31
19790827	0.09	12.02	0.32
19790828	0.0	12.63	0.31
19790829	0.0	14.97	0.3
19790830	0.0	17.01	0.29
19790831	0.14	16.91	0.29
19790901	2.44	17.5	0.29
19790902	0.04	16.82	0.29
19790903	0.01	15.22	0.29
19790904	0.0	15.44	0.26
19790905	0.0	15.59	0.27
19790906	0.0	17.97	0.27
19790907	0.0	15.18	0.28
19790908	0.0	15.82	0.28
19790909	0.0	17.52	0.28
19790910	0.0	16.01	0.27
19790911	0.0	15.77	0.26
19790912	0.0	15.1	0.27
19790913	0.0	14.45	0.26
19790914	0.0	10.5	0.26
19790915	0.0	10.12	0.26
19790916	0.0	12.18	0.26
19790917	0.0	14.41	0.25
19790918	0.43	15.64	0.26
19790919	7.63	16.9	0.3
19790920	0.0	12.98	0.3
19790921	1.22	9.7	0.27
19790922	0.0	8.12	0.29
19790923	1.93	8.05	0.27
19790924	0.04	10.59	0.26
19790925	0.17	12.26	0.26
19790926	0.68	16.35	0.26
19790927	0.0	13.9	0.25
19790928	0.0	10.56	0.25
19790929	0.0	10.14	0.25
19790930	0.0	11.92	0.26
19791001	0.0	14.44	0.25
19791002	0.47	12.15	0.25
19791003	0.43	14.25	0.25
19791004	0.16	15.48	0.25
19791005	0.0	10.67	0.25
19791006	1.37	11.33	0.25
19791007	0.08	15.23	0.26
19791008	11.28	14.86	0.26
19791009	9.87	17.3	0.4
19791010	9.19	14.49	0.51
19791011	0.04	13.13	0.36
19791012	4.99	13.58	0.31
19791013	0.31	14.58	0.34
19791014	0.05	12.4	0.31
19791015	0.0	10.66	0.27
19791016	0.0	10.78	0.26
19791017	1.31	9.66	0.26
19791018	0.03	11.02	0.25
19791019	0.0	12.11	0.26
19791020	0.0	10.43	0.26
19791021	0.03	9.14	0.25
19791022	0.0	8.92	0.24
19791023	0.0	8.02	0.25
19791024	2.29	8.84	0.26
19791025	22.91	10.12	0.32
19791026	1.56	10.75	0.49
19791027	0.02	7.21	0.3
19791028	0.03	4.25	0.27
19791029	0.0	6.75	0.25
19791030	3.9	7.58	0.24
19791031	0.07	10.17	0.27
19791101	0.0	9.1	0.25
19791102	4.37	6.71	0.24
19791103	1.53	9.35	0.28
19791104	4.12	11.74	0.29
19791105	3.88	8.61	0.29
19791106	1.17	9.5	0.29
19791107	6.11	8.73	0.33
19791108	0.05	5.79	0.29
19791109	0.03	5.03	0.25
19791110	0.0	3.13	0.25
19791111	4.27	5.0	0.25
19791112	0.0	4.4	0.27
19791113	4.85	0.45	0.24
19791114	1.58	1.55	0.28
19791115	4.62	3.43	0.27
19791116	0.91	3.67	0.3
19791117	0.88	3.31	0.27
19791118	0.09	4.54	0.26
19791119	0.09	5.92	0.24
19791120	0.0	2.27	0.23
19791121	0.15	2.42	0.23
19791122	0.05	4.04	0.23
19791123	0.53	8.32	0.23
19791124	0.1	3.62	0.23
19791125	0.42	6.79	0.23
19791126	8.06	10.1	0.24
19791127	0.09	9.71	0.33
19791128	0.0	9.78	0.26
19791129	0.32	7.92	0.25
19791130	0.04	9.35	0.24
19791201	0.23	10.72	0.24
19791202	0.13	10.69	0.23
