date	precipitation	temperature	discharge_spec
19701001	0.0	13.03	0.34
19701002	0.34	13.84	0.33
19701003	0.02	11.44	0.3
19701004	0.0	13.84	0.31
19701005	3.26	14.73	0.34
19701006	0.56	10.56	0.35
19701007	0.22	8.34	0.34
19701008	0.0	8.06	0.32
19701009	0.0	8.79	0.33
19701010	0.06	10.14	0.32
19701011	0.25	14.55	0.33
19701012	0.02	13.85	0.33
19701013	0.0	14.4	0.33
19701014	0.0	13.15	0.34
19701015	0.0	12.53	0.33
19701016	0.0	9.52	0.33
19701017	0.0	9.99	0.32
19701018	1.18	9.46	0.32
19701019	0.62	10.21	0.34
19701020	0.0	6.02	0.32
19701021	0.0	5.71	0.3
19701022	0.0	6.33	0.3
19701023	0.0	8.04	0.32
19701024	0.0	11.1	0.31
19701025	1.47	11.78	0.32
19701026	0.15	10.99	0.33
19701027	1.76	8.0	0.33
19701028	0.0	11.02	0.33
19701029	0.03	11.79	0.33
19701030	1.18	13.55	0.31
19701031	0.56	13.92	0.35
19701101	15.04	12.54	0.34
19701102	11.86	13.2	0.86
19701103	0.04	12.02	0.86
19701104	1.34	10.42	0.46
19701105	0.0	9.46	0.42
19701106	24.28	7.21	0.51
19701107	0.94	7.31	1.7
19701108	0.43	5.54	0.73
19701109	0.0	7.13	0.57
19701110	1.54	8.9	0.52
19701111	8.86	10.69	0.52
19701112	0.45	7.21	0.9
19701113	17.65	4.88	0.93
19701114	25.0	4.54	2.57
19701115	0.1	3.77	2.28
19701116	4.48	3.56	1.38
19701117	10.93	6.61	1.54
19701118	18.63	7.68	2.23
19701119	4.86	7.98	2.43
19701120	2.65	6.04	2.01
19701121	0.35	6.72	1.19
19701122	7.8	4.99	0.92
19701123	1.26	7.53	1.51
19701124	0.25	10.56	1.25
19701125	0.04	10.7	0.99
19701126	0.11	8.24	0.79
19701127	0.5	8.68	0.67
19701128	14.07	9.93	0.58
19701129	7.88	10.22	1.92
19701130	0.08	7.54	1.47
19701201	0.12	7.12	1.12
19701202	0.85	6.79	0.92
19701203	6.66	9.46	0.9
19701204	1.29	9.49	1.34
19701205	0.46	7.5	1.0
19701206	2.89	7.67	0.97
19701207	0.12	4.78	0.87
19701208	0.0	4.48	0.77
19701209	0.04	2.06	0.72
