date	precipitation	temperature	discharge_spec
19701001	0.0	13.11	0.74
19701002	0.22	14.1	0.75
19701003	0.05	11.43	0.75
19701004	0.0	13.98	0.73
19701005	2.93	14.97	0.98
19701006	1.92	10.99	0.87
19701007	0.01	8.67	0.77
19701008	0.0	8.37	0.73
19701009	0.0	9.02	0.71
19701010	0.44	10.85	0.73
19701011	0.02	15.24	0.69
19701012	0.01	14.52	0.77
19701013	0.01	14.94	0.78
19701014	0.06	13.42	0.75
19701015	0.0	12.79	0.69
19701016	0.0	9.52	0.67
19701017	0.0	10.19	0.67
19701018	0.95	9.7	0.65
19701019	0.03	10.35	0.76
19701020	0.0	5.96	0.71
19701021	0.0	5.88	0.66
19701022	0.0	6.51	0.67
19701023	0.0	8.01	0.68
19701024	0.0	11.18	0.65
19701025	1.97	11.84	0.63
19701026	0.02	11.18	0.72
19701027	0.78	7.97	0.69
19701028	0.0	10.96	0.69
19701029	0.0	11.9	0.68
19701030	1.98	13.61	0.7
19701031	0.8	14.01	0.77
19701101	11.46	12.75	0.98
19701102	10.25	13.3	1.46
19701103	0.04	12.17	1.0
19701104	0.83	10.43	0.85
19701105	0.03	9.55	0.63
19701106	18.12	7.16	2.14
19701107	0.89	7.37	1.36
19701108	0.13	5.59	0.79
19701109	0.01	7.27	0.76
19701110	1.29	8.65	0.75
19701111	10.98	10.73	1.3
19701112	0.33	7.19	1.35
19701113	27.39	5.0	3.47
19701114	35.31	4.85	7.57
19701115	0.01	3.78	2.44
19701116	3.65	3.41	1.84
19701117	7.92	6.73	2.26
19701118	13.35	7.78	3.19
19701119	2.66	8.28	2.41
19701120	4.45	6.05	2.1
19701121	0.02	6.84	1.39
19701122	6.18	4.88	1.6
19701123	0.99	7.45	1.68
19701124	0.0	10.2	1.24
19701125	0.02	10.46	1.11
19701126	0.0	8.14	0.97
19701127	0.05	8.51	0.93
19701128	12.67	9.67	1.65
19701129	8.23	10.48	3.83
19701130	0.29	7.64	1.88
19701201	0.01	7.25	1.32
19701202	1.26	6.75	1.13
19701203	11.46	9.4	1.99
19701204	1.38	9.62	2.77
19701205	0.05	7.5	1.65
19701206	4.64	7.79	2.17
19701207	0.11	4.56	1.43
19701208	0.0	4.91	1.22
19701209	0.01	2.41	1.13
19701210	0.0	3.55	1.14
19701211	0.03	6.15	1.09
19701212	1.87	7.27	1.03
19701213	0.09	3.37	1.0
19701214	0.0	1.81	0.97
19701215	0.0	2.39	0.91
19701216	0.0	4.04	0.91
19701217	0.21	6.47	0.78
19701218	0.14	7.1	0.78
19701219	0.01	8.9	0.75
19701220	0.38	4.92	0.77
19701221	0.04	2.1	0.75
19701222	0.09	0.81	0.72
19701223	6.98	2.59	1.45
19701224	3.96	-0.46	0.9
19701225	3.7	-1.51	0.82
19701226	4.39	-1.74	0.85
19701227	0.08	-2.27	0.84
19701228	5.77	-0.83	1.47
19701229	5.13	0.68	2.25
19701230	0.14	0.8	2.0
19701231	0.01	-1.29	1.35
19710101	0.0	-0.6	1.1
19710102	0.0	-2.0	0.97
19710103	0.0	-3.49	0.91
19710104	0.0	-3.13	0.89
19710105	0.0	-2.98	0.84
