date	precipitation	temperature	discharge_spec
19771201	0.12	3.79	0.23
19771202	0.0	3.06	0.21
19771203	0.0	1.72	0.21
19771204	0.01	2.64	0.21
19771205	0.28	3.26	0.22
19771206	6.36	3.84	0.43
19771207	24.61	6.44	0.69
19771208	0.03	7.57	0.09
19771209	10.13	7.97	0.43
19771210	8.64	8.63	1.16
19771211	1.55	9.27	0.63
19771212	0.83	9.77	0.45
19771213	0.45	7.43	0.36
19771214	0.08	6.97	0.31
19771215	0.1	5.5	0.28
19771216	0.25	5.49	0.27
19771217	4.35	6.33	0.26
19771218	0.93	7.65	0.41
19771219	0.09	5.25	0.27
19771220	0.0	4.27	0.26
19771221	0.91	5.48	0.25
19771222	1.09	6.43	0.25
19771223	0.9	11.67	0.27
19771224	0.18	10.77	0.24
19771225	1.74	7.77	0.25
19771226	13.32	7.3	0.87
19771227	0.77	4.55	0.53
19771228	0.03	2.67	0.35
19771229	1.16	4.16	0.31
19771230	0.41	4.32	0.3
19771231	0.21	5.09	0.26
19780101	0.0	6.48	0.24
19780102	0.01	6.37	0.23
19780103	3.16	4.34	0.33
19780104	0.02	2.23	0.26
19780105	0.0	1.94	0.22
19780106	0.0	4.66	0.22
19780107	0.0	3.13	0.21
19780108	0.64	2.22	0.21
19780109	0.51	4.29	0.25
19780110	12.21	3.73	0.62
19780111	18.16	3.0	1.75
19780112	0.1	1.21	0.67
19780113	0.48	1.45	0.43
19780114	0.4	2.48	0.36
19780115	0.48	4.58	0.33
19780116	7.13	2.99	0.46
19780117	0.03	1.98	0.49
19780118	1.37	-1.73	0.34
19780119	0.83	-1.31	0.42
19780120	0.02	1.57	0.31
19780121	5.84	1.78	0.39
19780122	0.12	2.7	0.46
19780123	13.0	4.16	1.26
19780124	0.01	5.49	0.57
19780125	3.92	3.84	0.43
19780126	3.43	2.34	0.8
19780127	22.05	3.43	1.57
19780128	1.73	4.08	1.51
19780129	6.57	3.12	1.01
19780130	0.81	3.19	0.68
19780131	1.72	0.35	0.57
19780201	3.36	4.72	0.6
19780202	7.95	4.23	1.05
19780203	0.06	2.38	0.61
19780204	7.84	3.51	0.94
19780205	3.69	5.57	0.71
19780206	0.49	4.05	0.59
19780207	0.03	2.99	0.46
19780208	1.04	0.82	0.4
19780209	0.72	-1.27	0.38
19780210	0.06	-2.8	0.35
19780211	0.0	-4.29	0.32
19780212	0.13	-3.9	0.3
19780213	0.1	-1.36	0.3
19780214	0.04	-1.34	0.27
19780215	0.0	-0.68	0.27
19780216	0.03	0.62	0.28
19780217	0.0	0.42	0.26
19780218	0.0	-2.26	0.25
19780219	0.0	-0.77	0.25
19780220	0.71	-0.38	0.27
19780221	1.13	2.24	0.3
19780222	0.02	4.26	0.26
19780223	1.34	8.49	0.3
19780224	8.19	8.79	0.64
19780225	13.15	8.98	0.88
19780226	5.33	8.51	1.05
19780227	0.4	9.04	0.61
19780228	3.76	7.11	0.46
19780301	0.55	8.76	0.6
19780302	6.92	5.74	0.79
19780303	0.02	6.85	0.55
19780304	0.0	4.39	0.43
19780305	0.0	3.59	0.39
19780306	0.0	3.31	0.38
19780307	0.0	4.9	0.38
19780308	0.0	7.34	0.35
19780309	0.0	5.78	0.35
19780310	0.0	10.62	0.35
19780311	3.69	10.75	0.37
19780312	1.69	8.68	0.5
19780313	4.25	6.11	0.44
19780314	1.54	8.42	0.5
19780315	15.26	7.84	0.97
19780316	3.75	4.0	0.82
19780317	0.54	2.8	0.51
19780318	0.0	2.79	0.43
19780319	4.76	5.73	0.54
19780320	1.55	6.4	0.45
19780321	0.0	5.27	0.36
19780322	1.35	5.84	0.37
19780323	0.23	5.48	0.35
19780324	0.07	5.86	0.32
19780325	3.42	8.48	0.44
19780326	0.98	5.9	0.35
19780327	3.04	9.15	0.35
19780328	5.73	8.82	0.55
19780329	0.06	9.16	0.4
19780330	0.0	6.83	0.36
19780331	6.26	5.84	0.53
19780401	0.89	8.79	0.41
19780402	1.37	9.61	0.38
19780403	0.49	6.47	0.35
19780404	0.05	6.22	0.32
19780405	0.0	6.76	0.31
19780406	0.0	6.01	0.3
19780407	0.0	4.78	0.3
19780408	0.0	6.27	0.28
19780409	0.53	5.71	0.28
19780410	8.0	3.43	0.4
19780411	3.83	1.77	0.46
19780412	3.73	3.6	0.57
19780413	8.56	1.42	0.68
19780414	0.41	4.63	0.47
19780415	0.0	4.06	0.37
19780416	0.02	4.01	0.33
19780417	0.04	5.82	0.34
19780418	0.0	5.54	0.31
19780419	5.67	6.36	0.41
19780420	2.88	9.52	0.42
19780421	0.18	7.76	0.34
19780422	0.0	9.88	0.29
19780423	0.02	9.18	0.27
19780424	0.74	10.19	0.28
19780425	4.93	7.5	0.33
19780426	1.98	5.56	0.36
19780427	0.09	5.74	0.26
19780428	4.93	5.2	0.42
19780429	4.81	8.32	0.4
19780430	1.41	10.13	0.37
19780501	30.74	8.35	1.68
19780502	9.17	8.06	1.42
19780503	0.1	10.12	0.56
19780504	4.79	13.14	0.54
19780505	29.06	9.86	2.36
19780506	0.44	10.8	1.37
19780507	1.75	12.16	0.65
19780508	1.78	10.19	0.51
19780509	0.0	12.27	0.39
19780510	0.0	9.57	0.34
19780511	4.92	9.47	0.46
19780512	4.21	9.98	0.42
19780513	0.62	9.27	0.34
19780514	6.28	8.46	0.58
19780515	0.45	9.11	0.34
19780516	0.04	9.91	0.3
19780517	0.0	9.71	0.28
19780518	0.0	10.52	0.28
19780519	0.0	10.49	0.29
19780520	0.0	11.46	0.27
19780521	0.16	10.19	0.26
19780522	0.02	12.23	0.26
19780523	0.0	12.93	0.25
19780524	0.0	12.01	0.23
19780525	0.0	10.93	0.22
19780526	0.0	10.67	0.22
19780527	0.0	12.12	0.2
19780528	0.0	13.9	0.19
19780529	0.0	14.21	0.18
19780530	0.0	16.33	0.17
19780531	0.0	18.52	0.16
19780601	0.0	18.72	0.16
19780602	0.05	17.49	0.16
19780603	0.0	17.51	0.16
19780604	0.16	18.47	0.17
19780605	0.0	15.35	0.17
19780606	0.0	15.75	0.17
19780607	4.22	13.71	0.26
19780608	0.0	15.12	0.18
19780609	0.0	13.71	0.18
19780610	0.0	11.53	0.17
19780611	0.0	13.79	0.18
19780612	0.0	11.54	0.18
19780613	0.0	10.3	0.18
19780614	0.0	11.44	0.19
19780615	10.44	10.5	0.59
19780616	0.18	12.07	0.22
19780617	0.04	14.56	0.2
19780618	0.01	13.83	0.2
19780619	0.17	14.4	0.22
19780620	0.92	16.36	0.23
19780621	4.61	14.23	0.3
19780622	10.91	13.1	0.82
19780623	8.07	12.32	0.74
19780624	0.0	11.19	0.29
19780625	0.36	12.4	0.26
19780626	0.26	12.09	0.25
19780627	1.79	10.59	0.28
19780628	0.47	15.86	0.31
19780629	2.87	14.78	0.42
19780630	0.1	14.45	0.31
19780701	0.77	12.44	0.33
19780702	0.9	15.34	0.35
19780703	1.67	14.75	0.39
19780704	4.05	12.46	0.41
19780705	0.19	12.02	0.39
19780706	0.0	12.22	0.36
19780707	0.24	13.65	0.39
19780708	10.61	13.52	0.79
19780709	0.35	15.94	0.35
19780710	0.01	13.48	0.31
19780711	0.3	14.23	0.31
19780712	0.31	14.93	0.32
19780713	0.0	16.2	0.31
19780714	0.0	16.45	0.3
19780715	0.0	14.39	0.3
19780716	0.0	14.67	0.29
19780717	0.0	15.22	0.28
19780718	0.13	16.14	0.13
19780719	0.26	15.27	0.11
19780720	0.0	14.57	0.11
19780721	0.0	14.96	0.11
19780722	0.07	15.06	0.11
19780723	0.24	14.6	0.11
19780724	0.0	16.66	0.11
19780725	1.6	13.96	0.12
19780726	0.4	17.39	0.12
19780727	0.17	17.39	0.12
19780728	0.0	19.7	0.11
19780729	4.86	18.41	0.12
19780730	2.18	17.95	0.24
19780731	50.14	16.04	1.9
19780801	2.6	17.03	0.27
19780802	12.73	15.34	0.8
19780803	1.68	17.04	0.23
19780804	5.64	15.89	0.33
19780805	2.28	16.3	0.18
19780806	4.3	15.29	0.28
19780807	4.38	14.88	0.32
19780808	0.25	14.22	0.16
19780809	2.54	14.95	0.25
19780810	0.0	14.76	0.14
19780811	0.68	14.51	0.13
