date	precipitation	temperature	discharge_spec
19970825	6.76	16.95	0.16
19970826	0.79	16.08	0.21
19970827	10.39	15.66	0.21
19970828	4.62	14.48	0.28
19970829	13.64	15.59	0.26
19970830	1.42	15.45	0.25
19970831	3.04	17.01	0.27
19970901	0.01	16.27	0.28
19970902	0.45	15.13	0.26
19970903	3.22	15.9	0.22
19970904	0.01	15.67	0.22
19970905	0.46	14.11	0.19
19970906	0.03	13.98	0.17
19970907	0.0	15.56	0.19
19970908	0.0	14.66	0.18
19970909	0.0	14.4	0.17
19970910	0.0	13.92	0.17
19970911	1.56	14.91	0.15
19970912	1.68	13.1	0.16
19970913	0.01	10.94	0.16
19970914	0.0	12.08	0.14
19970915	0.0	13.46	0.15
19970916	0.0	15.23	0.16
19970917	0.0	14.94	0.16
19970918	6.01	15.53	0.16
19970919	2.07	14.11	0.15
19970920	0.04	14.28	0.18
19970921	0.0	12.32	0.17
19970922	0.0	12.62	0.17
19970923	0.0	12.57	0.16
19970924	0.0	13.39	0.15
19970925	0.0	14.7	0.15
19970926	0.0	14.55	0.15
19970927	0.0	13.93	0.15
19970928	0.0	13.81	0.15
19970929	1.75	15.44	0.15
19970930	0.05	16.57	0.15
19971001	0.0	17.79	0.15
19971002	0.0	14.22	0.14
19971003	0.0	13.01	0.14
19971004	0.0	14.38	0.15
19971005	0.0	13.39	0.14
19971006	7.62	14.22	0.15
19971007	3.72	12.61	0.17
19971008	11.28	13.69	0.2
19971009	10.43	16.07	0.23
19971010	0.35	12.91	0.28
19971011	14.85	10.28	0.34
19971012	0.02	8.66	0.4
19971013	0.09	7.59	0.32
19971014	8.86	6.14	0.27
19971015	0.85	11.68	0.37
19971016	1.11	13.04	0.3
19971017	0.09	15.06	0.26
19971018	0.01	14.07	0.29
19971019	0.03	13.38	0.28
19971020	0.02	11.13	0.23
19971021	0.0	8.76	0.23
19971022	0.0	6.38	0.22
19971023	0.0	7.01	0.21
19971024	0.0	6.29	0.21
19971025	0.0	4.27	0.22
19971026	0.0	5.04	0.22
19971027	0.0	7.27	0.21
19971028	0.0	3.87	0.21
19971029	0.0	3.18	0.19
19971030	0.01	3.98	0.2
19971031	0.0	4.72	0.2
19971101	0.03	4.98	0.2
19971102	0.09	6.57	0.2
19971103	0.01	7.9	0.21
19971104	7.13	8.45	0.21
19971105	11.19	12.14	0.26
19971106	1.66	10.56	0.44
19971107	6.58	9.06	0.38
19971108	4.31	9.7	0.37
19971109	1.69	7.73	0.38
19971110	0.33	7.56	0.37
19971111	0.01	6.58	0.32
19971112	0.03	4.64	0.29
19971113	0.21	4.34	0.3
19971114	1.7	6.67	0.29
19971115	1.95	12.9	0.27
19971116	0.19	13.9	0.28
19971117	2.6	12.97	0.24
19971118	5.1	11.54	0.27
19971119	13.87	10.84	0.44
19971120	4.89	9.38	0.54
19971121	1.44	6.61	0.7
19971122	2.41	5.54	0.73
19971123	2.24	6.46	0.69
19971124	1.64	7.38	0.52
19971125	1.72	6.85	0.5
19971126	5.51	8.55	0.51
19971127	9.72	8.83	0.54
19971128	2.02	10.03	0.75
19971129	1.5	8.87	0.86
19971130	0.06	6.53	0.86
19971201	5.71	2.42	0.82
19971202	0.02	0.33	0.8
19971203	0.01	0.66	0.74
19971204	0.01	1.69	0.71
19971205	0.02	1.83	0.59
19971206	0.0	7.78	0.59
19971207	4.33	8.23	0.6
19971208	0.44	9.87	0.59
19971209	9.06	9.8	0.59
19971210	0.94	11.77	0.65
19971211	0.38	10.24	0.82
19971212	0.0	5.23	0.74
19971213	0.0	3.97	0.63
19971214	0.01	5.35	0.5
19971215	0.0	3.63	0.52
19971216	0.22	1.32	0.52
19971217	7.0	0.6	0.55
19971218	4.74	7.44	0.68
19971219	0.09	6.54	0.7
19971220	0.03	6.36	0.73
19971221	0.07	4.19	0.71
19971222	6.31	5.65	0.54
19971223	3.54	8.92	0.67
19971224	6.64	11.35	0.84
19971225	9.52	9.19	1.02
19971226	0.35	6.96	1.37
19971227	0.07	5.25	1.19
19971228	0.78	4.26	1.17
19971229	1.16	5.16	0.95
19971230	6.87	8.63	0.9
19971231	0.57	6.5	0.97
19980101	15.78	5.18	1.07
19980102	11.23	7.16	1.48
19980103	7.96	7.2	1.66
19980104	7.53	5.9	1.79
19980105	5.91	3.83	1.89
19980106	5.86	5.22	1.93
19980107	4.03	6.61	1.94
19980108	0.36	9.56	1.9
19980109	0.01	11.43	1.83
19980110	0.04	8.76	1.76
19980111	0.05	8.14	1.7
19980112	0.42	9.51	1.53
19980113	7.11	9.32	1.38
19980114	1.83	6.72	1.43
19980115	1.21	7.97	1.38
19980116	0.01	6.27	1.4
19980117	8.39	6.58	1.26
19980118	5.88	6.8	1.35
19980119	0.04	4.0	1.83
19980120	0.06	1.02	1.73
19980121	0.21	2.87	1.54
19980122	0.01	3.89	1.32
19980123	0.02	0.64	1.14
19980124	0.0	3.08	1.11
19980125	0.0	2.09	1.02
19980126	0.03	1.94	0.98
19980127	0.01	1.76	0.95
19980128	0.15	0.31	0.93
19980129	0.04	2.83	0.87
19980130	0.0	2.74	0.85
19980131	0.01	3.18	0.85
