date	precipitation	temperature	discharge_spec
20051001	2.56	10.66	0.18
20051002	0.0	9.95	0.18
20051003	0.0	10.54	0.18
20051004	0.0	10.88	0.19
20051005	0.0	10.56	0.2
20051006	0.22	12.78	0.17
20051007	0.03	13.49	0.18
20051008	4.72	12.44	0.19
20051009	0.0	9.44	0.18
20051010	0.0	13.88	0.17
20051011	7.0	16.48	0.17
20051012	7.3	15.8	0.21
20051013	0.02	11.39	0.2
20051014	0.07	11.47	0.18
20051015	0.0	14.3	0.18
20051016	0.31	12.71	0.17
20051017	0.0	12.9	0.19
20051018	8.02	10.3	0.17
20051019	4.56	10.56	0.2
20051020	6.32	10.49	0.2
20051021	1.55	11.66	0.23
20051022	0.0	10.8	0.19
20051023	17.59	9.87	0.22
20051024	12.28	14.04	0.41
20051025	1.61	13.14	0.35
20051026	0.22	13.86	0.26
20051027	1.85	15.53	0.24
20051028	0.07	14.04	0.24
20051029	4.13	13.79	0.23
20051030	6.48	14.78	0.32
20051031	2.85	11.75	0.28
20051101	13.86	9.78	0.33
20051102	12.85	14.02	0.57
20051103	2.02	12.88	0.52
20051104	0.0	8.06	0.43
20051105	8.84	8.97	0.42
20051106	11.37	11.57	1.06
20051107	0.46	9.6	0.71
20051108	15.09	11.52	0.98
20051109	0.56	6.47	0.93
20051110	0.0	11.37	0.79
20051111	1.99	11.26	0.78
20051112	0.0	6.19	0.77
20051113	0.01	4.67	0.72
20051114	0.28	4.01	0.7
20051115	0.99	8.38	0.69
20051116	0.0	4.18	0.68
20051117	0.0	0.39	0.65
20051118	0.0	-0.3	0.62
20051119	0.0	-0.33	0.59
20051120	0.0	-0.8	0.57
20051121	0.06	0.06	0.56
20051122	0.02	2.31	0.54
20051123	0.0	1.7	0.5
20051124	1.89	4.12	0.48
20051125	0.22	-0.05	0.47
20051126	0.28	2.53	0.47
20051127	0.38	2.08	0.46
20051128	5.18	0.8	0.42
20051129	0.24	0.42	0.46
20051130	3.77	2.78	0.48
20051201	24.69	7.25	1.06
20051202	15.25	6.51	2.28
20051203	0.87	6.13	1.48
20051204	0.01	5.17	1.25
20051205	0.93	5.14	1.14
20051206	0.36	3.3	1.12
20051207	10.95	2.38	1.23
20051208	0.18	4.73	1.32
20051209	0.01	2.8	1.15
20051210	0.0	5.06	1.13
20051211	0.11	3.23	1.09
20051212	0.05	4.41	1.09
20051213	0.0	2.88	1.1
20051214	0.0	5.75	1.08
20051215	0.82	7.44	1.06
20051216	0.42	7.47	1.04
20051217	0.0	0.5	1.03
20051218	0.14	0.47	1.01
20051219	0.1	3.99	0.99
20051220	0.0	3.75	0.95
20051221	0.02	6.95	0.94
20051222	0.0	7.11	0.91
20051223	0.0	7.34	0.91
20051224	0.27	5.12	0.88
20051225	0.0	2.0	0.87
20051226	0.1	1.69	0.87
20051227	0.01	-0.48	0.85
20051228	0.0	-2.28	0.8
20051229	6.12	-3.05	0.81
20051230	9.9	3.61	1.28
20051231	1.72	5.47	1.06
20060101	0.0	5.36	0.93
20060102	0.0	3.87	0.89
20060103	0.62	6.42	0.86
20060104	0.01	4.23	0.84
20060105	0.0	0.99	0.83
20060106	0.03	0.88	0.81
20060107	2.36	0.61	0.83
20060108	4.32	1.51	0.86
20060109	0.04	3.4	0.91
20060110	2.93	6.5	0.87
20060111	0.0	6.58	0.86
20060112	0.06	2.57	0.84
20060113	0.1	5.98	0.82
20060114	2.62	5.84	0.82
20060115	0.0	5.32	0.82
20060116	3.85	6.03	0.82
20060117	0.68	6.48	0.83
20060118	0.0	8.62	0.82
20060119	3.1	8.59	0.81
20060120	0.0	6.92	0.84
20060121	0.0	4.49	0.81
20060122	0.0	0.79	0.77
20060123	0.0	0.24	0.76
20060124	0.0	-0.89	0.72
20060125	0.0	0.93	0.7
20060126	0.0	1.32	0.68
20060127	0.76	1.56	0.68
20060128	0.0	0.48	0.67
20060129	0.0	0.62	0.66
20060130	0.0	2.74	0.64
20060131	0.0	1.68	0.63
20060201	0.0	-0.53	0.63
20060202	0.0	-1.77	0.62
20060203	0.0	-0.6	0.61
20060204	0.0	2.58	0.61
20060205	0.0	3.3	0.59
20060206	0.0	4.69	0.57
20060207	3.1	6.75	0.57
20060208	0.08	4.97	0.58
20060209	0.0	1.43	0.57
20060210	0.0	-0.24	0.57
20060211	9.72	1.0	0.56
20060212	0.69	6.46	0.67
20060213	1.08	7.92	0.62
20060214	8.73	6.83	0.69
20060215	0.17	7.43	0.93
20060216	0.84	4.96	0.7
20060217	0.0	4.99	0.65
20060218	0.05	2.09	0.62
20060219	0.08	2.52	0.61
20060220	0.21	3.54	0.59
20060221	1.14	2.07	0.58
20060222	0.0	1.83	0.58
20060223	4.94	0.82	0.59
20060224	0.0	0.52	0.58
20060225	0.16	2.6	0.57
20060226	0.09	2.62	0.56
20060227	1.77	2.85	0.56
20060228	0.2	1.16	0.55
20060301	0.79	-0.63	0.53
20060302	0.01	-1.01	0.53
20060303	0.0	-1.62	0.52
20060304	0.0	-0.95	0.5
20060305	0.18	1.98	0.49
20060306	2.0	2.37	0.49
20060307	11.74	3.06	0.67
20060308	3.9	8.61	0.87
20060309	2.99	6.76	0.74
20060310	0.49	4.65	0.66
20060311	0.0	2.66	0.61
20060312	0.1	-0.08	0.61
20060313	0.0	1.19	0.57
20060314	0.92	3.47	0.56
20060315	0.0	3.72	0.57
20060316	0.39	0.84	0.57
20060317	0.05	1.17	0.57
20060318	0.0	1.65	0.57
20060319	0.07	3.86	0.57
20060320	0.0	3.32	0.56
20060321	0.0	2.3	0.56
20060322	0.0	1.36	0.56
20060323	4.2	2.61	0.56
20060324	1.16	7.25	0.56
20060325	3.12	9.86	0.57
20060326	4.36	11.37	0.57
20060327	7.36	10.08	0.93
20060328	2.83	7.61	0.78
20060329	9.63	7.54	0.98
20060330	4.18	10.9	1.24
20060331	4.21	10.36	1.06
20060401	0.09	8.64	1.02
20060402	3.9	7.9	0.99
20060403	0.0	6.47	1.01
20060404	0.0	3.15	0.94
20060405	0.0	3.16	0.91
20060406	0.0	5.11	0.92
20060407	5.89	6.27	0.91
20060408	0.23	5.3	0.92
20060409	3.09	3.51	0.91
20060410	0.04	3.2	0.9
