date	precipitation	temperature	discharge_spec
19701001	0.0	13.24	0.09
19701002	0.46	14.57	0.07
19701003	0.08	11.49	0.05
19701004	0.08	13.98	0.06
19701005	6.39	14.8	0.08
19701006	5.96	11.7	0.11
19701007	5.25	9.07	0.12
19701008	0.0	9.04	0.14
19701009	0.02	9.16	0.1
19701010	0.11	12.55	0.07
19701011	0.23	15.75	0.07
19701012	0.0	14.67	0.08
19701013	0.0	15.04	0.08
19701014	0.0	13.54	0.08
19701015	0.0	12.69	0.08
19701016	0.0	9.43	0.07
19701017	0.0	10.1	0.05
19701018	0.28	9.81	0.05
19701019	0.42	10.29	0.07
19701020	0.0	6.17	0.06
19701021	0.0	6.15	0.06
19701022	0.0	6.51	0.06
19701023	0.0	7.58	0.06
19701024	0.0	10.89	0.05
19701025	3.0	11.98	0.05
19701026	0.13	11.6	0.07
19701027	0.43	7.94	0.07
19701028	0.04	10.69	0.07
19701029	0.02	11.91	0.07
19701030	0.13	13.22	0.07
19701031	1.68	13.93	0.05
19701101	13.76	13.04	0.06
19701102	13.02	13.31	0.23
19701103	0.09	12.48	0.47
19701104	2.1	10.61	0.19
19701105	0.0	9.92	0.14
19701106	18.21	7.14	0.16
19701107	1.95	7.45	1.58
19701108	0.17	6.07	0.47
19701109	0.0	7.45	0.26
19701110	1.66	8.67	0.16
19701111	8.09	10.66	0.15
19701112	1.41	7.18	0.49
19701113	13.43	5.39	0.4
19701114	15.44	5.46	4.23
19701115	0.0	4.17	3.87
19701116	15.91	3.92	3.64
19701117	8.87	6.93	4.97
19701118	31.34	7.9	10.49
19701119	1.4	8.56	13.22
19701120	10.07	6.65	5.61
19701121	1.1	7.06	3.72
19701122	5.81	5.1	1.49
19701123	3.53	7.21	3.43
19701124	0.01	10.15	2.25
19701125	0.01	10.23	1.04
19701126	0.07	8.46	0.69
19701127	0.08	8.29	0.6
19701128	13.08	9.62	0.51
19701129	11.77	10.89	4.67
19701130	0.54	8.1	5.39
19701201	0.03	7.51	2.43
19701202	3.04	6.54	1.16
19701203	8.03	9.45	1.13
19701204	3.46	9.96	3.91
19701205	1.43	7.82	2.56
19701206	3.32	8.31	1.8
19701207	0.26	4.52	1.48
19701208	0.0	5.25	0.86
19701209	0.0	3.4	0.7
19701210	0.0	4.05	0.63
19701211	0.0	6.09	0.58
19701212	3.08	7.27	0.58
19701213	0.01	4.29	0.57
19701214	0.0	2.47	0.55
19701215	0.0	2.66	0.5
19701216	0.0	3.69	0.46
19701217	2.05	6.13	0.46
19701218	0.54	6.8	0.42
19701219	0.12	9.18	0.35
19701220	0.08	4.43	0.29
19701221	0.0	2.14	0.31
19701222	0.1	1.27	0.29
19701223	4.71	2.37	0.38
19701224	3.13	-0.2	0.51
19701225	5.01	-0.97	0.45
19701226	5.06	-1.48	0.48
19701227	0.32	-2.01	0.5
19701228	9.04	-0.73	0.65
19701229	3.31	0.38	1.02
19701230	4.98	0.42	1.34
19701231	0.0	-1.43	1.24
19710101	0.0	-0.64	0.9
19710102	0.0	-2.26	0.73
19710103	0.0	-3.79	0.6
19710104	0.13	-2.67	0.55
19710105	0.0	-2.62	0.53
19710106	2.25	2.83	1.53
19710107	6.44	4.75	8.85
19710108	0.27	8.46	4.53
19710109	0.12	7.44	2.53
19710110	0.01	5.37	1.59
19710111	0.0	3.23	1.21
19710112	0.05	4.19	0.93
19710113	0.0	4.82	0.81
19710114	1.01	3.45	0.7
19710115	0.13	4.66	0.64
19710116	4.24	5.09	0.59
19710117	0.04	5.41	0.84
19710118	7.54	6.64	1.15
19710119	5.92	7.0	2.97
19710120	11.37	6.07	3.36
19710121	3.76	6.77	6.24
19710122	9.16	6.87	3.92
19710123	21.17	7.72	14.0
19710124	5.62	7.06	12.17
19710125	11.14	7.42	7.17
19710126	7.93	7.25	8.77
19710127	2.46	7.17	6.46
19710128	1.22	6.74	3.97
19710129	5.1	5.78	2.94
19710130	3.04	4.08	4.42
19710131	0.48	3.59	3.27
19710201	0.0	1.85	2.09
19710202	0.05	2.38	1.31
19710203	0.06	4.69	0.98
19710204	0.0	5.47	0.91
19710205	0.0	5.16	0.86
19710206	0.05	4.72	0.72
19710207	0.0	5.69	0.67
19710208	0.0	4.99	0.63
19710209	0.0	5.03	0.66
19710210	0.0	5.3	0.74
19710211	0.0	4.25	0.63
19710212	3.83	5.53	0.54
19710213	0.79	7.01	0.67
19710214	9.2	5.36	0.64
19710215	3.2	4.83	3.15
19710216	4.04	0.84	2.08
19710217	6.69	3.13	2.72
19710218	0.19	4.62	2.9
19710219	0.51	4.97	1.44
19710220	2.33	6.6	1.09
19710221	0.03	7.46	0.97
19710222	0.0	5.09	0.79
19710223	0.0	3.74	0.66
19710224	0.0	4.21	0.59
19710225	0.0	5.12	0.56
19710226	0.0	4.58	0.53
19710227	0.0	2.04	0.54
19710228	0.0	1.35	0.54
19710301	5.19	1.14	0.52
19710302	0.32	3.78	0.79
19710303	0.64	1.79	0.68
19710304	0.62	-0.4	0.61
19710305	0.6	-1.47	0.54
19710306	0.64	-1.58	0.52
19710307	0.03	-1.57	0.48
19710308	0.22	2.1	0.44
19710309	0.0	5.44	0.43
19710310	0.0	3.39	0.38
19710311	0.0	6.04	0.37
19710312	0.0	6.49	0.36
19710313	0.0	7.97	0.37
19710314	4.94	4.83	0.39
19710315	7.43	4.87	0.9
19710316	0.27	4.7	1.01
19710317	20.44	6.35	2.48
19710318	10.52	8.12	9.48
19710319	5.38	7.2	8.3
19710320	0.71	7.8	4.13
19710321	0.02	7.06	2.25
19710322	0.0	6.75	1.41
19710323	0.55	3.87	0.99
19710324	1.94	7.47	0.89
19710325	0.81	8.86	0.88
19710326	0.02	6.57	0.77
19710327	0.0	6.37	0.69
19710328	0.0	4.87	0.61
19710329	0.0	7.46	0.53
19710330	0.0	6.08	0.56
19710331	0.0	5.68	0.55
19710401	0.02	5.5	0.49
19710402	0.0	8.09	0.46
19710403	0.0	6.42	0.41
19710404	0.01	6.39	0.39
19710405	0.12	6.02	0.41
19710406	0.09	6.58	0.38
19710407	0.03	7.26	0.36
19710408	2.2	6.23	0.35
19710409	0.09	6.58	0.35
19710410	0.0	7.61	0.31
19710411	0.0	6.83	0.29
19710412	0.0	7.5	0.29
19710413	0.0	8.05	0.28
19710414	0.2	7.33	0.28
19710415	0.22	7.4	0.28
19710416	1.02	7.76	0.28
19710417	0.0	6.29	0.27
19710418	0.0	8.21	0.25
19710419	0.0	9.84	0.25
19710420	0.0	9.26	0.25
19710421	0.0	11.51	0.24
19710422	9.98	13.46	0.24
19710423	15.71	11.8	1.59
19710424	0.12	9.57	1.46
19710425	4.9	7.03	0.5
19710426	18.34	4.46	3.17
19710427	0.06	4.99	4.49
19710428	0.0	5.3	1.82
19710429	0.0	6.22	0.76
19710430	0.0	5.77	0.54
19710501	0.0	7.53	0.46
19710502	0.0	7.91	0.39
19710503	0.0	7.2	0.37
19710504	0.0	8.22	0.35
19710505	0.0	11.11	0.33
19710506	12.98	13.72	0.33
19710507	2.79	12.2	0.97
19710508	1.14	12.33	0.59
19710509	0.0	11.73	0.38
19710510	0.0	13.86	0.33
19710511	0.0	14.32	0.31
19710512	0.0	14.96	0.29
19710513	0.0	14.27	0.27
19710514	0.0	12.46	0.27
19710515	10.06	11.73	0.28
19710516	2.9	9.69	0.51
19710517	0.0	10.85	0.41
19710518	0.0	9.88	0.31
19710519	0.0	13.92	0.26
19710520	0.0	12.64	0.24
19710521	0.03	10.14	0.24
19710522	5.04	10.46	0.26
19710523	4.63	12.88	0.43
19710524	2.83	11.08	0.33
19710525	0.17	10.02	0.28
19710526	0.07	10.97	0.27
19710527	5.24	10.82	0.28
19710528	1.52	9.15	0.3
19710529	1.15	10.72	0.25
19710530	6.91	13.19	0.34
19710531	0.0	14.12	0.36
19710601	0.0	13.34	0.25
19710602	0.0	14.36	0.22
19710603	0.0	16.49	0.21
19710604	0.0	12.89	0.2
19710605	0.0	10.98	0.2
19710606	0.0	11.62	0.2
19710607	0.24	13.09	0.19
19710608	2.07	12.22	0.19
19710609	1.27	13.07	0.21
19710610	32.59	11.61	1.99
19710611	0.11	11.97	2.12
19710612	0.05	12.36	0.49
19710613	26.29	12.12	0.38
19710614	23.78	11.8	10.12
19710615	0.2	10.82	10.01
19710616	0.59	11.71	4.09
19710617	0.9	11.73	1.0
19710618	30.63	10.97	3.97
19710619	7.04	13.94	11.65
19710620	0.35	14.79	6.99
19710621	0.69	11.75	2.53
19710622	0.0	14.89	1.08
19710623	0.0	13.95	0.69
19710624	0.01	16.34	0.57
19710625	2.88	13.76	0.51
19710626	0.0	14.87	0.5
19710627	7.67	13.7	0.42
19710628	0.95	13.52	0.54
19710629	0.49	11.82	0.41
19710630	0.0	15.9	0.36
19710701	0.0	16.59	0.34
19710702	0.01	17.38	0.33
19710703	0.0	16.08	0.31
19710704	0.0	17.05	0.29
19710705	0.0	18.16	0.27
19710706	0.0	16.59	0.25
19710707	0.0	17.33	0.23
19710708	0.0	19.23	0.22
19710709	0.0	20.04	0.22
19710710	0.0	19.08	0.21
19710711	0.0	18.92	0.2
19710712	0.0	18.11	0.2
19710713	0.0	14.46	0.19
19710714	0.0	14.39	0.18
19710715	0.0	17.93	0.18
19710716	0.0	14.9	0.18
19710717	0.0	14.0	0.17
19710718	0.0	11.8	0.17
19710719	0.0	13.88	0.17
19710720	0.0	15.81	0.17
19710721	0.0	16.98	0.16
19710722	0.0	16.35	0.16
19710723	0.0	16.73	0.16
19710724	0.75	17.42	0.16
19710725	6.55	17.23	0.2
19710726	0.15	17.72	0.18
19710727	20.34	15.86	0.45
19710728	3.03	16.92	0.32
19710729	0.02	16.89	0.21
19710730	0.08	17.68	0.17
19710731	0.0	18.1	0.15
19710801	1.88	16.62	0.15
19710802	4.92	16.45	0.16
19710803	12.57	17.18	0.33
19710804	15.16	17.17	0.33
19710805	1.49	16.9	0.63
19710806	0.55	16.81	0.25
19710807	0.65	16.32	0.18
19710808	0.0	13.42	0.16
19710809	0.01	17.47	0.16
19710810	1.42	16.51	0.17
19710811	0.23	15.95	0.16
19710812	9.89	15.04	0.16
19710813	3.74	16.93	0.22
19710814	7.07	17.21	0.34
19710815	0.45	15.09	0.28
19710816	0.0	14.64	0.19
