date	precipitation	temperature	discharge_spec
19701001	0.0	13.0	0.32
19701002	1.02	14.19	0.31
19701003	0.03	11.24	0.31
19701004	0.0	13.83	0.32
19701005	4.65	14.8	0.35
19701006	3.2	11.25	0.35
19701007	0.36	8.86	0.33
19701008	0.0	8.6	0.32
19701009	0.0	9.04	0.32
19701010	0.0	11.64	0.32
19701011	0.0	15.6	0.35
19701012	0.0	14.77	0.33
19701013	0.0	15.21	0.32
19701014	0.0	13.44	0.32
19701015	0.0	12.73	0.32
19701016	0.0	9.42	0.32
19701017	0.0	10.16	0.32
19701018	0.54	9.75	0.33
19701019	0.92	10.23	0.33
19701020	0.0	5.81	0.31
19701021	0.0	5.91	0.29
19701022	0.0	6.47	0.29
19701023	0.0	7.77	0.3
19701024	0.0	10.91	0.3
19701025	2.96	11.7	0.31
19701026	0.02	11.19	0.33
19701027	0.82	7.78	0.32
19701028	0.0	10.74	0.32
19701029	0.0	11.79	0.31
19701030	1.34	13.31	0.31
19701031	0.76	13.84	0.32
19701101	10.18	12.8	0.38
19701102	9.98	13.15	0.47
19701103	0.0	12.15	0.47
19701104	1.26	10.27	0.34
19701105	0.0	9.52	0.34
19701106	16.38	7.02	0.37
19701107	0.76	7.25	0.68
19701108	0.0	5.62	0.41
19701109	0.0	7.25	0.36
19701110	2.37	8.3	0.36
19701111	9.77	10.51	0.36
19701112	0.77	6.96	0.63
19701113	23.73	5.03	1.15
19701114	23.83	5.06	3.99
19701115	0.0	3.8	2.43
19701116	10.46	3.31	1.87
19701117	5.98	6.7	1.56
19701118	21.42	7.71	3.83
19701119	2.23	8.39	3.18
19701120	5.79	6.08	1.8
19701121	0.64	6.75	1.15
19701122	3.71	4.79	0.83
19701123	2.65	7.15	1.09
19701124	0.01	9.77	0.88
19701125	0.05	10.07	0.63
19701126	0.01	8.09	0.56
19701127	0.04	8.24	0.53
19701128	14.46	9.3	0.71
19701129	6.32	10.52	3.34
19701130	0.0	7.63	1.55
19701201	0.07	7.23	0.87
19701202	2.37	6.52	0.7
19701203	10.54	9.17	0.86
19701204	2.29	9.59	2.79
19701205	0.04	7.38	1.19
19701206	4.74	7.79	1.29
19701207	0.15	4.32	0.94
19701208	0.0	5.13	0.73
19701209	0.0	2.82	0.63
19701210	0.0	3.73	0.58
19701211	0.02	5.84	0.56
19701212	2.52	6.99	0.54
19701213	0.01	3.55	0.52
19701214	0.0	1.93	0.51
19701215	0.0	2.21	0.47
19701216	0.05	3.48	0.45
19701217	1.02	5.92	0.45
19701218	0.16	6.77	0.45
19701219	0.0	8.83	0.46
19701220	0.06	4.62	0.45
19701221	0.0	2.12	0.44
19701222	0.77	1.0	0.45
19701223	7.78	2.38	0.86
19701224	3.28	-0.44	0.73
19701225	4.97	-1.38	0.64
19701226	4.31	-1.86	0.62
19701227	0.28	-2.16	0.61
19701228	10.05	-0.85	0.77
19701229	4.32	0.49	1.12
19701230	2.72	0.56	1.41
19701231	0.0	-1.36	1.08
19710101	0.0	-0.68	0.86
19710102	0.0	-2.27	0.7
19710103	0.0	-3.77	0.61
19710104	0.04	-3.06	0.58
19710105	0.0	-3.08	0.55
19710106	1.42	2.67	0.73
19710107	4.71	4.59	3.82
19710108	0.56	8.52	1.82
19710109	0.0	7.79	1.12
19710110	0.0	5.91	0.88
19710111	0.0	2.91	0.76
19710112	0.0	3.76	0.6
19710113	0.06	4.31	0.62
19710114	0.23	3.24	0.58
19710115	0.53	4.26	0.55
19710116	4.03	4.85	0.65
