date	precipitation	temperature	discharge_spec
19760106	0.05	9.02	1.48
19760107	0.0	7.03	1.33
19760108	0.0	7.94	1.29
19760109	3.19	8.23	0.81
19760110	0.03	8.66	1.34
19760111	0.0	9.99	1.22
19760112	0.0	9.62	1.22
19760113	0.0	7.59	1.22
19760114	0.0	7.01	1.21
19760115	0.0	4.75	1.15
19760116	0.0	3.85	1.3
19760117	0.09	5.6	1.21
19760118	1.31	4.89	1.17
19760119	0.18	5.52	1.23
19760120	0.0	7.46	1.1
19760121	0.0	6.63	1.46
19760122	0.0	7.81	1.08
19760123	0.0	6.69	1.27
19760124	4.42	-0.19	1.27
19760125	0.43	-0.35	1.17
19760126	2.58	0.43	1.17
19760127	0.0	1.28	1.17
19760128	0.0	-2.47	1.15
19760129	0.0	-0.45	0.96
19760130	0.0	-2.36	1.14
19760131	0.0	-1.82	1.36
19760201	0.03	-1.11	1.1
19760202	0.0	-0.69	1.15
19760203	0.07	-0.58	1.15
19760204	0.01	-0.16	1.15
19760205	0.0	1.64	1.14
19760206	0.0	3.75	0.97
19760207	0.01	2.11	1.19
19760208	1.69	3.93	1.19
19760209	3.8	3.6	1.18
19760210	3.14	4.78	1.1
19760211	0.01	3.78	1.1
19760212	24.36	4.83	1.2
19760213	0.87	4.48	1.23
19760214	0.0	3.39	1.13
19760215	0.0	1.01	1.1
19760216	0.0	0.95	1.08
19760217	0.0	1.45	1.11
19760218	0.0	2.77	1.07
19760219	0.0	2.43	1.05
19760220	0.0	4.81	1.06
19760221	4.51	5.75	1.03
19760222	0.43	6.88	1.01
19760223	0.74	6.42	0.98
19760224	0.31	9.13	0.98
19760225	0.0	7.69	1.03
19760226	0.0	6.73	0.99
19760227	0.0	6.36	0.98
19760228	0.01	3.59	0.96
19760229	1.6	7.13	1.0
19760301	0.0	4.61	1.06
19760302	0.0	2.8	0.9
19760303	0.0	4.78	0.94
19760304	0.0	5.36	1.05
19760305	0.0	2.99	0.92
19760306	0.0	0.63	0.91
19760307	0.04	0.02	0.92
19760308	0.0	1.09	0.91
19760309	0.04	1.08	0.92
19760310	0.0	2.11	0.84
19760311	0.0	4.11	0.91
19760312	5.22	5.76	0.95
19760313	0.11	4.89	1.0
19760314	0.03	4.18	1.01
19760315	4.3	4.09	0.85
19760316	0.04	5.32	0.88
19760317	1.29	4.65	0.85
19760318	0.01	5.25	0.82
19760319	0.0	3.27	0.78
19760320	0.0	3.63	0.87
19760321	0.0	3.83	0.87
19760322	0.0	1.83	0.86
19760323	0.0	1.91	0.86
19760324	2.04	3.74	0.93
19760325	0.38	7.1	0.74
19760326	1.42	8.87	0.99
19760327	0.0	6.84	0.7
19760328	0.0	8.42	0.82
19760329	0.0	7.49	0.81
19760330	0.0	8.29	0.87
19760331	0.0	8.42	0.65
19760401	0.0	8.57	0.79
19760402	0.0	8.39	0.74
19760403	0.0	4.77	0.79
19760404	0.0	5.19	0.68
19760405	0.0	6.76	0.75
19760406	0.0	9.9	0.83
19760407	1.6	5.59	0.63
19760408	0.0	4.64	0.87
19760409	0.0	6.88	0.69
19760410	0.0	8.84	0.75
19760411	0.0	7.63	0.83
19760412	0.0	7.11	0.72
19760413	5.89	7.17	0.78
19760414	0.27	7.71	0.84
19760415	0.0	9.11	0.76
19760416	0.0	7.15	0.75
19760417	0.0	8.39	0.77
19760418	0.0	8.38	0.82
19760419	0.0	10.43	0.84
19760420	0.0	10.59	0.84
19760421	0.0	9.32	0.83
19760422	2.1	7.57	0.82
19760423	3.68	5.12	0.82
19760424	0.74	5.36	0.82
19760425	0.0	7.68	0.82
19760426	0.0	7.8	0.84
19760427	0.23	6.62	0.6
19760428	0.0	4.91	0.6
19760429	0.0	4.73	0.6
19760430	0.0	7.81	0.6
19760501	0.1	8.48	0.6
19760502	0.0	9.65	0.73
19760503	0.34	10.77	0.75
19760504	0.84	10.64	0.73
19760505	0.0	12.49	0.67
19760506	0.29	15.45	0.66
19760507	0.0	16.08	0.65
19760508	0.0	16.86	0.65
19760509	0.0	14.98	0.62
19760510	0.0	15.28	0.63
19760511	0.0	11.03	0.69
19760512	0.84	11.97	0.59
19760513	0.0	9.68	0.67
19760514	0.0	8.97	0.57
19760515	0.0	10.8	0.57
19760516	0.0	10.72	0.61
19760517	0.0	13.57	0.58
19760518	0.08	13.35	0.59
19760519	3.82	10.8	0.57
19760520	0.69	11.07	0.61
19760521	0.61	11.1	0.52
19760522	0.0	13.03	0.53
19760523	0.0	13.37	0.53
19760524	0.48	14.27	0.55
19760525	1.08	13.28	0.64
19760526	0.33	10.91	0.58
19760527	0.0	11.27	0.66
19760528	0.0	12.0	0.64
19760529	0.0	14.59	0.64
19760530	0.0	12.38	0.55
19760531	5.99	14.36	0.57
19760601	0.16	14.65	0.63
19760602	0.04	12.88	0.55
19760603	0.0	10.69	0.57
19760604	0.0	10.76	0.66
19760605	0.0	12.81	0.59
19760606	0.0	14.74	0.51
19760607	0.0	16.75	0.52
19760608	0.0	18.46	0.51
19760609	0.0	20.35	0.48
19760610	0.0	14.53	0.51
19760611	0.0	14.41	0.49
19760612	0.0	15.71	0.48
19760613	0.0	16.36	0.5
19760614	0.05	17.1	0.5
19760615	0.11	18.16	0.48
19760616	0.0	14.31	0.48
19760617	0.0	14.93	0.35
19760618	0.0	17.11	0.35
19760619	11.16	14.17	0.36
19760620	2.37	14.78	0.35
19760621	0.02	15.38	0.36
19760622	2.61	17.84	0.34
19760623	0.0	21.69	0.32
19760624	0.0	20.67	0.31
19760625	0.0	21.72	0.28
19760626	0.0	22.24	0.31
19760627	0.0	22.25	0.31
19760628	0.0	21.89	0.31
19760629	0.0	19.36	0.31
19760630	0.0	19.2	0.31
19760701	0.0	21.26	0.31
19760702	0.0	21.67	0.31
19760703	1.3	22.39	0.31
19760704	0.0	22.17	0.31
19760705	0.0	20.64	0.31
19760706	0.0	21.13	0.31
19760707	0.0	19.54	0.31
19760708	0.0	18.31	0.31
19760709	0.0	19.16	0.31
19760710	0.0	17.97	0.31
19760711	0.0	17.14	0.31
19760712	0.0	20.15	0.31
19760713	2.81	19.3	0.31
19760714	0.0	18.67	0.31
19760715	12.38	18.79	0.31
19760716	0.0	20.64	0.31
19760717	0.0	18.51	0.31
19760718	0.0	19.69	0.31
19760719	0.38	19.04	0.31
19760720	6.22	17.88	0.31
19760721	1.94	15.21	0.31
19760722	0.0	14.46	0.31
19760723	0.0	15.43	0.31
19760724	0.33	16.76	0.31
19760725	0.04	15.64	0.31
19760726	0.02	17.03	0.31
19760727	0.0	15.93	0.31
19760728	0.0	16.48	0.31
19760729	0.0	15.27	0.21
19760730	0.0	15.87	0.21
19760731	0.14	14.19	0.21
19760801	0.0	12.86	0.2
19760802	0.0	16.89	0.2
19760803	0.01	15.94	0.19
19760804	0.0	15.85	0.19
19760805	0.0	15.48	0.18
19760806	0.0	15.63	0.18
19760807	0.0	15.67	0.19
19760808	0.0	17.59	0.17
19760809	0.0	17.77	0.19
19760810	0.0	18.02	0.22
19760811	0.0	17.53	0.19
19760812	0.0	17.61	0.19
19760813	0.0	17.58	0.2
19760814	0.0	17.5	0.19
19760815	0.0	18.83	0.16
19760816	0.0	19.05	0.17
