date	precipitation	temperature	discharge_spec
19701001	0.0	13.08	0.12
19701002	0.32	14.22	0.11
19701003	0.04	11.5	0.1
19701004	0.01	13.99	0.1
19701005	4.42	14.85	0.1
19701006	5.62	10.9	0.13
19701007	1.55	8.48	0.14
19701008	0.02	8.16	0.12
19701009	0.0	8.87	0.11
19701010	0.06	10.85	0.1
19701011	0.02	14.9	0.1
19701012	0.0	13.74	0.1
19701013	0.0	14.39	0.09
19701014	0.02	13.26	0.09
19701015	0.0	12.54	0.09
19701016	0.0	9.46	0.09
19701017	0.0	10.0	0.09
19701018	0.88	9.48	0.09
19701019	0.27	10.21	0.09
19701020	0.0	6.19	0.09
19701021	0.0	5.81	0.09
19701022	0.0	6.19	0.09
19701023	0.0	7.8	0.09
19701024	0.0	11.07	0.09
19701025	2.01	11.84	0.09
19701026	0.05	11.29	0.09
19701027	1.75	7.85	0.09
19701028	0.02	10.88	0.09
19701029	0.07	11.64	0.1
19701030	0.84	13.31	0.1
19701031	1.33	13.94	0.09
19701101	13.75	12.79	0.09
19701102	13.39	13.29	0.29
19701103	0.0	12.28	0.5
19701104	2.51	10.6	0.32
19701105	0.0	9.62	0.23
19701106	19.19	7.19	0.22
19701107	0.57	7.4	1.13
19701108	0.02	5.63	0.71
19701109	0.0	7.11	0.34
19701110	1.89	8.94	0.26
19701111	12.35	10.79	0.24
19701112	0.03	7.29	0.88
19701113	33.37	5.02	4.56
19701114	33.38	4.84	13.01
19701115	0.05	4.0	5.56
19701116	10.91	3.75	2.7
19701117	15.89	6.71	6.67
19701118	25.12	7.87	11.57
19701119	5.21	8.2	6.12
19701120	4.34	6.42	5.54
19701121	1.51	6.88	1.43
19701122	11.91	5.13	1.5
19701123	2.06	7.4	5.45
19701124	0.05	10.77	1.52
19701125	0.0	10.66	1.36
19701126	0.07	8.44	0.96
19701127	0.14	8.73	0.77
19701128	20.3	9.94	1.14
19701129	13.49	10.72	11.52
19701130	0.06	7.78	3.62
19701201	0.02	7.27	2.43
19701202	0.42	6.59	1.48
19701203	8.96	9.69	0.84
19701204	1.19	9.81	2.28
19701205	0.04	7.7	1.63
19701206	2.86	8.04	1.14
19701207	0.14	4.75	0.84
19701208	0.01	4.65	0.58
19701209	0.02	2.28	0.47
19701210	0.0	3.34	0.46
19701211	0.0	6.43	0.4
19701212	3.79	7.55	0.38
19701213	0.13	3.39	0.4
19701214	0.0	1.76	0.34
19701215	0.0	2.57	0.27
19701216	0.0	4.55	0.28
19701217	0.76	6.81	0.24
19701218	0.1	7.12	0.27
19701219	0.19	9.0	0.25
19701220	0.29	4.63	0.22
19701221	0.0	1.83	0.19
19701222	0.0	0.56	0.18
19701223	1.33	2.39	0.18
19701224	0.39	-0.51	0.19
19701225	3.45	-1.69	0.18
19701226	2.17	-1.72	0.17
