date	precipitation	temperature	discharge_spec
20000101	0.19	7.82	1.23
20000102	1.86	7.59	1.22
20000103	9.15	8.28	1.3
20000104	1.11	4.17	1.29
20000105	3.09	6.95	1.27
20000106	0.09	7.94	1.26
20000107	1.68	7.04	1.24
20000108	0.03	6.35	1.22
20000109	0.01	1.86	1.19
20000110	0.05	2.29	1.19
20000111	0.01	7.8	1.2
20000112	4.28	7.0	1.21
20000113	0.05	3.07	1.23
20000114	0.67	2.33	1.19
20000115	0.03	3.83	1.18
20000116	0.03	2.13	1.17
20000117	0.0	2.99	1.16
20000118	0.01	4.43	1.16
20000119	0.0	4.97	1.14
20000120	0.0	2.05	1.13
20000121	0.27	4.21	1.12
20000122	0.19	4.75	1.13
20000123	0.03	2.84	1.11
20000124	0.02	1.23	1.08
20000125	0.0	0.52	1.06
20000126	0.03	-0.01	1.04
20000127	0.0	-0.46	1.03
20000128	0.6	4.43	1.05
20000129	0.04	10.25	1.05
20000130	0.0	10.41	1.01
20000131	0.73	9.91	1.0
20000201	9.47	8.89	1.03
20000202	0.01	7.2	1.01
20000203	1.05	6.39	0.96
20000204	0.01	8.39	0.96
20000205	0.0	7.83	0.94
20000206	3.72	9.27	0.94
20000207	9.36	7.41	0.99
20000208	0.72	8.57	0.98
20000209	2.15	6.92	0.93
20000210	4.93	6.36	0.97
20000211	4.09	4.74	0.93
20000212	2.8	7.07	0.99
20000213	0.0	5.7	0.94
20000214	1.47	4.77	0.94
20000215	2.03	5.87	0.94
20000216	0.03	3.98	0.93
20000217	2.97	4.8	0.93
20000218	0.29	8.25	0.92
20000219	0.01	5.8	0.9
20000220	1.77	2.6	0.89
20000221	0.0	5.39	0.89
20000222	0.18	3.83	0.89
20000223	0.09	8.49	0.89
20000224	13.94	8.21	0.95
20000225	0.07	4.78	0.95
20000226	0.23	5.19	0.9
20000227	8.88	9.53	0.94
20000228	8.84	6.86	0.99
20000229	5.14	7.12	1.09
20000301	1.03	4.96	1.0
20000302	9.43	6.09	0.98
20000303	0.63	7.75	1.05
20000304	0.0	3.06	0.99
20000305	0.0	4.5	0.96
20000306	0.14	8.07	0.97
20000307	0.05	9.66	0.97
20000308	0.0	11.38	0.97
20000309	0.0	11.53	0.99
20000310	0.0	10.12	0.97
20000311	0.0	9.03	0.98
20000312	0.0	7.05	0.98
20000313	0.06	9.36	0.97
20000314	0.0	9.06	0.96
20000315	0.0	6.59	0.95
20000316	0.0	7.6	0.95
20000317	0.0	8.29	0.94
20000318	0.0	7.75	0.93
20000319	0.0	5.66	0.92
20000320	0.0	6.36	0.92
20000321	0.0	7.19	0.91
20000322	0.07	7.34	0.92
20000323	0.88	8.69	0.91
20000324	0.31	8.47	0.9
20000325	3.7	6.14	0.91
20000326	0.39	5.18	0.89
20000327	0.45	5.24	0.85
20000328	0.46	4.62	0.84
20000329	0.67	4.74	0.84
20000330	0.0	5.62	0.82
20000331	0.57	5.45	0.82
20000401	2.4	6.24	0.83
20000402	15.31	8.97	0.87
20000403	24.97	5.79	1.08
20000404	2.78	2.57	1.1
20000405	0.04	4.66	0.97
20000406	0.0	4.72	0.9
20000407	0.0	6.48	0.89
20000408	0.13	8.12	0.89
20000409	0.0	8.65	0.89
20000410	0.59	6.75	0.89
20000411	13.1	4.54	0.97
20000412	9.17	4.14	1.04
20000413	0.6	4.95	1.0
20000414	7.42	5.6	0.96
20000415	1.48	3.8	1.0
20000416	7.49	6.37	1.02
20000417	6.51	7.6	1.06
20000418	12.87	8.37	1.12
20000419	10.6	9.4	1.15
20000420	9.66	11.14	1.24
20000421	8.85	10.37	1.21
20000422	0.09	10.48	1.2
20000423	0.64	9.06	1.17
20000424	12.49	9.84	1.22
20000425	2.09	11.19	1.31
20000426	0.72	10.47	1.26
20000427	0.21	10.56	1.23
20000428	15.56	9.71	1.36
20000429	0.01	11.31	1.32
20000430	0.0	10.63	1.27
20000501	0.0	11.45	1.26
20000502	0.0	10.82	1.24
20000503	0.0	9.06	1.25
20000504	0.0	9.48	1.25
20000505	0.0	11.78	1.25
20000506	4.37	14.92	1.25
20000507	11.81	15.71	1.24
20000508	0.14	13.97	1.23
20000509	0.28	15.59	1.23
20000510	0.86	15.22	1.22
20000511	0.19	12.87	1.21
20000512	0.0	13.22	1.2
20000513	0.0	15.6	1.18
20000514	0.0	15.99	1.16
20000515	0.0	17.18	1.14
20000516	0.03	14.01	1.13
20000517	3.14	11.04	1.12
20000518	5.66	10.24	1.15
20000519	0.15	10.35	1.1
20000520	5.62	9.95	1.08
20000521	3.41	10.4	1.09
20000522	1.13	11.75	1.05
20000523	6.61	11.93	1.06
20000524	7.21	10.63	1.05
20000525	3.44	10.9	1.02
20000526	19.07	9.9	1.13
20000527	21.86	9.37	1.15
20000528	8.48	9.3	1.25
20000529	0.27	10.72	1.16
20000530	0.01	10.71	1.07
20000531	0.98	11.53	1.04
20000601	0.17	13.33	1.02
20000602	0.04	14.32	1.01
20000603	0.01	15.12	1.0
20000604	0.0	13.78	0.99
20000605	0.36	12.58	0.99
20000606	0.55	12.59	0.99
20000607	0.0	13.19	0.96
20000608	3.28	15.9	0.95
20000609	1.94	14.13	0.97
20000610	0.01	12.53	0.94
20000611	0.0	13.6	0.91
20000612	0.01	15.73	0.92
20000613	0.04	15.57	0.89
20000614	0.0	15.14	0.88
20000615	0.0	16.25	0.86
20000616	0.0	15.88	0.84
20000617	0.0	18.57	0.8
20000618	0.0	20.89	0.79
20000619	3.5	19.69	0.79
20000620	5.14	16.38	0.84
20000621	0.71	15.18	0.8
20000622	3.3	13.83	0.79
20000623	0.04	14.01	0.78
20000624	0.14	11.94	0.74
20000625	0.06	12.52	0.73
20000626	0.0	14.21	0.71
20000627	0.0	15.36	0.69
20000628	0.0	15.63	0.68
20000629	1.0	16.0	0.68
20000630	0.38	15.05	0.67
20000701	0.17	15.68	0.66
20000702	0.24	16.17	0.65
20000703	0.25	16.37	0.64
20000704	40.64	14.65	0.85
20000705	0.76	15.15	0.86
20000706	1.33	16.13	0.72
20000707	0.02	14.54	0.68
20000708	0.35	13.75	0.68
20000709	5.46	14.74	0.69
20000710	2.95	12.88	0.68
20000711	0.01	12.15	0.66
20000712	3.09	12.98	0.65
20000713	0.38	15.35	0.66
20000714	0.0	14.07	0.64
20000715	0.0	13.86	0.63
20000716	0.0	13.47	0.62
20000717	0.0	15.01	0.61
20000718	0.0	16.37	0.6
20000719	0.0	17.25	0.59
20000720	0.0	17.97	0.58
20000721	0.03	17.53	0.57
20000722	0.0	15.69	0.54
20000723	0.0	15.26	0.55
20000724	0.0	14.07	0.56
20000725	0.0	15.02	0.57
20000726	0.0	16.46	0.55
20000727	0.98	16.71	0.54
20000728	1.26	16.79	0.54
20000729	1.01	17.22	0.53
20000730	0.0	17.57	0.51
20000731	0.1	18.11	0.5
20000801	0.0	17.58	0.51
20000802	6.55	16.31	0.51
20000803	3.19	15.87	0.52
20000804	0.0	16.35	0.49
20000805	0.0	17.13	0.47
20000806	0.0	19.2	0.46
20000807	0.14	18.74	0.45
20000808	0.21	17.88	0.45
20000809	0.0	17.36	0.44
20000810	0.0	18.14	0.44
20000811	0.0	17.57	0.43
20000812	0.0	17.41	0.42
20000813	5.52	17.6	0.43
20000814	0.09	18.6	0.44
20000815	0.02	16.95	0.42
20000816	0.0	16.89	0.42
20000817	1.37	16.2	0.41
20000818	2.23	15.57	0.42
20000819	0.01	16.76	0.41
20000820	0.0	15.2	0.4
20000821	0.61	14.02	0.41
20000822	0.0	15.57	0.4
20000823	0.0	17.42	0.39
20000824	0.0	18.46	0.37
20000825	6.05	20.22	0.38
20000826	7.67	17.67	0.42
20000827	2.25	15.58	0.4
20000828	0.27	14.97	0.39
20000829	0.0	14.93	0.39
20000830	0.01	15.17	0.38
20000831	1.95	14.65	0.38
20000901	8.65	14.13	0.4
20000902	0.04	14.89	0.39
20000903	0.0	12.99	0.37
20000904	0.0	12.83	0.37
20000905	0.42	14.51	0.38
20000906	0.11	15.23	0.37
20000907	0.01	14.66	0.37
20000908	2.45	16.96	0.38
20000909	0.46	17.15	0.38
20000910	0.01	19.04	0.37
20000911	0.0	19.62	0.36
20000912	0.0	17.56	0.36
20000913	0.0	15.24	0.36
20000914	1.6	15.63	0.36
20000915	9.03	15.25	0.39
20000916	0.0	14.24	0.38
20000917	2.09	14.59	0.37
20000918	9.76	13.41	0.41
20000919	16.39	12.12	0.47
20000920	1.21	12.4	0.43
20000921	2.28	13.04	0.41
20000922	0.03	16.8	0.39
20000923	0.01	18.38	0.39
20000924	4.69	14.45	0.41
20000925	9.49	13.01	0.44
20000926	0.3	16.34	0.43
20000927	13.52	13.82	0.44
20000928	0.42	13.91	0.45
20000929	0.2	14.4	0.43
20000930	1.46	13.38	0.43
20001001	7.53	11.54	0.45
20001002	0.01	11.47	0.44
20001003	0.9	13.42	0.44
20001004	1.45	12.86	0.44
20001005	0.43	10.72	0.44
20001006	4.95	9.41	0.44
20001007	2.54	11.06	0.47
20001008	0.13	11.07	0.46
20001009	21.9	8.85	0.6
20001010	9.94	8.76	0.59
20001011	8.52	8.78	0.59
20001012	0.05	9.69	0.57
20001013	0.23	9.97	0.54
20001014	0.39	10.46	0.54
20001015	0.49	11.62	0.54
20001016	0.03	10.97	0.55
20001017	5.18	9.72	0.57
20001018	0.23	12.83	0.6
20001019	0.04	9.76	0.58
20001020	9.61	10.88	0.62
20001021	0.23	9.96	0.62
20001022	1.0	10.1	0.61
20001023	0.65	12.63	0.61
20001024	1.03	11.04	0.61
20001025	0.19	11.89	0.61
20001026	2.37	9.77	0.62
20001027	12.32	12.37	0.64
20001028	11.87	12.15	0.84
20001029	46.91	9.39	0.93
20001030	1.79	9.87	1.23
20001031	0.07	9.56	1.05
20001101	14.31	8.35	1.02
20001102	1.73	7.67	1.21
20001103	0.0	6.88	1.14
20001104	1.3	6.0	1.12
20001105	32.94	7.35	1.42
20001106	21.07	8.14	1.82
20001107	0.24	8.19	1.79
20001108	0.03	7.44	1.78
20001109	0.0	7.06	1.78
20001110	1.42	6.7	1.75
20001111	16.74	10.31	1.96
20001112	0.0	7.91	1.91
20001113	1.02	4.71	1.79
20001114	0.1	4.07	1.74
20001115	10.29	4.46	1.74
20001116	0.32	7.19	1.81
20001117	0.1	4.83	1.71
20001118	2.99	7.91	1.72
20001119	2.5	7.85	1.73
20001120	0.06	4.14	1.69
20001121	6.55	4.68	1.73
20001122	0.19	7.91	1.69
20001123	0.94	6.81	1.64
20001124	4.01	6.15	1.63
20001125	10.43	9.23	1.73
20001126	0.14	7.86	1.66
20001127	9.33	8.15	1.67
20001128	2.17	12.87	1.66
20001129	1.2	11.39	1.62
20001130	18.04	9.19	1.64
20001201	5.8	11.08	1.95
20001202	2.34	9.12	1.81
20001203	12.92	7.25	1.77
20001204	6.95	10.95	2.07
20001205	11.2	11.46	2.14
20001206	4.22	10.24	2.13
20001207	20.57	9.46	2.42
20001208	2.3	9.95	2.62
20001209	9.83	9.04	2.72
20001210	3.73	9.91	3.0
20001211	6.18	12.29	3.01
20001212	17.75	12.24	3.24
20001213	0.25	9.42	3.26
20001214	0.43	5.8	3.25
20001215	0.11	3.71	3.23
20001216	0.27	2.22	3.19
20001217	0.22	3.21	3.12
20001218	1.17	5.59	3.05
20001219	0.39	7.89	2.94
20001220	0.04	8.86	2.83
20001221	0.11	6.66	2.71
20001222	0.0	5.17	2.62
20001223	0.1	4.26	2.53
20001224	4.64	4.64	2.48
20001225	0.5	3.08	2.42
20001226	0.0	1.24	2.31
20001227	2.26	0.53	2.22
20001228	0.62	-0.73	2.15
20001229	0.18	-3.23	2.07
20001230	0.06	-1.97	1.98
20001231	21.94	0.77	2.17
20010101	7.86	8.81	2.46
20010102	1.6	8.81	2.3
20010103	12.23	6.18	2.11
20010104	4.09	8.04	2.22
20010105	0.19	6.16	2.1
20010106	0.56	4.69	1.98
20010107	0.1	3.85	1.92
20010108	0.02	4.12	1.89
20010109	0.0	1.35	1.89
20010110	0.52	3.81	1.89
20010111	0.0	3.84	1.85
20010112	0.0	3.86	1.82
20010113	0.0	2.94	1.8
20010114	0.0	2.83	1.79
20010115	0.0	1.25	1.78
20010116	0.0	-0.25	1.76
20010117	0.0	-0.27	1.74
20010118	0.0	-0.23	1.71
20010119	0.0	-0.25	1.67
20010120	5.5	-1.24	1.65
20010121	3.68	3.07	1.79
20010122	6.43	6.37	1.78
20010123	12.71	7.97	1.85
20010124	10.55	7.45	1.85
20010125	1.81	5.18	1.8
20010126	26.67	4.43	2.04
20010127	0.04	3.11	2.07
20010128	0.08	1.52	1.89
20010129	1.15	1.73	1.85
20010130	1.07	3.84	1.88
20010131	0.5	4.66	1.87
20010201	3.55	1.47	1.87
20010202	4.32	5.85	1.95
20010203	6.81	6.96	2.0
20010204	9.47	7.32	2.18
20010205	9.56	8.42	2.12
20010206	5.77	9.33	2.2
20010207	10.06	8.49	2.17
20010208	2.55	4.74	2.2
20010209	0.01	2.19	2.08
20010210	3.48	6.43	2.1
20010211	1.86	11.22	2.13
20010212	14.93	8.66	2.44
20010213	0.17	4.49	2.39
20010214	0.0	3.69	2.3
20010215	0.0	3.1	2.29
20010216	0.02	4.3	2.27
20010217	0.01	2.63	2.25
20010218	0.0	1.41	2.25
20010219	0.04	1.96	2.25
20010220	0.0	4.19	2.23
20010221	0.0	7.59	2.21
20010222	0.7	7.8	2.19
20010223	0.72	4.62	2.17
20010224	0.35	1.87	2.09
20010225	0.12	0.69	2.04
20010226	13.09	2.89	2.2
20010227	0.18	3.09	2.13
20010228	2.97	1.87	2.0
20010301	0.0	0.84	1.93
20010302	0.01	-0.92	1.89
20010303	0.0	0.47	1.85
20010304	0.0	1.01	1.79
20010305	0.0	1.27	1.74
20010306	11.27	6.25	1.83
20010307	1.36	10.65	1.83
20010308	0.84	8.33	1.73
20010309	1.71	9.08	1.69
20010310	3.72	10.24	1.7
20010311	7.45	9.61	1.72
20010312	10.53	5.6	1.74
20010313	0.07	6.33	1.78
20010314	2.74	6.38	1.69
20010315	1.1	6.64	1.64
20010316	12.12	7.05	1.66
20010317	10.05	3.7	1.8
20010318	0.0	2.63	1.76
20010319	0.03	2.58	1.66
20010320	15.52	2.23	1.75
20010321	7.17	4.34	1.92
20010322	9.43	8.23	1.88
20010323	2.79	9.0	1.96
20010324	0.75	7.53	1.89
20010325	0.0	5.33	1.86
20010326	0.11	4.18	1.86
20010327	17.4	6.34	2.03
20010328	3.7	7.3	2.12
20010329	0.35	6.73	2.03
20010330	0.67	7.56	1.96
20010331	0.24	10.31	1.95
20010401	0.0	10.49	1.95
20010402	4.51	11.12	1.98
20010403	10.0	8.64	2.13
20010404	0.53	7.61	2.11
20010405	9.59	7.69	2.13
20010406	1.42	10.09	2.08
20010407	1.86	6.85	2.01
20010408	12.96	7.19	2.03
20010409	0.83	11.04	2.09
20010410	0.49	9.62	1.99
20010411	0.0	7.99	1.93
20010412	0.15	8.21	1.9
20010413	0.08	6.13	1.89
20010414	2.64	7.17	1.9
20010415	0.94	9.31	1.92
20010416	0.03	6.88	1.86
20010417	2.02	5.93	1.85
20010418	0.0	5.0	1.84
20010419	0.03	4.15	1.81
20010420	0.2	4.84	1.79
20010421	0.0	5.47	1.76
20010422	6.95	6.63	1.82
20010423	2.04	8.39	1.77
20010424	5.27	8.09	1.8
20010425	3.15	8.57	1.82
20010426	5.47	9.13	1.75
20010427	0.66	9.26	1.69
20010428	10.38	9.49	1.69
20010429	0.07	8.09	1.68
20010430	0.17	8.35	1.59
20010501	4.98	7.82	1.57
20010502	0.19	9.15	1.55
20010503	0.0	10.81	1.52
20010504	0.0	8.31	1.48
20010505	0.0	8.23	1.45
20010506	0.0	7.36	1.43
20010507	0.0	9.29	1.41
20010508	0.01	9.88	1.38
20010509	5.07	10.48	1.42
20010510	0.61	14.93	1.41
20010511	0.0	16.95	1.35
20010512	0.0	16.99	1.32
20010513	0.0	14.65	1.3
20010514	0.03	11.92	1.3
20010515	7.91	12.05	1.29
20010516	6.26	12.01	1.34
20010517	2.99	8.7	1.31
20010518	0.0	10.89	1.25
20010519	0.0	11.78	1.21
20010520	0.0	13.05	1.19
20010521	0.06	12.89	1.15
20010522	0.0	13.43	1.13
20010523	0.0	15.16	1.12
20010524	0.0	15.65	1.09
20010525	0.0	13.05	1.07
20010526	0.0	14.91	1.06
20010527	0.0	15.11	1.05
20010528	0.0	16.03	1.03
20010529	0.0	15.59	1.01
20010530	0.0	15.2	0.98
20010531	0.0	13.39	0.97
20010601	0.09	13.34	0.96
20010602	0.03	13.03	0.95
20010603	0.0	10.91	0.92
20010604	0.0	12.63	0.9
20010605	0.0	13.58	0.89
20010606	0.41	13.96	0.88
20010607	0.0	11.59	0.87
