date	precipitation	temperature	discharge_spec
19701001	0.62	12.81	0.23
19701002	0.14	13.15	0.23
19701003	0.49	11.42	0.22
19701004	0.05	13.22	0.22
19701005	7.14	13.9	0.24
19701006	0.81	9.62	0.24
19701007	1.54	7.85	0.23
19701008	0.0	7.68	0.23
19701009	0.03	8.39	0.23
19701010	1.27	8.94	0.23
19701011	1.77	12.92	0.23
19701012	0.03	12.55	0.23
19701013	0.0	13.49	0.23
19701014	0.0	12.45	0.22
19701015	0.0	11.93	0.22
19701016	0.0	9.95	0.22
19701017	0.0	9.81	0.22
19701018	1.11	9.2	0.22
19701019	0.9	9.9	0.21
19701020	0.89	6.1	0.21
19701021	0.0	5.46	0.21
19701022	0.0	6.15	0.21
19701023	0.01	8.36	0.2
19701024	0.04	10.68	0.2
19701025	0.87	11.51	0.2
19701026	0.46	10.44	0.2
19701027	1.48	8.21	0.2
19701028	0.24	11.23	0.2
19701029	0.19	11.56	0.2
19701030	3.07	13.24	0.2
19701031	0.65	13.57	0.19
19701101	21.39	12.04	0.22
19701102	16.92	12.78	0.31
19701103	0.3	11.55	0.4
19701104	2.52	10.25	0.31
19701105	0.02	9.26	0.27
19701106	31.76	7.57	0.29
19701107	0.75	7.2	0.57
19701108	0.74	5.72	0.43
19701109	0.0	7.0	0.34
19701110	2.22	9.33	0.3
19701111	8.46	10.44	0.29
19701112	1.24	7.11	0.31
19701113	7.69	4.77	0.33
19701114	7.48	4.05	0.4
19701115	0.58	4.05	0.39
19701116	9.58	4.03	0.39
19701117	11.07	6.51	0.46
19701118	22.11	7.53	0.59
19701119	2.46	7.34	0.75
19701120	3.68	6.03	0.61
19701121	0.26	6.28	0.55
19701122	12.92	5.52	0.52
19701123	0.5	7.72	0.66
19701124	0.03	11.14	0.61
19701125	0.0	11.15	0.55
19701126	0.02	8.82	0.53
19701127	7.28	9.27	0.53
19701128	10.66	10.33	0.6
19701129	3.24	9.35	0.72
19701130	0.05	7.31	0.68
19701201	0.05	6.82	0.63
19701202	2.27	7.04	0.62
19701203	4.16	9.42	0.63
19701204	0.36	9.05	0.63
19701205	0.64	7.39	0.63
19701206	3.02	7.27	0.64
19701207	0.02	5.55	0.63
19701208	0.02	3.72	0.63
19701209	0.02	1.8	0.63
19701210	0.0	2.87	0.62
19701211	0.0	6.53	0.62
19701212	2.31	7.5	0.63
19701213	0.0	3.64	0.63
19701214	0.0	1.66	0.62
19701215	0.03	2.99	0.62
19701216	0.81	5.72	0.6
19701217	0.27	7.41	0.61
19701218	0.41	7.64	0.62
19701219	0.0	8.32	0.61
19701220	0.39	5.45	0.61
19701221	0.0	2.12	0.6
19701222	0.19	0.15	0.59
19701223	1.76	2.25	0.6
19701224	0.12	-0.81	0.59
19701225	0.9	-1.83	0.59
19701226	2.25	-1.58	0.59
19701227	0.1	-2.9	0.59
19701228	3.22	-1.18	0.59
19701229	6.2	0.41	0.63
19701230	0.06	0.73	0.65
19701231	0.0	-1.5	0.62
19710101	0.16	-1.02	0.62
19710102	0.23	-0.86	0.58
19710103	0.0	-2.68	0.59
19710104	0.0	-3.08	0.58
19710105	1.26	-1.61	0.58
19710106	4.78	4.12	0.59
19710107	13.91	6.19	0.79
19710108	0.62	9.25	0.82
19710109	0.0	9.42	0.73
19710110	0.0	7.99	0.7
19710111	0.01	3.47	0.7
19710112	0.14	4.39	0.69
19710113	0.09	5.54	0.67
19710114	3.36	3.69	0.66
19710115	0.55	3.71	0.68
19710116	5.56	4.63	0.69
19710117	0.42	5.18	0.7
19710118	5.33	6.27	0.7
19710119	8.41	6.56	0.75
19710120	19.87	5.19	0.87
19710121	12.41	5.74	1.21
19710122	8.75	7.35	1.19
19710123	13.67	7.13	1.38
19710124	5.47	6.48	1.51
19710125	8.58	6.6	1.69
19710126	5.91	6.59	1.89
19710127	4.27	6.61	1.99
19710128	3.79	5.76	2.04
19710129	3.69	4.41	2.09
19710130	6.77	2.12	2.23
19710131	7.26	2.48	2.33
19710201	0.06	1.71	2.3
19710202	0.01	1.65	2.19
19710203	0.0	3.78	2.14
19710204	0.0	4.53	2.12
19710205	0.0	3.93	2.09
19710206	0.0	4.08	2.08
19710207	0.0	5.69	2.05
19710208	0.0	4.09	2.05
19710209	0.0	4.53	2.03
19710210	0.0	4.89	2.0
19710211	0.0	4.94	1.95
19710212	4.85	6.05	1.91
19710213	0.98	5.91	1.91
19710214	9.07	5.0	1.86
19710215	0.07	3.18	1.97
19710216	2.36	0.57	1.81
19710217	7.66	2.96	1.81
19710218	0.94	5.36	1.82
19710219	0.95	5.5	1.67
19710220	2.22	6.88	1.63
19710221	0.31	7.17	1.58
19710222	0.02	4.76	1.49
19710223	0.0	3.27	1.44
19710224	0.0	3.95	1.4
19710225	0.0	3.09	1.38
19710226	0.0	2.67	1.36
19710227	2.4	2.58	1.33
19710228	0.18	1.83	1.31
19710301	13.61	2.05	1.34
19710302	0.0	4.34	1.47
19710303	0.01	2.68	1.31
19710304	0.0	-0.59	1.25
19710305	0.04	-2.42	1.23
19710306	0.04	-1.01	1.2
19710307	1.32	-1.81	1.18
19710308	0.33	1.8	1.18
19710309	0.0	6.1	1.16
19710310	0.0	3.85	1.13
19710311	0.0	6.44	1.12
19710312	0.05	5.59	1.11
19710313	0.0	6.93	1.09
19710314	9.99	4.32	1.1
19710315	2.36	4.84	1.18
19710316	0.75	4.51	1.12
19710317	22.07	5.29	1.2
19710318	3.43	7.16	1.5
19710319	3.06	7.0	1.29
19710320	0.83	6.34	1.22
19710321	0.02	5.91	1.16
19710322	0.0	6.47	1.1
19710323	0.46	3.26	1.08
19710324	0.61	6.78	1.07
19710325	4.73	7.77	1.07
19710326	0.02	5.95	1.09
19710327	0.04	6.34	1.07
19710328	0.31	6.94	1.06
19710329	1.7	8.19	1.06
19710330	0.02	7.16	1.02
19710331	0.0	5.55	1.01
19710401	0.0	5.19	1.0
19710402	0.0	7.6	0.99
19710403	0.0	5.33	0.98
19710404	0.0	5.47	0.99
19710405	0.15	6.04	0.98
19710406	0.45	7.21	0.98
19710407	0.0	7.03	0.97
19710408	6.25	5.93	0.96
19710409	2.35	6.04	1.0
19710410	0.0	7.75	0.97
19710411	0.14	7.25	0.93
19710412	0.05	7.56	0.92
19710413	0.0	8.65	0.89
19710414	0.0	7.98	0.87
19710415	0.0	7.66	0.88
19710416	0.49	7.55	0.89
19710417	0.0	5.86	0.87
19710418	0.02	7.97	0.86
19710419	0.0	9.84	0.85
19710420	0.19	9.7	0.84
19710421	0.13	12.36	0.82
19710422	5.4	12.98	0.82
19710423	25.19	11.58	0.86
