date	precipitation	temperature	discharge_spec
19701001	0.1	13.44	0.24
19701002	0.0	12.98	0.25
19701003	0.08	12.28	0.22
19701004	1.46	12.46	0.22
19701005	7.22	13.16	0.29
19701006	4.16	9.51	0.33
19701007	2.22	8.89	0.45
19701008	0.0	8.97	0.48
19701009	4.25	9.51	0.25
19701010	3.99	9.72	0.26
19701011	0.35	11.55	0.48
19701012	0.35	12.51	0.33
19701013	0.0	13.51	0.27
19701014	0.0	12.02	0.25
19701015	0.0	12.49	0.23
19701016	0.0	12.51	0.22
19701017	0.0	11.5	0.21
19701018	1.74	10.63	0.2
19701019	7.72	10.69	0.23
19701020	5.12	6.93	0.43
19701021	1.13	6.35	0.34
19701022	0.26	7.35	0.29
19701023	0.29	9.78	0.26
19701024	0.52	10.53	0.24
19701025	11.68	11.52	0.59
19701026	0.17	10.72	1.91
19701027	0.71	9.94	0.55
19701028	0.19	12.49	0.54
19701029	4.65	11.92	0.48
19701030	6.85	12.89	0.74
19701031	4.79	13.52	2.69
19701101	34.24	12.19	3.62
19701102	16.72	12.59	3.76
19701103	0.01	11.63	13.49
19701104	1.02	10.86	3.51
19701105	1.85	10.13	2.65
19701106	16.11	9.66	4.03
19701107	0.11	8.58	4.43
19701108	0.32	7.81	2.67
19701109	3.02	8.26	2.12
19701110	5.15	10.38	2.66
19701111	13.12	11.35	3.42
19701112	5.76	7.69	5.63
19701113	15.36	6.65	6.13
19701114	8.74	5.2	9.74
19701115	7.93	6.52	4.37
19701116	4.94	6.24	7.98
19701117	11.1	8.42	6.83
19701118	14.97	9.04	8.0
19701119	5.22	7.5	5.66
19701120	3.68	7.21	5.21
19701121	4.99	6.43	3.95
19701122	15.77	8.07	6.08
19701123	0.04	9.31	7.07
19701124	0.09	12.24	3.53
19701125	0.0	12.49	2.82
19701126	0.0	11.71	2.28
19701127	1.17	11.87	1.89
19701128	5.27	11.36	1.79
19701129	1.12	8.46	2.71
19701130	2.41	7.92	1.82
19701201	2.63	7.44	1.82
19701202	22.3	8.7	1.66
19701203	12.85	10.18	7.09
19701204	1.07	9.51	11.22
19701205	3.69	8.23	7.71
19701206	1.34	7.73	3.91
