date	precipitation	temperature	discharge_spec
19701001	0.01	13.06	0.56
19701002	0.31	12.8	0.5
19701003	0.56	11.8	0.49
19701004	0.2	12.79	0.49
19701005	1.86	13.29	0.5
19701006	0.34	9.31	0.5
19701007	0.1	8.17	0.49
19701008	0.0	8.18	0.49
19701009	0.0	8.67	0.48
19701010	2.05	8.73	0.47
19701011	12.22	11.79	0.54
19701012	0.08	12.14	0.48
19701013	0.0	13.28	0.47
19701014	0.09	12.2	0.47
19701015	0.05	11.91	0.47
19701016	0.0	11.11	0.44
19701017	0.0	10.3	0.43
19701018	0.79	9.71	0.42
19701019	5.33	10.1	0.41
19701020	0.12	6.51	0.44
19701021	0.17	5.85	0.41
19701022	0.0	6.72	0.41
19701023	0.0	9.23	0.39
19701024	0.29	10.56	0.39
19701025	5.82	11.6	0.38
19701026	2.73	10.33	0.39
19701027	1.27	9.14	0.38
19701028	0.13	11.89	0.35
19701029	0.8	11.86	0.33
19701030	2.26	13.22	0.32
19701031	1.74	13.54	0.31
19701101	20.66	11.94	0.36
19701102	8.08	12.63	0.69
19701103	0.02	11.45	0.56
19701104	1.58	10.48	0.46
19701105	0.0	9.58	0.45
19701106	22.01	8.57	0.93
19701107	0.02	7.66	1.05
19701108	0.06	6.63	0.79
19701109	0.0	7.59	0.79
19701110	0.66	10.03	0.79
19701111	10.36	10.64	0.84
19701112	8.11	7.36	1.05
19701113	2.75	5.43	1.12
19701114	8.46	4.31	1.85
19701115	2.01	5.14	1.13
19701116	4.07	5.15	1.28
19701117	13.32	7.18	2.69
19701118	13.71	7.91	3.17
19701119	2.54	7.17	3.03
19701120	4.61	6.44	3.32
19701121	0.43	6.29	2.65
19701122	24.13	6.74	4.1
19701123	0.64	8.51	6.01
19701124	0.0	11.84	3.76
19701125	8.63	11.93	3.76
19701126	0.08	10.11	3.13
19701127	7.79	10.46	2.76
19701128	9.84	10.98	3.21
19701129	2.84	8.63	4.66
19701130	0.55	7.55	3.03
19701201	0.36	7.05	2.75
19701202	1.19	7.95	2.63
19701203	1.74	9.72	2.4
19701204	1.73	9.02	2.21
19701205	4.01	7.72	1.99
19701206	1.57	7.3	2.06
19701207	0.0	6.9	1.7
19701208	0.0	3.61	1.5
19701209	0.0	2.6	1.41
19701210	0.02	3.34	1.33
19701211	5.32	7.06	1.32
