date	precipitation	temperature	discharge_spec
19701001	0.93	13.0	0.33
19701002	0.29	12.99	0.31
19701003	0.1	11.62	0.3
19701004	0.2	13.16	0.3
19701005	4.75	13.72	0.33
19701006	0.51	9.56	0.32
19701007	0.07	8.01	0.3
19701008	0.0	7.93	0.3
19701009	0.11	8.5	0.24
19701010	0.95	8.71	0.22
19701011	3.81	12.52	0.23
19701012	0.13	12.55	0.26
19701013	0.02	13.46	0.23
19701014	0.0	12.47	0.22
19701015	0.0	11.97	0.22
19701016	0.0	10.34	0.21
19701017	0.0	9.92	0.19
19701018	2.05	9.4	0.19
19701019	1.15	10.03	0.22
19701020	0.14	6.3	0.2
19701021	0.02	5.66	0.2
19701022	0.0	6.51	0.21
19701023	0.6	8.8	0.21
19701024	0.26	10.77	0.21
19701025	3.59	11.69	0.19
19701026	1.0	10.4	0.22
19701027	3.6	8.69	0.22
19701028	0.5	11.55	0.22
19701029	1.23	11.89	0.21
19701030	10.13	13.46	0.23
19701031	1.29	13.66	0.28
19701101	29.02	12.01	0.33
19701102	12.53	12.8	1.78
19701103	0.07	11.53	1.7
19701104	2.75	10.38	1.02
19701105	0.21	9.43	0.83
19701106	33.5	7.94	1.3
19701107	0.12	7.38	4.07
19701108	1.1	6.06	1.93
19701109	0.04	7.33	1.43
19701110	2.67	9.7	1.12
19701111	7.1	10.53	1.05
19701112	4.78	7.27	1.28
19701113	2.92	5.01	1.32
19701114	3.52	4.11	1.35
19701115	3.57	4.37	1.21
19701116	12.76	4.45	3.31
19701117	12.99	6.72	3.42
19701118	23.09	7.57	4.96
19701119	2.33	7.28	6.1
19701120	5.63	6.11	3.97
19701121	1.29	6.37	3.05
19701122	18.68	5.91	2.79
19701123	0.29	8.13	5.57
19701124	0.0	11.4	3.31
19701125	0.0	11.51	2.54
19701126	0.0	9.15	2.16
19701127	10.02	9.62	1.94
19701128	7.22	10.67	2.79
19701129	15.5	9.01	5.83
19701130	0.03	7.44	3.87
19701201	0.48	6.96	2.83
19701202	6.47	7.5	2.48
19701203	4.53	9.52	2.6
19701204	1.47	8.99	2.55
19701205	1.79	7.56	2.26
19701206	4.13	7.3	2.47
19701207	0.02	6.06	2.11
19701208	0.0	3.67	1.85
19701209	0.04	2.06	1.68
19701210	0.06	3.05	1.57
19701211	0.54	6.71	1.47
19701212	2.57	7.65	1.45
19701213	0.0	4.18	1.33
19701214	0.07	2.08	1.23
19701215	0.0	3.49	1.16
19701216	2.09	6.29	1.1
19701217	0.1	7.78	1.08
19701218	0.58	8.03	1.03
19701219	0.0	8.39	0.98
19701220	0.71	6.03	0.93
19701221	0.01	2.57	0.89
19701222	0.03	0.44	0.85
19701223	2.71	2.52	0.89
19701224	0.06	-0.56	0.84
19701225	1.04	-1.42	0.79
19701226	1.81	-1.13	0.77
19701227	0.02	-2.56	0.75
19701228	3.67	-0.82	0.74
19701229	7.8	0.82	0.97
19701230	0.09	1.09	1.11
19701231	0.0	-1.16	0.96
19710101	0.07	-0.84	0.89
19710102	0.01	-0.27	0.85
19710103	0.0	-2.17	0.82
19710104	0.04	-2.64	0.79
19710105	0.82	-1.06	0.76
19710106	4.41	4.43	0.8
19710107	19.35	6.55	3.88
19710108	0.69	9.53	3.02
19710109	0.0	9.85	2.21
19710110	0.0	8.7	1.9
19710111	0.0	3.86	1.72
19710112	0.54	4.67	1.53
19710113	0.28	5.87	1.38
19710114	2.48	4.05	1.27
19710115	0.15	3.84	1.25
19710116	2.94	4.74	1.2
19710117	0.63	5.34	1.16
19710118	7.13	6.39	1.31
19710119	10.3	6.65	1.74
19710120	15.27	5.27	3.64
19710121	13.72	5.74	5.49
19710122	10.81	7.44	5.02
19710123	11.39	7.04	7.86
19710124	5.64	6.61	5.58
19710125	12.55	6.73	6.39
19710126	8.47	6.61	6.92
19710127	8.51	6.69	5.6
19710128	6.11	5.7	5.69
19710129	4.36	4.52	4.54
19710130	16.21	2.23	5.06
19710131	12.47	2.59	6.57
19710201	0.0	2.02	6.51
19710202	0.0	1.88	4.58
19710203	0.0	3.86	4.02
19710204	0.0	4.74	3.46
19710205	0.02	3.98	3.09
19710206	0.0	4.23	2.73
19710207	0.0	5.8	2.47
19710208	0.0	4.29	2.26
19710209	0.0	4.77	2.1
19710210	0.0	5.18	1.93
19710211	0.01	5.27	1.82
19710212	7.17	6.32	1.78
19710213	0.64	5.91	1.94
19710214	8.1	5.19	1.72
19710215	0.53	3.1	2.16
19710216	2.34	0.89	1.84
19710217	7.37	3.25	2.08
19710218	0.16	5.68	2.21
19710219	0.63	5.82	1.93
19710220	2.55	7.15	1.86
19710221	0.0	7.35	1.71
19710222	0.0	4.97	1.57
19710223	0.0	3.54	1.47
19710224	0.0	4.3	1.4
19710225	0.0	3.4	1.34
19710226	0.3	2.93	1.28
19710227	1.87	2.96	1.23
19710228	0.02	2.14	1.18
19710301	14.98	2.51	1.38
19710302	0.01	4.6	1.94
19710303	0.0	3.1	1.53
19710304	0.0	-0.44	1.37
19710305	0.08	-2.15	1.3
19710306	0.41	-0.64	1.22
19710307	0.52	-1.41	1.16
19710308	0.47	2.03	1.14
19710309	0.0	6.3	1.09
19710310	0.0	4.12	1.04
19710311	0.11	6.61	1.0
19710312	0.23	5.87	0.98
19710313	0.0	6.98	0.96
19710314	14.9	4.5	1.01
19710315	1.59	5.0	1.52
19710316	3.27	4.66	1.26
19710317	19.97	5.38	2.31
19710318	2.96	7.14	3.6
19710319	5.41	7.22	2.53
19710320	0.24	6.07	2.34
