date	precipitation	temperature	discharge_spec
19761029	1.71	8.51	1.73
19761030	0.05	8.85	1.65
19761031	3.69	6.22	1.58
19761101	5.6	8.58	1.6
19761102	9.92	6.58	2.12
19761103	0.0	3.64	2.22
19761104	2.22	4.98	2.22
19761105	3.47	7.88	2.27
19761106	1.25	8.21	2.29
19761107	0.0	7.48	2.12
19761108	0.93	6.86	1.96
19761109	0.04	6.44	1.8
19761110	1.17	5.12	1.72
19761111	0.81	4.39	1.61
19761112	0.0	3.34	1.51
19761113	0.04	4.02	1.38
19761114	0.2	2.6	1.27
19761115	4.51	4.86	1.18
19761116	0.63	7.87	1.14
19761117	4.15	7.2	1.12
19761118	0.02	8.24	1.09
19761119	0.0	7.04	1.07
19761120	0.04	6.08	1.03
19761121	0.05	5.47	1.02
19761122	0.0	5.98	0.98
19761123	0.04	3.71	0.94
19761124	0.0	4.59	0.94
19761125	0.01	6.64	0.92
19761126	1.52	8.06	0.91
19761127	8.34	7.89	0.88
19761128	9.31	7.56	1.19
19761129	5.18	6.19	1.4
19761130	12.71	4.54	2.46
19761201	6.59	2.67	2.69
19761202	0.0	3.4	2.9
19761203	0.0	0.21	2.78
19761204	0.0	-1.39	2.65
19761205	8.55	0.7	2.55
19761206	3.9	2.52	2.88
19761207	6.34	5.3	2.9
19761208	0.37	6.31	2.81
19761209	0.0	2.83	2.59
19761210	0.0	0.23	2.39
19761211	0.0	1.15	2.2
19761212	0.04	1.1	2.07
19761213	0.0	2.54	1.93
19761214	0.01	3.01	1.8
19761215	0.0	1.76	1.65
19761216	9.15	1.33	1.53
19761217	11.69	1.07	1.47
19761218	18.11	1.78	2.22
19761219	0.38	2.04	3.73
19761220	12.39	2.54	4.07
19761221	1.74	3.68	4.8
19761222	1.01	3.97	4.56
19761223	0.0	5.49	3.99
19761224	0.0	2.92	3.51
19761225	0.0	1.38	3.09
19761226	0.0	1.02	2.77
19761227	1.66	1.06	2.56
19761228	0.0	-0.19	2.3
19761229	0.49	-2.18	2.11
19761230	9.41	0.21	2.17
19761231	16.89	3.59	2.81
19770101	0.8	3.17	3.57
19770102	0.05	0.49	3.0
19770103	0.0	-0.17	2.83
19770104	2.36	1.42	2.71
19770105	1.47	3.92	2.62
19770106	0.01	3.64	2.41
19770107	0.15	2.44	2.21
19770108	1.64	3.18	2.07
19770109	0.1	5.06	1.96
19770110	0.0	0.47	1.8
19770111	0.0	0.26	1.7
19770112	0.11	-1.41	1.6
19770113	19.77	0.06	1.75
19770114	2.86	1.2	2.47
19770115	0.34	2.4	2.38
19770116	0.14	2.1	2.25
19770117	1.93	-0.56	2.25
19770118	1.9	0.71	2.27
19770119	0.07	3.23	2.25
