date	precipitation	temperature	discharge_spec
19711001	0.0	16.09	0.19
19711002	0.0	15.31	0.19
19711003	0.0	14.33	0.18
19711004	0.02	13.91	0.17
19711005	0.0	11.52	0.17
19711006	0.0	10.3	0.16
19711007	0.0	11.6	0.16
19711008	0.0	11.42	0.16
19711009	0.0	12.22	0.16
19711010	0.0	13.78	0.16
19711011	1.67	15.58	0.16
19711012	0.65	13.77	0.17
19711013	25.23	8.01	0.28
19711014	0.0	6.54	0.93
19711015	5.76	6.6	0.4
19711016	2.46	9.6	0.35
19711017	1.47	12.17	0.44
19711018	10.18	12.7	0.35
19711019	6.39	13.92	1.75
19711020	1.65	10.66	1.6
19711021	0.05	12.13	0.58
19711022	0.0	15.47	0.41
19711023	0.0	14.38	0.33
19711024	0.0	12.46	0.28
19711025	0.0	10.02	0.25
19711026	0.0	8.55	0.23
19711027	0.0	9.48	0.21
19711028	0.5	8.83	0.2
19711029	0.56	8.34	0.2
19711030	0.02	8.47	0.2
19711031	0.27	9.93	0.2
19711101	0.0	11.09	0.19
19711102	0.0	11.62	0.19
19711103	0.01	12.15	0.18
19711104	0.0	11.45	0.18
19711105	8.72	10.54	0.23
19711106	0.33	5.81	0.32
19711107	4.5	4.92	0.25
19711108	0.85	5.88	0.43
19711109	0.0	3.08	0.34
19711110	0.0	2.36	0.26
19711111	0.0	3.07	0.23
19711112	0.7	5.76	0.22
19711113	0.01	8.44	0.22
19711114	0.0	5.29	0.21
19711115	0.0	6.37	0.2
19711116	1.44	10.15	0.19
19711117	4.34	9.16	0.2
19711118	4.74	6.87	0.44
19711119	0.02	1.52	0.54
19711120	15.02	4.21	0.89
19711121	0.2	4.12	4.02
19711122	9.69	3.06	0.98
19711123	0.07	2.41	2.39
19711124	0.0	3.05	1.25
19711125	1.97	5.18	0.71
19711126	0.06	8.68	0.64
19711127	13.56	8.81	1.49
19711128	1.21	5.97	4.92
19711129	0.58	1.47	1.7
19711130	0.0	1.96	0.93
19711201	0.23	2.79	0.62
19711202	0.12	2.49	0.55
19711203	0.0	2.84	0.45
19711204	0.02	4.27	0.39
19711205	0.0	6.25	0.37
19711206	0.0	7.16	0.34
19711207	0.0	4.06	0.3
19711208	0.0	3.92	0.28
19711209	0.0	6.24	0.27
19711210	0.0	8.04	0.26
19711211	0.0	7.84	0.25
19711212	0.0	8.16	0.24
19711213	0.0	9.33	0.23
19711214	0.0	8.61	0.22
19711215	0.0	9.54	0.21
19711216	0.0	10.1	0.2
19711217	0.0	7.05	0.2
19711218	2.64	8.19	0.2
19711219	9.78	9.02	0.58
19711220	0.01	10.07	0.84
19711221	6.19	11.28	0.48
19711222	5.54	8.77	1.75
19711223	0.0	6.83	2.08
19711224	0.0	6.05	1.02
19711225	0.0	7.67	0.69
19711226	2.84	6.99	0.53
19711227	8.73	6.97	2.13
19711228	0.14	3.19	2.69
19711229	0.13	1.69	1.04
19711230	0.53	2.54	0.72
19711231	0.0	3.18	0.57
19720101	0.21	3.65	0.48
19720102	2.71	2.76	0.44
19720103	0.23	2.73	0.46
19720104	0.06	2.77	0.44
19720105	0.0	2.87	0.39
19720106	0.7	0.87	0.35
19720107	7.0	1.5	0.53
19720108	2.25	3.73	1.91
19720109	2.78	5.83	1.57
19720110	7.68	7.8	1.14
19720111	4.46	8.56	4.18
19720112	20.08	5.68	4.9
19720113	2.92	6.65	9.06
19720114	0.06	6.45	4.75
19720115	1.39	5.29	1.69
19720116	6.4	5.51	1.5
19720117	7.25	5.27	4.27
19720118	3.46	5.23	4.76
19720119	0.06	4.0	2.63
19720120	0.0	2.67	1.47
19720121	0.08	2.99	0.95
19720122	0.29	4.63	0.79
19720123	5.55	7.25	0.78
19720124	1.69	6.23	1.86
19720125	3.65	3.52	1.3
19720126	5.5	5.38	2.35
19720127	0.77	5.14	2.99
19720128	0.12	3.11	1.22
19720129	0.28	0.53	0.84
19720130	0.0	-3.15	0.67
19720131	0.44	-4.55	0.53
19720201	7.22	-1.96	0.53
19720202	6.35	3.81	1.92
19720203	13.63	5.33	6.06
19720204	0.32	5.02	6.77
19720205	2.07	4.98	2.41
19720206	0.47	4.55	1.66
19720207	0.56	4.18	1.21
19720208	1.38	5.08	1.02
19720209	0.03	5.34	0.9
19720210	4.56	3.5	0.79
19720211	1.94	3.73	1.5
19720212	0.23	4.26	1.68
19720213	0.0	4.52	1.01
19720214	0.63	5.28	0.71
19720215	13.7	4.4	1.54
19720216	1.24	5.77	5.34
19720217	0.08	5.53	2.18
19720218	3.48	3.4	1.26
19720219	0.0	3.02	1.26
19720220	0.28	2.67	0.94
19720221	0.11	3.37	0.75
19720222	0.44	3.89	0.63
19720223	0.0	4.81	0.58
19720224	0.52	4.45	0.53
19720225	0.98	5.37	0.51
19720226	1.19	5.55	0.51
19720227	0.0	5.66	0.5
19720228	1.5	6.2	0.46
19720229	12.11	6.5	0.52
19720301	1.22	6.13	4.91
19720302	1.46	3.48	2.22
19720303	4.04	4.38	1.84
19720304	8.18	2.77	2.79
19720305	2.41	4.13	3.74
19720306	7.0	3.71	3.03
19720307	0.52	5.08	3.71
19720308	3.08	6.01	1.63
19720309	0.6	5.36	1.51
19720310	0.37	4.36	0.97
19720311	1.4	3.0	0.77
19720312	0.0	3.85	0.67
19720313	0.35	2.59	0.58
19720314	2.75	6.93	0.53
19720315	0.0	9.84	0.53
19720316	0.0	10.61	0.47
19720317	0.0	10.06	0.42
19720318	0.0	9.75	0.39
19720319	0.0	10.92	0.38
19720320	0.0	10.63	0.36
19720321	0.0	8.37	0.32
19720322	0.0	7.48	0.3
19720323	0.0	8.33	0.29
19720324	0.0	8.84	0.27
19720325	1.63	7.82	0.28
19720326	3.27	7.21	0.29
19720327	5.04	6.21	0.33
19720328	0.91	5.83	0.36
19720329	0.05	6.36	0.3
19720330	0.0	8.38	0.28
19720331	6.89	9.66	0.27
19720401	0.85	11.64	0.44
19720402	0.1	11.48	0.37
19720403	0.0	8.95	0.31
19720404	1.37	9.3	0.3
19720405	0.28	9.01	0.27
19720406	3.57	9.35	0.26
19720407	1.94	9.97	0.27
19720408	1.89	7.7	0.27
19720409	2.56	6.51	0.27
19720410	6.0	6.98	0.29
19720411	0.99	6.8	0.38
19720412	0.0	8.11	0.3
19720413	8.68	8.82	0.28
19720414	0.46	9.57	0.65
19720415	0.0	7.89	0.36
19720416	0.0	8.57	0.27
19720417	0.0	10.22	0.25
19720418	1.06	9.84	0.23
19720419	0.0	7.33	0.22
19720420	0.0	6.37	0.2
19720421	0.0	8.56	0.2
19720422	0.0	7.21	0.19
19720423	0.0	6.93	0.18
19720424	0.0	7.17	0.18
19720425	0.0	6.63	0.18
19720426	0.01	7.85	0.18
19720427	0.0	8.94	0.17
19720428	4.07	7.03	0.18
19720429	5.44	8.45	0.25
19720430	0.46	8.49	0.25
19720501	0.0	10.71	0.17
19720502	5.77	10.68	0.17
19720503	1.18	11.23	0.23
19720504	0.52	11.71	0.19
19720505	4.97	9.59	0.2
19720506	9.15	11.44	1.08
19720507	1.97	10.97	0.93
19720508	7.0	9.72	0.8
19720509	2.66	10.93	0.94
19720510	1.11	9.94	0.47
19720511	7.62	8.39	0.46
19720512	1.21	8.05	0.79
19720513	0.01	8.6	0.45
19720514	0.08	9.57	0.31
19720515	0.29	9.13	0.26
19720516	0.02	8.77	0.24
19720517	0.52	8.81	0.22
19720518	0.0	9.7	0.22
19720519	0.0	10.28	0.2
19720520	3.26	11.9	0.2
19720521	1.54	11.28	0.21
19720522	0.0	13.56	0.19
19720523	4.57	11.61	0.19
19720524	0.76	12.75	0.21
19720525	0.75	11.16	0.18
19720526	2.52	11.28	0.19
19720527	0.71	11.26	0.19
19720528	0.53	10.58	0.17
19720529	0.86	11.17	0.17
19720530	0.48	11.2	0.17
19720531	0.82	11.22	0.16
19720601	1.95	10.36	0.16
19720602	1.14	9.31	0.16
19720603	3.24	10.51	0.16
19720604	9.44	10.2	0.21
19720605	0.13	12.11	0.3
19720606	2.86	11.36	0.2
19720607	0.84	11.57	0.19
19720608	1.32	11.29	0.17
19720609	3.66	11.18	0.19
19720610	3.75	10.27	0.22
19720611	4.14	11.03	0.24
19720612	0.03	10.16	0.24
19720613	0.0	11.66	0.2
19720614	0.13	12.64	0.18
19720615	0.09	12.29	0.17
19720616	0.0	12.65	0.17
19720617	0.16	12.86	0.17
19720618	1.52	12.35	0.17
19720619	1.47	10.49	0.19
19720620	0.27	10.03	0.18
19720621	0.5	12.58	0.17
19720622	0.3	12.74	0.17
19720623	0.04	11.49	0.17
19720624	0.03	13.03	0.17
19720625	0.08	14.35	0.17
19720626	0.96	14.63	0.18
19720627	10.52	12.99	0.22
19720628	0.31	11.35	0.29
19720629	0.22	11.7	0.21
19720630	0.39	11.35	0.2
19720701	0.17	13.76	0.19
19720702	0.25	12.95	0.19
19720703	0.62	13.6	0.2
19720704	0.15	14.74	0.2
19720705	0.33	15.0	0.21
19720706	0.83	12.73	0.2
19720707	1.06	13.45	0.2
19720708	2.14	12.7	0.21
19720709	0.45	13.74	0.23
19720710	0.0	12.62	0.23
19720711	0.0	13.26	0.22
19720712	0.0	13.65	0.24
19720713	0.0	16.45	0.22
19720714	0.0	17.99	0.22
19720715	0.0	17.58	0.21
19720716	0.0	17.91	0.21
19720717	0.0	18.46	0.2
19720718	0.01	19.21	0.2
19720719	6.76	18.23	0.2
19720720	1.08	19.23	0.3
19720721	2.22	16.52	0.26
19720722	1.8	17.32	0.24
19720723	0.85	17.55	0.28
19720724	0.57	17.1	0.26
19720725	0.03	16.75	0.25
19720726	0.0	16.39	0.23
19720727	0.0	14.64	0.21
19720728	0.0	14.51	0.2
19720729	0.0	16.1	0.19
19720730	1.98	15.81	0.2
19720731	4.28	16.1	0.2
19720801	12.35	15.45	0.3
19720802	0.06	14.96	0.42
19720803	1.49	13.94	0.32
19720804	3.8	14.46	0.27
19720805	4.68	15.87	0.26
19720806	3.21	16.6	0.29
19720807	8.85	17.19	0.32
19720808	2.64	16.44	0.36
19720809	0.82	14.42	0.41
19720810	0.0	12.72	0.31
19720811	0.0	12.46	0.28
19720812	0.0	14.13	0.23
19720813	0.0	16.56	0.21
19720814	0.0	17.52	0.19
19720815	0.0	16.29	0.18
19720816	0.0	14.66	0.17
19720817	0.0	15.71	0.17
19720818	0.0	12.62	0.15
19720819	1.32	12.39	0.15
19720820	0.03	16.57	0.15
19720821	0.0	15.14	0.14
19720822	0.0	14.99	0.14
