date	precipitation	temperature	discharge_spec
19701001	0.08	12.51	0.15
19701002	1.04	11.16	0.14
19701003	0.66	10.92	0.13
19701004	0.24	12.31	0.13
19701005	0.24	12.18	0.13
19701006	0.38	9.01	0.14
19701007	0.56	8.02	0.13
19701008	0.04	8.06	0.13
19701009	0.0	7.64	0.13
19701010	0.75	7.84	0.13
19701011	5.07	10.9	0.14
19701012	0.07	12.37	0.15
19701013	0.03	12.57	0.14
19701014	0.08	11.93	0.13
19701015	0.0	11.29	0.13
19701016	0.0	9.82	0.13
19701017	0.0	8.68	0.13
19701018	2.1	9.21	0.12
19701019	5.46	9.16	0.13
19701020	0.72	5.58	0.14
19701021	0.04	5.37	0.12
19701022	0.0	7.11	0.12
19701023	0.02	8.95	0.12
19701024	0.14	10.39	0.12
19701025	0.28	11.43	0.12
19701026	5.01	9.03	0.12
19701027	7.19	8.63	0.18
19701028	0.26	10.29	0.18
19701029	0.94	11.74	0.14
19701030	1.04	13.06	0.14
19701031	1.49	12.75	0.2
19701101	16.85	10.74	0.26
19701102	4.1	11.57	0.81
19701103	1.07	10.14	0.51
19701104	4.07	9.49	0.36
19701105	0.0	8.63	0.39
19701106	20.13	6.99	1.1
19701107	0.0	6.42	2.54
19701108	0.22	5.85	1.08
19701109	1.07	7.49	0.74
19701110	1.68	9.28	0.62
19701111	10.47	9.17	1.17
19701112	0.84	6.26	1.38
19701113	3.85	4.38	1.19
19701114	1.99	2.93	1.12
19701115	2.61	3.44	0.84
19701116	5.46	3.97	1.45
19701117	8.45	5.71	1.72
19701118	8.37	5.66	2.88
19701119	1.35	5.78	2.56
19701120	10.67	4.5	4.19
19701121	1.89	5.67	2.71
19701122	8.97	5.11	1.92
19701123	1.41	8.18	3.88
19701124	0.0	10.38	2.22
19701125	1.2	10.77	1.57
19701126	0.52	7.81	1.27
19701127	1.63	8.58	1.08
19701128	6.93	10.07	1.05
19701129	17.33	6.81	4.11
19701130	2.48	6.62	5.83
19701201	0.16	6.3	3.04
19701202	1.34	7.58	2.04
19701203	4.07	7.81	1.87
19701204	3.14	6.99	2.03
19701205	4.53	7.05	1.66
19701206	2.55	6.37	2.15
19701207	0.0	5.39	1.63
19701208	0.0	2.49	1.27
19701209	0.08	1.93	1.1
19701210	0.0	2.52	1.01
19701211	0.02	5.3	0.92
19701212	0.86	6.49	0.86
19701213	0.01	4.34	0.75
19701214	0.0	2.5	0.68
19701215	0.09	3.89	0.64
19701216	0.46	6.19	0.62
19701217	0.0	7.3	0.59
19701218	0.01	7.89	0.57
19701219	0.67	8.24	0.53
19701220	0.72	6.22	0.52
19701221	0.0	2.32	0.48
19701222	0.06	0.8	0.45
19701223	3.26	2.75	0.55
19701224	0.31	-0.07	0.53
19701225	2.14	-0.39	0.49
19701226	4.39	-0.11	0.61
19701227	0.72	-1.58	0.58
19701228	0.55	-0.01	0.63
19701229	0.27	1.68	0.9
19701230	0.0	1.23	0.79
19701231	0.0	-1.06	0.6
19710101	0.0	-1.23	0.53
19710102	0.09	-0.32	0.5
19710103	0.0	-2.23	0.43
19710104	0.0	-2.91	0.4
19710105	0.61	-1.81	0.42
19710106	4.86	3.59	0.65
19710107	4.68	5.77	2.54
19710108	0.23	9.28	1.52
19710109	0.19	9.96	1.17
19710110	0.0	9.81	0.94
19710111	0.01	3.75	0.85
19710112	2.06	3.47	0.77
19710113	0.07	4.71	0.8
19710114	0.0	3.63	0.75
19710115	0.0	3.0	0.67
19710116	5.57	3.64	0.9
19710117	0.14	4.34	0.9
19710118	5.83	5.51	1.48
19710119	3.35	5.89	2.11
19710120	5.94	4.49	2.62
19710121	9.38	4.76	3.42
19710122	9.89	5.86	4.92
19710123	6.37	5.49	7.59
19710124	2.23	6.1	4.66
19710125	3.8	6.41	3.61
19710126	10.08	5.07	5.22
19710127	3.34	5.54	4.34
19710128	3.38	4.39	3.46
19710129	2.35	4.14	2.87
19710130	6.05	1.83	3.76
19710131	1.86	2.12	3.46
19710201	0.0	1.67	2.19
19710202	0.02	1.91	1.71
19710203	0.0	3.75	1.53
19710204	0.0	5.52	1.29
19710205	0.0	3.27	1.15
19710206	0.0	3.63	1.05
19710207	0.0	5.3	0.97
19710208	0.0	4.38	0.89
19710209	0.01	5.01	0.84
19710210	0.0	5.25	0.79
19710211	2.1	4.95	0.73
19710212	3.99	5.95	0.86
19710213	1.96	4.93	1.04
19710214	4.2	4.49	1.13
19710215	1.73	2.25	1.5
19710216	2.89	0.01	1.0
19710217	2.39	1.98	1.8
19710218	0.08	4.74	1.53
19710219	0.21	4.91	1.19
19710220	3.06	6.4	1.27
19710221	0.0	6.79	1.14
19710222	0.0	4.84	0.95
19710223	0.0	3.64	0.87
19710224	0.0	5.14	0.81
19710225	0.0	4.39	0.76
19710226	0.0	3.3	0.72
19710227	3.89	2.82	0.74
19710228	0.34	1.59	0.79
19710301	9.14	2.1	2.01
19710302	0.32	3.96	1.98
19710303	0.0	2.31	1.21
19710304	0.32	-1.1	1.0
19710305	1.3	-1.54	0.97
19710306	0.04	0.13	0.91
19710307	0.07	0.21	0.82
19710308	0.0	2.79	0.79
19710309	0.02	5.77	0.73
19710310	0.0	3.14	0.66
19710311	0.0	5.75	0.62
19710312	0.0	6.49	0.59
19710313	0.41	6.65	0.59
19710314	3.92	4.69	0.61
19710315	0.71	4.49	0.67
19710316	2.34	3.52	0.59
19710317	8.49	4.31	0.9
19710318	5.24	5.68	2.25
19710319	3.82	6.51	1.97
19710320	2.57	4.82	2.63
19710321	0.01	5.05	1.68
19710322	0.0	5.17	1.31
19710323	1.65	3.99	1.18
19710324	5.09	6.68	1.32
19710325	0.2	6.58	1.5
19710326	0.11	5.29	1.03
19710327	0.0	5.9	0.89
19710328	0.0	7.18	0.83
19710329	1.23	8.41	0.78
19710330	0.0	8.09	0.73
19710331	0.0	4.77	0.66
19710401	0.69	4.77	0.65
19710402	0.0	6.02	0.61
19710403	0.12	4.44	0.56
19710404	0.1	5.27	0.54
19710405	0.01	6.03	0.53
19710406	0.0	7.67	0.49
19710407	0.0	6.68	0.47
19710408	0.0	6.04	0.44
19710409	0.0	5.75	0.42
19710410	0.0	6.82	0.39
19710411	0.0	7.31	0.38
19710412	0.0	7.64	0.38
19710413	0.0	8.07	0.37
19710414	0.0	7.89	0.36
19710415	0.01	7.71	0.36
19710416	3.29	6.97	0.37
19710417	0.0	4.96	0.34
19710418	0.0	8.23	0.32
19710419	0.0	9.16	0.32
19710420	0.0	9.84	0.31
19710421	0.57	11.63	0.3
19710422	10.39	11.69	0.38
19710423	24.21	11.14	1.3
19710424	5.35	7.17	3.89
19710425	0.34	6.56	2.14
19710426	0.0	4.63	1.29
19710427	0.35	4.59	0.97
19710428	0.0	5.15	0.8
19710429	0.06	6.78	0.7
19710430	0.16	7.87	0.66
19710501	0.0	6.93	0.59
19710502	0.0	6.23	0.53
19710503	0.0	7.91	0.5
19710504	0.0	9.6	0.46
19710505	0.02	11.82	0.43
19710506	7.94	14.16	0.49
19710507	3.6	11.78	0.48
19710508	0.0	11.62	0.42
19710509	0.0	11.47	0.38
19710510	0.0	12.95	0.36
19710511	0.0	14.22	0.35
19710512	0.0	14.15	0.34
19710513	0.0	13.53	0.32
19710514	0.15	12.35	0.31
19710515	0.98	9.67	0.32
19710516	0.17	7.75	0.31
19710517	0.09	9.13	0.3
19710518	0.0	9.67	0.28
19710519	0.0	9.63	0.26
19710520	0.0	9.93	0.26
19710521	0.0	10.57	0.26
19710522	0.0	11.66	0.26
19710523	2.35	10.58	0.26
19710524	1.34	11.6	0.26
19710525	0.07	10.59	0.26
19710526	4.79	8.64	0.25
19710527	0.0	9.56	0.26
19710528	0.57	8.77	0.23
19710529	10.76	10.25	0.24
19710530	0.01	12.27	0.31
19710531	0.22	12.1	0.23
19710601	0.0	11.68	0.22
19710602	0.82	15.68	0.21
19710603	0.0	13.91	0.21
19710604	0.0	12.58	0.2
19710605	0.0	10.53	0.2
19710606	0.09	10.42	0.2
19710607	2.92	11.33	0.21
19710608	25.74	10.42	0.42
19710609	1.87	8.76	0.64
19710610	0.93	9.84	0.34
19710611	8.84	9.64	1.0
19710612	0.81	11.72	0.59
19710613	3.72	10.68	0.42
19710614	1.08	9.97	0.4
19710615	1.36	8.34	0.35
19710616	0.68	10.45	0.32
19710617	0.38	10.06	0.3
19710618	16.47	9.92	0.78
19710619	7.76	12.54	0.73
19710620	0.08	12.56	0.83
19710621	0.56	11.05	0.56
19710622	0.0	12.71	0.48
19710623	0.0	13.67	0.41
19710624	0.97	13.18	0.37
19710625	2.79	14.06	0.36
19710626	1.96	12.7	0.35
19710627	2.26	11.98	0.31
19710628	0.11	11.81	0.3
19710629	0.01	11.98	0.26
19710630	0.44	14.0	0.25
19710701	0.04	16.69	0.25
19710702	0.01	17.96	0.23
19710703	1.03	19.09	0.22
19710704	6.32	16.33	0.33
19710705	0.0	15.6	0.25
19710706	0.0	16.09	0.21
19710707	0.0	17.48	0.2
19710708	0.0	18.96	0.19
19710709	0.0	18.61	0.19
19710710	0.0	17.88	0.19
19710711	0.0	18.67	0.19
19710712	0.0	17.01	0.18
19710713	0.0	13.72	0.17
19710714	0.0	13.47	0.17
19710715	0.0	16.54	0.16
19710716	0.0	13.64	0.16
19710717	0.0	12.55	0.16
19710718	0.0	12.48	0.16
19710719	0.0	13.0	0.16
19710720	0.0	14.42	0.16
19710721	0.0	15.62	0.16
19710722	2.66	15.37	0.16
19710723	2.41	16.35	0.17
19710724	3.18	16.82	0.17
19710725	0.36	17.3	0.16
19710726	0.09	16.75	0.15
19710727	0.1	15.87	0.15
19710728	0.0	16.45	0.15
19710729	0.0	16.74	0.14
19710730	8.52	17.17	0.15
19710731	0.43	15.72	0.2
19710801	5.32	14.97	0.16
19710802	1.27	15.21	0.16
19710803	3.75	14.16	0.16
19710804	4.4	15.95	0.16
19710805	0.72	15.31	0.16
19710806	0.42	15.29	0.14
19710807	0.52	13.7	0.14
19710808	0.0	13.88	0.13
19710809	24.72	16.82	0.17
19710810	16.13	14.44	1.03
19710811	0.97	13.64	0.38
19710812	2.99	14.2	0.24
19710813	13.69	15.1	0.33
19710814	4.97	14.14	0.97
19710815	0.01	12.61	0.52
19710816	0.0	11.66	0.32
19710817	0.0	13.7	0.26
19710818	2.65	14.66	0.24
19710819	0.02	15.7	0.24
19710820	0.27	17.14	0.22
19710821	0.41	15.09	0.21
19710822	0.02	14.63	0.2
19710823	0.0	16.2	0.2
19710824	0.0	16.79	0.19
19710825	0.0	16.36	0.18
19710826	0.0	14.93	0.18
19710827	0.03	13.43	0.17
19710828	2.23	16.04	0.18
19710829	4.35	16.08	0.2
19710830	1.52	12.44	0.19
19710831	0.37	14.37	0.18
19710901	0.0	15.44	0.17
19710902	0.1	13.17	0.17
19710903	9.51	15.38	0.21
19710904	0.21	14.81	0.23
19710905	0.0	13.84	0.17
19710906	0.0	14.98	0.15
19710907	0.0	15.05	0.13
19710908	0.0	15.78	0.13
19710909	0.0	16.58	0.13
19710910	0.0	13.44	0.13
19710911	0.0	13.52	0.13
19710912	0.0	12.77	0.13
19710913	0.0	11.83	0.13
19710914	0.29	13.31	0.13
19710915	0.04	13.73	0.13
19710916	0.0	14.94	0.13
19710917	0.0	13.99	0.12
19710918	0.0	11.62	0.12
19710919	0.0	11.84	0.12
19710920	0.0	13.16	0.12
19710921	0.0	13.99	0.12
19710922	0.0	15.8	0.12
19710923	6.95	13.77	0.18
19710924	1.01	12.29	0.17
19710925	0.02	11.89	0.15
19710926	9.5	12.54	0.17
19710927	0.21	11.16	0.2
19710928	1.8	11.16	0.15
19710929	0.0	13.04	0.14
19710930	0.0	16.05	0.13
19711001	0.0	15.42	0.13
19711002	0.52	14.78	0.12
19711003	0.33	13.68	0.15
19711004	0.0	12.96	0.14
19711005	0.0	11.53	0.13
19711006	0.0	10.4	0.12
19711007	0.0	11.92	0.12
19711008	0.0	11.5	0.12
19711009	0.0	11.86	0.12
19711010	0.0	13.36	0.12
19711011	4.29	14.46	0.13
19711012	3.02	12.11	0.13
