date	precipitation	temperature	discharge_spec
19701001	0.52	12.6	0.34
19701002	2.9	11.36	0.36
19701003	0.45	11.01	0.33
19701004	1.32	12.45	0.35
19701005	1.52	12.42	0.4
19701006	1.64	9.11	0.38
19701007	0.74	8.06	0.5
19701008	0.21	8.1	0.48
19701009	0.07	7.77	0.45
19701010	1.53	7.95	0.4
19701011	4.19	11.16	0.37
19701012	0.06	12.55	0.35
19701013	0.07	12.74	0.43
19701014	0.06	12.02	0.47
19701015	0.01	11.43	0.43
19701016	0.0	9.86	0.41
19701017	0.06	8.84	0.4
19701018	2.01	9.27	0.39
19701019	6.42	9.29	0.36
19701020	0.66	5.64	0.35
19701021	0.16	5.43	0.4
19701022	0.05	7.12	0.53
19701023	0.56	8.95	0.42
19701024	1.33	10.49	0.37
19701025	2.24	11.5	0.36
19701026	3.21	9.19	0.4
19701027	11.85	8.67	0.69
19701028	0.86	10.42	0.72
19701029	2.29	11.82	1.67
19701030	5.15	13.2	1.28
19701031	2.9	12.89	1.3
19701101	18.47	10.88	1.86
19701102	6.56	11.73	2.05
19701103	1.52	10.3	2.59
19701104	4.98	9.59	2.48
19701105	0.1	8.73	1.91
19701106	24.25	7.06	1.77
19701107	0.07	6.53	2.32
19701108	0.67	5.88	3.17
19701109	0.82	7.51	2.67
19701110	2.72	9.3	1.84
19701111	12.93	9.32	1.54
19701112	0.82	6.38	2.18
19701113	5.93	4.46	2.5
19701114	0.96	3.06	2.11
19701115	4.58	3.48	1.93
19701116	2.83	3.96	1.61
19701117	12.84	5.81	1.88
19701118	9.27	5.86	2.72
19701119	1.59	5.96	3.6
19701120	10.13	4.62	3.46
19701121	2.17	5.77	3.35
19701122	10.59	5.12	3.25
19701123	1.67	8.2	3.06
19701124	0.08	10.41	3.39
19701125	2.97	10.83	3.2
19701126	0.49	7.87	2.67
19701127	2.4	8.62	2.0
19701128	7.5	10.11	1.75
19701129	13.87	7.04	2.49
19701130	3.3	6.71	3.74
19701201	0.57	6.38	3.99
19701202	3.27	7.6	3.42
19701203	7.55	7.95	2.63
19701204	2.16	7.19	2.96
19701205	5.42	7.1	3.12
19701206	3.25	6.45	2.81
19701207	0.09	5.41	2.81
19701208	0.01	2.67	2.72
19701209	0.04	1.96	2.1
19701210	0.05	2.62	1.71
19701211	0.32	5.42	1.52
19701212	2.47	6.59	1.41
19701213	0.09	4.32	1.38
19701214	0.03	2.47	1.24
19701215	1.03	3.82	1.12
19701216	0.68	6.11	1.03
19701217	0.22	7.33	1.0
19701218	0.62	7.91	0.96
19701219	1.47	8.28	0.91
19701220	0.2	6.23	0.84
19701221	0.03	2.38	0.8
19701222	0.24	0.82	0.85
19701223	2.13	2.8	0.85
19701224	0.71	-0.1	0.85
19701225	2.27	-0.44	0.85
19701226	2.88	-0.19	0.85
19701227	0.26	-1.59	0.85
19701228	1.02	-0.02	0.85
19701229	0.38	1.69	0.71
19701230	0.04	1.27	0.91
19701231	0.01	-1.02	0.84
19710101	0.06	-1.15	0.69
19710102	0.07	-0.36	0.73
19710103	0.0	-2.26	0.7
19710104	0.04	-2.86	0.67
19710105	1.39	-1.88	0.64
19710106	6.56	3.62	0.63
19710107	6.77	5.76	1.15
19710108	1.1	9.33	2.74
19710109	0.07	9.98	2.57
19710110	0.0	9.75	1.79
19710111	0.03	3.7	1.43
19710112	1.23	3.5	1.24
19710113	0.12	4.71	1.11
19710114	0.78	3.66	1.01
19710115	0.08	3.12	0.99
19710116	5.82	3.76	1.07
19710117	0.52	4.44	1.38
19710118	7.13	5.6	1.35
19710119	4.39	6.01	1.54
19710120	7.75	4.57	2.01
19710121	7.17	4.89	2.98
19710122	11.45	5.99	3.2
19710123	8.98	5.65	3.74
19710124	4.26	6.18	4.3
19710125	5.11	6.5	4.33
19710126	10.86	5.2	4.28
19710127	3.33	5.63	4.32
19710128	2.4	4.53	4.29
19710129	2.61	4.24	4.1
19710130	7.7	1.92	3.81
19710131	2.24	2.25	3.83
