date	precipitation	temperature	discharge_spec
19760521	0.12	10.61	0.1
19760522	0.0	13.9	0.08
19760523	0.0	14.47	0.05
19760524	9.85	15.66	0.05
19760525	1.72	12.37	0.06
19760526	0.0	11.28	0.07
19760527	0.0	11.49	0.07
19760528	5.25	13.6	0.07
19760529	0.1	13.21	0.06
19760530	0.6	11.6	0.06
19760531	1.42	13.49	0.06
19760601	0.32	13.7	0.06
19760602	0.91	12.39	0.06
19760603	0.0	11.41	0.06
19760604	0.0	12.85	0.06
19760605	1.2	14.55	0.05
19760606	0.0	17.55	0.05
19760607	0.0	18.26	0.05
19760608	0.0	20.02	0.05
19760609	0.0	19.89	0.04
19760610	0.0	14.18	0.04
19760611	0.0	14.23	0.04
19760612	0.0	15.71	0.04
19760613	0.0	16.44	0.03
19760614	0.0	17.2	0.03
19760615	0.0	16.93	0.03
19760616	4.59	14.4	0.03
19760617	1.43	13.92	0.04
19760618	0.41	15.7	0.03
19760619	22.64	12.46	0.04
19760620	0.05	14.13	0.03
19760621	0.01	14.58	0.05
19760622	0.0	18.39	0.05
19760623	0.0	20.88	0.05
19760624	0.0	20.39	0.04
19760625	0.0	21.52	0.04
19760626	0.0	23.33	0.04
19760627	0.0	23.2	0.04
19760628	0.0	23.3	0.04
19760629	0.0	22.77	0.04
19760630	0.0	22.17	0.05
19760701	0.0	22.72	0.04
19760702	0.0	22.58	0.05
19760703	1.19	24.04	0.04
19760704	0.38	24.41	0.04
19760705	0.0	23.3	0.03
19760706	0.0	23.17	0.04
19760707	0.0	22.07	0.04
19760708	0.0	20.96	0.03
19760709	0.26	19.27	0.02
19760710	0.0	16.63	0.03
19760711	0.67	18.9	0.03
19760712	1.08	20.93	0.03
19760713	2.48	18.94	0.03
19760714	0.09	17.77	0.03
19760715	1.0	18.41	0.02
19760716	3.59	18.51	0.02
19760717	0.0	17.13	0.02
19760718	0.03	17.65	0.02
19760719	2.18	19.31	0.02
19760720	6.43	16.59	0.03
19760721	0.01	14.6	0.03
19760722	0.0	14.79	0.03
19760723	0.0	14.69	0.03
19760724	0.0	15.61	0.03
19760725	0.0	16.44	0.02
19760726	0.0	17.27	0.02
19760727	0.0	17.79	0.02
19760728	0.0	16.63	0.03
19760729	0.0	16.64	0.02
19760730	0.0	15.77	0.02
19760731	0.0	13.46	0.02
19760801	0.0	12.29	0.02
19760802	0.0	16.18	0.03
19760803	0.02	16.66	0.03
19760804	0.0	14.26	0.03
19760805	0.0	15.18	0.03
19760806	0.0	15.78	0.03
19760807	0.0	16.88	0.03
19760808	0.0	17.52	0.03
19760809	0.0	17.36	0.03
19760810	0.0	17.49	0.02
19760811	0.0	18.04	0.02
19760812	0.0	18.86	0.02
19760813	0.0	19.58	0.03
19760814	0.0	19.4	0.02
19760815	0.0	18.73	0.03
19760816	0.0	18.87	0.02
19760817	0.0	19.33	0.02
19760818	0.0	18.12	0.03
19760819	0.0	18.5	0.02
19760820	0.0	18.98	0.02
19760821	0.0	18.19	0.02
19760822	0.0	20.08	0.02
19760823	0.0	19.47	0.03
19760824	0.0	19.86	0.03
19760825	0.0	20.57	0.02
19760826	0.0	19.55	0.03
19760827	0.0	16.85	0.03
19760828	6.83	15.55	0.03
19760829	39.02	16.61	0.04
19760830	7.76	15.62	0.05
19760831	0.0	15.69	0.03
19760901	2.6	14.28	0.03
19760902	0.0	11.36	0.04
19760903	0.0	11.61	0.04
19760904	0.0	13.97	0.04
19760905	0.0	13.44	0.04
19760906	0.0	13.92	0.03
19760907	0.0	14.24	0.04
19760908	0.9	14.44	0.03
19760909	2.86	11.24	0.03
19760910	8.65	10.53	0.04
19760911	0.04	11.53	0.04
19760912	0.32	10.9	0.03
19760913	2.21	10.55	0.04
19760914	3.56	11.0	0.04
19760915	0.0	10.76	0.04
19760916	0.0	10.95	0.04
19760917	0.01	11.04	0.04
