date	precipitation	temperature	discharge_spec
19701001	0.09	12.41	0.26
19701002	2.01	11.56	0.25
19701003	0.22	10.89	0.25
19701004	0.55	12.22	0.24
19701005	0.99	12.37	0.24
19701006	3.7	8.81	0.24
19701007	0.04	7.62	0.24
19701008	0.02	7.66	0.24
19701009	0.15	7.66	0.24
19701010	4.33	7.58	0.24
19701011	7.63	11.05	0.28
19701012	0.01	12.0	0.35
19701013	0.0	12.52	0.28
19701014	0.11	11.82	0.26
19701015	0.0	11.18	0.26
19701016	0.0	9.76	0.25
19701017	0.0	8.8	0.25
19701018	1.36	8.86	0.22
19701019	3.15	9.21	0.21
19701020	0.47	5.58	0.22
19701021	0.38	5.17	0.21
19701022	0.07	6.53	0.2
19701023	0.0	8.65	0.21
19701024	0.88	10.15	0.21
19701025	3.15	11.24	0.2
19701026	3.33	9.29	0.23
19701027	7.62	8.61	0.31
19701028	0.34	10.75	0.37
19701029	0.19	11.69	0.3
19701030	2.99	13.0	0.27
19701031	0.95	12.81	0.32
19701101	17.49	10.92	0.47
19701102	8.37	11.77	1.51
19701103	0.11	10.4	1.39
19701104	1.86	9.6	0.87
19701105	0.01	8.72	0.76
19701106	44.65	7.25	5.14
19701107	0.1	6.56	7.25
19701108	0.48	5.62	2.3
19701109	0.72	7.17	1.55
19701110	2.77	9.28	1.27
19701111	10.09	9.5	1.56
19701112	0.65	6.44	2.22
19701113	11.16	4.39	2.31
19701114	1.6	3.15	2.38
19701115	3.41	3.71	1.6
19701116	2.99	4.08	2.11
19701117	12.4	5.92	3.75
19701118	17.49	6.17	6.74
19701119	3.04	6.09	5.14
19701120	8.84	4.92	5.46
19701121	7.12	5.72	3.63
19701122	13.19	5.33	3.95
19701123	1.7	7.98	7.69
19701124	0.0	10.6	3.44
19701125	7.46	10.92	3.92
19701126	0.19	8.2	3.0
19701127	3.95	8.82	2.39
19701128	12.5	10.11	2.77
19701129	6.54	7.21	9.04
19701130	0.46	6.67	3.81
19701201	0.1	6.29	2.73
19701202	1.57	7.39	2.3
19701203	5.24	8.39	2.16
19701204	0.65	7.57	2.26
19701205	7.39	6.97	1.95
19701206	2.99	6.43	2.91
19701207	0.0	5.6	2.24
19701208	0.0	2.58	1.8
19701209	0.21	1.62	1.62
19701210	0.15	2.4	1.55
19701211	0.99	5.67	1.49
19701212	5.73	6.73	1.73
19701213	0.02	4.13	1.53
19701214	0.01	2.05	1.4
19701215	1.02	3.53	1.32
19701216	0.41	6.05	1.32
19701217	0.28	7.27	1.3
19701218	0.72	7.67	1.25
19701219	0.41	7.83	1.18
19701220	0.55	6.04	1.08
19701221	0.18	2.28	1.09
19701222	0.39	0.32	1.02
19701223	2.93	2.33	1.02
19701224	0.16	-0.71	0.97
19701225	0.86	-1.17	0.92
19701226	2.92	-0.87	0.91
19701227	0.04	-2.4	0.83
19701228	0.36	-0.71	0.84
19701229	0.61	1.03	0.86
19701230	0.32	0.92	0.82
19701231	0.04	-1.38	0.73
19710101	0.05	-1.41	0.68
19710102	0.07	-0.44	0.68
19710103	0.06	-2.4	0.66
19710104	0.0	-3.01	0.64
19710105	1.49	-1.59	0.59
19710106	4.78	3.66	0.67
19710107	21.41	5.88	9.49
19710108	4.2	9.06	3.32
19710109	0.76	9.61	2.68
19710110	0.0	9.11	1.91
19710111	0.0	3.49	1.74
19710112	2.13	3.8	1.48
19710113	0.84	5.05	1.4
19710114	0.27	3.52	1.3
19710115	0.07	2.98	1.24
19710116	2.65	3.8	1.27
19710117	1.52	4.47	1.31
19710118	8.75	5.56	2.25
19710119	11.71	5.82	3.65
19710120	15.82	4.44	10.53
19710121	9.88	4.78	8.14
19710122	12.96	6.24	5.83
19710123	11.86	5.71	13.2
19710124	9.0	6.0	7.23
19710125	9.95	6.2	9.55
19710126	13.36	5.38	11.11
19710127	5.31	5.72	5.73
19710128	2.18	4.52	4.23
19710129	4.94	3.98	3.18
19710130	10.91	1.69	4.78
19710131	7.22	2.02	7.32
19710201	0.01	1.59	4.03
19710202	0.07	1.48	2.97
19710203	0.0	3.28	2.91
19710204	0.0	4.75	2.5
19710205	0.0	3.19	2.25
19710206	0.0	3.49	2.06
19710207	0.0	5.06	1.85
19710208	0.0	3.9	1.82
19710209	0.0	4.51	1.69
19710210	0.0	4.9	1.55
19710211	0.14	4.8	1.43
19710212	2.3	5.77	1.41
19710213	0.42	4.97	1.38
19710214	15.69	4.53	2.45
19710215	0.53	2.15	2.94
19710216	3.53	0.18	2.07
19710217	4.92	2.39	2.2
19710218	0.06	4.98	2.34
19710219	0.04	5.11	1.8
19710220	2.14	6.46	1.7
19710221	0.06	6.72	1.52
19710222	0.0	4.52	1.45
19710223	0.0	3.21	1.3
19710224	0.0	4.4	1.18
19710225	0.0	3.65	1.14
19710226	0.05	2.79	1.12
19710227	4.36	2.63	1.14
19710228	1.17	1.58	1.14
19710301	8.87	2.08	1.54
19710302	0.11	3.98	1.75
19710303	0.05	2.45	1.36
19710304	0.06	-1.2	1.18
19710305	1.48	-2.26	1.15
19710306	0.01	-0.63	1.1
19710307	0.18	-0.99	0.99
19710308	0.09	1.97	1.05
19710309	0.0	5.61	0.97
19710310	0.0	3.29	0.89
19710311	0.0	5.81	0.84
19710312	0.07	5.89	0.85
19710313	0.09	6.36	0.85
19710314	15.69	4.24	1.05
19710315	1.57	4.4	1.72
19710316	4.07	3.69	1.41
19710317	27.48	4.48	7.18
19710318	5.45	6.01	11.86
19710319	2.66	6.59	3.93
19710320	1.9	4.8	3.18
19710321	0.2	5.0	2.37
19710322	0.0	5.36	1.97
19710323	1.6	3.47	1.79
19710324	1.89	6.23	1.7
