date	precipitation	temperature	discharge_spec
19701001	0.91	12.54	0.71
19701002	3.18	11.43	0.64
19701003	2.02	11.03	0.67
19701004	8.47	11.96	0.64
19701005	4.75	11.92	1.41
19701006	1.82	8.96	1.26
19701007	1.48	8.16	1.0
19701008	0.17	8.17	0.9
19701009	0.03	7.97	0.74
19701010	1.8	8.04	0.67
19701011	39.89	10.66	7.05
19701012	0.02	11.82	5.58
19701013	0.03	12.42	2.89
19701014	0.01	11.97	2.27
19701015	0.0	11.29	1.9
19701016	0.0	10.41	1.63
19701017	0.0	9.05	1.45
19701018	2.05	9.33	1.32
19701019	14.25	9.27	1.3
19701020	3.36	5.8	3.16
19701021	0.81	5.58	1.91
19701022	0.42	7.0	1.58
19701023	1.5	9.17	1.46
19701024	3.46	10.09	1.41
19701025	7.26	11.28	1.76
19701026	6.41	9.36	2.43
19701027	17.72	9.23	4.49
19701028	3.38	10.88	5.77
19701029	9.31	11.72	4.36
19701030	20.27	12.67	5.89
19701031	8.63	12.67	11.77
19701101	27.67	10.93	10.43
19701102	13.09	11.55	18.54
19701103	0.24	10.4	13.15
19701104	10.55	9.85	8.09
19701105	0.06	8.97	7.33
19701106	32.29	7.84	9.12
19701107	0.22	6.87	14.15
19701108	4.95	6.15	7.99
19701109	2.15	7.67	5.87
19701110	5.3	9.63	4.95
19701111	20.74	9.69	6.67
19701112	2.87	6.57	9.0
19701113	14.77	4.98	6.99
19701114	6.68	3.61	10.24
19701115	12.74	4.82	6.35
19701116	4.83	4.96	9.7
19701117	25.52	6.56	11.86
19701118	21.36	6.35	15.51
19701119	3.71	6.04	14.1
19701120	11.57	5.21	10.37
19701121	8.77	6.0	8.94
19701122	14.45	6.29	7.78
19701123	6.18	8.55	12.98
19701124	0.49	11.06	7.98
19701125	0.19	11.3	5.53
19701126	0.03	9.11	4.22
19701127	9.19	9.68	3.48
19701128	11.01	10.35	4.29
19701129	10.73	6.94	6.52
19701130	5.97	6.93	6.29
19701201	2.28	6.62	5.48
19701202	8.78	8.0	5.23
19701203	15.38	8.75	6.46
19701204	0.92	7.68	8.27
19701205	10.07	7.33	5.44
19701206	4.68	6.72	6.67
19701207	0.08	6.39	5.69
19701208	0.0	2.66	4.27
19701209	0.01	2.34	3.61
19701210	0.02	2.72	3.15
19701211	0.39	5.89	2.76
19701212	3.86	6.85	2.57
19701213	0.3	5.1	2.44
19701214	0.0	3.17	2.11
19701215	6.98	4.53	2.1
19701216	7.03	6.99	2.67
19701217	0.83	7.73	3.16
19701218	6.38	8.08	2.92
19701219	2.75	8.26	3.39
19701220	0.43	6.73	2.89
19701221	0.0	3.27	2.59
19701222	0.01	1.03	2.3
19701223	1.16	2.72	2.16
19701224	0.08	0.1	2.03
19701225	0.42	-0.4	1.79
19701226	1.04	-0.03	1.68
19701227	0.24	-1.87	1.55
