date	precipitation	temperature	discharge_spec
19720906	4.38	11.1	0.62
19720907	1.19	8.01	0.62
19720908	0.57	4.81	0.61
19720909	1.38	4.69	0.61
19720910	3.4	5.76	0.61
19720911	1.56	7.47	0.63
19720912	9.25	7.36	0.78
19720913	1.83	9.56	0.95
19720914	0.02	8.53	1.2
19720915	0.34	8.17	1.34
19720916	0.33	8.44	1.19
19720917	0.07	9.44	1.08
19720918	0.0	8.01	1.07
19720919	0.0	7.63	1.2
19720920	7.65	9.19	1.47
19720921	1.04	9.66	1.45
19720922	0.2	9.18	1.26
19720923	0.0	10.01	1.01
19720924	0.0	7.52	0.91
19720925	0.0	5.92	0.89
19720926	0.0	6.73	0.88
19720927	0.0	7.24	0.93
19720928	0.0	8.83	0.96
19720929	0.0	9.54	1.0
19720930	0.0	10.92	0.95
19721001	0.0	9.58	0.8
19721002	0.0	9.49	0.73
19721003	0.12	7.36	0.73
19721004	0.0	10.65	0.7
19721005	0.0	10.13	0.64
19721006	0.0	9.7	0.63
19721007	2.49	9.77	0.62
19721008	6.98	10.64	0.61
19721009	1.94	12.23	0.59
19721010	0.88	9.92	0.58
19721011	0.0	7.19	0.57
19721012	0.0	5.2	0.57
19721013	0.0	7.69	0.56
19721014	0.0	9.87	0.54
19721015	0.02	7.12	0.54
19721016	0.0	7.04	0.55
19721017	0.42	7.75	0.58
19721018	0.08	6.66	0.59
19721019	0.02	7.08	0.62
19721020	0.07	3.47	0.64
19721021	9.91	4.11	0.63
19721022	13.83	7.02	0.65
19721023	1.77	7.05	0.63
19721024	3.88	6.49	0.62
19721025	5.52	7.49	0.71
19721026	0.25	8.47	0.69
19721027	5.51	9.96	0.79
19721028	5.51	7.45	0.93
19721029	22.78	7.79	1.18
19721030	2.27	7.1	2.08
19721031	8.1	5.82	2.53
19721101	3.3	6.81	2.58
19721102	8.33	8.46	2.83
19721103	1.08	6.98	2.79
19721104	0.23	3.22	2.83
19721105	3.44	6.14	2.54
19721106	2.38	7.66	2.05
19721107	3.27	5.65	1.78
19721108	14.36	5.71	1.84
19721109	29.95	6.9	4.36
19721110	14.36	2.86	6.07
19721111	11.69	2.85	5.95
19721112	1.87	1.98	5.35
19721113	0.54	1.07	4.2
19721114	0.95	-1.29	3.01
19721115	0.54	-0.78	2.32
19721116	2.31	-0.94	1.91
19721117	0.0	-0.58	1.67
19721118	2.28	-1.33	1.65
19721119	1.92	0.35	1.61
19721120	6.36	2.55	1.91
19721121	3.47	3.05	2.69
19721122	8.9	1.55	3.2
19721123	1.55	1.99	2.89
19721124	7.08	1.28	2.77
19721125	1.07	1.4	2.9
19721126	3.68	3.79	3.52
19721127	24.98	5.54	5.84
19721128	27.55	3.96	8.68
19721129	21.89	4.88	10.96
19721130	26.05	4.16	11.54
19721201	10.81	3.41	12.07
19721202	0.3	1.54	9.83
19721203	7.54	1.62	6.71
19721204	18.48	2.67	6.67
19721205	25.88	2.6	8.89
19721206	8.55	1.08	8.9
19721207	1.02	-1.06	6.95
19721208	2.5	-1.02	5.74
19721209	16.22	-0.45	4.82
19721210	12.47	0.51	4.22
19721211	33.97	1.95	5.19
19721212	11.54	4.1	8.55
19721213	4.7	4.09	11.72
19721214	0.6	6.66	11.86
19721215	0.01	6.43	11.46
19721216	0.64	3.71	8.61
19721217	0.01	5.56	6.48
19721218	0.02	6.98	5.83
19721219	0.15	5.49	4.65
19721220	1.53	5.21	3.61
19721221	0.02	5.64	3.02
19721222	0.18	4.61	3.19
19721223	5.22	3.95	3.28
19721224	0.14	0.46	2.89
19721225	0.29	0.62	2.64
19721226	2.25	3.29	2.52
19721227	1.11	4.56	2.54
19721228	3.5	5.49	2.88
19721229	1.63	3.61	3.45
19721230	5.98	5.14	3.29
19721231	10.8	7.53	3.71
19730101	12.99	6.75	4.76
19730102	7.18	6.44	6.09
19730103	0.06	1.17	5.98
19730104	0.03	2.13	4.86
19730105	0.0	2.28	3.93
19730106	0.0	2.56	3.28
19730107	0.0	1.34	2.86
19730108	0.0	1.99	2.73
19730109	0.0	3.64	2.63
19730110	0.03	3.36	2.59
19730111	0.02	2.99	2.47
19730112	0.0	1.42	2.4
19730113	0.08	0.81	2.3
19730114	2.73	1.65	2.16
19730115	12.37	2.53	2.33
19730116	1.98	2.57	2.96
19730117	0.11	-0.25	3.34
19730118	0.21	-0.97	3.11
19730119	0.84	-0.59	2.98
19730120	5.37	0.72	2.73
19730121	10.85	1.05	2.71
19730122	2.2	2.17	2.54
19730123	6.81	4.51	3.22
19730124	7.08	5.71	5.04
19730125	15.58	6.47	5.82
19730126	8.59	3.93	6.25
19730127	1.44	3.73	6.05
19730128	0.78	4.28	5.17
19730129	8.69	5.96	4.1
19730130	10.53	3.11	4.02
19730131	1.03	2.91	4.02
19730201	1.08	4.01	3.76
19730202	0.25	5.35	3.77
19730203	1.16	5.39	3.59
19730204	11.03	6.38	3.16
19730205	17.81	4.91	3.77
19730206	14.24	5.03	5.53
19730207	12.33	3.3	5.98
19730208	1.44	2.03	5.96
19730209	9.72	0.56	5.5
19730210	3.15	1.55	4.53
19730211	25.11	2.94	5.37
19730212	10.67	-0.52	7.06
19730213	5.08	-1.9	6.45
19730214	0.16	-4.36	5.65
19730215	0.01	-4.25	4.8
19730216	0.05	-3.05	4.04
19730217	1.7	-0.75	3.5
19730218	3.64	2.18	3.74
19730219	2.42	5.3	6.26
19730220	6.39	7.37	6.77
19730221	9.89	4.42	5.83
19730222	11.62	0.71	5.24
19730223	9.1	-0.89	4.8
19730224	1.56	-0.41	4.46
19730225	0.0	-1.97	4.09
19730226	0.03	-2.0	3.88
19730227	4.5	-0.9	3.54
19730228	6.85	2.51	3.26
19730301	5.01	3.14	4.51
19730302	17.77	3.36	6.61
19730303	2.08	4.46	8.97
19730304	11.49	3.43	8.03
19730305	8.33	1.36	7.08
19730306	5.22	1.63	5.94
19730307	2.59	3.02	5.61
19730308	0.0	5.13	6.12
19730309	0.0	3.85	5.51
19730310	0.0	3.41	4.64
19730311	0.0	2.81	3.79
19730312	0.0	1.85	3.46
19730313	0.04	2.15	3.13
19730314	0.02	0.29	2.8
19730315	0.0	0.91	2.71
19730316	0.52	3.33	2.58
19730317	1.93	6.22	2.45
19730318	1.0	7.14	2.77
19730319	0.03	4.43	2.87
19730320	0.0	5.52	2.5
19730321	0.48	4.85	2.52
19730322	6.12	5.44	2.46
19730323	1.23	7.92	2.43
19730324	12.52	6.78	2.59
19730325	3.06	6.36	3.01
19730326	0.1	3.27	3.21
19730327	5.3	4.21	3.27
19730328	1.84	4.64	3.29
19730329	25.21	5.37	3.49
19730330	17.43	3.1	4.89
19730331	20.41	3.21	6.21
19730401	1.57	1.65	6.43
19730402	0.72	0.91	5.82
19730403	10.0	1.72	4.96
19730404	18.28	4.76	6.14
19730405	13.67	2.45	7.88
19730406	11.98	1.86	7.46
19730407	4.05	2.35	7.15
19730408	0.98	-0.3	6.6
19730409	0.32	0.69	5.53
19730410	0.65	2.96	4.54
19730411	0.19	2.68	4.38
19730412	0.78	3.18	4.08
19730413	0.43	5.0	3.9
19730414	0.06	6.76	4.19
19730415	0.68	7.59	4.15
19730416	0.02	7.29	4.29
19730417	2.16	6.19	3.93
19730418	0.61	6.76	3.75
19730419	1.48	4.24	3.41
19730420	4.19	4.9	2.98
19730421	2.13	4.08	2.82
19730422	0.02	4.47	2.53
19730423	0.14	6.22	2.48
19730424	0.0	5.17	2.55
19730425	0.19	4.64	2.41
19730426	0.3	4.51	2.3
19730427	1.41	4.41	2.14
19730428	0.2	1.11	2.09
19730429	0.01	1.14	1.93
19730430	6.7	0.86	2.23
19730501	3.13	3.15	2.61
19730502	0.33	4.35	2.43
19730503	1.8	4.76	2.16
19730504	15.53	5.5	2.6
19730505	1.84	5.59	3.68
19730506	13.27	6.61	3.54
19730507	4.51	5.69	5.04
19730508	1.82	6.02	4.7
19730509	8.97	6.91	3.94
19730510	7.48	3.01	3.8
19730511	6.14	4.55	3.84
19730512	21.37	6.63	4.58
19730513	3.3	5.5	6.02
19730514	0.68	3.27	5.38
19730515	0.04	5.75	3.89
19730516	0.0	7.8	2.94
19730517	0.0	7.88	2.32
19730518	0.0	8.84	2.03
19730519	0.51	7.58	1.65
19730520	5.93	6.04	1.43
19730521	0.08	6.68	1.7
19730522	4.31	7.67	2.02
19730523	0.17	8.68	2.05
19730524	0.69	8.72	2.02
19730525	1.02	10.03	1.99
19730526	0.39	11.9	1.78
19730527	6.33	11.74	1.59
19730528	1.11	11.13	1.87
19730529	6.91	11.77	2.06
19730530	5.3	9.91	3.08
19730531	2.56	7.23	3.06
19730601	3.12	6.25	2.43
19730602	5.02	9.2	2.09
19730603	2.5	7.55	2.45
19730604	0.35	7.54	2.49
19730605	0.61	8.18	2.56
19730606	0.35	11.93	2.27
19730607	0.02	12.15	2.0
19730608	0.75	11.35	1.91
19730609	5.97	9.87	1.87
19730610	0.32	8.6	1.55
19730611	26.84	8.78	1.72
19730612	33.43	10.62	4.56
19730613	4.19	5.99	7.11
19730614	3.03	7.4	6.14
19730615	0.05	12.25	4.73
19730616	3.87	12.51	3.52
19730617	0.51	11.36	2.65
19730618	6.9	11.55	2.42
19730619	0.91	12.69	2.51
19730620	0.0	10.74	2.29
19730621	0.01	11.52	1.99
19730622	0.24	12.53	1.76
19730623	0.03	11.4	1.49
19730624	0.0	10.28	1.25
19730625	0.33	11.04	1.31
19730626	0.0	10.35	1.27
19730627	0.06	10.55	1.31
19730628	2.12	10.28	1.35
19730629	6.2	12.53	1.3
19730630	14.62	12.98	1.3
19730701	12.9	11.94	1.59
19730702	0.24	11.93	2.47
19730703	0.75	11.47	2.78
19730704	0.02	12.41	2.7
19730705	3.73	13.58	2.4
19730706	0.12	11.89	2.08
19730707	0.34	10.18	2.05
19730708	0.03	8.45	1.96
19730709	0.11	11.13	2.04
19730710	10.57	12.47	2.06
19730711	4.01	12.3	2.0
19730712	2.46	12.36	2.14
19730713	4.6	12.91	2.34
19730714	6.27	12.19	2.56
19730715	0.28	14.02	2.66
19730716	0.02	14.36	2.86
19730717	1.09	10.82	2.55
19730718	6.32	10.82	2.48
19730719	6.53	11.12	2.9
19730720	5.46	11.18	3.25
19730721	4.6	10.52	3.36
19730722	0.39	9.15	3.0
19730723	0.0	9.24	2.61
19730724	0.14	10.17	2.35
19730725	0.01	10.77	2.06
19730726	0.02	10.48	1.75
19730727	0.02	11.65	1.76
19730728	1.54	13.75	1.79
19730729	0.03	14.46	1.74
19730730	0.26	12.04	1.75
19730731	1.17	13.13	1.57
19730801	3.28	13.86	1.49
19730802	2.82	13.54	1.59
19730803	8.87	11.0	1.68
19730804	14.82	10.05	1.54
19730805	2.25	10.25	1.99
19730806	14.68	8.44	2.83
19730807	3.2	9.37	3.34
19730808	1.47	10.0	3.06
19730809	10.99	12.05	3.02
19730810	0.04	11.58	2.52
19730811	0.0	10.3	2.38
19730812	0.0	11.44	2.14
19730813	0.0	14.63	1.97
19730814	0.0	15.99	1.79
19730815	0.0	16.32	1.6
19730816	0.87	15.71	1.63
19730817	0.98	11.16	1.55
19730818	0.18	10.54	1.2
19730819	0.0	9.11	0.93
19730820	0.0	8.72	0.86
19730821	0.01	7.89	0.82
19730822	1.26	9.76	0.79
19730823	8.64	11.73	0.81
19730824	0.0	14.0	0.73
19730825	0.0	13.78	0.72
19730826	3.42	12.9	0.68
19730827	1.46	13.72	0.8
19730828	1.09	11.42	0.89
19730829	2.34	12.37	0.93
19730830	12.61	10.52	1.09
19730831	26.31	11.09	1.86
19730901	5.13	11.42	3.29
19730902	5.49	10.66	2.94
19730903	5.43	11.08	2.74
19730904	16.99	11.88	3.45
19730905	3.72	11.08	4.59
19730906	9.58	12.45	4.24
19730907	0.99	13.78	4.07
19730908	1.88	14.27	2.84
19730909	0.07	10.09	2.2
19730910	0.0	8.31	2.14
19730911	0.0	8.11	1.94
19730912	0.0	8.91	1.84
19730913	0.02	8.99	1.78
19730914	0.06	9.54	1.68
19730915	0.63	11.13	1.56
19730916	0.93	12.73	1.65
19730917	5.3	12.76	2.21
19730918	0.93	10.72	2.21
19730919	1.25	10.08	2.06
19730920	0.33	8.35	1.81
19730921	0.66	7.56	1.56
19730922	1.31	7.61	1.38
19730923	0.21	8.81	1.3
19730924	1.22	6.69	1.43
