date	precipitation	temperature	discharge_spec
20000116	0.08	0.56	3.31
20000117	0.07	2.69	2.82
20000118	0.19	2.47	2.41
20000119	0.0	3.07	2.11
20000120	0.42	2.35	1.86
20000121	3.09	1.9	1.7
20000122	1.94	3.57	1.95
20000123	0.66	1.03	1.63
20000124	0.0	0.75	1.45
20000125	0.0	0.39	1.31
20000126	0.0	-0.7	1.2
20000127	1.85	0.5	1.14
20000128	43.36	4.32	21.46
20000129	63.62	7.6	43.14
20000130	3.52	7.77	34.45
20000131	6.31	7.57	10.66
20000201	18.33	6.52	16.66
20000202	0.1	4.76	7.95
20000203	14.29	5.12	9.5
20000204	3.68	6.67	15.87
20000205	3.43	6.27	6.73
20000206	8.65	7.07	5.34
20000207	18.54	5.66	7.7
20000208	4.32	5.32	13.29
20000209	23.21	5.24	7.68
20000210	0.32	4.24	13.18
20000211	18.65	4.51	8.84
20000212	1.4	4.42	10.2
20000213	6.07	3.04	5.21
20000214	11.96	3.85	13.13
20000215	9.12	3.23	9.55
20000216	3.55	1.75	6.19
20000217	24.14	2.98	15.92
20000218	12.99	5.67	15.36
20000219	0.0	3.27	9.22
20000220	7.79	1.44	6.29
20000221	0.1	3.33	5.37
20000222	0.55	2.22	3.77
20000223	11.38	6.34	7.46
20000224	8.72	4.24	7.24
20000225	0.02	3.02	5.02
20000226	3.34	4.53	3.91
20000227	62.26	6.65	29.57
20000228	17.16	3.65	19.7
20000229	10.06	4.28	20.32
20000301	5.68	3.21	9.5
20000302	45.94	5.19	31.74
20000303	0.42	4.44	16.9
20000304	0.49	1.63	6.59
20000305	2.98	3.24	4.45
20000306	8.28	6.48	4.77
20000307	25.64	7.44	25.61
20000308	1.85	8.44	13.59
20000309	7.75	8.2	9.28
20000310	1.21	7.05	6.84
20000311	0.14	6.12	4.91
20000312	0.05	4.29	3.85
20000313	5.11	7.52	3.36
20000314	0.11	5.83	3.74
20000315	0.0	4.43	2.74
20000316	0.0	6.07	2.33
20000317	0.0	6.12	2.06
20000318	0.0	6.05	1.84
20000319	0.05	4.03	1.65
20000320	0.0	4.68	1.51
20000321	0.0	6.07	1.39
20000322	0.71	5.13	1.28
20000323	15.85	5.91	2.79
20000324	3.67	5.36	2.2
20000325	11.12	3.65	2.09
20000326	11.37	3.67	10.42
20000327	0.87	3.44	4.34
