date	precipitation	temperature	discharge_spec
19701001	4.18	12.17	0.49
19701002	8.0	10.41	0.54
19701003	1.84	10.57	0.54
19701004	6.66	11.91	0.51
19701005	1.45	11.45	0.56
19701006	0.22	8.81	0.52
19701007	9.11	8.14	0.54
19701008	0.38	8.13	0.63
19701009	0.0	7.31	0.58
19701010	0.12	8.07	0.54
19701011	4.41	10.29	0.56
19701012	0.01	12.06	0.54
19701013	0.0	12.22	0.49
19701014	0.05	11.66	0.47
19701015	0.0	11.04	0.47
19701016	0.0	9.73	0.48
19701017	0.0	8.37	0.49
19701018	3.43	9.34	0.48
19701019	7.58	8.69	0.52
19701020	0.8	5.29	0.49
19701021	0.0	5.22	0.46
19701022	0.03	7.27	0.45
19701023	0.16	8.95	0.43
19701024	0.05	10.19	0.43
19701025	1.26	11.07	0.43
19701026	5.25	8.4	0.42
19701027	15.03	8.15	0.62
19701028	1.91	9.38	0.57
19701029	0.1	11.11	0.52
19701030	11.2	12.33	0.62
19701031	0.37	12.19	0.65
19701101	18.2	10.19	0.82
19701102	0.57	10.87	1.19
19701103	0.07	9.51	1.07
19701104	4.59	9.03	1.0
19701105	0.1	8.17	0.97
19701106	15.49	6.45	1.16
19701107	0.01	5.96	1.2
19701108	0.27	5.86	1.2
19701109	1.09	7.41	1.16
19701110	5.48	8.92	1.11
19701111	9.8	8.47	1.37
19701112	0.31	5.64	1.26
19701113	3.23	4.09	1.3
19701114	1.15	2.46	1.26
19701115	1.96	3.12	1.19
19701116	0.31	3.67	1.16
19701117	14.9	5.3	1.43
19701118	9.56	4.92	1.5
19701119	2.05	5.09	1.88
19701120	14.26	3.9	2.29
19701121	0.1	5.23	2.27
19701122	5.12	4.81	2.17
19701123	3.02	7.98	2.24
19701124	0.02	9.96	1.96
19701125	0.0	10.25	1.84
19701126	2.08	7.45	1.76
19701127	3.73	8.28	1.68
19701128	2.84	9.69	1.66
19701129	17.56	6.21	1.99
19701130	6.23	6.26	2.14
19701201	0.39	5.96	2.29
19701202	2.43	7.36	2.33
19701203	6.93	6.9	2.35
19701204	0.11	6.08	2.23
19701205	6.61	6.82	2.14
19701206	2.6	6.02	2.21
19701207	0.0	4.99	1.99
19701208	0.0	2.1	1.87
19701209	0.0	2.15	1.79
19701210	0.0	2.36	1.73
19701211	0.01	4.64	1.68
19701212	0.11	5.94	1.61
19701213	0.0	4.3	1.52
19701214	0.0	2.81	1.46
19701215	2.79	4.12	1.51
19701216	0.08	6.3	1.4
19701217	0.21	7.11	1.34
19701218	0.01	7.84	1.3
19701219	3.15	8.44	1.27
19701220	0.3	6.0	1.25
19701221	0.0	2.09	1.19
19701222	2.04	0.98	1.15
19701223	0.47	2.69	1.15
19701224	0.32	0.43	1.12
19701225	0.2	0.06	1.08
19701226	0.5	0.39	1.08
19701227	0.0	-1.16	1.04
19701228	0.1	0.24	1.03
19701229	0.05	1.77	1.0
19701230	0.03	1.09	0.98
19701231	0.11	-1.09	0.95
19710101	0.27	-1.34	0.93
19710102	0.74	-0.31	1.02
19710103	0.0	-2.01	0.92
19710104	0.01	-2.87	0.87
19710105	4.75	-1.63	0.89
19710106	4.04	3.5	0.98
19710107	0.78	5.7	1.02
19710108	0.3	9.12	1.01
19710109	0.03	9.87	0.92
19710110	0.0	10.03	0.89
19710111	0.0	4.16	0.87
19710112	0.3	3.21	0.87
19710113	0.0	4.42	0.86
19710114	0.23	3.61	0.85
19710115	0.95	2.76	0.85
19710116	0.93	3.21	0.86
19710117	0.0	4.06	0.84
19710118	3.71	5.25	0.86
19710119	1.8	5.6	0.86
19710120	3.79	4.3	0.87
19710121	17.02	4.39	1.02
19710122	2.98	5.21	1.28
19710123	5.23	4.99	1.33
19710124	3.12	5.75	1.35
19710125	0.07	6.14	1.41
19710126	5.43	4.55	1.46
19710127	4.18	5.13	1.39
