date	precipitation	temperature	discharge_spec
19701001	2.1	12.92	0.13
19701002	3.62	11.42	0.14
19701003	0.37	11.32	0.15
19701004	0.08	12.83	0.15
19701005	1.54	12.71	0.17
19701006	0.55	9.5	0.16
19701007	4.43	8.55	0.16
19701008	0.39	8.6	0.16
19701009	0.0	8.06	0.15
19701010	1.08	8.48	0.15
19701011	1.12	11.39	0.16
19701012	0.0	13.12	0.17
19701013	0.0	13.1	0.16
19701014	0.0	12.24	0.16
19701015	0.0	11.79	0.16
19701016	0.0	10.21	0.15
19701017	0.0	9.17	0.14
19701018	2.11	9.81	0.13
19701019	5.04	9.55	0.15
19701020	0.05	5.9	0.15
19701021	0.0	5.82	0.13
19701022	0.0	7.72	0.11
19701023	0.58	9.32	0.13
19701024	0.0	10.93	0.14
19701025	1.85	11.87	0.13
19701026	2.68	9.29	0.13
19701027	16.33	8.79	0.27
19701028	1.24	10.31	0.34
19701029	0.0	12.02	0.25
19701030	10.2	13.51	0.23
19701031	0.65	13.14	0.37
19701101	15.76	11.06	0.35
19701102	2.58	11.89	0.8
19701103	0.15	10.42	0.52
19701104	2.75	9.73	0.39
19701105	0.0	8.9	0.33
19701106	16.45	7.12	0.5
19701107	0.01	6.71	1.22
19701108	0.25	6.33	0.67
19701109	0.42	7.91	0.5
19701110	0.27	9.47	0.42
19701111	18.91	9.35	1.5
19701112	0.0	6.51	1.6
19701113	5.54	4.68	1.05
19701114	0.0	3.15	1.07
19701115	2.91	3.43	0.75
19701116	1.21	4.0	0.76
19701117	16.39	5.88	1.93
19701118	5.72	5.9	3.2
19701119	1.24	6.05	2.07
19701120	4.14	4.63	1.6
19701121	0.05	5.89	1.32
19701122	6.74	5.12	0.98
19701123	2.33	8.48	1.71
19701124	0.95	10.46	1.48
19701125	3.12	10.93	1.16
19701126	0.15	7.86	1.24
19701127	1.41	8.68	1.06
19701128	3.07	10.28	1.05
19701129	20.17	7.16	2.33
19701130	6.79	6.92	5.58
19701201	0.46	6.6	3.14
19701202	2.93	7.86	1.91
19701203	9.14	7.75	2.29
19701204	0.55	7.1	2.76
19701205	4.28	7.36	1.72
19701206	1.49	6.63	1.72
19701207	0.0	5.44	1.51
19701208	0.0	2.96	1.2
19701209	0.01	2.42	1.03
19701210	0.0	3.01	0.91
19701211	0.0	5.47	0.83
19701212	1.69	6.68	0.81
19701213	0.0	4.64	0.79
19701214	0.0	2.94	0.73
19701215	0.59	4.17	0.68
19701216	0.09	6.37	0.67
19701217	0.27	7.57	0.63
19701218	0.13	8.33	0.61
19701219	0.49	8.79	0.57
19701220	0.01	6.5	0.54
19701221	0.0	2.62	0.51
19701222	0.5	1.37	0.51
19701223	0.89	3.32	0.54
19701224	0.97	0.56	0.52
19701225	1.76	0.3	0.51
19701226	2.05	0.5	0.61
19701227	0.07	-0.79	0.58
19701228	0.41	0.7	0.59
19701229	0.11	2.34	0.69
19701230	0.01	1.69	0.6
19701231	0.06	-0.57	0.52
19710101	0.12	-0.75	0.47
19710102	0.11	-0.06	0.44
19710103	0.0	-1.95	0.41
19710104	0.0	-2.52	0.41
19710105	0.42	-1.91	0.37
19710106	3.66	3.83	0.38
19710107	3.39	5.86	1.06
19710108	0.14	9.75	0.97
19710109	0.0	10.49	0.8
19710110	0.0	10.45	0.66
19710111	0.0	4.07	0.59
19710112	0.23	3.44	0.53
19710113	0.08	4.64	0.5
19710114	0.0	4.0	0.48
19710115	0.13	3.49	0.48
19710116	1.82	3.92	0.48
19710117	0.32	4.61	0.51
19710118	2.88	5.8	0.57
19710119	1.71	6.39	0.75
19710120	3.76	4.88	0.82
19710121	4.0	5.17	1.07
19710122	6.36	6.04	1.17
19710123	8.5	5.85	2.57
19710124	2.38	6.49	2.39
19710125	2.95	6.89	1.76
19710126	8.66	5.28	2.4
