date	precipitation	temperature	discharge_spec
19970912	1.88	12.3	0.14
19970913	0.8	10.75	0.16
19970914	0.28	12.85	0.14
19970915	0.07	14.17	0.12
19970916	0.47	15.37	0.12
19970917	0.04	14.36	0.13
19970918	1.16	13.9	0.12
19970919	0.0	12.46	0.12
19970920	0.0	13.96	0.12
19970921	0.0	12.57	0.12
19970922	0.01	11.91	0.11
19970923	0.0	11.82	0.11
19970924	0.0	12.71	0.12
19970925	0.0	13.67	0.12
19970926	0.0	13.86	0.12
19970927	0.0	13.44	0.12
19970928	1.17	13.86	0.12
19970929	0.51	15.04	0.12
19970930	2.57	14.81	0.13
19971001	0.37	16.4	0.16
19971002	0.02	13.15	0.13
19971003	0.0	13.07	0.13
19971004	0.0	14.51	0.12
19971005	0.78	14.04	0.12
19971006	7.36	13.68	0.13
19971007	4.14	11.69	0.21
19971008	16.25	12.22	0.22
19971009	0.82	14.39	0.41
19971010	0.25	11.89	0.31
19971011	7.09	9.76	0.22
19971012	2.73	8.13	0.26
19971013	0.0	7.83	0.22
19971014	9.24	6.43	0.2
19971015	4.94	11.42	0.34
19971016	0.5	13.57	0.35
19971017	0.0	15.48	0.31
19971018	0.02	14.17	0.24
19971019	0.01	12.95	0.19
19971020	0.0	9.56	0.17
19971021	0.0	8.72	0.15
19971022	0.0	5.56	0.14
19971023	0.0	6.46	0.14
19971024	0.0	5.13	0.15
19971025	0.0	4.41	0.14
19971026	0.0	5.53	0.15
19971027	0.0	7.67	0.14
19971028	0.0	4.08	0.13
19971029	0.25	3.51	0.13
19971030	0.08	5.94	0.13
19971031	0.06	7.02	0.13
19971101	1.11	8.84	0.15
19971102	0.88	10.78	0.15
19971103	0.0	9.22	0.14
19971104	4.4	8.23	0.14
19971105	1.31	11.42	0.18
19971106	0.52	10.08	0.16
19971107	10.89	7.12	0.17
19971108	3.37	7.97	0.38
19971109	0.84	7.05	0.32
19971110	2.73	7.67	0.26
19971111	0.03	7.84	0.23
19971112	1.09	5.97	0.2
19971113	1.0	5.42	0.19
19971114	0.39	7.42	0.18
19971115	0.4	12.04	0.19
19971116	4.68	14.02	0.24
19971117	4.95	13.21	0.25
19971118	1.27	12.46	0.32
19971119	4.45	10.66	0.32
19971120	3.59	9.35	0.65
19971121	0.67	6.57	0.54
19971122	0.04	4.87	0.36
19971123	2.52	6.31	0.3
19971124	0.44	7.84	0.3
19971125	1.96	6.65	0.3
19971126	0.34	8.63	0.3
19971127	8.91	8.43	0.27
19971128	11.19	9.05	1.73
19971129	2.75	9.01	2.05
19971130	0.03	5.89	1.06
19971201	0.0	1.51	0.6
19971202	0.32	-0.49	0.43
19971203	0.35	1.12	0.35
19971204	0.0	1.62	0.31
19971205	0.38	4.55	0.31
19971206	0.12	9.5	0.42
19971207	1.84	9.29	0.4
19971208	1.34	9.96	0.37
19971209	5.78	9.55	0.35
19971210	4.19	10.78	0.66
19971211	3.49	9.03	1.14
19971212	0.07	4.85	0.96
19971213	0.06	6.05	0.65
19971214	0.0	6.41	0.51
19971215	0.0	4.4	0.43
19971216	0.0	3.37	0.4
19971217	3.07	1.64	0.37
19971218	4.21	6.74	0.61
19971219	0.24	5.89	0.62
19971220	0.02	5.16	0.45
19971221	0.0	4.63	0.37
19971222	5.09	5.49	0.43
19971223	5.56	8.84	1.09
19971224	3.09	10.03	1.45
19971225	6.5	8.7	1.05
19971226	7.33	6.98	1.8
19971227	3.59	5.95	3.34
19971228	14.08	5.35	4.3
19971229	3.64	4.93	4.75
19971230	3.7	8.67	2.57
19971231	0.09	5.95	1.85
19980101	5.08	5.25	1.98
19980102	10.18	6.82	1.63
19980103	1.71	6.77	4.06
19980104	11.36	5.15	4.1
19980105	1.45	3.61	2.74
19980106	5.26	4.62	1.75
19980107	6.72	5.62	2.32
19980108	2.52	8.07	2.49
19980109	0.06	11.79	1.58
19980110	0.0	10.97	1.06
19980111	0.81	9.33	0.92
19980112	5.62	9.08	1.0
19980113	12.68	9.08	2.75
19980114	0.51	6.4	3.94
19980115	1.8	7.34	1.7
19980116	0.19	6.03	1.26
19980117	7.22	7.24	1.08
19980118	4.32	6.92	2.59
19980119	0.04	3.42	1.76
19980120	0.74	1.31	1.08
19980121	0.27	3.84	0.83
19980122	0.02	6.33	0.73
19980123	0.05	2.51	0.64
19980124	0.0	3.37	0.55
19980125	0.0	2.23	0.48
19980126	0.0	2.25	0.45
19980127	0.0	1.6	0.43
19980128	0.0	0.33	0.4
19980129	0.0	2.22	0.37
19980130	0.0	3.29	0.36
19980131	0.04	3.71	0.35
19980201	1.0	1.83	0.34
19980202	0.4	3.7	0.35
19980203	0.19	2.44	0.33
19980204	0.38	5.87	0.35
19980205	0.01	7.19	0.31
19980206	2.4	7.46	0.38
19980207	0.08	4.84	0.37
19980208	0.01	7.53	0.3
19980209	0.0	9.52	0.33
19980210	0.26	9.54	0.34
19980211	0.12	10.79	0.34
19980212	0.0	11.66	0.31
19980213	0.0	11.82	0.3
19980214	1.58	10.9	0.28
19980215	1.3	11.38	0.37
19980216	0.0	9.23	0.31
19980217	0.0	7.68	0.26
19980218	0.0	6.61	0.28
19980219	0.0	9.05	0.27
19980220	2.0	10.86	0.26
19980221	1.29	7.97	0.27
19980222	1.43	6.05	0.25
19980223	0.0	9.04	0.25
19980224	0.0	8.8	0.25
19980225	0.0	7.24	0.22
19980226	2.17	8.37	0.3
19980227	6.07	7.4	0.3
19980228	2.0	3.41	0.5
19980301	0.15	5.09	0.4
19980302	4.2	7.41	0.34
19980303	24.48	10.41	2.68
19980304	2.66	5.94	5.63
19980305	12.68	5.48	1.83
19980306	9.61	6.99	7.09
19980307	2.17	9.49	2.95
19980308	0.07	5.59	1.54
19980309	0.0	4.21	1.03
19980310	2.17	6.26	0.85
19980311	0.32	6.73	0.7
19980312	4.39	4.92	0.74
19980313	0.06	8.34	0.76
19980314	0.0	8.32	0.66
19980315	0.03	9.02	0.56
19980316	0.23	8.54	0.47
19980317	0.0	9.63	0.44
19980318	0.0	8.63	0.41
19980319	0.0	6.7	0.34
19980320	0.0	8.13	0.33
19980321	0.0	8.56	0.34
19980322	0.0	6.82	0.29
19980323	1.64	6.56	0.29
19980324	12.97	6.8	0.4
19980325	4.31	8.89	1.74
19980326	0.18	10.86	1.33
19980327	0.0	10.9	0.78
19980328	0.0	12.02	0.59
19980329	3.66	12.09	0.57
19980330	0.0	11.95	0.56
19980331	0.0	9.79	0.5
19980401	3.1	8.63	0.47
19980402	7.64	8.36	0.71
19980403	4.52	8.66	1.17
19980404	5.14	9.22	1.3
19980405	2.39	8.7	1.35
19980406	2.97	8.56	1.67
19980407	1.88	7.41	1.13
19980408	6.88	6.68	1.11
19980409	4.27	5.25	1.36
19980410	23.13	3.53	5.63
19980411	0.62	3.64	6.92
19980412	0.12	2.92	1.98
19980413	3.46	3.09	1.25
19980414	20.33	2.55	1.66
19980415	0.2	3.4	5.87
19980416	0.03	4.34	2.1
19980417	0.0	6.38	1.21
19980418	0.0	6.49	0.9
19980419	5.41	7.14	0.78
19980420	0.12	8.73	0.81
19980421	2.86	8.5	0.75
19980422	6.34	11.77	1.23
19980423	2.63	10.24	1.41
19980424	0.91	10.59	1.08
19980425	1.87	10.58	0.81
19980426	3.5	9.12	0.87
19980427	4.07	8.68	1.22
19980428	0.5	8.97	0.98
19980429	0.0	10.69	0.67
19980430	0.0	9.47	0.53
19980501	0.0	9.06	0.44
19980502	0.01	10.01	0.42
