date	precipitation	temperature	discharge_spec
19951116	0.19	4.99	0.99
19951117	0.0	1.16	0.67
19951118	2.9	1.63	0.59
19951119	0.68	3.98	0.69
19951120	0.16	4.11	0.61
19951121	1.93	5.63	0.63
19951122	0.25	8.24	0.61
19951123	0.48	7.89	0.58
19951124	1.03	9.94	0.58
19951125	3.09	7.97	0.57
19951126	0.16	6.9	0.55
19951127	0.73	6.48	0.53
19951128	1.95	6.27	0.54
19951129	0.03	7.58	0.56
19951130	0.49	5.52	0.53
19951201	0.43	6.21	0.55
19951202	0.46	7.6	0.5
19951203	7.91	9.14	0.89
19951204	0.89	5.65	0.66
19951205	1.31	2.27	0.66
19951206	1.81	0.35	0.64
19951207	1.13	-0.4	0.65
19951208	0.16	0.22	0.61
19951209	0.0	0.76	0.55
19951210	0.02	1.07	0.54
19951211	0.0	0.77	0.57
19951212	0.0	2.71	0.57
19951213	0.36	3.76	0.57
19951214	0.0	3.82	0.57
19951215	0.0	2.79	0.54
19951216	0.0	2.94	0.53
19951217	0.0	2.85	0.53
19951218	0.0	3.56	0.53
19951219	4.84	2.78	0.64
19951220	0.04	0.5	0.59
19951221	13.39	1.49	0.64
19951222	6.21	3.89	2.1
19951223	0.61	2.06	1.19
19951224	0.64	-0.0	0.84
19951225	0.06	-1.75	0.71
19951226	0.07	-3.2	0.61
19951227	0.02	-4.61	0.56
19951228	0.0	-6.41	0.53
19951229	0.0	-4.91	0.57
19951230	0.43	-3.53	0.58
19951231	1.5	-0.08	0.61
19960101	0.67	1.82	0.74
19960102	0.03	2.53	0.68
19960103	0.04	3.61	0.67
19960104	0.29	3.7	0.67
19960105	4.47	5.36	0.82
19960106	3.71	4.56	0.79
19960107	1.65	6.59	0.82
19960108	5.6	7.65	1.1
19960109	0.31	8.44	0.91
19960110	0.0	6.39	0.76
19960111	1.48	6.24	0.76
19960112	1.45	8.44	0.73
19960113	0.43	8.51	0.71
19960114	0.0	7.84	0.64
19960115	0.01	6.28	0.64
19960116	0.01	5.15	0.62
19960117	0.07	5.91	0.63
19960118	0.02	4.69	0.63
19960119	0.11	4.48	0.64
19960120	0.4	3.22	0.59
19960121	0.05	0.59	0.56
19960122	0.0	1.57	0.59
19960123	0.0	1.03	0.58
19960124	0.0	0.5	0.56
19960125	0.02	-1.31	0.55
19960126	3.64	-2.32	0.56
19960127	0.05	-2.96	0.57
19960128	0.0	-0.54	0.58
19960129	0.0	-0.45	0.57
19960130	0.0	0.34	0.57
19960131	0.0	-0.68	0.58
19960201	0.02	-0.71	0.54
