date	precipitation	temperature	discharge_spec
19951116	0.07	4.39	1.28
19951117	0.0	0.91	0.75
19951118	0.7	1.47	0.65
19951119	0.01	3.82	0.64
19951120	1.39	4.01	0.6
19951121	5.33	5.51	0.84
19951122	0.46	8.02	0.77
19951123	2.48	7.86	0.73
19951124	3.91	9.86	0.91
19951125	1.7	7.76	0.77
19951126	0.04	6.41	0.68
19951127	0.21	6.09	0.67
19951128	0.81	6.04	0.62
19951129	0.17	7.33	0.62
19951130	0.06	5.47	0.59
19951201	0.84	5.89	0.59
19951202	0.69	7.22	0.59
19951203	7.9	8.77	1.15
19951204	0.12	5.47	0.78
19951205	1.97	2.19	0.72
19951206	4.15	0.5	0.82
19951207	1.56	-0.43	0.78
19951208	1.26	-0.27	0.78
19951209	0.01	0.59	0.69
19951210	0.0	1.28	0.64
19951211	0.06	0.72	0.63
19951212	0.28	2.56	0.64
19951213	0.8	3.42	0.64
19951214	0.04	3.7	0.64
19951215	0.56	2.82	0.65
19951216	0.0	2.98	0.59
19951217	0.0	2.89	0.56
19951218	0.16	3.43	0.58
19951219	0.11	2.47	0.57
19951220	0.0	-0.12	0.57
19951221	15.14	0.71	0.67
19951222	9.68	3.02	3.49
19951223	0.43	1.68	1.32
19951224	0.4	-0.59	0.99
19951225	0.02	-2.13	0.78
19951226	0.02	-3.64	0.78
19951227	0.0	-4.94	0.71
19951228	0.01	-6.79	0.68
19951229	0.01	-4.98	0.62
19951230	0.05	-3.63	0.62
19951231	2.37	-0.19	0.66
19960101	1.56	1.65	0.73
19960102	0.0	2.29	0.66
19960103	0.13	3.26	0.64
19960104	1.49	3.36	0.69
19960105	5.53	5.03	1.09
19960106	4.19	4.17	1.03
19960107	0.97	6.09	1.08
19960108	5.25	7.26	1.36
19960109	0.49	8.16	1.04
19960110	0.02	5.98	0.88
19960111	1.49	5.8	0.86
19960112	3.45	8.07	0.81
19960113	0.39	8.17	0.88
19960114	0.06	7.59	0.79
19960115	0.02	6.12	0.73
19960116	0.15	4.98	0.68
19960117	0.13	5.74	0.68
19960118	0.01	4.63	0.66
19960119	0.11	4.12	0.67
19960120	0.08	3.0	0.6
19960121	0.13	0.46	0.61
19960122	0.1	1.43	0.61
19960123	0.0	0.91	0.6
19960124	0.0	0.45	0.58
19960125	0.2	-1.27	0.56
19960126	3.49	-2.26	0.59
19960127	1.52	-2.77	0.62
19960128	0.01	-0.58	0.63
19960129	0.04	-0.52	0.61
19960130	0.0	0.25	0.6
19960131	0.0	-0.8	0.59
19960201	0.06	-0.81	0.59
19960202	0.0	0.24	0.6
19960203	0.01	0.09	0.56
19960204	0.01	-0.43	0.58
19960205	4.46	-1.75	0.6
19960206	2.46	-2.34	0.68
19960207	0.87	-3.1	0.64
19960208	4.83	-0.84	0.7
19960209	1.83	2.09	1.42
19960210	13.45	4.34	3.13
19960211	15.9	4.79	4.46
19960212	5.47	2.85	4.94
19960213	0.2	2.59	2.34
19960214	0.01	0.76	1.54
19960215	3.88	3.53	1.34
19960216	2.52	6.59	1.5
19960217	21.21	5.19	4.67
19960218	3.75	3.64	4.9
19960219	0.51	-0.41	2.3
19960220	0.21	-0.81	1.65
19960221	3.1	-1.2	1.43
19960222	0.2	1.77	1.49
19960223	6.11	3.09	1.66
19960224	7.33	4.78	2.45
19960225	1.2	1.65	2.2
19960226	1.39	1.2	1.71
19960227	0.02	1.99	1.39
19960228	0.01	1.54	1.19
19960229	0.02	3.14	1.1
19960301	0.0	4.53	1.02
19960302	0.02	5.32	0.96
19960303	0.38	5.58	0.91
19960304	0.0	4.99	0.87
19960305	0.0	4.68	0.83
19960306	0.37	4.71	0.81
19960307	0.0	3.88	0.77
19960308	3.13	2.47	0.83
19960309	0.03	2.78	0.82
19960310	0.0	3.57	0.74
19960311	12.95	1.47	1.37
19960312	1.02	-0.59	1.3
19960313	0.1	-1.1	0.94
19960314	0.0	-0.08	0.9
19960315	1.45	1.51	0.85
19960316	8.74	1.83	1.59
19960317	0.02	2.69	1.3
19960318	0.03	2.93	1.09
19960319	0.02	2.84	0.96
19960320	0.27	2.03	0.9
19960321	0.83	3.89	0.88
19960322	3.49	3.56	0.89
19960323	1.13	5.64	0.97
19960324	0.35	4.79	0.85
19960325	0.12	3.1	0.82
19960326	0.07	2.42	0.75
19960327	1.1	1.97	0.72
19960328	1.29	3.63	0.82
19960329	0.01	2.69	0.73
19960330	0.0	1.88	0.7
19960331	0.0	2.83	0.68
19960401	0.0	1.85	0.68
19960402	0.0	3.13	0.68
19960403	0.01	4.29	0.65
19960404	0.0	3.45	0.63
19960405	0.0	4.32	0.62
19960406	0.0	3.8	0.61
19960407	0.0	5.62	0.6
19960408	0.11	7.57	0.61
19960409	0.14	10.3	0.64
19960410	0.99	8.51	0.65
19960411	0.8	6.87	0.62
19960412	4.71	2.95	0.81
19960413	0.08	3.62	0.66
19960414	0.89	4.75	0.65
19960415	0.13	9.88	0.67
19960416	4.67	11.11	0.77
19960417	0.45	9.34	0.73
19960418	11.06	7.86	1.47
19960419	0.83	8.86	0.86
19960420	0.04	10.34	0.73
19960421	0.49	11.54	0.68
19960422	16.71	9.25	1.37
19960423	3.94	8.13	1.93
19960424	1.99	8.47	1.46
19960425	0.44	9.09	1.03
19960426	0.1	11.37	0.88
19960427	0.0	9.03	0.78
19960428	2.49	6.72	0.84
19960429	4.21	6.54	0.86
19960430	9.1	6.23	1.3
19960501	3.9	6.29	1.39
19960502	0.02	5.11	1.12
19960503	0.0	4.31	0.88
19960504	0.0	4.53	0.79
19960505	0.0	5.94	0.75
19960506	0.31	7.07	0.75
19960507	0.0	6.29	0.74
19960508	0.0	5.96	0.71
19960509	0.0	5.3	0.69
19960510	1.27	5.07	0.72
19960511	0.18	5.41	0.72
19960512	0.11	7.21	0.69
19960513	0.02	8.43	0.67
19960514	0.0	9.72	0.69
19960515	0.0	7.27	0.74
19960516	0.0	5.07	0.7
19960517	0.0	4.94	0.65
19960518	2.02	5.52	0.67
19960519	9.71	6.61	0.96
19960520	0.74	8.74	0.83
19960521	3.71	8.88	0.74
19960522	8.6	9.22	1.22
19960523	10.82	10.78	1.46
19960524	0.29	10.92	1.13
19960525	1.13	10.29	0.83
19960526	7.33	9.81	1.06
19960527	0.75	10.34	0.95
19960528	5.12	10.03	0.97
19960529	8.33	13.69	0.98
19960530	1.16	15.44	1.7
19960531	0.08	11.78	0.92
19960601	1.27	10.19	0.89
19960602	1.27	10.35	0.77
19960603	1.72	10.09	0.79
19960604	0.03	13.29	0.69
19960605	0.3	14.97	0.7
19960606	0.03	15.92	0.66
19960607	9.73	15.2	1.12
19960608	0.0	13.14	0.81
19960609	3.61	13.25	0.71
19960610	2.93	14.28	0.83
19960611	10.35	13.28	1.5
19960612	0.0	11.79	0.88
19960613	0.0	11.86	0.72
19960614	0.0	13.67	0.75
19960615	0.0	15.35	0.69
19960616	0.0	16.51	0.66
19960617	0.01	15.87	0.61
19960618	0.0	12.41	0.6
19960619	0.0	12.39	0.59
19960620	0.0	10.38	0.59
19960621	0.0	10.22	0.57
19960622	0.03	10.91	0.62
19960623	0.0	12.11	0.58
19960624	0.0	13.48	0.54
19960625	3.93	14.06	0.55
19960626	0.37	13.73	0.69
19960627	12.54	14.08	0.67
19960628	5.39	13.23	1.99
19960629	3.05	11.63	0.72
19960630	13.6	12.8	1.02
19960701	8.98	11.2	3.14
19960702	14.08	12.09	1.22
19960703	6.69	12.35	3.17
19960704	4.02	12.54	1.48
19960705	0.02	12.09	1.02
19960706	0.0	11.61	0.89
19960707	0.17	11.51	0.82
19960708	0.2	12.12	0.75
19960709	0.93	13.9	0.78
19960710	0.01	15.53	0.73
