date	precipitation	temperature	discharge_spec
19701001	14.05	7.46	3.51
19701002	8.83	5.3	9.54
19701003	12.44	6.81	4.56
19701004	3.6	7.79	6.37
19701005	12.54	6.91	7.4
19701006	1.51	5.83	5.17
19701007	5.93	6.05	3.93
19701008	1.79	6.2	5.31
19701009	0.41	5.4	2.64
19701010	0.0	8.41	2.14
19701011	0.2	7.4	1.59
19701012	0.0	9.39	1.39
19701013	0.0	9.61	1.21
19701014	0.0	8.03	1.07
19701015	0.0	8.62	1.01
19701016	0.07	8.66	0.95
19701017	1.02	7.74	0.92
19701018	23.67	8.22	6.49
19701019	7.35	4.2	5.68
19701020	5.25	1.53	2.73
19701021	1.05	2.75	3.52
19701022	0.74	5.18	5.03
19701023	0.78	6.44	2.78
19701024	0.28	6.65	2.14
19701025	5.63	5.03	1.94
19701026	4.18	2.39	2.06
19701027	0.68	1.13	1.86
19701028	16.62	1.89	1.9
19701029	9.23	3.62	9.81
19701030	2.87	5.52	7.02
19701031	6.99	6.37	5.1
19701101	6.47	5.44	5.38
19701102	12.43	4.81	6.89
19701103	2.1	4.42	6.61
19701104	16.61	3.97	5.39
19701105	5.04	3.37	8.73
19701106	0.45	1.73	4.49
19701107	2.9	2.2	2.69
19701108	17.5	4.22	6.55
19701109	5.21	3.65	9.02
19701110	4.59	3.73	4.56
19701111	13.66	2.5	4.24
19701112	5.84	0.21	2.88
19701113	1.06	-0.08	2.41
19701114	4.27	-1.34	2.06
19701115	2.65	-0.75	1.78
19701116	0.88	-0.58	1.63
19701117	0.18	1.43	1.78
19701118	0.0	1.25	1.9
19701119	0.21	0.55	1.67
19701120	1.57	0.7	1.47
19701121	0.67	0.8	1.78
19701122	0.01	1.41	1.74
19701123	16.64	2.58	2.59
19701124	1.7	4.7	11.83
19701125	8.2	4.57	6.53
19701126	14.31	3.86	6.61
19701127	2.26	3.94	6.29
19701128	2.72	5.07	4.11
19701129	2.47	3.16	3.81
19701130	0.49	2.32	3.41
19701201	3.29	1.75	2.69
19701202	5.96	1.74	2.27
19701203	3.83	-0.07	1.94
19701204	18.1	0.63	4.79
19701205	11.09	3.45	10.57
19701206	3.26	2.3	6.37
19701207	0.51	1.22	3.93
19701208	0.0	0.92	3.14
19701209	0.0	3.77	4.3
19701210	0.02	2.5	2.59
19701211	0.0	0.73	1.82
19701212	0.55	1.19	1.67
19701213	1.36	1.33	1.94
19701214	0.16	1.93	1.59
19701215	1.14	2.36	1.5
19701216	3.36	4.49	3.34
19701217	0.56	4.43	3.3
19701218	3.94	5.7	2.88
19701219	6.98	5.83	4.37
19701220	1.09	1.06	2.41
19701221	0.36	-1.51	1.71
19701222	3.03	0.16	1.5
19701223	6.15	0.59	4.05
19701224	2.53	1.35	2.69
19701225	7.28	0.31	2.18
19701226	1.71	0.89	3.09
19701227	2.75	-0.61	2.1
19701228	2.0	-0.62	1.71
19701229	4.51	-0.47	1.5
19701230	1.27	-2.05	1.28
19701231	0.57	-2.44	1.17
19710101	1.35	-2.26	1.14
19710102	0.0	-1.74	1.1
19710103	0.0	-1.84	0.92
19710104	0.0	-2.14	0.68
19710105	0.14	-1.75	0.73
19710106	10.18	2.12	3.7
19710107	10.47	3.44	19.16
19710108	6.95	6.08	7.65
19710109	8.49	7.41	12.26
19710110	0.0	8.11	4.43
19710111	0.0	5.49	2.27
19710112	0.0	1.53	1.63
19710113	0.0	1.42	1.43
19710114	0.36	2.48	1.31
19710115	0.03	1.44	1.14
19710116	0.25	0.68	1.04
19710117	6.07	2.04	0.95
19710118	2.27	2.85	2.73
19710119	5.49	2.99	2.99
19710120	3.56	1.05	1.67
19710121	6.99	0.63	1.74
19710122	0.53	1.33	1.55
19710123	2.67	1.96	1.35
19710124	4.18	1.32	1.55
19710125	0.84	1.8	1.9
19710126	1.85	1.23	2.1
19710127	6.59	1.08	2.14
19710128	0.13	1.2	2.1
19710129	6.12	-0.3	1.5
19710130	7.6	-2.29	1.21
19710131	0.87	-2.84	1.04
19710201	0.9	-2.22	1.17
19710202	1.89	1.77	6.41
19710203	0.0	4.23	10.7
19710204	0.0	5.16	4.63
19710205	0.0	2.32	2.41
19710206	0.2	3.07	1.86
19710207	0.0	4.34	2.64
19710208	0.22	4.43	2.14
19710209	0.0	3.64	1.71
19710210	0.55	3.54	1.74
19710211	5.22	1.91	1.35
19710212	20.88	2.71	6.41
19710213	9.23	0.55	2.64
19710214	4.57	-0.4	1.74
19710215	0.2	-0.63	1.28
19710216	0.07	-2.62	1.07
19710217	0.22	-2.14	1.17
19710218	0.01	-0.1	1.04
19710219	3.26	0.83	1.28
19710220	2.69	2.38	4.18
19710221	1.75	2.56	2.83
19710222	0.68	2.42	1.98
19710223	1.59	3.56	4.69
19710224	0.0	4.63	3.69
19710225	0.0	2.07	1.86
19710226	0.0	1.7	1.43
19710227	7.76	1.55	1.35
19710228	0.81	0.48	1.82
19710301	8.16	0.82	1.71
19710302	1.3	0.88	1.78
19710303	0.0	0.64	1.5
19710304	2.93	-0.09	1.31
19710305	3.03	2.43	3.25
19710306	1.23	3.51	4.89
19710307	0.06	4.53	4.11
19710308	1.0	4.08	3.09
19710309	4.89	2.28	2.41
19710310	11.21	0.45	2.45
19710311	1.54	1.71	5.03
19710312	1.93	3.74	6.53
19710313	1.02	3.27	2.73
19710314	0.41	0.99	1.9
19710315	0.04	-0.33	1.5
19710316	0.04	0.24	1.21
19710317	0.42	-0.44	1.04
19710318	6.93	-0.72	0.98
19710319	20.82	-0.12	1.01
19710320	2.55	1.01	1.07
19710321	0.56	1.63	1.28
19710322	0.15	-0.8	1.14
19710323	0.32	2.52	4.77
19710324	4.03	5.61	11.2
19710325	4.57	2.41	3.3
19710326	2.76	2.24	3.19
19710327	4.55	1.58	3.93
19710328	0.42	4.19	5.38
19710329	2.1	5.12	3.25
19710330	2.33	3.75	2.36
19710331	0.0	2.22	2.06
19710401	0.05	1.95	1.39
19710402	3.36	1.98	1.17
19710403	5.55	3.02	1.71
19710404	0.27	1.7	2.18
19710405	0.07	2.41	1.86
19710406	1.27	3.06	1.43
19710407	0.22	3.06	1.74
19710408	0.0	3.27	1.28
19710409	0.0	4.72	1.14
19710410	0.0	4.71	1.1
19710411	0.0	5.64	1.01
19710412	0.0	5.41	0.89
19710413	0.0	4.95	0.83
19710414	0.0	4.68	0.78
19710415	1.31	5.5	0.7
19710416	1.93	3.26	0.75
19710417	2.94	2.02	0.78
19710418	0.68	3.73	1.43
19710419	0.66	5.03	1.01
19710420	0.18	3.75	0.78
19710421	0.01	5.94	0.68
19710422	1.19	6.33	0.68
19710423	5.75	5.46	1.41
19710424	0.06	5.13	1.14
19710425	3.06	2.36	0.73
19710426	3.61	2.07	0.75
19710427	0.43	2.3	1.07
19710428	1.55	2.08	1.1
19710429	4.63	3.55	1.07
19710430	0.04	4.44	1.1
19710501	0.0	4.64	0.75
19710502	0.0	6.73	0.66
19710503	0.0	7.82	0.59
19710504	0.0	6.24	0.57
19710505	0.0	6.87	0.54
19710506	0.54	7.72	0.48
19710507	3.8	9.12	0.61
19710508	0.06	8.94	0.83
19710509	0.1	8.45	0.59
19710510	0.07	10.46	0.57
19710511	0.0	8.85	0.54
19710512	0.0	7.66	0.48
19710513	0.0	6.59	0.47
19710514	6.5	7.36	0.47
19710515	4.33	5.77	0.52
19710516	7.31	5.49	0.66
19710517	7.1	5.24	1.01
19710518	1.11	6.02	1.24
19710519	2.47	5.48	0.86
19710520	0.35	8.11	0.68
19710521	0.0	7.09	0.59
19710522	0.14	7.46	0.52
19710523	2.84	6.56	0.5
19710524	0.01	7.52	0.57
19710525	0.01	7.05	0.52
19710526	3.86	5.89	0.52
19710527	1.81	4.0	0.57
19710528	0.28	5.54	0.59
