date	precipitation	temperature	discharge_spec
19951202	0.18	7.97	0.3
19951203	5.35	9.57	0.52
19951204	0.02	6.2	0.44
19951205	0.11	2.81	0.34
19951206	1.38	1.4	0.31
19951207	0.14	0.44	0.33
19951208	1.41	0.13	0.32
19951209	0.66	1.63	0.31
19951210	0.0	2.78	0.29
19951211	0.0	1.69	0.26
19951212	0.0	3.08	0.24
19951213	0.01	3.49	0.22
19951214	0.0	4.31	0.22
19951215	0.21	3.48	0.22
19951216	0.0	3.77	0.22
19951217	0.0	3.61	0.21
19951218	0.0	3.8	0.24
19951219	0.0	2.97	0.21
19951220	0.08	-0.27	0.19
19951221	12.6	0.5	0.24
19951222	7.01	2.78	1.99
19951223	0.17	1.89	0.8
19951224	1.87	-0.25	0.55
19951225	0.07	-1.71	0.38
19951226	0.0	-3.65	0.32
19951227	0.0	-4.88	0.28
19951228	0.0	-6.77	0.39
19951229	0.0	-4.28	0.59
19951230	0.37	-2.82	0.43
19951231	4.22	0.3	0.37
19960101	0.14	2.47	0.46
19960102	0.0	3.03	0.41
19960103	2.21	4.1	0.39
19960104	2.94	4.16	0.57
19960105	5.72	5.78	1.05
19960106	4.54	4.79	1.34
19960107	4.61	6.51	2.57
19960108	5.82	7.65	2.83
19960109	0.45	8.69	1.67
19960110	0.09	6.25	1.08
19960111	3.66	6.05	1.11
19960112	7.18	8.43	1.56
19960113	2.62	8.46	2.68
19960114	0.32	8.36	1.62
19960115	0.02	7.34	1.11
19960116	0.0	5.91	0.87
19960117	0.0	6.77	0.73
19960118	0.0	5.95	0.65
19960119	0.0	5.11	0.58
19960120	0.12	3.94	0.5
19960121	0.0	1.29	0.42
19960122	0.0	2.15	0.41
19960123	0.0	1.75	0.38
19960124	0.0	1.34	0.34
19960125	0.0	-0.38	0.28
19960126	0.35	-1.31	0.27
19960127	1.88	-1.73	0.31
19960128	0.0	0.25	0.29
19960129	0.0	0.11	0.28
19960130	0.0	0.95	0.29
19960131	0.0	-0.22	0.27
19960201	0.0	-0.36	0.26
19960202	0.0	0.84	0.27
19960203	0.0	0.67	0.26
19960204	0.0	0.02	0.25
19960205	7.21	-0.9	0.24
19960206	2.62	-1.67	0.3
19960207	0.32	-2.63	0.32
19960208	8.98	-0.15	0.37
19960209	5.83	2.79	4.9
19960210	4.66	4.99	6.68
19960211	16.56	5.21	5.99
19960212	2.98	3.47	5.92
19960213	0.0	3.02	2.28
19960214	0.03	1.06	1.43
19960215	4.83	4.68	1.3
19960216	0.76	6.99	1.89
19960217	14.24	5.62	4.73
19960218	1.46	3.89	3.68
19960219	0.68	0.3	1.79
19960220	0.0	-0.09	1.23
19960221	5.55	-0.52	1.18
19960222	0.37	2.77	1.59
19960223	9.59	3.99	2.07
19960224	8.31	4.99	3.3
19960225	2.3	1.92	3.86
19960226	0.61	1.42	2.51
19960227	0.0	2.62	1.91
19960228	0.0	2.21	1.41
19960229	0.0	4.1	1.17
19960301	0.0	5.16	1.02
19960302	0.0	5.92	0.9
19960303	0.0	6.32	0.77
19960304	0.0	5.42	0.67
19960305	0.0	5.09	0.59
19960306	0.16	5.45	0.54
19960307	0.0	4.75	0.5
19960308	3.61	3.06	0.52
19960309	0.0	3.44	0.55
19960310	0.0	4.3	0.45
19960311	20.57	3.18	2.16
19960312	1.35	0.32	2.97
19960313	0.0	-0.44	1.22
19960314	0.0	0.57	0.91
19960315	0.43	1.98	0.76
19960316	4.79	2.38	0.87
19960317	0.0	3.27	0.86
19960318	0.0	3.57	0.67
19960319	0.0	3.54	0.59
19960320	0.0	2.61	0.55
19960321	0.0	4.2	0.48
19960322	1.04	3.82	0.44
19960323	0.58	5.64	0.43
19960324	0.0	5.2	0.4
19960325	0.0	3.69	0.37
19960326	0.0	3.05	0.34
19960327	0.02	2.55	0.32
19960328	1.63	4.53	0.35
19960329	0.0	3.35	0.31
19960330	0.0	2.52	0.29
19960331	0.0	3.45	0.27
19960401	0.1	2.66	0.26
19960402	0.0	4.1	0.25
19960403	0.0	5.35	0.23
19960404	0.0	4.44	0.22
19960405	0.08	5.16	0.21
19960406	0.0	4.49	0.21
19960407	0.0	6.07	0.21
