date	precipitation	temperature	discharge_spec
19701001	19.1	10.9	9.18
19701002	7.69	8.68	9.26
19701003	18.94	9.46	8.67
19701004	24.35	10.86	13.65
19701005	3.02	10.09	16.96
19701006	14.2	7.93	8.21
19701007	10.66	7.69	10.29
19701008	0.0	7.59	5.74
19701009	0.0	6.31	3.73
19701010	0.0	8.3	2.73
19701011	1.7	9.03	2.28
19701012	0.04	11.22	1.95
19701013	0.0	11.28	1.61
19701014	0.0	10.3	1.4
19701015	0.0	10.15	1.5
19701016	0.0	9.12	1.47
19701017	0.97	7.74	1.43
19701018	14.4	9.16	1.63
19701019	3.15	7.34	3.13
19701020	0.0	4.12	1.63
19701021	0.0	4.34	1.32
19701022	0.0	6.81	1.23
19701023	22.07	8.1	5.9
19701024	42.65	9.29	23.32
19701025	18.24	9.69	25.98
19701026	2.3	6.65	6.49
19701027	35.27	6.04	18.39
19701028	2.94	6.85	9.4
19701029	19.39	8.94	9.06
19701030	50.08	10.4	39.82
19701031	17.65	10.64	15.29
19701101	11.68	8.73	9.2
19701102	7.72	9.1	8.83
19701103	2.11	7.85	6.41
19701104	7.88	7.42	5.47
19701105	7.99	6.6	6.35
19701106	0.0	4.7	4.16
19701107	0.02	4.55	2.85
19701108	21.48	5.36	6.47
19701109	0.66	6.37	6.67
19701110	35.85	7.3	11.42
19701111	12.62	6.54	26.91
19701112	8.28	3.86	7.45
19701113	21.0	2.83	9.89
19701114	0.0	0.93	6.73
19701115	15.95	1.44	4.38
19701116	3.57	2.0	8.74
19701117	23.61	3.79	14.52
19701118	8.8	3.36	8.37
19701119	2.34	3.38	6.57
19701120	34.94	2.31	12.44
19701121	10.99	3.54	14.27
19701122	18.98	3.28	10.88
19701123	61.94	6.57	45.75
19701124	0.62	8.35	18.79
19701125	0.0	8.47	6.79
19701126	0.78	6.05	4.64
19701127	9.56	6.91	3.71
19701128	15.72	8.19	12.09
19701129	6.91	5.03	7.45
19701130	0.33	4.94	5.54
19701201	3.15	4.59	3.79
19701202	26.14	5.88	14.93
19701203	8.41	4.36	9.14
19701204	2.45	3.95	6.38
19701205	13.73	5.67	4.72
19701206	5.44	4.69	7.75
19701207	0.0	3.3	4.41
19701208	0.0	1.15	3.22
19701209	0.0	2.04	2.52
19701210	0.0	1.74	2.15
19701211	0.02	2.94	1.87
19701212	1.05	4.27	1.7
19701213	0.0	3.26	1.49
19701214	0.0	2.46	1.32
19701215	3.4	3.42	1.38
19701216	20.16	5.55	4.89
19701217	3.1	6.04	5.93
19701218	10.43	7.15	5.46
19701219	4.4	8.15	5.84
19701220	0.99	4.53	4.1
19701221	0.0	0.79	2.6
19701222	0.55	0.57	2.05
19701223	0.48	1.95	1.91
19701224	0.23	0.67	1.68
19701225	0.39	0.13	1.56
19701226	0.02	0.47	1.48
19701227	0.35	-0.98	1.34
19701228	0.49	0.06	1.31
19701229	0.2	1.15	1.23
19701230	0.0	0.08	1.17
19701231	0.0	-1.8	1.1
19710101	0.04	-2.05	1.15
19710102	0.04	-1.15	1.2
19710103	0.0	-2.5	1.05
19710104	0.05	-3.4	0.99
19710105	2.15	-2.44	0.97
19710106	32.73	2.72	4.64
19710107	1.0	4.69	9.98
19710108	21.56	8.28	9.34
19710109	0.08	9.18	7.11
19710110	0.0	9.69	3.12
19710111	0.0	4.08	2.04
19710112	0.06	1.88	1.64
19710113	0.53	2.93	1.48
19710114	0.0	3.0	1.3
19710115	0.55	2.06	1.19
19710116	3.31	1.94	1.36
19710117	2.1	2.98	1.27
19710118	15.22	4.15	4.55
19710119	6.62	4.71	5.31
19710120	23.91	3.42	7.14
19710121	0.01	3.28	8.04
19710122	14.36	3.6	3.72
19710123	5.32	3.84	10.72
19710124	11.87	4.44	7.35
19710125	1.52	4.99	7.37
19710126	3.08	3.19	4.79
19710127	4.11	3.7	3.49
19710128	1.96	3.01	4.03
19710129	0.08	2.57	2.73
19710130	0.52	0.19	2.21
19710131	0.02	0.15	1.86
19710201	0.0	-0.14	1.45
19710202	9.95	1.76	3.6
19710203	1.52	3.86	5.05
19710204	0.04	5.73	2.51
19710205	0.0	2.56	1.92
19710206	0.0	3.08	1.66
19710207	0.01	4.86	1.5
19710208	0.48	4.29	1.39
19710209	0.54	4.85	1.33
19710210	0.0	4.71	1.24
19710211	38.92	3.99	2.44
19710212	34.7	5.03	27.4
19710213	1.84	3.26	7.22
19710214	29.94	2.65	14.2
19710215	0.73	1.12	8.36
19710216	6.7	-1.43	4.32
19710217	34.31	-0.02	15.67
19710218	0.0	2.68	10.8
19710219	7.71	2.81	6.61
19710220	5.89	4.58	9.37
19710221	0.64	5.24	5.43
19710222	0.0	4.08	3.5
19710223	0.0	3.68	2.56
19710224	0.12	5.49	2.09
19710225	0.0	3.88	1.79
19710226	0.0	2.96	1.56
19710227	8.09	2.19	1.73
19710228	0.93	0.64	1.6
19710301	30.44	1.18	2.32
19710302	0.11	2.56	5.11
19710303	0.0	1.14	3.0
19710304	1.37	-1.61	2.08
19710305	1.02	-0.22	2.06
19710306	0.0	1.56	2.11
19710307	0.2	2.26	1.89
19710308	0.0	3.64	1.95
19710309	0.06	4.6	1.73
19710310	0.31	1.82	1.52
19710311	0.97	4.17	1.42
19710312	0.32	5.94	1.31
19710313	8.39	5.68	1.44
19710314	2.54	3.52	2.59
19710315	0.32	2.67	1.56
19710316	12.8	1.87	1.61
19710317	16.57	2.28	3.13
19710318	13.53	2.69	13.24
19710319	3.81	3.62	9.41
19710320	0.46	3.14	4.58
19710321	0.79	3.6	2.76
19710322	0.39	2.77	2.07
19710323	19.76	3.69	11.05
19710324	23.79	6.62	17.03
19710325	7.23	5.08	8.8
19710326	1.38	4.24	5.88
19710327	3.95	4.34	3.89
19710328	1.5	6.18	4.06
19710329	6.3	7.45	4.63
19710330	0.37	6.96	4.3
19710331	0.13	3.32	2.62
19710401	0.0	3.51	2.06
19710402	0.02	4.13	1.67
19710403	0.0	3.74	1.4
19710404	0.09	3.93	1.21
19710405	0.01	4.63	1.1
19710406	0.15	6.18	1.12
19710407	0.0	5.28	1.01
19710408	0.0	5.38	0.84
19710409	0.0	5.17	0.76
19710410	0.0	6.05	0.69
19710411	0.0	6.9	0.79
19710412	0.0	7.05	0.85
19710413	0.0	6.61	0.8
19710414	0.0	6.6	0.77
19710415	8.06	6.94	0.75
19710416	1.36	6.11	1.03
19710417	0.46	3.9	0.82
19710418	0.0	7.04	0.76
19710419	0.42	8.23	0.72
19710420	0.0	7.66	0.71
19710421	0.0	9.47	0.64
19710422	3.71	9.64	0.63
19710423	40.8	9.04	4.68
19710424	7.37	5.92	11.1
19710425	0.0	4.72	3.25
19710426	0.0	3.89	1.73
19710427	0.04	3.85	1.24
19710428	0.0	3.95	0.99
19710429	0.13	5.87	0.86
19710430	0.04	6.54	0.82
19710501	0.0	5.99	0.74
19710502	0.0	6.19	0.64
19710503	0.0	7.76	0.65
19710504	0.0	8.26	0.68
19710505	0.0	9.98	0.63
19710506	6.45	11.86	0.61
19710507	10.69	11.12	1.04
19710508	0.31	10.87	1.24
19710509	5.94	10.32	0.89
19710510	4.24	12.44	2.03
19710511	2.01	12.28	1.25
19710512	0.04	11.67	1.05
19710513	0.0	10.35	0.72
19710514	0.72	10.32	0.61
19710515	0.3	8.19	0.7
19710516	4.15	6.93	0.73
19710517	2.3	7.21	0.74
19710518	0.0	8.86	0.72
19710519	0.0	7.83	0.61
19710520	0.0	9.14	0.57
19710521	0.0	9.06	0.52
19710522	5.08	10.23	0.48
19710523	13.44	8.72	1.81
19710524	0.21	10.22	1.73
19710525	0.0	9.68	0.82
19710526	6.85	7.45	0.75
19710527	1.27	7.59	0.88
19710528	13.07	7.54	0.81
19710529	5.58	8.49	1.85
